,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,AW5JSQCHC2ZJO,B00005C55O,"[0, 0]","I can't believe I already need to start thinking about back-to-school supplies.... A 200 pack of wide ruled paper is always somewhere on that list. And, since Mead has some of the best, most reliable products on the market, I'm glad I could start here.",4,Filler Paper by Mead,1405382400,"07 15, 2014",,0.401
1,ATANE2SC44592,B00005C55O,"[0, 0]","I used to only buy Mead paper when I was in high school and college, there was no doubt that it was a thicker paper than most others. These days I really don't see much of a difference between Mead and generic store brands other than the price. This paper will definitely do the job you need it to do but so will some other cheaper brands (currently it is $2.99 on Amazon).",4,Good paper,1405296000,"07 14, 2014",,0.2386
2,AFICF7DKHTQ87,B00005C55O,"[0, 0]","Standard filler paper, slightly on the thin (translucent) side but works well for writing notes and such...",3,Slightly on the thin side but works just fine,1405209600,"07 13, 2014",,0.3919
3,A2D4FQHV506EPB,B00005C55O,"[0, 0]","Many moons ago when I was in school I only used Mead filler paper because it was well made, sturdy and fit easily into my binders. Now that my son is in school I've noticed that the paper seems a little thinner than I remember, however it meets the basic needs of my soon to be first grader. The huge plus for me is that this product is made in the USA and I will definitely continue to purchase it for my children.",4,Made in the USA,1404950400,"07 10, 2014",319,0.4436
4,A319Y83RT0MRVR,B00005C55O,"[0, 0]","This is filler paper that comes pre-punched with three holes to be inserted into a 3-hole binder.The paper is thick enough that you won't see through it and can write on both sides. It won't immediately break from being taken in and out of the binder (after a while you'll probably want to have some reinforcements around).The price point makes it a bit of a lousy investment though. This paper is on the thinner side and there are only 200 sheets in the packet. at the beginning of the school year, you are usually able to buy Staples or Office Depot brand on sale for 99 cents. This paper does not provide anything special for the extra money (it's currently $2.99 per 200 sheets on Amazon).",3,decent paper but pricey,1404518400,"07 5, 2014",AIROLF,-0.1273
5,A19UTUEBWKIZFT,B00005C55O,"[0, 0]","This is 200 sheets of wide rules filler paper, It has three holes punched for your binder. The lines don't fade or smudge as some lesser filler papers are prone to do. It is crisp, clean, white, smudgeproof, and looks and performs like the best papers in the world, at a reasonable price. I like to get 200 sheets in a package as this is a generous size but not so much that I have to store a lot of excess paper on a shelf where it can get dusty. Mead makes great office supplies from the ones I've been seeing lately.",5,Good filler paper--smudgeproof,1404604800,"07 6, 2014",AKN,0.3842
6,A1P27BGF8NAI29,B00005C55O,"[0, 0]","I needed this for my daughter, for school work. The paper is pretty good &#8211; it&#8217;s not the really thick paper I remember from my own youth, which was so course that I could actually see the pulp fibers in it with the naked eye! Its thinness reminds me more of the paper I used in college (in the Stone Age, before everyone had a computer).I don&#8217;t think that the paper is unusually thin. It seems to me to be good, normal, wide ruled paper. We are already using it for some work and we are happy enough with it.(Review of Mead Filler Paper, Wide Ruled)",4,"Good, normal, wide ruled paper",1403049600,"06 18, 2014",Alice in Wonderland,0.2937
7,AXK9WUGRUL86Z,B00005C55O,"[0, 0]","Come on, paper is paper and ruled refills are rule refills.True, but there is a bit more to it.It all depends on how you like to write. I personally like to write with a fountain pen. (I know, anachronistic) thus, I need paper that will not let the fountain pen ink, that is liquid instead of a gel like ball points or gel pens, seep through the paper.I'm glad to say that this is a solid paper, that holds the ink and has proper texture.I recommend it without reservations.",5,Great paper,1402358400,"06 10, 2014",Amateur curmudgeon kaleun76,0.562
8,A1ZZCS4GDFC9TT,B00005C55O,"[0, 1]","This paper is really well priced, but it seems a little flimsy. I wouldn't mind paying double what this costs to get paper that's just a little thicker. It does get the job done though.",3,"Cheap, but thin.",1372032000,"06 24, 2013",Andrew,0.059
9,A2OCDK0BOW6UCY,B00005C55O,"[0, 0]","Mead is a big name in school supplies and this paper is adequate. The lines are clear and the wide ruling makes it easy for younger kids to learn to write. Pre-punched, it fits beautifully in any standard three ring binder. It is rather thin and certainly not of stationary quality. But it is fine for practice and less important projects. While nothing to write home about, it is certainly acceptable for general use.",3,Adequate,1403827200,"06 27, 2014",Antigone Walsh,0.472
