,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A2OKNQWLFBOGMM,B000067Q0P,"[0, 1]","Not at all stable! The circle frame comes in four parts, and when put together they did not create a flat circle. When together only 2 of the 6 feet hit the floor at any given moment. Not stable and not at all safe for my 2.5 year old son to bounce on. This is going back.",1,not level or stable,1352073600,"11 5, 2012",,-0.2013
1,A2SDKX7SSZ2P99,B000067Q0P,"[0, 0]","I was bored and trolling Amazon and saw this...it looked like fun so I ordered it. I read the assembly directions, which said you need 3 people, but a woman said in her review that she assembled her trampoline alone...props to her cause I tried and nothing...absolutely no movement whatsoever. I took it to work and 3 guys assembled it very easily, but used their combined strength to make the pieces go together and open. The smell is obnoxious, which I hope will dissipate over time. All in all a fun purchase.",5,"Not super bouncy, but good all the same",1393027200,"02 22, 2014",Amberzon,0.2908
2,A2EKX87HLHZLIW,B000067Q0P,"[2, 2]","we love this thing! (tho i was afraid to assemble it from some of the reviews! lol) my mate and i put 'er togther in about 15 mins, took longer to get it out of the great packaging done my amazon than to assemble the romper and now we are using it a bit here and ther thru the day while the snow piles up out the door and loving it! (the cattys are having a bit of fun with it too!)",5,its great!,1361577600,"02 23, 2013",ampm247 AnnMarie,0.5352
3,A33QVIF8IUQVJ4,B000067Q0P,"[2, 2]","Four arcs are joined to form the rim. Good: has 5 legs, elastic bands instead of metal springs, quiet bouncing, affordable, the size is suitable for kids, and indoor use. Bad: the joints in the rim could be more rigid, the rim changes shape, making the legs point in odd inward and outward directions. The legs have some risk of caving in, hence my recommendation is for kids only. A single person can assemble the trampoline, but once going past 120 degre angle towards 180 degree, there is no turning back, you have to finish the job in one sitting, or the rim will forcefully whack you in the face if you try to bail out. I doubt there is any safe way to disassemble this product.",4,trampoline for small kids,1330732800,"03 3, 2012",Andre,-0.1527
4,A256T5PCQ0UZIM,B000067Q0P,"[131, 137]","If you want a mini-trampoline, I can recommend this one. It is built like a battleship, but assembly is non-trivial -- you need at least two adults (the instructions recommend three) to fight against the tension to pop everything in place. No big deal, but you are not going to put this together by yourself -- you can hurt yourself if something pops back due to the high tensions involved. The instruction book could use larger and clearer pictures. The legs screw on, and one of the legs in mine was slightly out-of-round, making for some stiff turning, but I got it on. There is an 800 number to call the manufacturer for any problems. I didn't need to call. We like this mini-trampoline.",4,"Solid, bit of a challenge to assemble",1189728000,"09 14, 2007",Bob Dobbs,-0.102
5,A38RMU1Y5TDP9,B000067Q0P,"[5, 6]","...literally. It has a petrochemical, oily smell that hasn't gone away after several days. (I'll be sure to update this review if it ever does.) As it is, we have to keep it in the garage and either use it outside or bring it in an jump away until the smell gets too overpowering.The other negatives are six legs that all seem to point in different directions and the lack of any workouts. The leg thing makes the thing look very unstable. It isn't (see below) but it sure looks that way. The missing workouts isn't a big deal, especially since none were promised in the listing. However, would it have been *that* hard to toss in a couple short lists of various activities that provide the high intensity, low impact workout which is promised on the box.On the plus side is easy assembly and solid construction. It is easy to put together if you follow the instructions. Unfortunately I ran into needless delays while I was putting it together. I tried for about five minutes, on my own, to fit the ring together. I finally got frustrated, read the two sentences that explained how, and had it done in under a minute. Then I put the six legs on but couldn't fit the cushion around the frame. After a few minutes I broke down and read the one sentence from the instructions that explained how the cushion should go on before the legs. A few minutes later it was fully assembled. I guess there's blame enough to go around.As for solid construction, it just is. The ring and legs are heavy steel tubing and the mat is heavy PVC. I expect this will last a very long time; far longer than the tramp's that rely on a bungee cord to provide the bounce.If only the smell would go away.",3,This thing stinks,1303689600,"04 25, 2011",Bob Tobias Robert Tobias,-0.0517
6,AV3AUFSA1DXVZ,B000067Q0P,"[2, 2]","This trampoline is giving me energy. It is great, sturdy, relatively easy to assemble (by a man). It does not make noise when jumped on it. Great one!!",5,One Crazy Blue Trampoline!,1384473600,"11 15, 2013",Carolina Carolina,0.3983
7,A38CS1ZYEBO5YE,B000067Q0P,"[0, 0]","I have put these together before. It's hard, but not awful.The instructions literally say that this job requires three strong adult. THREE. Do you have any idea how often there are three strong adults in my house at the same time? Almost never. So, needless to say, it's still sitting on my couch waiting for a few strong adults to show up.My husband and I worked on this for over an hour. We got two pieces together, and finally gave up.THEN, the smell is overwhelming. I'm pretty sure whatever they made it with is highly flammable and could possibly burst into flames by it'self at any minute. It does say &#34;Keep away from open flame&#34;. But, I think this is more like &#34;Do not light a match while this is in the room&#34;.",1,Impossible to assemble.,1395446400,"03 22, 2014",Escapethevillage K Harris,0.2905
8,ACY9QYNDFLVBI,B000067Q0P,"[1, 1]","I bought this trampoline for my kids to jump on when they are going crazy in the house but it's not nice enough to go outside. For that purpose it works well. It's not the perfect trampoline but I'm glad I purchased it. The main difference between this and other trampolines is that this is based on rubber bands (wide, strong ones) instead of springs.The main things I like about this:===========================* Build quality was a little surprisingly good. Everything seems pretty sturdy.* This is not just quiet, it's silent. It makes no noise whatsoever while my kids jump on it. I was not looking forward to hearing squeaky springs all the time while my kids jump. So nice to have some peace and quiet.* Assembly was pretty quick and easy. There is one step where it is nice/necessary to have someone else hold one side while you do the other. The tension is a little scary at that point but then it pops into place and it's done. I also messed it up because I put too many bands between two of the legs (make sure there are 5 bands between each pair of legs before the last stage in frame assembly). I threaded a rope under and pulled and was able to get it over.* This trampoline is very lightweight. Easy to move around. I would have liked some fold-in legs or something. These legs screw in but you can't have everything.Things I don't like:===============* It's not very bouncy. That's my main issue with it. I'm quite certain that spring-based trampolines are bouncier. Not a problem because it's just for burning little kids' energy but I was expecting something a little more elevating. Just be aware that this trampoline has a bit of a tendency to suck your bounce. Probably that's good for working out.* This trampoline has a maximum weight of 200 pounds. I weigh 180ish so I'm under but I still pretty much leave this to my kids. Not so much for big people. If you are a little 115 pound woman (or you want it for kids) this is a great trampoline. A burly 6 foot tall man, not so much.* When it's on the floor it's fine and flat. But when you put it up it changes from a ring to kind of a saddle shape. It easy twists back to the way you want it. Just be aware of that tendency. It's not a problem once you know about it.* This trampoline stinks to high heaven. There's some kind of really stinky lubricant in it. When I first opened it up I couldn't keep it in the house for a couple of days because of the smell. It has been getting better every day but I've had it two weeks and there's still some stank. A temporary issue but one to be aware of. The first few days of use you will need noseplugs.",4,Good trampoline but not that bouncy,1388707200,"01 3, 2014",G. Farnsworth,0.1296
9,A8C6QTKFQSF37,B000067Q0P,"[0, 0]",it only took two of us to get it together. The first time it was warped after we put it together so we took it apart and did it again. On the second try it was fine. Not sure what the issue was. Went together pretty easily....smells something fierce of gasoline which is annoying. It's really just the blue rubber/plastic/foam that goes around the edge that stinks. The entire room where the trampoline is smells of it....hopefully it will be gone in a few more days as it off gasses. Kids don't rebound as high as they did on their kids trampoline but that's okay.,3,okay trampoline,1344816000,"08 13, 2012",Jamie,0.021
