,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A3KNZ0DD8OK29F,B00006B8FZ,"[0, 0]",Great labels! Use them for work daily.,5,Great labels! Use them for work daily,1405814400,"07 20, 2014",,0.3294
1,A3CW0ZLUO5X2B1,B00006B8FZ,"[0, 0]","...permitting some automation to overcome the drudgery of addressing cards.I keep a master address list (using Microsoft Access) and using the Access &#34;Labels&#34; functions to print directly to these labels.We typically send around 120 cards. If addressing each by hand takes a minute, then this returns more than two hours of time during the press of the holidays.What's not to like about that?",5,Part of my holiday survival kit...,1388620800,"01 2, 2014",35-year Technology Consumer 8-tracks to 802.11,0.1354
2,A1TXRF98SLKL2O,B00006B8FZ,"[0, 0]","The key claim of these labels is that when you are ready to peel and stick them after printing, they are easier to peel off of the backing (the slick sheet that they come on) than other brands are. It's true -- they have simply removed a little bit of paper between each column of labels so that you can fold back the backing paper and easily grasp the edge of each label.If you find existing labels easy to peel off, as I do, there's no reason to get these labels. But if you have to handle hundreds or thousands of labels in a row, the little extra convenience may be worth it.I rated them 4 stars rather than 5 stars only because there is nothing amazing about them.",4,They work just fine.,1280102400,"07 26, 2010",Aaron Contorer,0.3216
3,ABC68JUCPTVOE,B00006B8FZ,"[0, 0]","I've used a lot of these labels by different brands. The generic ones seem to have thinner paper, and lack the nice easy peel edge these have. Two brand-name labels are my favorite, and these are one of them. The price either way is the same, and buying in the big box saves money if you use many of these.Like:- Quality paper; adhesive stays to paper, not backing.- Easy peel edge. Tried some without this feature, and really missed it. We use these many at a time so any time saver is huge.- Value. 3000 labels makes them near a penny each.",5,Brand name quality..,1279584000,"07 20, 2010",A. Fabbri afabbri,0.1201
4,A35LFO0F2ROTNG,B00006B8FZ,"[0, 0]","These are quality labels and in all my time using them I've never had one jam nor smudge (as advertised). However I never have had a problem with my labels jamming or smudging so I don't necessarily see how these specific labels are superior in any sense from other, possibly even off-brand labels.",4,Nothing special,1287619200,"10 21, 2010",Alex Dodd,0.1012
5,A288MRRRSGH1H4,B00006B8FZ,"[0, 0]","These labels are the same that you'll be able to get in any big office box store, but cost much less! There's not much to say about them - they're exactly as you would get in any other store.",5,Cheaper than the store!,1361404800,"02 21, 2013",Alyson Lex,0.0
6,A2UTU1T0P7YTSG,B00006B8FZ,"[0, 0]","These easy peel labels really are easier to peel. I bought these as a replacement to some generic Office Depot brand labels, and these Avery brand labels are worth the additional money. The labels print much more clearly, print easier, and are easier to peel.",5,The Best 5160 Labels,1297987200,"02 18, 2011",Amazon Addict,0.5923
7,A3LMPD1ZQTWOC4,B00006B8FZ,"[0, 0]","My company uses over 50,000 of stickers of this size a year so I have quite a bit of experience with them. These stickers are top quality in every respect. They print very well and maintain what was printed on them without smudging or other problems. The easy peel aspect is very nice and does help with efficiency in applying sticker.The only problem these stickers have for us is that they are not permanent application stickers. The adhesive on these creates a reasonably strong bond, but will pull off. It appears they are designed to do this. I know that some people want to be able to remove their stickers later and for those type of people these stickers would be perfect. However, in our particular use we need the stickers to not be removable and thus these are not perfect for us. You will have to judge for yourself how this would affect you.",4,"Great stickers, but not permanent.",1280361600,"07 29, 2010",AmazonLover,0.2104
8,A1P2XYD265YE21,B00006B8FZ,"[7, 9]","I love labels, or anything that makes life easier. I am very organized, both at work and at home. Labels make things so much more convenient and quicker.I love these labels. They don't necessarily have to be used with a printer - they can be written on. And the reason I say this, is because these labels are for Laser Printers, and I have ink jet printers. Therefore, I can still use these, because I can write on them rather than running them through the printer.There are a variety of uses for labels. In addition to addresses, files, and other office reasons, they can be used for jars, boxes, etc.Awesome product.",5,Labels Make Life Easier,1281139200,"08 7, 2010",Andrea Readaholic,0.2039
9,A253X5E4L0DM0W,B00006B8FZ,"[0, 0]","You know when you are buying an Avery product, that it is going to work great and be compatible for most types of software.",4,Great labels,1362268800,"03 3, 2013",Andrew,0.6249
10,A1HFT68GJ42LTM,B00006B8FZ,"[0, 0]","I like Avery poducts. These are no exception. High quality and perform as expected. It should be obvious from the size, but these are not the biggest labels. If you are going to be printing out a lot of labels in bigger font, like say for wedding invitations, then I would choose a bigger label. I'm not comfortable with inkjet generated labels since they are susceptible to water dissolving the ink... for important letters, I like to stick with laser printed ones (or use ballpoint pen).",5,Typical Avery quality which is good,1282176000,"08 19, 2010",AverageGuyShopper,0.0965
11,A2HMF8ZR67BNZS,B00006B8FZ,"[0, 0]","I love the Avery line of products and have been using for years. I juts ran out of a competitors labels and ordered these Avery labels. I can now see that the quality of the imprinting is much better on the Avery than with the proviso product and I noted I only saved a few cents difference between the two. I have gone back to the Avery labels. They are crisp, pull from their backing easily and stick to the envelopes.The only thing that is not user friendly is some of the templates that Avery has on line. They are time consuming and frankly I would rather find an alternative software as they are too hard to manipulate.",5,Another Great Avery Product,1366761600,"04 24, 2013",Bill A. Belt,0.1987
12,A1PR0BIKB9O63L,B00006B8FZ,"[0, 0]","The Avery 5160 labels have been around forever, but these have been improved. Easier to pull off the backing sheet - particularly the first label of the sheet.",5,Improved Avery Labels,1387238400,"12 17, 2013",Blue Lou Blue Lou,0.5357
13,A1U6XG3OMP5S62,B00006B8FZ,"[2, 2]","Avery has always been good to work with, The background is always very bright white. If your printer is good, they never fail giving a clear great contrast. I have started to use P-Touch which is much faster. However if you don't have a label maker such as P-Touch then this is the label paper for you. User friendly and most word processors have it built into there data base for your use.",4,Very Good,1323907200,"12 15, 2011",B. Payne,0.4213
14,A2UTLQ8SE3W4ZJ,B00006B8FZ,"[0, 0]","I've used Avery Labels for many years for my Christmas cards. They work good on either my inkjet when I want color, or my laser jet. There is a template on Microsoft Word (Avery 5160)that makes creating the labels very easy. The size is just enough for name and address. There is no room to add Clip Art. You would have to use a larger label if you wanted to add let's say a Christmas Tree or a Snowman picture. Now that I have these labels, I add a little sticker next to the name to make it look more festive and it looks like its part of the label so it's fine. Also, there are so many labels (3000) in the box, that I usually give them away because after a few years they lose their sticking ability and become useless. Overall I like the Avery labels and feel confident they're going to stick to the envelope.",5,Lots of Labels,1350604800,"10 19, 2012",Carol M,0.2041
15,A2FEM4XI55SY0W,B00006B8FZ,"[0, 0]","Avery makes TrueBlock labels (coated so that they block out anything underneath the label) that I really love, so I decided to try these regular white labels too.The labels are perfectly fine. They print well with no smudges. Easy Peel is accurate - they are quite easy to remove from the sheet. Compared to the Trueblock labels I usually use though, they seem a little thinner and weaker. But they're great for everyday use when you don't need any coverage.",4,nice serviceable labels,1282262400,"08 20, 2010",Charlyn Gee,0.3777
16,A317G6H6Q0EPNK,B00006B8FZ,"[0, 0]","Like every Avery paper product I've ever used in the last 25 years (a whole lot), they are superior in terms of fit, function and finish. The thought of an Avery label jamming up my printer is non-existent. While it's always possible to get cheaper labels, let's just say you'll get what you pay for with Avery. Not to mention you can really save a bundle by purchasing them on Amazon, as compared to any in-person stationary type store.",5,Avery or nothing!,1385942400,"12 2, 2013",Chris Underwood,0.3377
17,A3M5WT0X6QN0Z6,B00006B8FZ,"[1, 2]","Always arrive well packaged and on time. Frankly, though, I liked their previous design better. These are not easier to peel than the previous design Avery had, but I can still use them.",3,Avery Easy Peel Mailing Labels,1299024000,"03 2, 2011",CJ Handyman,0.2648
18,A10ZFE6YE0UHW8,B00006B8FZ,"[0, 0]","Side-by-side comparison:3M Address Labelsare just as good. Go for the best price.I've used Avery and 3M labels for years.The 3M have the same easy-peel layout with different laughable slogans.The 3M package claims Permanent Adhesive and Strong Stick. The Avery stick just as well, or almost as well.I have not tried the less expensiveMaco Address Labels.I find the 1 x 2-5/8 size is big enough if you use size 9 font (Arial). I get up to 38 characters per line x 5 lines.",4,Avery vs. 3M,1283299200,"09 1, 2010",C. MacPhail,0.3852
19,A2K4WOSH37GSW6,B00006B8FZ,"[0, 0]","I have used Avery labels for years and always find that they are exceptional. These labels glide through the printer, are easy to peel and use. The only issue I have is they sometimes smear if the weather is damp (I use them to print labels for trips to Ecuador where the climate is very damp). Overall though, I have to give them 5-stars. Avery always works well and is of exceptional quality.",5,Great Product,1381708800,"10 14, 2013",Compute,0.0705
20,A2RQOO8VYAEZZG,B00006B8FZ,"[0, 0]","These are the standard size/weight address labels. There's really not any way to make these exciting, but then again, do you really want excitement from an address label? These are exactly what you expect, and I have to say I really do prefer the name brand labels to the office store brands. They just seem to feed & stick more reliably.These feed easily in both the drawer and tray of my laser printer, peel cleanly (the non-label backing is already off the waxy paper, so removing them from the backing is super easy.I also really like that the label/template number is printed right on the label so you don't have to hunt down the package to generate the appropriate template. Finally, I like the box. It's sturdy corrugated with a flip-top lid so the lid won't go astray and the labels stay in the box, even if it's sideways on as shelf.Mine came with a sample of note tabs, a nice extra bonus.",5,"Clean feed, good stick, easy peel, nice box",1283644800,"09 5, 2010",Cupcake,0.4671
21,A11L5M4MJP00UW,B00006B8FZ,"[0, 0]","You just about can't beat Avery for quality labels. Templates for their labels easily available on their website, although I was a little annoyed that they required a name and e-mail address in order to download the template, even though they promised not to share the information. The acid test for any labels is whether or not they are going to peel off inside your printer, jamming and/or causing damage. Avery obviously knows adhesives well because these are firmly enough affixed to the backing sheet so that they don't jam or peel off and yet are easy to peel off when you are ready to use them. These are a bit too large for return address labels, but would work for that. Best suited for the address of the person you are sending to. They are big enough for most addresses, although seem to be a little small for longer addresses. You can do 5 lines with a 10-point font and probably around 30 characters per line (depending on whether you use all caps or lower case too). This would accommodate all but the longest addresses. It's a little smaller than what I like, but still quite readable. I wouldn't want to go any smaller. If addresses are shorter, you can use a bigger font. I would have liked these a little wider than the 2 5/8 inches, but if they were any wider, a third less labels would be on each page. They really squeeze the maximum number (30) on an 8 1/2 x 11 sheet without any wasted space.",5,Avery Is the Best,1280707200,"08 2, 2010",David L Hutchins Music Lover,0.114
22,AE12AEJFCOGGY,B00006B8FZ,"[0, 1]","Avery makes excellent labels that do what they claim. They're high-quality and stick to what you put them on -- in this case, packages or envelopes. These have the added advantage of having what the company calls TrueBlock Technology -- which basically means that they block out the old address, allowing you to reuse the packaging materials. This is a great, eco-friendly solution. I'm taking away one star because they're harder to use in the printer than they should be. It's always a trick figuring out which way to orient the sheet and get it set up to print properly. Granted, part of that is my own fault. But these should be easier to use. However, overall it's a fine product.",5,Good labels do the job,1292457600,"12 16, 2010",David Montgomery Book Critic,0.1823
23,A11XT24G3PZ8CQ,B00006B8FZ,"[0, 0]","These standard mailing labels (5160) come 30 labels to the page, and 100 sheets to the box. The easy peel feature makes for a really nice improvement over past generations of printable labels. Reusing a single sheet several times to print different labels did not cause any printer jams or smudges. These are premium labels at value prices.",5,AVERY EASY PEEL WHITE MAILING LABELS 1 x 2-5/8 Inches - Really nice premium labels,1280534400,"07 31, 2010",Dean Redfern,0.2977
24,A23GFTVIETX7DS,B00006B8FZ,"[12, 13]","I've been using Avery 5160 return address labels for years, so I was interested in how the Easy Peel differed from the older ones I still had. When I took the first sheet out of the box, I was immediately concerned about the weight of the backing; the sheets seemed much flimsier than those I had remaining in my old box, a choice obviously made in the interest of the pop-up edges. Once I printed a sheet of both and compared the labels themselves, they seemed comparable. However, a couple of issues emerged: it was slightly more difficult to manually insert a sheet of the Easy Peel so that the labels lined up correctly because the sheets were more likely to bow, and printed labels stored in a file folder were more likely to catch and come off when pulled in and out. Despite this, these labels maintain the Avery quality the company has been known for, and they stick well and completely to envelopes. Note: these labels are for laser printers, not for inkjets.The Easy Peel feature is only marginally better than the old style, which I never found difficult to remove. Here, you fold the sheet along each row, and a small portion of the labels' ends pop up. It definitely can save time if you're doing a lot of mailing/labeling; however, most people won't care. I appreciated the feed arrows since I always forget which end should be up when feeding manually. I printed ten sheets out of the box, in rapid succession, and other than the lining up issue noted above, every sheet came out smoothly and perfectly printed.Although Microsoft Word has the necessary template for these labels in its project gallery, buyers can also get the correct template at the Avery website (address supplied on the box).I've used several different brands of mailing labels, and I always come back to Avery. Despite the lighter backing of these labels to enable the Easy Peel, the labels themselves maintain the same high quality. I just wish the ease of removal could be combined with a slightly heavier/stiffer backing. Five stars for the label quality, three stars for the Easy Peel design.-- Debbie Lee Wesselmann",4,Avery Laser Labels -- Always Dependable,1280361600,"07 29, 2010",Debbie Lee Wesselmann,0.3751
25,A3HQAPXAJV7PRX,B00006B8FZ,"[0, 0]","I'm notorious for using things for purposes they were not intended for, and these labels are no exception. I don't use them as mailing labels.When this big box of 3,000 labels arrived, I immediately pulled off a few of the labels and stuck them to the top and smooth side (vertically) of a half-pint canning jar and onto a ziplock bag and put them in the freezer. A day later, the labels were still adhering well, and yet they were not a complete pain to get off. (Try pulling the label off dry, and if it doesn't come right off, it will come off after a soak in dishwater.) So now I can print out sheets of labels like 08/2010 Tomato Sauce or 2010 Okra Seeds and have them handy for when I'm canning, freezing, and dehydrating all my garden produce and saving seeds for next season. I put up a LOT of food. Also, I can quickly write and stick eat-by dates on anything in the fridge.Labels for canning jars cost a lot of money. These are just the ticket, and I can print whatever info onto them that I need. They will work at room temperature, in the fridge, or in the freezer, and there are lots and lots of them. Just what I needed!",5,"Okay, another unorthodox product review...",1280361600,"07 29, 2010",Diane Kistner,0.0183
26,AH7FWHWAXMBPG,B00006B8FZ,"[0, 0]","Like all Avery labels I have tried, these work great. Print smoothly through the printer without jamming or sticking. I print individual labels and reuse the sheet again and they still work great. Highly recommended.",5,Work great,1355961600,"12 20, 2012",Digigirl,0.4154
27,A3KZCNV1N8R9GC,B00006B8FZ,"[0, 0]","These are great labels which work as expected.Pros:-No jams in my inkjet or laser-Easy to peel and stick on envelopes-Nice white colorCons:-None that I can see.There's not a whole lot to say here, these are labels that print well and don't jam. Peel and stick is great. Buy one, buy ten!",5,Quality Labels,1283558400,"09 4, 2010",diljs,0.4533
28,ATFBVUXDIRXT6,B00006B8FZ,"[0, 0]","These labels work great for labeling reloaded ammo boxes. I basically run them through my laser printer to print a basic template that includes: date, bullet, bullet weight, over-all length, powder, and powder charge. Then, after I finish with a reloading session, I just use a pen to fill in the blanks and then stick a label onto each box.These labels have just the right amount of 'stickiness' to hold tightly to a plastic ammo box - while still being removable without leaving any residue or sticky mess behind. After I empty each box, I just peel the sticker off and the box is ready to go again.I realize that this specific use probably isn't interesting to everyone, but it seems like these labels could be applied in a similar way to lots of different organizing tasks.Since a single sheet of labels can last me several weeks, I like that these labels stay stuck to the printer backing and don't come off before I'm ready to use them. Fortunately, the labels are still easy to peel off the backing sheet because of an exposed pop-up edge for each label - it's a pretty ingenious setup.Finally, for those of you who are using these as mailing labels, I've found that the glue is nearly permanent when applied to paper envelopes - so no worries there.Overall, I'm completely satisfied with this product and I highly recommend them.",5,Great for reloading data,1279843200,"07 23, 2010",D. Matheny,0.3982
29,A1ZBEIL78MLR9Z,B00006B8FZ,"[0, 0]","I use a lot of labels to print scannable barcodes, I have tried some other brands with 1/3 of the price I pay for the Avery brand, but the quality was not good, plus the paper was too glossy, I had a lot of complaints about the labels that can not be read by the scanner, had to switch back to Avery labels and all the complaints disappeared.",5,Perfect labels for barcodes.,1280448000,"07 30, 2010",Doffod Bookworm,-0.9146
30,A1SHHQSPOWR00F,B00006B8FZ,"[0, 0]","This was received via the Vine Program. These classic white labels are the perfect size for addressing standard sized business envelopes (#10 size). Great for return address too. They're big enough for about 4 lines of text at 12 pt type. Plus these labels integrate automatically with the labels tool that comes with Microsoft Word (Tools > Letters and Mailings > Envelopes and Labels). You even can print one label at a time, instead of a whole sheet. Just choose the row and position of the desired single label when using the tool.Avery has added some perforation to the backside of the sheet (not through the label, but the paper sheet that the label is on). It makes it easier to peel a single label off, although I never have had a problem with this before).Frankly, it's so much easier to print to labels than to run a thick envelope through my printer, I seldom print directly to an envelope anymore.The only issue I could see is if you want your labels to be the same color as your envelope, then you may want Avery clear labels.3,000 Compulabel 370056 Clear Matte Address Labels (Use Avery 5660 Template)The labels in this product listing are white.",5,Classic labels for addressing #10 envelopes,1280102400,"07 26, 2010",E --,0.2721
31,AW2BZYHG2MGSN,B00006B8FZ,"[0, 0]","Excellent labels. Expecially like the Easy-Peel feature. These labels say Laser but will also work in an inkject printer. Only problem I had was in aligning them using OpenOffice.org's label-making software. Took a little bit of time to get it right. But ,that is my own fault. The labels are designed with Microsoft Word/Works Avery templates in mind and worked great under borth.",5,Avery & 3M Always Make the Grade,1289952000,"11 17, 2010",Emmanuel Goldstein,0.0866
