,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A3GN5AKTOU4ROG,B00004YVBA,"[0, 0]",Arrived in good condition and as advertised.I gave a couple of Swiss Army Knives to airmen I know so they would have them if they were deployed.,5,Arrived in good condition and as advertised.,1287792000,"10 23, 2010",,0.4404
1,A31H0N1UPQP62A,B00004YVBA,"[0, 0]","It's a swiss army and it's just as good as any I've ever owned, I can't really figure out what to do with the one sharp daggerlike thing that comes straight out of the side, or the hook for that matter, but it's still a great bottle opener, knife, pair of scissors, and corkscrew",5,It's a swiss army.,1204848000,"03 7, 2008",,0.8442
2,AMGE7WSAJP34N,B00004YVBA,"[0, 0]","Swiss Army knives really are one of the few products that I have nothing negative to say about. They are well built, durable, and useful. This particular knife has a good set of tools, but is small enough to carry in your pocket without being a pain in the buttocks. In my opinion, both Victorinox and Wenger knives are top notch.",5,and useful. This particular knife has a good set of ...,1405123200,"07 12, 2014",,0.486
3,A3UOSNSYF9F9PV,B00004YVBA,"[0, 0]","I've been buying a collection of the SAKs from Amazon, but this one I bought from Target when I was in the store. Mine's the SilverTech version and it looks really cool. The Climber is exactly the same knife as the Super Tinker, except the Climber has the corkscrew and the Super Tinker has the Phillips. I own both models, and am I'm torn between the two. I used to think I couldn't live without the Phillips and had no use for the corkscrew, but my opinion is changing slightly. They're both terrific, but lately I've been favoring models with the corkscrew over the Phillips and here's why:- The dedicated Phillips screw driver is a bit redundant because the can opener tip works well for Phillips screws.- More often than not I find the dedicated Phillips tip too large for most of the Phillips screws I come across.- The corkscrew can be a 2-in-1 tool, since it can house the mini screw driver.- Since there's already a usable Phillips tip on the can opener, having the Climber with the corkscrew provides two more tools than the Super Tinker with the Phillips.- Lastly, in the rare occasion I've used the Super Tinker's Phillips on deck screws, sometimes such larger screws require more torque, which requires more pressure on the tool, and I've had the Phillips collapse on my finger. Ouch! Other SAK models which have the square-shaft Phillips on the END of the knife (as opposed to the center) work much better for heavy duty use. But that center-mounted Phillips makes me just want to get a regular screw driver.I love both models though, and if you're really that torn over which model to get, why not just get both? I would welcome any comments and perspectives regarding your opinion on the Phillips vs. the Corkscrew.Thanks for reading my review.Cheers!",5,The Climber SilverTech - it's sweet!,1404777600,"07 8, 2014",Amazon Vinny,0.331
4,A2L3R2YNQ5UL9J,B00004YVBA,"[1, 1]","I've carried a Victorinox Swiss Climber for over 30 years. I've lost a couple, and that's the story with this purchase. I lost one I had been carrying for about 5 years.Still, hands down, the best multitool to carry around the world with you.",5,McGuyver Special,1334188800,"04 12, 2012",Andrew Aceves,0.0407
5,A2OEZIIK61GDW0,B00004YVBA,"[0, 0]","This is a great design for EDC in polite company, when you don't want to pull out a red knife! It is amazing that a 125 year old company is still coming up with something new and really in tune with the times.A little thinner than my usual Explorer, with everything important, lacking only the magnifying glass and Phillips screwdriver.I always have to say that Victorinox is definitely THE brand of Quality for SAK's. Their factory-original blades last longer than Wenger, and much longer than ****ty Chinese knock-offs, most of which are nearly impossible to resharpen.",5,Cool Tech,1361750400,"02 25, 2013",California Doug,0.4803
6,A4O13NRQHSNTZ,B00004YVBA,"[0, 0]","it has everything a person can us in its daily activites and besides that is cheap, it cuts, open cans do everything",5,great tool,1370131200,"06 2, 2013",jose arturo,-0.296
7,A10HZAN3Q7M7KI,B00004YVBA,"[0, 0]","This is a great pocket knife and multitool. As long as you know what you want from a multitool, this will make you happy. It's a good size while still having plenty of functionality.",5,Great Product,1389139200,"01 8, 2014",Matthew E. Winland,0.5592
8,A3U1NLCVPFM3KV,B00004YVBA,"[1, 1]","The blades are really, really sharp, compared to the (at least) 20-year-old well-worn Wenger this replaced when the Wenger was lost somewhere. This one has a few more tricks, so it's a bit fatter. Not sure I needed them, but there they are. I like having a knife and a corkscrew around. The screwdriver blades are rarely useful, the scissor a bit more useful once-in-a-while. The hook? Oy. I do like the hole punch-reamer belt-hole maker thing. There's a toothpick I'll lose, also the pretty much useless tweezers. Take the cost of these things, spread it out over however many years they last... good deal.",5,Good ol' Swiss Army Knife,1317427200,"10 1, 2011",M. Frobisher,0.0473
9,A4Y8MPXJ35Y7R,B00004YVBA,"[0, 0]",&#34;Was&#34; a GREAT knife and I really enjoyed using it. Opened many bottles of wine on the road! I say &#34;was&#34; however because I forgot that I had it in my backpack and it was confiscated when going through the security line at &#34;Fiumicino &#8211; Leonardo da Vinci International Airport&#34; My bad...smile...it has since been replaced!,5,Victorinox Original Swiss Army Climber Pocket Knife (Red),1399420800,"05 7, 2014",P. Scaccia CoastRunner,0.4189
