,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,ABA0WK6OP5HFD,B00005BAIB,"[0, 0]","I have tried a few different camping mattress and this one is by far the most comfortable that I have tried. I would even rather sleep on this instead of a full blown Aerobed. I am 5' 8&#34; / 170 lbs. Not sure how this would work for anyone significantly bigger.This is ideal car camping, ie: not backing. I wouldn't want to rely on this if I am out in the woods far from civilization for several days. There is only one continuous chamber and if you spring just one leak, you would be totally out of luck. Other backpacking mattresses typically seem to have multiple chambers or some foam inside that could help get you through if there was a single leak. Have to say this one is much more comfortable though.Pros:* Very comfortable.* Not very heavy.* Blue top material feels more comfortable than straight smooth vinyl* Little built in pillow is a nice touch... although probably will still bring a small pillow to be more comfortable.* Did I say.... VERY COMFORTABLE.Cons:* No carrying case, but they never advertised it came with one so not taking a star away for that.* Takes a little while to blow up and doesn't come with any sort of pump to help. Took me about 4 minutes and getting light headed to blow it up.* Might not be suitable for extended use &#34;out in the wild&#34;.",4,Very comfortable mattress for car camping at a ridiculously low price!,1405468800,"07 16, 2014",,0.1985
1,A26IWTA23EXIOB,B00005BAIB,"[0, 0]","I ordered this mattress because of the price, weight, and size. I was looking for something small and it worked pretty well. By morning the mattress was needing a little more air and got soft. It didn't loose so much air that I was on the ground so I was perfectly OK with it.",4,Great for the price,1370390400,"06 5, 2013",Amazon Customer,0.3757
2,A3SBF9762Y7SQ0,B00005BAIB,"[0, 0]","Haven't used it yet at the campground, but tested it at home and works fine. Use a toothpick to hold the valve open so you can deflate it easily. If you sit on it and your butt just touches the ground, your at the right pressure.For the price, I would recommend it for occasional use. If your a hard core camper you may want a name brand. It suits my needs perfectly.",4,Good value,1402012800,"06 6, 2014",Anthony,0.3217
3,AT0O3TN2GYZT5,B00005BAIB,"[0, 0]","I needed a couple of beds to lay side by side in a 2 man tent, and these worked perfectly. Measurements were spot on. The texture of the bed does catch a little bit of fuzz, but cleans easily.",5,Good beds for a 2 man tent,1341619200,"07 7, 2012",C. A. Rake,0.3712
4,A19W90TLTRQRQB,B00005BAIB,"[1, 1]",I'm convinced that these mattresses have the wrong type of valve. It has a small nipple and after you inflate the mattress you push in on it to retract the valve back inside of the mattress. The valve is just like the valve is on a cheap beach ball.One other thing I didn't like was the size. The add say's it's 26.5 wide but when you blow it up it's less which makes for too tiny of a mattress if you're using it for sleep instead of a water floatation raft.I had bought several of these for camping and returned them all and replaced them with the same companies ( INTEX ) extra wide mattresses. The valves on the extra wide are totally different. They're made with a hard vinyl valve that's recessed into a hard vinyl pocket. The valve is made so when you put air in it won't come out. It has a stop on the inside if the valve that's like a flap that closes when air starts to escape. To deflate you just unscrew the valve and it deflates in seconds.I would highly recommend ( anyone interested in a great quality mattress ) the INTEX extra wide. Only 6 dollars more.,2,Won't hold air because of an inferior valve,1374451200,"07 22, 2013",cookie5240,0.0907
5,AAHZ6JPL2S8YA,B00005BAIB,"[3, 7]","Since this seems to be a big deal for some people, let me fill you in. I have a Masters of Fine Art. I teach color theory. The topic matters to me more than most. With that in mind, camping gear has yet to be something you can color coordinate. And actually, that's not a big deal. Maybe if you camp in your back yard?When I'm out in the woods, I'm not looking at my site, much less the interior of my tent to see if it's aesthetically pleasing. Seriously? There's nothing sexy about the deuce gear I lugged around in the Marines. However, the fact that I'm still around tells you that it worked pretty dang well.Focus on what matters.",5,Color.,1313539200,"08 17, 2011",Daniel R. Hansen,0.0671
6,AS1WYI4IX1TFD,B00005BAIB,"[0, 0]","We took a pair of these out camping this past weekend. Two twin air mattresses do not fit in our tent, so I would take my ultra light back thermarest and was too thin. So I got this and tried it out on our living room floor. Worked great, so I got my wife one. Its comfortable and doesnt take up a bunch of room.The downside is the valve makes it tough to use pumps. You basically have to either jimmy rig your pump or blow it up manually.. also deflating takes longer than most other sleeping pads.",4,Great for the money and its purpose,1376006400,"08 9, 2013",David Hendrick ~Dave,0.0706
7,A1T2A9EL91ZBR0,B00005BAIB,"[0, 1]","This mattress is too narrow to be comfortable. You fit on it fine but because of the air, I found that it was a balancing act to switch positions. I tried more and less air to no effect. I think if you sleep on your back and stay in that position it would be fine but unfortunately that is not how I sleep. The strong vinyl smell does go away after airing out though.",2,Not comfortable,1388188800,"12 28, 2013",DebJ,0.1338
8,A3BE7Z2Z0E5UGM,B00005BAIB,"[2, 2]","Haven't went camping yet, but have tried it out on the living room floor. The flaw I see in this product is the air valve. You have to squeeze it while inflating or deflating. Makes the two processes more difficult than they need to be. Took 7-10 mins to blow it up, but took just as long or longer to deflate it to pack it away.Air valve aside, it's a good product. I'm 6' 270lbs and the mattress supported me well. Was reasonably comfortable to lay on. Material seems tough enough to hold up to regular use. Overall, good product for the price.EDIT: Just took the thing camping, worked great. Didn't lose any air over night, was comfortable to sleep on. Worth the money.",4,Not bad,1365292800,"04 7, 2013",$ebastian,0.2523
9,A4GFA67FAZ5V1,B00005BAIB,"[7, 9]",Comfortable. Holds air well. Could be wider. Valve must be pinched just right to inflate or deflate. This is a bit of a pain.,3,Lousy valve,1305504000,"05 16, 2011",E. Jones,0.0546
