,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A26HSO6VAFB2V4,9861019731,"[0, 0]",It works perfectly! Nothing is wrong with it.,5,Perfect!,1405209600,"07 13, 2014",,0.521
1,A2N4P35FVAGYAL,9861019731,"[2, 2]","Not sure what you can really write about this item, it works fine... I use it on the Wii to play Gamecube games and it works great and fast, but the Gamecube was always much faster than PS2 anyway...",5,This is what it says it is!,1363737600,"03 20, 2013",desorbod,0.2302
2,A16Z7JMUMLU6ON,9861019731,"[0, 0]","Bought this for an old gamecube i recently won in an auction. Seems to work just fine, purchased a few more since it works and the price is right.",5,"Cheap, worked perfectly with gamecube",1362700800,"03 8, 2013",Erebus,0.3871
3,A3AHDOSQ3VQU3S,9861019731,"[3, 3]","Works great with my game cube. I haven't tried it with a wii, but by the description, it should work there too.",5,Great,1364428800,"03 28, 2013",Gamer4Life,0.3125
4,A2MM9V2CEACVBX,9861019731,"[0, 0]","just right! works great , I' ll be ordering again laters! hope you will still be there then! see you!",5,"thank you for being very fast with sending my memory card to me, greatly apprecieated !",1401321600,"05 29, 2014",GEORGE M. ALLEN JR.,0.2878
5,A2RLQKE9NHSSZB,9861019731,"[3, 4]","This is a great and cheap memory card. It is what it is.....it is compatible for Wii and gamecube its 64 MB 1019 block memory. If you need one , but it.Great product",5,Memory card,1332806400,"03 27, 2012",Ghost,0.0615
6,A1JF5GGQFSGP9Z,9861019731,"[0, 0]",Works great. Cheap price and way more memory than on the Nintendo make. Really great for you retro fans out there.,5,Great,1383868800,"11 8, 2013",Joseph Parker precisionspared,0.428
7,A1TW24PBPQ1GVK,9861019731,"[0, 0]",Works perfectly for the game cube I purchased. Came very quickly and i would buy this again when i need to.,5,Works as said,1393459200,"02 27, 2014",K.Karmo kkarmo,0.3185
8,A33RIK3KNAO5UO,9861019731,"[0, 0]",One of the largest memory cards for the gamecube. It works great and loads fast. No need for formatting at all.,5,great!,1371513600,"06 18, 2013",Lisa Marie Potts Gamer Girl,0.1096
9,A1C0SOX7DPXY65,9861019731,"[0, 0]","My lady dug out her kids old gamecube and games and started playing her old favorite Harvest Moon titles. She quickly discovered the memory card wasn't there anymore when she couldn't save her games. So in search I went.I was surprised to find these were still available and not too expensive. This one does the trick, has room for quite a few saves. She is happy, so I am happy.",4,Memory when you need it,1380153600,"09 26, 2013",M. Jobbagy Follow Your Bliss - Joseph Cambell,0.2397
10,A23QG3Y6FZEZO6,9861019731,"[0, 0]",This thing was DOA. It wasn't even worth returning for the money I spent on it. Don't waste your money on this card.,1,Broke,1375920000,"08 8, 2013",nillapoet,-0.1536
11,A37PWD86XPYJ4B,9861019731,"[0, 0]",This allows me to preserve whatever precious space I have left on my console for other stuff. I may purchase another one in the near future.,4,Good Card...,1363824000,"03 21, 2013",Original Daddy Phantom,0.2859
12,A3C9HGVHE9I5VA,9861019731,"[0, 0]","I bought this because I recently bought a gamecube for old times sake. This memory card works great, and was one of the cheaper cards.",5,Works great!,1395619200,"03 24, 2014",Shin Gelatao,0.3125
