,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A3OU09O34BC73,B00000I1BF,"[0, 0]","classic game for the ps1. i love it and it still makes me smile like it did when i was a kid. the new verisions cant compare to the original! whether you are a 90s child trying to relive your childhood or want to share it with the new generation, you will have hours of fun with everyone's favorite purple dragon",5,so fun!!,1405209600,"07 13, 2014",,0.515
1,ANLC4FX4QK23V,B00000I1BF,"[0, 0]","I was feeling nostalgic so I bought this game along with a few others to relive my childhood. It's as much fun as I remember! There's always plenty to do, from finishing levels to completing timed flight races. Even if you beat the final boss in the game, you can keep playing to collect all the gems and find all the dragons. Once you do that, you get to open up new content! Even at 100% complete, there's STILL more to do, not to mention the replayability of the game is superb. Definitely worth the buy!",5,Blast from the past!,1371427200,"06 17, 2013",,0.3014
2,A1LBAC84TLIGAX,B00000I1BF,"[0, 0]","I'm very reluctant to try the new Spyro game for PS2, or to buy the Spyro games available for Xbox because Spyro games have stooped to such a low quality I'm afraid to play them. But for the old Spyro games on PSone I have no fears because these ones were developed by Insomniac (Ratchet and Clank, Resistance: Fall of Man), the studio that made the good ones, but sadly no longer makes them. The story is about how Spyro has to rescue all of the dragons who have been imprisoned in crystal cocoons by Nasty Nork. The gameplay functions very well for an old platformer, and never really gives you much trouble because of how smoothly it handles. The flight mechanic works well, but you can't use it all the time. The graphics look nice for the time, but are feeble by today's standards. The environments are bright and colorful and still have a great feel to them. You will spend your time defeating lots of enemies, rescuing your dragon friends, collecting jewels, finding hidden locations, getting health by letting your dragon fly buddy eat butterflies, and have a lot of fun doing all this. As much as this might sound terrible to some gamers, it's actually not repetitive and boring, but in reality a lot of fun. The biggest flaw of the entire game is the camera. The camera is a bit difficult to handle, and will unfortunately cause a few cheap deaths. Also, this game in some ways feels a bit too easy because within a twenty minute period I located 14 dragons. Plus this game simply isn't as fun as it's sequels Ripto's Revenge or Year of the Dragon. But this game is too much fun to really complain about, and I can guarantee no matter what demographic of gaming you fall in you will have a lot of fun on Spyro's PSone adventures.",4,"STILL LOTS OF FUN, A PLATFORMING CLASSIC 8 OUT OF 10",1205625600,"03 16, 2008",ACEMAN1 HERE TO PISS YOU OFF,0.0831
3,A2N1C9JKI2C5XD,B00000I1BF,"[0, 0]","A wonderful game, and I believe that it is a lot better than the second. In the second the graphics are solid, but the bad guys aren't the greatest bad guys and plus the levels look alike. Anyways, in this game you'll jump off prehistoric glaciers, face giant enemies, glide across cliffs and free enslaved Dragons, and collect gems and treasure. Sure, some parts of this game is a little frustrating, and sure, the camera angles are a bit awkward, but you get used to it and get the hang of it. It's a lot like RP games, where the first time you play it, it is incredibly hard, but once you beat it, you'll play it hundreds of times. I must have beat this game atleast thirty times. Probably forty. Anyways, buy it. It's worth your money. The graphics are fluid and spectacular, and at times this game can have some humor in it. It's worth the money, believe me.",5,A great game.,1022976000,"06 2, 2002",An amazon visitor,0.1186
4,AE203EP4EE7XI,B00000I1BF,"[0, 0]",Great fun game I still enjoyed playing 10 years later. I got it at a great price too. Definitely buy this.,5,Great Game,1391040000,"01 30, 2014",AnayaPapaya,0.6456
5,A2582KMXLK2P06,B00000I1BF,"[3, 3]","Spyro the Dragon: the game that SHOULD have been Sony's mascot instead of Crash Bandicoot.The original Spyro the Dragon is probably the best platform/adventure game you can find for the Playstation. I can't give Spyro's first adventure a 5-star rating, though. Let's get the problems out of the way before moving on to the positive things about Spyro (and believe me, there's a LOT of good things about this game).People have compared Spyro the Dragon to everything from Crash Bandicoot to Banjo-Kazooie to Nights, and... who knows what else. Well, I think the first Spyro game is JUST as good as all those games. In fact, Spyro the Dragon is better than the first Crash Bandicoot game. Now THERE'S a game that disappointed me. Spyro came out of nowhere and RULED right from the beginning. I never would have guessed back in 1998 that Spyro would have went on to become a classic.Spyro's debut does have a few problems, though. Seeing as how this is Spyro's very first adventure I won't be TOO harsh. Am I the only one who thinks the play control could have been better? It's not that I have a tough time controlling Spyro. Well, to be honest, I DID have trouble controlling him at first. Spyro doesn't QUITE take off when you hit up, down, left or right on the directional pad. There's a split second delay before moving forward. Maybe the creators of the game thought this was part of the realism since, after all, you're moving a DRAGON. A BIG creature like a dragon won't move forward right away. Then again, Spyro is small compared to the dragons you have to rescue.Controlling Spyro was definitely a problem for me at first. For example, attempting to properly jump on top of the three round platforms you encounter at the very beginning of the first world was NOT an easy task. I kept sliding off. By the way, I recommend you take advantage of these round platforms to get to know the controller. Master the controller before exploring the world. This will cut down on any possible frustration you may encounter in the future.I have to consider that my inability to control Spyro may have been due to the camera angles. Even though the camera in this game is *drastically* better than many other games, you have to admit it isn't flawless either. If you hit Pause and go to the options, you will see an option for a second camera view called active. This view is better because the camera immediately follows behind Spyro at ALL times. The other (default) camera view is more of a hassle trying to figure out where you're moving, and you can't get a good view of what lies ahead. You may want to change it to active if the other camera view is difficult for you. Thank goodness for this option!Some people have a problem with the lack of challenge. While it's completely true you won't have much trouble making it to the end of any stage in the game, prepare to die 4 or 5 times in each stage before you understand exactly what you have to do, and where you have to jump. I think the most challenging thing about Spyro the Dragon are the times you have to jump onto a far-away platform, and many times you just BARELY make it. Many times you will fall to your death. Be patient, though. The game NEVER messes with you by throwing in any impossible jumps. Sometimes it's about finding *just* the right spot to jump and glide, and if you're off just a *little bit* you won't make it. The creators of Spyro are smart not to make the game frustrating, seeing as how it's supposed to be a game for the entire family. Good work.The biggest challenge comes at the very end of the game when you face the main boss. He's really easy to beat, however, GETTING to him is a whole other story. You see, right at the very end before you face him, you have to jump over a series of disappearing platforms and if you fall (and you WILL fall the first few times because it's hard) you will land in burning lava and have to do the whole stage over again. Not that the stage is really that long anyway, but this is by FAR the hardest part of the game. The other 99% of the game only offers a slight challenge here and there.With that said, don't be fooled into thinking the game will be a cakewalk because of all the easy obstacles found throughout World One. It DOES get harder. You see, many of the enemies you face in the later levels can only be defeated by either smacking them with your head, or shooting fire at them. You won't know which of these tricks will be most effective on them until you face the enemy and experiment. You also have to dodge fireballs, sword-swipes, dogs jumping at you, and tons of other enemy attacks WHILE you try to find the best way to defeat them. So it's not pathetically easy after all.A minor complaint is that sometimes while you're walking or running, the path will suddenly end, and you'll fall to your death. Doesn't happen often, but I thought it would be worth mentioning.I hate the way Spyro talks. He sounds like a bratty teenage rebel with a nasally voice. Not exactly what a dragons voice should sound like. Also, when you rescue the dragons, sometimes they say important things you might want to pay attention to. The problem here is that many times the important tips they say aren't really helpful because they say them right AFTER you've already had to do them! For instance, in one case after you glide to a far-away platform and rescue a dragon, the dragon will tell you how to glide. Obviously, since I needed to glide in order to rescue him, I already KNOW how to glide! So I didn't NEED his help! This happens a few times during the game. You just want to scream Thanks for nothing, bonehead!The music was done by a member of the rock band the Police, Stewart Copeland. People may not realize it, but certain themes in Spyro the Dragon are *very* close to some of the songs that made the Police such a legendary rock band. Stewart Copeland may have intentionally created the music in this game to match that of the Police, specifically the songs walking on the moon and message in a bottle. You'll soon realize that the same guy who created the music in this game also played a big part in creating those Police songs. The music in Spyro the Dragon is also very catchy and appropriate for the level you're in. No complaints. The music is fantastic.I think the creators made a mistake. When you hit L2 the camera rotates clockwise, and R2 makes the camera rotate counter-clockwise. It should be the other way around. Another thing that needs reversed: the way Spyro flies in the bonus stages. When you press up, you fly down. When you press down, you fly up! Strange mistake. This makes it harder to complete the flying stages, however, you don't have to finish them.In fact, despite what people may tell you, you do *not* have to collect ALL the gems and ALL the dragons. Finding and collecting all the gems and dragons will only give you a better percentage and open up a bonus stage at the end of the game. The gameplay in Spyro the Dragon can actually be compared to Yoshi's Island- you don't have to find everything, but doing so will open up rewards and give you an overall better score. The creators did a fantastic job hiding gems and dragons, increasing the challenge. More often than not you will see a treasure chest or a dragon statue up high on a platform and not have a single clue how to reach it. It's fun to run around and think about how to reach it. Some of them are cleverly located. One word to describe it- *awesome*Anyway, Spyro the Dragon is tons of fun and may possibly remind you of a 3D Donkey Kong Country, what with TNT barrels and the jungle levels you encounter later on. Spyro is much better than that overrated Crash Bandicoot game, and you should pick up Spyro the Dragon today.",4,dragon madness!,1155168000,"08 10, 2006",B. E Jackson,0.1026
6,AZ1I54Z8RNW0I,B00000I1BF,"[0, 0]","For those who don't know this is the very first Spyro game. This is such an awesome game.Pros1. The Graphics-Given it is for the PS1 they are a little outdated, but looking back they are comical.2. The Story-The game is engaging and keeps you playing all the time3. The Dialogue-Absolutely funny and genius since [Spoiler Alert!] the reason Gnasty Gnorc (the main villain) freezes the dragons is because the dragons call him ugly.4. There are mini-games you can go back to after beating the game.Cons1. I can't think of any",5,Nostalgia alert!!,1361577600,"02 23, 2013",Comm. John,0.0934
7,A110LZFBUFYWN7,B00000I1BF,"[0, 0]","The is the first Spyro game and it paved the road for all the other Spyro games. The story: When the evil Nasty Norc turns all of the dragons into statues, it's up to Spyro, a small purple dragon, to set them free and defeat Nasty Norc. You travel with Sparx, your dragonfly companion and also your health gage, as you collect gems and go through six gigantic worlds with over 25 levels in all. This game is great, although it's not very challenging, it offers hour of entertainment. My favorite world is the Beast Makers world. It's a creepy place and almost all the levels in it take place at nighttime, which to me is the best type of level in Spyro. My favorite is Tree Tops because it is a gigantic level that gives you that creepy feeling, even the music is creepy in it's own way. Another minor flaw in this game is that it has no mini-games in it. Those always provide extracurricular fun, but I'm happy to say that they are introduced in a later Spyro release. I'd recommend this game today if you don't already have it. If you not into Spyro, this is the place to start at.",4,The Origin of Spyro,1098748800,"10 26, 2004",Cumulonimbus Harpe samsmylife,0.2339
8,AD7IBJCYSJ9EE,B00000I1BF,"[0, 0]","Ah, Spyro! Released in 1998 for the PS1, Spyro is the first entry of many. [Although, only the first three were any good, because the newer ones were owned by an poor company.]Graphics: 9/10: Horrible by today's standards, but very good by 1998 standards. Colorful and clear old-school 3-D graphics.Music:10/10: Pretty catchy, nothing really grinds on your ears.Sound: 8/10: Pretty good.Gameplay:9.5/10: You control Spyro, the PO'd dragon, through many worlds. There he must collect gems, rescue dragons, fight enimies, bosses, and other dangers, and also use his trademark flame and charge moves. This game is a bit easy, but it's very entartaining.The game costs about 10$ about now, so buy it!",5,4.5 stars! Classic!,1103241600,"12 17, 2004",Destitute,0.1712
9,A1EZMV5DSWU8TU,B00000I1BF,"[7, 7]","I have recently come across this wonderful little game that is just absolutely perfect for darklings, seemingly tailor-made.First of all, the flow of the 3D graphics are quite realistic. The character is an adorable baby dragon, with all the mannerisms of what a baby dragon might be, as if the creators modeled him from puppies & kittens, which is probably what they did.So little Spyro is set to explore in his homeland, where he derives sustainance from sheep, & questing for gems & treasures, perusing into archways & temples, & fending off sheepherders armed with staves. The Satanic implications are obvious. A dragon insinerating sheep for food...? Sheepherders protecting their sheep? Predator vs. prey...In certain situations, such as when killing a charging ram, smashing into walls, giants attacking, you will note the joystick vibrate, thereby making the gaming experience a bit more tactile.So the player is Spyro the Dragon, helped along with the advice of ancestors. It is remarkable how noble these mentors are, their voices echoing their arcane wisdom unto their young.In travelling, we also embark into Stone Creek, & the more aesthetically-pleasing Dark Hollow, where new creatures wander to be defeated, & more treasures to be plundered. Bit by bit, little Spyro learns to glide, then eventually fly.Gaming tip: Avoid water!",5,Dracling amusement,1118275200,"06 9, 2005",Draconis Blackthorne,0.1564
