,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A3JZ898Q8XXL6K,1400532655,"[0, 0]",Not worth saving a few bucks. Go with an iPad.,1,Not user friendly. Very time consuming to find your downloads,1405296000,"07 14, 2014",,-0.0848
1,A23C0R77ZP9Z84,1400532655,"[1, 22]","An eReader without e-ink? Really?eReaders are devices dedicated to reading, and thus the main inconvenience they should avoid is eye-strain.By introducing a backlit eBook, B&N; removed the key point of eReaders.If you need a device that has a backlit screen (and can afford a $283 device), why wouldn't you pay the extra $200 to get an iPad, which does the job much more efficiently?Please, correct me if I'm wrong, because I really don't get the point of this device.Thanks.",3,Why Would You Want To Do That?,1298505600,"02 24, 2011",Aeon,-0.2973
2,A1FNHDWSN2KA0G,1400532655,"[11, 15]","I knew about the NOOK Color even before it was released and I was really excited about this ereader, because I own a Kindle 3 and I'm part of the customers that think that it could offer more things and be more en par with the future. The NOOK Color has many features that appealed to me like touchscreen, vivid view technology, brightness adjustments, really nice web browser and mp3 player, etc. So I decided to order one with BlueProton cause they ship it to Canada, and I paid 60 dollars more than the actual price at B&N; and expedited shipping taxes on top of that. I didn't care, I just wanted my NC cause honestly I'm just tired of buying AAA batteries for my Clip light to read my Kindle 3 in bed. I noticed I never read in bright sunlight, I'm an indoors type of reader and I also like to browse while I read, mostly wikipedia and google and the Kindle we browser is primitive.Anyways, I got the NC promptly, I was super excited, but then I tried to transfer my epub books to it and noticed that my computer didn't recognize the unit's drive. Nothing popped. I had my iphone and my kindle plugged in and they were right there. I went to a friend's house and nothing popped on his computer either. A third try at a different laptop and same thing: nada. I went back home and kept trying and all of a sudden I started seeing smoke coming out of the USB port and a smell of burned toast. Really strong. I knew that unit was gone and that freaked me out. Everything else worked perfectly, but the USB was pooched. I returned it and they were very professional about it, but said that they found nothing wrong with the device. I bet they just reset it and tested ome of the features without actually testing its hardware. Anyways, I said I didn't want that unit back. Now here I am, with no Nook Color, nobody else sends it to Canada. I'm contacting friends in the US so I can send it to them, buying it straight from B&N; and then they can mail it to me. It's just weird that at this day and age we still can't have items shipped internationally, even when we're willing to pay more money for that luxury.Now I'm again using my Kindle like crazy, since it's all I got and it never fails. But I'm still gonna buy the NC no matter what. I just don't know if I'll sell my Kindle 3 in the future or keep it because it has sentimental value now, hehe.I think that for 249 US dollars, the NC is the best e-reader in the market. Right now the Kindle still leads and the iPad is coming strong, but 2011 will be the year the Nook Color will establish itself as a great competitor for these other two. If Amazon doesn't come up with a color Kindle with touchscreen, I strongly believe they will be the Betamax and VHS of the 2000s. But I really like the Kindle and if they came up with something like a reader's tablet, I would use it instead of using B&N;'s. However, that still hasn't happened and Jeff Bezos says he doesn't want that to happen just now. So I'll purchase a Nook Color and be happy with it.",3,Great device but why not ship it to Canada?,1292457600,"12 16, 2010",Alex Tamulis,0.246
3,AA2SVPVU0LQTK,1400532655,"[3, 3]",My daughter wanted one of these for a while and after all her friends got them for Christmas we bought her one. She uses it all the time and reads so much more now then before. I hate having to pay for books she could just get from the library but our library now offers free books for the Nook that you can check out digitally for 2 weeks with no fees. Now we get all sorts of books for it for free. So happy with our purchase.,5,My tween loves it,1308355200,"06 18, 2011",AlysiaRocks,0.3249
4,A2RFNIOYR9YO69,1400532655,"[0, 0]","I bought the color Nook for a family member for Christmas. If I didn't already have the iPad and prefer Apple products, I would have purchased one of these for myself. I think it makes a much more user friendly product than Android tablets, and the price is good. Combine a good product at a great price with an already large library available from Barnes & Noble, and you have a real competitor to the iPad and Kindle.",5,High quality e-reader iPad alternative,1346889600,"09 6, 2012",Amazon Addict Infinite wishlist,0.406
5,A37E5KVAKOZFVS,1400532655,"[11, 11]","I have been working on my fiction writing skills, and wanted an eBook reader so that I could read a variety of other novels to learn from them. The Kindle is a great device, but I really wanted a color screen. The iPad would have been a nice option, but was a bit expensive for my taste and a bit too large. The myriad Android tablets on the market don't seem to get great reviews, though I suspect that will start to change once Android 3.0 is available.The Nook Color was a nice alternative. Priced a little higher than some of the no-name Asian tablets, but far less than the iPad. It supports multi-touch, has a decent color display, and the ability to insert micro SD cards into a slot near the loop on the bottom.Because it supports both ePub and PDF out of the box, you can find a nice selection of books to download (legally) on the web and read on the device without additional investment. The Barnes and Noble site also offers a limited, but growing, selection of electronic books (both free and for-a-price). If you get tired of reading, you can use the built-in WiFi and browser to surf the web. You can also play a couple of the built-in games, with the promise of more coming in a future update from Barnes and Noble.My only complaints so far about the device are that the far edges of the touchscreen seem a little unresponsive, the micro-USB connector is a non-standard type that seems to require use of the proprietary cable. The connector on the device itself seems to make poor contact with that cable, which makes it difficult or impossible to read on the device while it's charging.Apart from that, battery life has been really good. I rarely have to plug it in before I am finished reading for the day.The built-in web browser works well, displaying pretty much any web site that an iPad or Android phone can handle.The WiFi seems to find and hold on to signals well, and I don't recall it dropping a connection so far.If you take the time to learn how to root the device, you can add the Android Market to it and many apps (like the Kindle app) work very nicely on it. This gives you the best of both worlds in a sense... The ability to buy eBooks from Amazon and Barnes and Noble, while keeping your color display.As far as eye strain goes, I work at computers 8 or more hours a day on the job and more when I get home. I find the Nook's display easy to read for hours at a time and don't feel that my eyes are any more strained than when I read a printed paper book. But your mileage may vary. If e-Ink works better for you, the Kindle is a great alternative.I like the ability to highlight parts of the books I'm reading, take notes inside the book as I read (e.g., to highlight particularly good dialogue, characterization, description, etc., as a writer), and to post updates to Twitter and Facebook about your progress through a book.All in all, this was my favorite 2010 Christmas gift and has (for me) eliminated any desire to own an iPad or any other eBook reader.",4,Very nice eReader with tablet functionality,1298073600,"02 19, 2011",Amazon Customer,0.3504
6,A2WFBRX9R0D84U,1400532655,"[3, 3]","I have had my new Nook Color for about 24 hours so here are my early impressions:Pro: good quality, good color, responsive to light touch, connects easily to WiFi, good eMail service, easy access to Barnes & Noble eBooks. Very B & N friendly. Very good battery charge life.Con: Lousy quick setup guide (more like an advertisement), Only responds to finger touch (I prefer a screen that accepts stylus touch. I have large hands and fingers). Lousy speakers (but I expected that) I Haven't been able to download movies from Netflix, I'll keep working on that. Connection to Netflix was the main reason for buying the Nook Color. Difficult to download other products. No night time screen. On line manual (>100 pages) is almost useless.This is my second tablet in the last month. The first was a PanDigital Novel which I returned because it was an Android 2.0 and had limited capabilities and no access to Netflix. AND TERRIBLE CUSTOMER SERVICE (NONE). There is a B & N store 10 minutes from whre I live. In the past I have spoken to the folks there and they seem very knowledgeable. I will visit them again with my list of questions. I'll do an update to this in a couple of weeks.Update. Raised my rating to a 5 *. I found out I needed to do a software update (from 1.3 to 1.4.1) in order to get NETFLIX. The nice man at the B & N store did this for me in about 6 minutes. I now get NETFLIX with very good reception. At this time I really don't care about additional apps. Everything I think I will ever want is in the NOOK Color now. E-Mail in and out. Downloads books from the Public Library in seconds. Internet browsing ok. eBay access is ok. Bought a game for $0.99 just to check out my B & N account. Easy. NETFLIX was easy to set up. Battery charge lasts longer than anticpated. The software upgrade has made the device overall more user friendly. The only complaint I still have is that I can't use a stylus. Maybe I can exchange my fingers for a smaller set. NOT SORRY I BOUGHT THIS GADGET. Also, good quality and GREAT customer support.",5,Nook Color OK,1324598400,"12 23, 2011",Amazon Customer,0.094
7,A23EN1JWF1RQ1N,1400532655,"[2, 3]","I didn't buy this to be an e reader but as a small tablet PC, and I was rather surprised with how well it works. I'm using it much more than I thought I would. Most of the time I use an aftermarket Android OS (CyanogenMod) booting off a micro SD, there's no need to root or jail break the stock firmware to do this. With the aftermarket firmware, it also has Bluetooth, the micro USB can be used as a host USB with an adapter or USB gender changer, and it will charge the battery while plugged in to a PC's USB, normally it will only charge with the wall charger.My biggest complaint with the stock firmware is B&N;'s app store, the apps are fairly pricey, apps that are free elsewhere you have to pay for, there are a few free apps from B&N; but not many. With the aftermarket firmware I'm using the Amazon app market, much better selection and prices.Cons: The sound is about what I expected, fairly poor, but is greatly improved by using an amplified external speaker. The micro SD slot is in a very poor location making it very difficult to insert and remove, it's located under a hinged cover behind the loop in the lower left corner, it's well protected there, just not easy to access. Don't expect to watch streamed HD video, however, sites like YouTube work fine.Despite the cons, I give 5 stars, I think it's a great value, I have been very pleased with it.",5,Better than expected.,1321660800,"11 19, 2011",Andrew W Gross,0.2266
8,A4YAXWNMWYY0K,1400532655,"[15, 25]","I bought this product used from a coworker's daughter who was phenomenally underwhelmed by it. It is heavy and slippery. The capacitive touch is not perfect, and the narrow metal rim of the screen ensures one ends up touching the screen and changing things inadvertently. There is only one option for a page turn; lefties beware. The battery life is far shorter than the time necessary to read a medium length book, and the plug-in is at the bottom of the unit. Since the cable is specific to the NC, I hated to risk bending/breaking it as I can imagine it is pricey to replace so plugging in the unit usually meant it was time to put the unit down for a LONG time while it recharged. I traveled with this unit, and it did not get me from one airport to the next on a charge. A lot of the ebooks I own are in .pdb format, which B&N sells, but the NC does not read. I was having problems with the unit not doing the motion side-turn and read thingy, and B&N pretty well ignored me. The local manager reminded me that used units are no longer subject to help. (The concept of the unit being less than 4 months old when it died, and turned on twice before I bought it, didn't bear any weight.) A local computer repair guy charged me $60 for absolutely no help at all; apparently the NC is far too complicated for anyone but a B&N repair person which never bodes well. Now the unit, fully charged, will not turn on at all; again, no help at the forum. Since for $40 more one can buy a ViewSonic gTablet with 10 Multi-Touch LCD Screen, Android OS 2.2 and download reading apps for it, I'd say forget the Nook Color.",1,Asolutely the most expensive paperweight I own,1302998400,"04 17, 2011",Aryn M,-0.2
9,A13VF2IKG8W3K8,1400532655,"[5, 16]","I bought it for my PDF library and to surf the net on the go. It turns out that it won't read non-western/latin pdf documents, unless: a word document transformed into a pdf.",3,PDF Issues,1290556800,"11 24, 2010",Badis Guessaier Ben,0.0
