,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,AUTNL9E3MTR4M,1400698987,"[0, 0]","perfect, as described Thank you",5,Five Stars,1405555200,"07 17, 2014",,0.7351
1,A1A92O8IVVHW3Q,1400698987,"[0, 1]","Great Product Great Sale, I just Love this product, and my children will too I want one for myself this is suppose to be their christmas gift but I want one now.",5,"Great Product, Great Sale",1385424000,"11 26, 2013",2Blessed4Stress Angel,0.85
2,A3LDPF5FMB782Z,1400698987,"[0, 0]","The Nook HD is a great $100 book reader. It is sometimes on sale for even less at Barnes & Noble stores.It is NOT an Apple Ipad, but it will let you check email, surf the internet, listen to music on Pandora or watch movies on Netflix.Barnes & Noble stores have free classes to teach you how to use your Nook and most have an expert in the store every day to answer questions.An owner's manual is provided in the Nook's preloaded library. Work through the manual page by page to learn all of its features.Add a 32gb or 64gb memory card and carry your favorite movies on vacation.",4,Great $100 Book Reader,1392854400,"02 20, 2014",Alan Houston,0.657
3,A3IYSOTP3HA77N,1400698987,"[2, 4]",It's a fine tablet. The screen is excellent. The speakers are very good. The interface is a little clunky but easy to use. It does just what I want it to do and it does it well.,5,It was just what I hoped it was.,1379462400,"09 18, 2013",Amazon Customer barryem,0.4284
4,A1XTQULERNAFQ,1400698987,"[2, 4]",I couldn't have asked for a better product! I upgraded from the Nook Color to the HD and I am super happy!!!,5,Great product!,1368576000,"05 15, 2013",Amazon Customer,0.4467
5,A3NAJLO81N0SEY,1400698987,"[0, 1]",I had to put generic Android on it because Barnes and Noble had it so hamstrung. Should have gone with the new 7&#34; Nexus. No built in GPS turned out to be a major lack.,2,Not great,1391472000,"02 4, 2014",Andrew D. Goetsch Old Guy,-0.042
6,A34ZFS8Z5ISLQR,1400698987,"[0, 0]","I am already a kindle owner and I love my kindle. The kindle does have some limitations, most especially in the handling of pdfs. The kindle does not annotate and curate highlighted text of pdf's you upload. This is where I found the Nook HD more useful, apart from the fact that it gives you full access to the Play Store. In handling big pdf's, the Nook HD is slow and the highlighting of scanned pdf's is not very smooth. I really tried to love the Nook but did not and so I did not use it beyond the first month. I will not recommend the Nook. If your goal is the android store, just get a nexus tablet and download B&N app. It is cheap and works much better than the Nook.",2,Feels Ancient,1404259200,"07 2, 2014",Angel Book Reader book reviewer,0.21
7,A13X3KB8XPS0ZX,1400698987,"[0, 4]","When attempting to live chat with their customer service, I was ignored 3 times where the other agent never responded and then the chat timed out, and had the session terminated 3 times for some unknown reason right after their standard it's not really broken response was written. All because I wanted to know why my the touch screen on my nook stopped responding to input.Then I called and was literally cussed (f word) at a minute in for asking about what was wrong with their live chat. Maybe I was just really unlucky and the person I talked to was angry or planning on quitting or something, but I still find it unacceptable.Seriously, go with a kindle or something else instead. Amazon's customer service has always been well above average for me.",1,Customer service is the worst that I have ever encountered,1393372800,"02 26, 2014",azezal,-0.1258
8,A35SB5XA89HR41,1400698987,"[38, 42]","I had given my kids a Nook Color a couple years ago. Sold it last fall and got 1 girl a Kindle Fire 2nd gen, and the other a Lenovo A2107. The Lenovo was absolutely horrid so I wanted to replace it. This summer, when the Nook HD got Google Play, and the prices fell, I sold the Lenovo and got my daughter the Nook HD 16gb Snow. She absolutely loves it! I liked it so much, I got the Nook HD 8gb for myself. I like it much better than my Kindle Fire HD. The size is smaller, and thinner, and lighter, which are great things. And you can put whatever wallpaper you want on it, unlike the Fire HD.I sold the 2nd gen Kindle Fire and gave the other daughter the Fire HD, but she has since switched to a Nook also (HD+). So now I have the Fire HD and the Nook HD for myself. I like the Nook HD better for the reasons stated above. Size and weight are so much smaller on the Nook HD. The screen resolution is also better. There is nothing I don't like about the Nook HD. I did put a GreatShield Glare Screen protector on the Nooks, to reduce the shiny glare. We use them without cases, just sleeves. They are phenomenal tablets.If you or the person you are buying for loves to play games and will likely download hundreds of them, definitely get the 16gb Nook HD. You will want as much space for apps as you can afford, despite the SD card slot. Games have to be installed to internal memory, for the most part. The SD card slot comes in handy for books, movies, photos and music. I got the 8 gb Nook HD for myself, because I don't play games, the only apps I need are for reading, playing music, news, web, stuff like that. I put my files on the SD card and I am set!I don't plan to buy the new Fires when they come out. They are far too limited, in my opinion. (So was the Nook, of course, until they added Google Play). I have ADW Launcher on all three of the Nooks, though my daughters tend to prefer the standard Nook launcher. What shows up on that home page can be customized to show only what you want it to show. There is also an app drawer icon that shows the most recently opened apps for easy launching. It really is a great design, and far superior to the tiresome carousel on the Kindle Fires.",5,We LOVE the NOOK HD!,1379203200,"09 15, 2013",bookloveranne booklover6,0.1704
9,A1U8BMNVUVNXW7,1400698987,"[0, 0]",I bought this for a friend who studies programming using e-books while he's at work (repairing cars) - and he loves it.,5,Excellent,1393372800,"02 26, 2014",Clyde L. Wilson,0.7845
