,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A383XURHVF8ON6,B00000J6JO,"[0, 0]","The main benefit of this putting mat is the ball return, which works well and is very convenient (definitely helps keep visiting kids entertained!). The downside is the green fabric putting mat itself, it is difficult to smooth out which means each time we roll it up to store it, the next time we bring it out we have to smooth it out all over again which is an annoyance. Also, the overall cheap look to the background and the stickers over the hazards. Everything but the ball return is cheap, so the $40 price tag is a little steep, I think I'd view it more favorably at $30.",3,Worth it for the ball return only,1405296000,"07 14, 2014",,0.2021
1,AP6L54VTCJKCQ,B00000J6JO,"[0, 0]","This set is good for the office - and if you have carpet, it would help if you attach some velcro at the ends to make the mat straight. Otherwise the mat is my biggest complaint - it does not straighten out enough. The return mechanism is pretty good, the unit itself feels fairly cheap. My 7 and 10 year olds enjoy it, even set some obstacles to make the course more interesting.As far as using it in the office, I had a few bosses who like to &#34;practice&#34; at the office, and this would be a winner for a birthday gift.",3,Nice if you have an office,1404604800,"07 6, 2014",Ardeal Emi,0.5144
2,A3JPFWKS83R49V,B00000J6JO,"[0, 0]","Golf is one sport for which there is always room for improvement. And one of the areas where many struggle is putting. Getting the grip, the aim, the stroke, and everything else just right takes time and effort and Club Champ is here to help with the task.With this Club Champ product, you get nine feet of putting area to practice and improve your skill. The carpet comes folded and it can take time to work out the creases, but once flattened you are ready to grab a golf ball, your favorite putter, and start practicing.Probably the best feature of this Club Champ product is the ball return. It works well and continuously sends the ball back to you. I like that I can stand in one place and putt the ball over and over again. This makes it nice not just for putting practice, but also for kids who can entertain themselves without much frustration.It&#8217;s cool to have a way to practice one&#8217;s putting, but there are problems with this product that lead me to lower my rating. The biggest issue I have is with the construction. It is made about as cheaply as possible, apparently for maximum profits. And yes, the design, with its sticker &#8220;traps&#8221; for sand and water and its background of trees is silly. But it&#8217;s the construction that bothers me the most. With repeated use, it&#8217;s only a matter of time until the putting green tears or something breaks.My overall opinion of this Club Champ product is average overall. I was torn between 2 and 3 stars, but I will go ahead and give it 3 because it does succeed at what it was intended to do: Help you practice putting and returning the ball so that you won&#8217;t have to chase it down. Take away the ball return feature and it would lose its appeal, but as it stands, it&#8217;s acceptable enough to earn a slight recommendation.",3,Stand in Place and Putt Away!,1404864000,"07 9, 2014",Bryan Carey Bryan Carey,0.2852
3,ACL0T7X1THPAV,B00000J6JO,"[0, 0]","There's not much good to say about this item, other than it can give you some temporary entertainment before it goes into a closet. The 9' rug that's attached is folded rather than rolled, so I am still waiting after 2 days for the folds to level out into a flat surface. The little flag stick does not stand up in the hole behind the cup. The plastic base is very thin and could easily be ruined with one step or fall onto it. The ball return does not always return the ball, so you have to fiddle with it from time to time to get the ball to pop out. There are 'no batteries required' because you must be within a few feet of a wall outlet to plug it in.I used to have something similar in the 80s that was made of thicker plastic and was just the tray and ball return - you would putt across your carpet or hard floor, so I get the idea. But this one just isn't worth the money if you want it for more than just a novelty toy. As an alternative if you are more serious about putting practice indoors, I reviewed theSKLZ Vari-Break Putting Course, which has better carpet and some foam 'breaks' you can put under it, although it has no ball return or backstop.",2,Cheaply made toy,1401753600,"06 3, 2014",Bryan Cass Bee Ry Boogy,-0.0365
4,A1AZ1NXGGP6LDX,B00000J6JO,"[1, 2]",This was a fun product. Used to practice your putting. It can be used indoor or outdoor. Hope to use this for a long time.,4,Putting Mat,1401148800,"05 27, 2014",Christine Parker Love to Read,0.2378
5,ACJT8MUC0LRF0,B00000J6JO,"[0, 0]","We had a lot of fun playing with the Putt 'N Hazzard, but I don't believe that it would work well for any kind of serious practice. Most of the successful putting that went on could be more attributed to luck more than anything else. The grass was somewhat wrinkled and took a while to settle down. Everyone had to get used to the eccentricities of the Putt 'N Hazzard, which ended up being more of a hazard than anything else.Ellie Mae, the cat, had more fun than anyone as she tried to catch the golf ball when it was returned. That is when it decided it would return. More often than not it would get stuck and sit until someone tapped it with the putter. The background of the Putt 'N Hazard is a hologram, but nothing that will hold up if it's hit frequently. The sand and water hazards would catch the ball readily and would guide the golf ball into the chute.The return was never consistent and that's where I feel it would be frustrating if any of us were going to use it for practice. As a form of entertainment, it was fun, but was soon put aside. I don't think I'd recommend it for practice because of the totally inconsistent ball return. For entertainment, maybe, but only if you have a lot of money to throw around. It's a so-so type of product, but with limitations.",3,"The Putt 'N Hazard was fun, but the ball return was totally inconsistent ...",1401235200,"05 28, 2014",D. Fowler,0.1338
6,A1GCZ07XRJX858,B00000J6JO,"[2, 3]","It is a length of turf-type mat with a plastic assembly that has the hole, and two traps (one colored blue for water and one colored tan for sand). All three lead into the automatic ball return that works sometimes and sometimes it doesn't.The mat comes folded up so it has creases that can give you a rolling green affect that is totally unrealistic. I haven't found a way to get those creases totally out and I've had it flat on the floor for over a week.This will add nothing to your putting game other than having a some-time ball return for playing around. The whole apparatus seems cheaply made and I can think of a lot of other things I would rather have for the cost of this.Here's the measure of this device: my wife has never played golf, even the miniature variety. She tried eight putts, making six of them. Then she asked what else does it do? I said Nothing. She sat down. I moved it into another room against the wall. 'Nuf said.Not horrible. Not great. Two stars plus one for the ball return (when it works);.This will be used by our grandkids - until they become bored with it, too.",3,Pretty much a yawner.,1401840000,"06 4, 2014",Dick Johnson,-0.1151
7,A5CDMTW6JKV5G,B00000J6JO,"[0, 0]","My daughter is qualified to play in the Junior Golf World Championship and she uses putting greens like this to practice at home. I have 5 different models of these electric return putting greens and in my observation, it seems like they are all very similar in quality and construction. The speed on all of them are a little slow, and the plastic is a little cheap and thin. But they do work as far as getting some practice on the tempo and direction of your putt. For the price it is being sold, it is a good deal. Please do not try to compare this to the quality of putting greens 5 times its price. If you want to get one that is an excellent and accurate analog of a real green, expect to pay that much more.I have the professional type of putting which I had ordered and it cost me $230 for almost the same dimension as this, and it did not come with an electric ball return.",5,Good for practicing your technique,1404518400,"07 5, 2014",Dr. Wilfredo M. Viray Wally,0.3508
8,A1TS45JWJVOSSW,B00000J6JO,"[0, 0]","For years we have had putting machines that kick the ball back to you. Great for practice putting when you are bored with everything else. However, putting on your living room carpet is not at all like putting on an undulating green with grass on the course. It is hard to maintain interest for even a avid golfer.The Club Champ Super Sized Electric Putt N' Hazzard Putting Mat changes that dramatically. First off, it comes with carpet of its own similar to what you find on mini-golf courses, so you don't have the irregularities of the house carpet textures. It is about 9 feet long so it gives you an opportunity to truly practice. There are 3 destinations the putted ball can reach...the hole itself, a water hazard (no water), and a sand trap (no sand). If it goes in any of the 3, the ball is kicked back to you, and it comes back with sufficient force to bring it back the full 9' distance.We found that by placing small objects under one or both edges you can make the putting more difficult by requiring the player to take the angles into account so it is not a straight putt any longer. Also, we made the 9' runner into small hills to putt over...all the different layouts made it a fun game for the entire family.It comes with a &#34;&#34;3D&#34; background of trees, is simple to assemble, and high quality materials. No clubs or balls included.Fun game for ages 4 to 94 (our household and relatives who have played this in the last few days).",5,This was a huge hit with the entire family,1400716800,"05 22, 2014",Duane Sparks Duane,0.1478
9,AYB4ELCS5AM8P,B00000J6JO,"[0, 0]","This is a putting mat with a ball return which is very similar to any putting mat I've ever used. It has a length of green which is basically a fuzzy piece of fabric, a slope at the end, 3 features including a ball return. I've seen many of these putting mats and the inexpensive ones are all pretty much the same price and similar features. I suspect this one costs more because of the ball return feature. Others which don't have a return and is simply a piece of green fabric with holes would cost less. At the other end of the spectrum you can buy ones costing thousands of dollars. But I digress. For this price, this is not a bad putting mat. It's got a nice 9ft green, 3 features and the return.",4,Putting mat...,1403395200,"06 22, 2014",John B. Goode JBG,0.1167
