,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A2V1MDBW2NKDHX,B00004SQM9,"[0, 0]","Not a substitute for a proper locker or safe, but an excellent backup and transportation measure. Secure, simple, won't scratch your finish, won't take up unnecessary space. And if you find it easier to remember a few numbers than it is to keep track of a bunch of little keys, this is a must.",5,"Secure, simple, won't scratch your finish, won't take up unnecessary space.",1405209600,"07 13, 2014",,0.5174
1,A2R83M32R8UJ1Z,B00004SQM9,"[2, 3]","this lock is useless on my glock and shotgun and only barely fits very awkwardly on my sig sauer. it does fit on my ruger revolver but barely too. it is bulky and you're better off getting a small lock box instead of this. it may sound good until you try in on and it doesn't fit or barely fit, not to mention it may scratch up the gun. this claims to fit many or most guns but it doesnt fit the popular ones out there like the ones i have. what's worse is that the 3rd digit on the combo gets stuck and is difficult to move. that would totally render this lock totally useless. it doens't fit and if it does fit it would take you forever just to roll the digits over to your code to unlock it! overrated lock.",1,Doesn't fit 3 out of my 4 guns,1348358400,"09 23, 2012",357Magnum,-0.0675
2,A3N26CT3Z7WA6K,B00004SQM9,"[0, 0]","I purchased this trigger lock during the waiting period prior to picking up my rifle, and it actually got to my house before I could bring my gun home. As a father with a young person in the house, safety is PARAMOUNT!!! The instructions were clear enough, but when I mounted the trigger lock on my rifle, there was a fair amount of give, and it was possible to work your fingers in there and get the trigger to pull. I was concerned about this, as doing so would be easier for smaller (read children's) fingers.The lock gets 3 stars because it does make pulling the trigger a lot more inconvenient, even if it isn't foolproof. The combination is programmable and the directions are clear and pretty easy to follow. At this point, keeping the upper and lower detached from each other, and storing the magazine and ammunition in two other separate places keeps the gun from being inadvertently handled or fired by my little man. Oh yeah, the threat of the most severe punishment ever given by a father to a son for handling my rifle without permission or supervision also helps. I don't even know what it would be...and neither of us wants to find out.",3,DOESN'T REALLY FIT MY AR-15,1395619200,"03 24, 2014",A &#34;Billy T.&#34;,-0.0143
3,ALV5YAV61IO1P,B00004SQM9,"[0, 0]",Does exactly what is is supposed to. Fits my S&W 1911 without marring the finish. Well constructed and easy to operate. I needed a hacksaw and a blowtorch to open the package though. This is a great value for 10 smackers.,5,Fits like a glove,1341273600,"07 3, 2012",A Guy,0.2741
4,AIIGK40YPCYZK,B00004SQM9,"[0, 0]","I buy these for all my firearms and they fit them all just fine. It comes with instructions on how to use and set a new combination. It's a very strong and sturdy lock that will defiantly prevent the trigger being pulled when properly installed. For me the only con is that it doesn't perfectly fit my 10/22 carbine, but fits well enough to keep it safe.",5,Feel much safer with these,1354752000,"12 6, 2012",Alex,0.4155
5,A1QOIHVQC5XWCJ,B00004SQM9,"[7, 8]","I've been an NRA Instructor since '94 and I'd like to start by saying that this is a personal opinion and not one reflected by the NRA entity. I am a firm believer that the BEST safety is a well trained and disciplined shooter. I happen to like this product for a few specific uses. When traveling it may be good to have to have an extra layer or margin of security on the trigger. Yes, in some cases a firearm may still be fired with this on, and yes ALL locks are defeatable. BUT if the firearm in question is not going to be in a situation where an individual can fiddle with defeating this lock for a period of time it may be for you. Will it prevent theft? Probably not. Does it hinder use when in a heightened threat level, Yes. I personally like to travel with a steel lock box to stow away a loaded at-the-ready firearm. But depending on an individuals comfort and perceived threat situation this will vary. Once again, this is a personal opinion and hopefully you will take it for what it is...additional information. As far as the build quality and ease of use go it is a very good value for the money that is why I am giving it 5 stars. I know that some reviewers have given it lower due to personal use philosophy which I'm not going to do since that is an individual variable.",5,As an NRA Insrtuctor....,1341100800,"07 1, 2012","A. LOCOCO TDB, LLC.",0.1979
6,A3RK33WAGEWJ8I,B00004SQM9,"[0, 0]",I highly recommend to anyone who wish to secure their firearm. This is a great lock. It fits snugly into the trigger area and will prevent anyone from discharging the firearm.,4,Does the job.,1393459200,"02 27, 2014",Alvin P. David,0.4783
7,AZSDBVZ8XE71L,B00004SQM9,"[0, 0]",I liked this better than a keyed lock because you can literally grab it and run! No need to try and look for a tiny key. In an emergency you want to be able to get to it fast and this way anyone can unlock it- only if they have the combination.I bought a 6pack and my buddy and I split them. Now we both have our guns locked and safe.I let me brother use my gun a little while ago- he called and asked what the code was and I told him... THAT EASY! good thing there was a code and not a key because I had forgot to tell him initially. Would have sucked to go out to the range and not have a key!No lost key or anything- this is a great purchase and I would recommend it over a cable or keyed trigger lock any day!,5,Great purchase! I have on ALL my guns!,1367107200,"04 28, 2013",AmaFan,0.2309
8,A17YPB3JICRUK2,B00004SQM9,"[0, 0]",Great trigger lock. I keep it on my gun at all times. I can get this off in a matter of seconds if I need to.You can change the combination very easily. Well made item. I don't see how you would be able to break this off or open without combination.Keeps your gun safe but ready for quick action if needed. Nuff said.,5,Gun saftey but quick access,1385164800,"11 23, 2013",Amazon Customer StormyJ,0.2785
9,A27F11B2Q2F0GY,B00004SQM9,"[0, 0]",I bought five and four worked well. I have them and depend on them every day. They work fine. The fifth -- oh well! It just didn't work and I didn't care. (Too much).,4,Four out of five's not bad,1322870400,"12 3, 2011",andyj107,0.071
