,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A2WTO0ST2SUUY9,B00000F1GM,"[3, 3]","For those of you who haven't played Super Mario 64, I would like to say on behave of all of us that have, your truly missing out! Super Mario 64 was the very first video game I ever played on my Nintendo 64, so my review could be a little biased, but I just recently replayed the game from start to finish and it still has not lost its touch. It's a game for people that love adventures, puzzles, shooting, and the occasional flying. It never seizes to get old and the graphics are as good as they can get for the Nintendo 64.The object of the game is simple, Bowser has kidnapped Princess Peach, and you, Mario (the greatest Plummer in the world), must save her. Bowser is hiding somewhere in the castle and you must find him by collecting all of the hidden stars scattered throughout various paintings that give Mario his power. To find Bowser, you must climb to the top of the tower. Each floor requires a certain number of stars that have to be collected before you can move on. Every painting that has stars in them are magical paintings that Mario can jump through to transport himself to a different world were he can explore for stars.Overall, I rank the game a 9/10 for its creativity and several different ways it keeps players focused and entertained. The makers of Mario did a fantastic job integrating so many different aspects of gaming, which in turn made it so great. I hope that whoever is reading this can come to their senses and BUY THIS GAME!",5,Super Mario 64 Review,1357776000,"01 10, 2013",,0.4365
1,A1HOVGEE981HS0,B00000F1GM,"[2, 2]","Even though this game is almost 4 years old-it is still one of the best games that the N64 has to offer. Why? Well dear reader I will tell you why. SUPER MARIO 64 is a gaming revolution, it was the game that everyone had to have. It took Mario into a whole new atmosphere. The world that is inside Princess Peach's(aka Princess Toadstool) castle is immense and highly imaginative. Although the graphics may seem a little bit dated(it was a launch game remember that) it is still a sight to see. As far as play control goes, it is a bit difficult to get the hang of moving Mario around, but once you get used to it then controlling Mario is a breeze. In fact it is some of the best playcontrol that a game has to offer. The Super Mario 64 storyline is familiar to Mario fans but at the same time a touch refreshing. Yes Peach is captured but she is being held prisnor in her own castle(in a picture in fact), and one of the funnest parts of the game is hanging out outside. One of my problems is that Luigi is not in the game, in fact no mention of him is made either. Nintendo should have left the Mario Party franchise alone and focused on creating a Super Mario 64 2, but alas they didn't. So if you own a Nintendo 64 and don't have this title, or are thinking of buying a N64, then get Super Mario 64 because it is by far a true gaming experience.",5,Mario Forever,983577600,"03 3, 2001",A. Bennett Will 'vouge' For Food,0.301
2,A2AV2TR28DGSGC,B00000F1GM,"[7, 9]","1996 was a fairly important year in the realm of video gaming. The Super Nintendo Entertainment System dies out in the United States. Diablo comes out for the PC. However, the biggest news is the launch of Nintendo's amazing new system: the Nintendo 64, which was lauded for its beautiful graphics and a brilliant new controller.Two games were released along with the system. There was Pilotwings 64, which was not exactly what was expected, but the other game was called the greatest game of all time (as of 1996, that is, at least in the eyes of critics) by several source. And it really was.The first thing that strikes your eyes is its delicious eye candy. The first thing that pops out at you after the title is Giles Goddard's Mario face. And boy does it look good! But enough with the intro. It's time to see whether the game itself passes the graphics test.Answer? Yes it does. Even after five years, Super Mario 64 is still one of the most beautiful games for Nintendo's crowning glory (speaking from a fanboy's POV.) The character and tree designs are very outdated by today's standards, but the water is still lovely (though surpassed) and some of the brick and stone backgrounds still are the most realistic that I have ever seen. Today the graphics would get a C by reviewers, but back in 1996, this game would get an A+.But who cares how it looks. Let's see how it sounds.The answer? Great! Before 1996, Nintendo fans never had a chance to hear Mario talk, but the first thing that greets you when you turn on the system is a jingle and the words It's-a me, Mario! and Hello! while a remixed version of the classic Mario theme plays in the back. But again, this is only the intro. The question is whether games sounds that good.The answer, naturally, would be even better. Mario comes packed with a large batch of sayings including Mama mia!, Here we go! and Press start to play! Unfortunately, everything else (other than Peach and Bowser) don't talk in anything else other than words. But remember the fact that this is a first generation cartridge game, and if people complain for Zelda, then they shouldn't complain here.The music and sound effects are just divine. Outside the castle, you are greeted with the happy chirping of birds and the roaring of a nearby waterfall. Enter and the cozy castle theme starts playing. Each of the levels come equipped with music that ranges from peaceful to energetic to somber. The Bowser fight music ranges from rock to organ music, and it's all wonderful.Now that the graphics and the sound are out of the way, let's get into the meat of the game: the gameplay.The first thing most people would notice is how different this is from traditional Mario games. There are only 1-Up mushrooms, and the only pipe that appears is in the very beginning. However, Super Mario 64 is 3D, and most of those elements just wouldn't work in a 3D game.The story, according to the manual, is that Peach invites Mario over to the castle for a cake. When Mario reaches the castle, he is greeted with a gruff voice. Wondering what went on, Mario explores the rooms and finds a giant painting where he can jump in. There, he finds himself in a new world, with a giant Bob-Omb on the top. He fights and defeats it (you'll have to do that part yourself) and gets a star. Later, he learns that Bowser has attacked the castle, captured the Princess, stolen the Power Stars, and has sent his army to take over the worlds inside the paintings, then the world itself.Yeah, so it isn't much different from other Mario games, but that's not the point. The point is, there are 120 stars out there (although 70 is need to beat the game, but where's the fun in that?) for you to collect. Your misson to explore 15 worlds to find those 120 stars.Well, instead of having a Super Mario and a Mario like in past Mario games, Mario has 8 life bars. Hitting certain enemies would make him lose 2 life bars, as well falling from semi-high heights. Burning Mario's butt will make him lose 3. Certain other enemies and falling from really high heights will make him lose 4. But don't worry. Coins and water will replenish your health. If you lose all 8 or fall down a pit, you lose a life. But for every 50 coins you get with a star and every 1-Up Mushrooms, you get a life.Your moves include the standard running, punching, butt-stomping, as well as the kick, the long-jump, the wall-kick, the side-somersault, and the backflip. You can also swim! There are three special caps that gives you special abilities. The Flying Cap gives you the ability to fly. The Metal Cap gives you the ability to walk underwater and be immune to enemy. The Vanish Cap gives you the ability to walk through enemies and certain walls. Mario most employ all of those ablities to save the Princess and the world.The Nintendo 64 controller, with its analog stick, makes it possible for Mario to perform the tasks successfully. (Just imagine travelling in a 3D world with a D-pad.) Some people complain about the camera angles and how you have to control them with the C-button. It may be annoying at first, but eventually you'll get used to it, and it'll come naturally, and you'll learn to play with the bad angles.Super Mario 64 not only has good graphics, good sound, and good gameplay, but the fact that it is revolutionary (in that it brings gaming into the 3D world) makes it not only the best game of 1996, but possibly also the best game ever. That's right, even better than Castlevania and Super Metroid.",5,The Game of 1996!,1012348800,"01 30, 2002",ajnrules ajnrules,0.2108
3,A33H0SEGSPYNJS,B00000F1GM,"[0, 0]","Super Mario 64 is a great game and is what I would call the best platforming game of all time.PROS+ Memorable music and imaginative courses.+ Game play is always straightforward and never confusing.+ 120 stars to collect for long playing time.+ Graphics were great back when it was made, and is not painful to look at now.CONS- While this game does have replay value, you aren't compelled to play again after you beat it. Give it a while and you will definitely want to play again.This game was not too hard for me, and I beat it when I was in the single-digits as a child. That given, it shouldn't be too hard for any age. Buy this game now if you haven't ever played it, since it is one of those video games you have to beat.",5,An old game that is still fun today.,1263254400,"01 12, 2010",Al Corby Nate,0.3707
4,A2ZP4PRR6VT6ZG,B00000F1GM,"[0, 2]","I only bought a N64 recently, but played it numerous times at friends houses. I've already got a PS2 with 38 games, and 6 for the N64, and have played god knows how many others but I have to say that Super Mario 64 is on my top 5 list!",5,One of the greatest games ever!,1050364800,"04 15, 2003",Amazon Customer dragon_flame,0.8412
5,AUX16WTCIHM1D,B00000F1GM,"[3, 21]","I recently tried playing this game, and by this point, my N64 is lucky it didn't get chucked out the window. The first few passes through the first few stages were fine, and pretty fun, but the rest of the game ends up being one long, annoying, tedious, impossible, and frustrating chore.To start off, the control just isn't good enough to pull off HALF the things you need to do in this game. There are instances where you must execute specific jumps to get you from point A to point B, but half the time, the controller is non-responsive. Especially when it comes to levels that put you high up, this usually means falling...over and OVER again!To add to this annoyance is the fact that there are no check points. If a level requires you to go to the top of a mountain, and you spend half an hour just getting up there and then you fall, you have to climb the whole thing ALL OVER AGAIN! So if you're like me, and find your self wondering off cliffs every other try because of the awful camera work, you will be playing the same stages over and over with no payoff but one big headache!Now let's talk about the camera. Throughout most of the game, I found my self fighting IT more than I fought Bowser. It's simply impossible to judge distances based on where the camera is facing at any given time. Pressing the C buttons will move it around, but you have to keep perfectly still in order to avoid suddenly gong sideways or backwards. If you are in a stage where there is a time limit or a complicated jump, this can be particularly fatal.Adding to this frustration is the fact that it is incredibly easy to over or under jump! This wouldn't be as much of a problem if it weren't for all the levels which require you to get to the top of things. Again, if you fall once, that's it, you start all over again. If the game designers weren't going to give you any continue points in these levels, why-o-why did they make it SO FRIGGIN' EASY FOR YOU TO FALL!!!???There are plenty of levels and stages in this game, and lots to do in all of them. But by the time I cleared one stage, I really questioned whether or not I wanted to even GO to the next. Finally, after reaching a mere 52 stars, my answer is no.So that's my two cents on this game, I can't beat it, I don't want to beat it. I'd rather go to a Morrissey concert with Kathy Griffin as the opening act than try to play it again. It would me MUCH less annoying than this game!",2,The Most Frustrating Thing ON EARTH!!!,1182902400,"06 27, 2007",Amazon Customer,-0.0192
6,A2N1C9JKI2C5XD,B00000F1GM,"[1, 9]","THIS GAME IS SO EASY THAT IT IS BEYOND BELIEF! and I mean that, too. Some people think that they're the GREATEST nintendo players of all time just because they beat Super Mario on the N64 console. Big deal. This game is incredibly, (AND I MEAN INCREDIBLY) Easy. It's okay, but nowhere as near as good as Zelda. However, if you want a game that's excellent for the N64, get this game. Here's my pros and cons for this highly wonerful and yet laughably easy game:PROS:Wonderful graphics.Addictive gameplay.Every now and then there's puzzles that are mildly challenging.Un-predictableness with the creatures in this game make it fun.CONS:Awkward camera angles.Too easy that you should beat it in about two or one month.Controls are weird and at times confusing.Graphics are good, but at times there are major glitches.This games levels look alike every now and then.The plot sucks. It does. Save the princess and jump through paintings and destroy Bowser. Come on!Bowser bosses are not difficult at all. You can beat all three of them in like less than a day if you try hard enough, (I did it in one day, true story, I SWEAR)And there you go. Hopefully this review helped somebody out.",3,"A great game, wonderful graphics, addictive gameplay, but...",1026172800,"07 9, 2002",An amazon visitor,0.3715
7,A3VU8VZ0JVHOOC,B00000F1GM,"[1, 1]","This game was the premiere launch game for the Nintendo 64 when it premiered and despite the fact that it is only a single played game, pulls off fun gameplay and great graphics. Despite the fact of newer systems like Xbox, PS2, and even Nintendo's own Gamecube, I would still be happy to have this game sitting on my shelf next to games like Red Faction and Halo. This game prved itself showing off the power that the Nintendo 64 had and showed it off to the loyal people who bought one instead of a PS-X and even those who (like me) bought both a Nintendo 64 and a PS-X. But, not to mince words I'll explain the game. You are Mario one of the most well known characters in video game history. You play through this adventure all in 3D. This was one of the true selling factors of this game as it was Mario's first true step into the Third Dimension (Hushed Gasp). But, the game sold great and over time has proved in it's own right that it is a classic.",5,"Classic, Mario truly is Super",1006041600,"11 18, 2001",andrew007_jjj,0.592
8,A1T9PJBFBFKSGD,B00000F1GM,"[1, 1]","Super Mario 64 is a game I've wanted to play for ages. I finally decided to purchase it and I was not disappointed. In my opinion Super Mario 64 is the best in the Mario series and one of the best games ever. This game was a breakthrough in 3Dplatformers and it's easy to see why. The 3D is great for its time and the style is incredible.The game is addictive as well. I would play for hours and hours and wouldn't want to stop, and Super Mario 64 does not get tiresome after you beat it for the first time.The plot is simple, Bowser kidnaps Princess Peach and Mario must save her. But the plot's not important in a video game. The game play is what matters.The game is fast paced and you always have new areas to unlock. Despite not having any other areas to go to outside of Princess Peach's castle there are tons of areas inside. Getting to new areas is simple. You need a certain amount of stars to unlock doors, and unlock enough doors to unlock boss doors. Overall, there are 120 stars in the entire game and I would recommend a guide because of how challenging it is.When battling Bowser in this game, I was disappointed. He's so easy. When I beat him the first time I was surprised how easy he was. It was more difficult getting to Bowser than it was battling him. But all three incredible boss stages that were before the battles are so much fun it makes up for it.There are also hidden items, characters and power ups for Mario to find.Now there are a few problems like any other game that I think are quite frustrating. Mario's controls sometimes are a little tough. His wall jumps have to be so precise and if you mess up you have to do it again and again, and the camera sometimes can be tough to use in certain areas. But, despite these problems it's still a great game.This game is a must own for Mario fans. While yet you must already know this since I'm writing this review thirteen years later. : )Super Mario 64 will always be known as one of the best 3Dplatformers in video game history.",5,Super Mario 64,1253836800,"09 25, 2009",Auburn Niewiadomski,0.2683
9,A1R602SXNGOMJ4,B00000F1GM,"[0, 0]","This game is so much fun. I've always been a big fan of Mario since the beginning. The graphics are great and the sound is pretty good too. There are many different goals to reach in each level. Whether you have to collect coins or stars to open new levels, I know you'll love this game.",4,Hours of Fun!!!,1038441600,"11 28, 2002",A. Vegan,0.4832
