,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A1OYBF92TASIWN,B00000IWYT,"[0, 0]","Wow...the only Game Boy games that even come close to this are probably Mario Golf and Super Mario Bros. DX. The game starts off when you wake up in a bed on Koholint Island, and you must recover your sword and shield. Once you go down to the shore and pick up your sword, an owl tells you that you must wake the Wind Fish, but in order to do that, you need the eight Instruments of the Sirens from the eight levels(Tail Cave, Bottle Grotto, Key Cavern, Angler's Tunnel, Catfish's Maw, Face Shrine, Eagle's Tower, Turtle Rock). In these levels, you pick up a good variety of items. You get the Roc's Feather for jumping, The Power Braclet for picking up rocks, the Pegasus Boots for running really fast, the Flippers for swimming, the Hookshot for clearing long gaps, a more powerful Power Bracelet, a Mirror Shield for reflecting beams, and the Magic Rod for melting ice! But some of these levels have keys, and to get the Slime Key(Level 3) and the Angler Key, you will be running crazy, all across the island. Along with that are other side missions. There is a trading game through the entire game which will lead you getting the Magnifying Lens, and with which you can see a man on the shore, who will trade you whatever is in your B button(Use the shovel) for a fine Boomerang. There are also a good deal of Secret Seashells, and if you get 20, you can get the Level 2 Sword, which can shoot beams at full power! You also get a couple friends along the way. For getting into the second level, you get to walk Bowwow, the big Chain Chomp that lives next to Marin and Tarin. He will eat the poisonous plants in front of the entrance. You can also revive the Flying Rooster, a rooster that you pick up for full flight, so you can get the Bird Key. But never forget the main mission: Wake the Wind Fish. For he is not the only one inside the egg...",5,"By far, the best Game Boy game ever",987379200,"04 16, 2001",,0.1323
1,A2J9AN99ZE5SQ,B00000IWYT,"[1, 1]","The first game of the Zelda series that is made for Gameboy Color, The Legend of Zelda: Links Awakening DX is one of the most memberable Zelda games. This time, Link doesn't have to save the world, but rather himself! While Link is sailing on the ocean, his boat is struck by a lightning bolt, causing his ship to wreck.Tossed about in the water, he lands on an island. But since he has landed on the island, all he can think of is getting off of it! But the only way he can is to awake the Wind Fish by obtaining all the instruments of the Sirens. This game has an excellent game play, and story-line! It is worth every penny!",5,Gameboy has outdone itself this time!,988761600,"05 2, 2001",Adam Robinson (a.k.a Adam Lee),-0.0249
2,A2QEWZDQOHBKCV,B00000IWYT,"[0, 1]","The game arrived early, which was nice. But when I played it, the thing wouldn't save. It played fine, but it's hard to enjoy when you can't save. So I tried to remedy the situation by replacing the battery. However, it just made it worse. So I just decided to take the hit and toss the thing.",2,Currently in the trash,1357516800,"01 7, 2013",Alex Recore,0.0313
3,A2582KMXLK2P06,B00000IWYT,"[0, 0]","The Legend of Zelda: Link's Awakening is quite the impressive game.It basically takes the gameplay of A Link to the Past and combines it with the original NES Legend of Zelda (graphic-wise especially) and creates a fun adventure. You can charge your sword, run with the boots, pick up bushes and do several other things the same way as you did in A Link to the Past.Now, truth be told, A Link to the Past is easily the superior game in comparison because that game does EVERYTHING right.Link's Awakening is basically a watered down version of the same thing with a choppier framerate, less than spectacular graphics, significantly worse music, and even the size of the land is much, much smaller as well. Expect less from an exploration standpoint.However, for anyone craving A Link to the Past's style of gameplay, this is a great continuation of that legendary game. I'm not concerned about the timeline of the series- I just know Link's Awakening came out a couple years after A Link to the Past. Considering this is a Game Boy game however, and that we have to be understanding of a few shortcomings and limitations thanks to the technology at the time, this game is awesome.You have many of the same enemies making a return, along with many of the familiar items that has made the Zelda series such a spectacular source of entertainment. Some of the boss fights in Link's Awakening are fairly clever, and it seems to be a trend for Nintendo (or at least, it used to be) for the boss fights to be downright strange in their Game Boy incarnations compared to their NES and Super NES versions.My only complaint (and the reason I'm not giving Link's Awakening 5 stars) is because the dungeons have their share of boring moments from time to time, especially when it comes to key searching which can be sort of frustrating and uninteresting. Plus the dungeons appear sort of bland and uninspiring more often than not. This is a small complaint, believe me.Also, another tiny complaint (that *doesn't* affect the 4-star rating I'm giving the game) is all the Mario references. You have goombas, bomb ombs, chain chomps, bloopers, cheep cheeps, thwomps... even those cactuses from Super Mario Bros. 2 This is total overkill. If that's not enough, this next part will blow your mind. Wart from Super Mario Bros. 2, Bowser, Yoshi and even Princess Toadstool make appearances in the game! To me, I HATE when two very different games combine the enemies and pretend it's perfectly normal. It's not. I like to pretend the Zelda and Mario worlds are two separate places that should NEVER blend together. *Just* because Nintendo created both of these franchises doesn't mean I like this idea.Also, some of the enemies are sort of lame. You have pink bird creatures that smile, and all the characters seem to have enormous heads. It looks silly. The characters in A Link to the Past are more sensible and presentable.One thing I LOVE is the ability to leap over empty pits, which is probably the most underrated and useful item in the game. Oh, and I LOVE the special triangle item that certain defeated enemies leave behind that increases the strength of your sword for a temporary period of time. It's awesome!The game overall is pretty high on the challenge scale. This is mainly due to the fact you have to be careful how you manage your hearts- you're not given enough of them compared to A Link to the Past. Some of the enemies such as those shielded creatues from Castle 5 can take forever to locate their weak point, and don't even MENTION the huge pain in the rear end that is the worm fight that first appeared in Castle 3 of A Link to the Past. You thought he was annoying in that game, huh? He's back and more annoying than ever here!Overall, pick up A Link to the Past first, then the original Legend of Zelda for the NES, then Link's Awakening.",4,fun time for everyone involved!,1326326400,"01 12, 2012",B. E Jackson,0.1136
4,AVABEJRA8R46K,B00000IWYT,"[1, 4]",This game is good so far but Im having a hard time since I can barley see my gameboy screen. I would recomend this if you have a game boy SP since you can see the screen better. Im trying to find a SP so I can play it better. I wish that you could play GBC games on DS. So try it out if you get the chance. I would probaly raise my rating to 4 stars if I had an SP,3,Good game,1212278400,"06 1, 2008",Bill Lewers Johhnnydog,0.3471
5,A3GKMQFL05Z79K,B00000IWYT,"[2, 2]","Link's Awakening is probably the best Gameboy version of Zelda ever. Although, that is left to ones' opinion....It is in my opinion, however, to be.The game begins with Link waking up in a hut. He is told by the locals that to leave and go back to Hyrule, he must awaken the Wind Fish. It lives inside an egg on top of a nearby mountain and can only be lulled from its' sleep by playing eight magical instruments. You spend your time trying to round up these eight instrumants but, in order to do so, you have to endure varying types of puzzles, traps and enemies. Each puzzle you're faced with has a logical solution, and you'll only come across a few situations that will require you to leave and get new items from the outside. Koholint Island, is big(by Gameboy standards anyhow) - even more so when you consider the hidden underground passageways, dungeons, and waterways so you'll have plenty of exploring to do with alot of secrets to uncover. You'll definitely spend countless hours playing this game.Gameboy Color/Gameboy Advance owners are granted access to an all-new exclusive dungeon(although it isn't required or necessary to complete the game) plus those with a Gameboy printer get a photo scrapbook of Link's adventures that you can copy...hence the DX(deluxe) added at the end of the title of this version.This is one classic that shouldn't be missed. If you've played any of the other Legend of Zelda games, you owe it to yourself to check it out. You don't know what you're missing.",5,Legend of Zelda:Link's Awakening DX.....,1076025600,"02 6, 2004",blackaciddevil,0.1487
6,AXKUY7QPRRB2W,B00000IWYT,"[0, 0]","I have to say that although this game does not include Gannon or Zelda... It is one of my favorite Zelda games. I love the story line, I feel like you get to know the characters much better. It's like playing a book which is how Zelda games, the good ones, tend to feel to me. It carries a message too....I don't wish to spoil it but I will hint that link is in a land of dreams plagued by nightmares. Of the game boy Zelda games, I would recommend this one the most along with minish cap. Even though this is an older one and 2d it still feels more like a 3d one because it pulls you in. It's not too hard but it is a fair challenge (nothing like the originals) and it could be confusing if you don't know anything about Zelda but....for maybe a second Zelda game this is a good choice.",5,One of my favs,1401494400,"05 31, 2014",Bonnie Dreeke,0.4758
7,A2MX4K2Y7VK1U8,B00000IWYT,"[1, 3]","This game is the best game I've ever played for GB. I have the original version, not DX. (If you don't know the difference, DX is in color, but the original is in shades of grey. (I guess there are a couple additions in the DX game. But I repeat, ONLY a COUPLE.)) But, it's still pretty much the same concept. There are plenty of puzzles to keep you thinking, and tons of items. The bosses are pretty hard, and they're a puzzle themselves; you need to find out what method and item you need to use against them. Graphics are good (remember I'm playing the original); they are not exceptional, but good enough that you can clearly see what things are, and there is a lot of detail. The sound is good also; you don't get bogged down in too many sounds at once, but you can hear everything that goes on. If you like action games, this is good for you; but you're going to have to think, so stay away if you don't like puzzles. PUZZLES! Wow, there sure are a lot of them. Some of them are extremely difficult, and just when you think you're going to give up, or cheat off of a walkthrough, you figure it out! Hence, it's not impossible, just difficult. Well, RPG players, have a nice feast!",5,&quot;The Legend of Zelda: Link's Awakening&quot; is awesome!,994636800,"07 9, 2001",Brad,0.2
8,A2UF419CG57T7Q,B00000IWYT,"[5, 6]","I still occasionally start a new game on this game just because I like playing it over and over again. I still cannot believe how much they put into a simple game boy cartridge. I mean this game is HUGE. There are 8 dungeons, a long &quot;trading&quot; sidequest, lots of heart pieces to collect, 20+ sea shells (you only need 20 for the &quot;special&quot; prize, I'll leave that up to you), and lots of mini-quests you must complete before you even enter some dungeons. The story is simple but gets the point across and the graphics are optimized with the Game Boy Color. If you haven't played this game, you're missing out, especially if you're a fan of the Zelda games and/or the game boy. Trust me on this one. I still remember when I first got the black/white version 5 or so years ago and it took me an hour to figure out you could use your shield on the spikey guys, lol. The game's bosses can actually be challenging sometimes which is something I see less and less of nowadays. Once again, buy this game.",5,One of the best Game Boy games ever,979084800,"01 10, 2001",Degamra,0.2915
9,A14GKTYL0UEC0U,B00000IWYT,"[0, 0]","oh my goodness this is a speciality of y son that he likes immensely, very enjoyable and you can get involved in the story by watching",5,zelda,1264809600,"01 30, 2010",Denise Konvicka,0.8399
