,reviewerID,asin,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewerName,Sentiment
0,A20XXTXWF2TCPY,972683275,"[0, 0]","This is a great buy, compared to a $60 or more a retail store.",5,Excelant mount for Tv. Would buy more if I needed them.,1405123200,"07 12, 2014",,0.6249
1,A2IDCSC6NVONIZ,972683275,"[1, 1]",This mount is just what I needed. It is strong and sturdy. It folds almost flat to enable the television to sit square and flat against the wall if desired and extends and rotates for angle turns. A perfect fit as long as you match the correct visa pattern for your television.,5,Perfect,1367280000,"04 30, 2013",2Cents!,0.4069
2,A1EDI0X3GI1SK7,972683275,"[0, 1]","Great deal, easy to mount and it appears to be fairly sturdy. I mounted a 32 in tv on it and it works great.",5,32 In TV Mount,1323993600,"12 16, 2011",AGW,0.7077
3,A3BMUBUC1N77U8,972683275,"[0, 0]",This mount works really well once you get it up and going. Only problem is just the arms are a little goofy getting them all in the right spot. But that's really not too big an issue considering all the different TV's and their mounting hole locations.,4,"Pretty simple, but definitely good!",1385164800,"11 23, 2013",ahoffoss,-0.0212
4,AVRFGGCCCR6QU,972683275,"[3, 4]","This wall mount does everything it's supposed to do. The piece that attaches to the wall isn't overly long, which made it easier to mount the arm in the tight space I needed to mount it in. The only issues I saw was that the joints were VERY tight initially and as we moved the arm around to install it, the joints loosened up to the point where I had to take the included allen wrench and tighten them up again.",4,Fairly good wall mount,1283126400,"08 30, 2010",Alberto Dieguez premiere purchaser of random...,0.1405
5,A3UOSOCRKS3WIH,972683275,"[0, 0]",for the price you just cant beat this item. I bought it for a house I was selling so I could hang some tv and it worked great. Good quality for the price.,5,Cant Beat it!,1368316800,"05 12, 2013",Allen Coberly,0.3551
6,A371ZZ95ZQEIZV,972683275,"[0, 0]","I received the mount, which was well packaged for shipping. The installation instructions were Moderately clear. No issues following them, they were just a little disjointed depending on the wall surface you were installing on.My shipment had a mis-cut piece, and was missing 4 screws. I contacted the Manufacturer, and they shipped me a replacement part and screws the very next day (Shipped out of Texas, so normal mailing times applied)I like how the Mount fits together, and I easily mounted my 60lbs TV by myself. The part that attaches to the TV has a hook that will hold the TV on the Arm till you bolt it on.It's very adjustable, and pushes almost flush with the wall.I'm very happy, but took one star for the miscut piece.",4,"Sturdy Mount, good customer service",1389052800,"01 7, 2014",Amazon Customer,0.1409
7,A7060R14RJF3I,972683275,"[0, 0]","Took a bit of work, but used this to fit an older vizio 32&#34; monitor to the wall to use as a compute monitor. Stable and like the ability to move the tv to different angles. The vizio was older and did not have the standard holes, this product fit and holds the tv very stable.",4,Works,1368835200,"05 18, 2013",Amazon Customer,0.6107
8,A26QCCO0101CO1,972683275,"[7, 9]",I used this for my 47&#34; Samsung. Its fit/feel is great. Easy installation. Appears strong; although I personally spent way too much on the tv to risk leaving it fully outstretched with too little lag bolts for a long time! It is very convenient to be able to move it away from the wall however and I would feel very comfortable tilt or swiveling if needed. The movement is fluid and easily adjustable.I am very pleased with my purchase.,5,Just what I'd hoped,1361404800,"02 21, 2013",Amazon Customer jkhinch,0.4001
9,APBF796U7GUTV,972683275,"[1, 1]","This item serves its purpose as well as any other mount. Its most appealing attribute is its large range of motion. I am using this to corner-mount a 32 TV and it works perfectly to hide the mount, receptacles, and cables behind the TV. Very easy installation as well.",5,Nice Mount,1331942400,"03 17, 2012",Amazon Customer steve-mc2,0.3658
