,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1D6XJGWCLNM3W,B000001OM4,Adam,"[0, 0]","I use this in my car to play mp3's of Rock, D+B, Electronic and some Metal and it all sounds good. Convenient feature allows the cord to come out of either of 4 spots on the cassette so it can fit in any car and lets you control where the cord goes. No problems yet, it does as advertised and as always Amazon rocks with fulfillment.",5,It just works.,1277683200,"06 28, 2010",0.5047
1,A2AFGNDUPNWVSN,B000001OM4,Amazon Customer,"[1, 2]","Yeah, yeah, so if we're looking at these cassette adapters we already know we're not on the cutting edge of the tech world. But this is still a great way to couple audiobooks and music from my smart phone to the sound system in my ancient crate. Works way better than any FM transmitter I've ever tried (although I admit I gave up after the first one or two). And the quality of this Maxell unit is at least as good as anything else I've come up with the last few years, particularly for the price. The heads look well made (I've seen others that were downright crude) and the mechanism is quiet after six months' use. Sound quality is certainly good enough, although my car is noisy enough that it's not a big issue. I can't discern any difference between what comes through this adapter and sound off CDs in the factory player, so it's sure good enough for me. I'm not an audiophile, but if I was I wouldn't be messing with cassette adapters!",5,"Quiet, cheap, does the job",1339804800,"06 16, 2012",0.4181
2,A1KAERT0MPBZOO,B000001OM4,Arnim Zola,"[1, 1]","How do audio cassettes load in your car's cassette deck? Do you insert them with the narrow side or the wide side? The problem is that most cassette adaptors can't accommodate both types of cassette decks.With this Maxell adaptor, that isn't a problem. The great thing about this cassette adaptor is that the audio cable that leads out of it can be configured to exit from the narrow or wide side meaning no compatibility issues.NOTES-----------If you're not hearing anything, try switching the audio cable to exit the cassette adaptor on the opposite side. In my Rav4, cassettes load by inserting the narrow end. But since I didn't hear any audio, I thought this adaptor was broken. It turned out that if I made the audio cable exit on the *other* narrow end of the cassette, then there was no problem.Also try increasing the output volume of your iPod.TESTED WITH :------------A 2001 RAV4 and an iPod 30 gig and also an iPod Touch. They worked fine except for the set-up issue mentioned above.",5,Casette Adaptor with Unique Features,1250726400,"08 20, 2009",-0.0497
3,A26KXNN6H1IL0I,B000001OM4,A. Tegtmeier,"[0, 0]","I drive an old car, without a CD drive. It has a cassette drive, though and I had an additional MP3Player I did not use anymore, so I bought this gadget - and it works! Sound quality is surprisingly good, the basic volume could be a bit higher but otherwiese it produces a clear and rich sound. The only little annoyance is, that now a cable is sticking out of the cassette deck and hangs around the front panel. But eventually I will fix it somewhere, where it is not in the way anymore.",5,Great Gadget,1210723200,"05 14, 2008",0.129
4,A1G8GOK1OYID5X,B000001OM4,awgoodkitty,"[1, 1]","The cassette, as other have said, makes a clicking noise as it runs. I have it in a 2001 Rav4 OEM stereo. It will also cut out when tracks change on the music player. Very annoying. I would not have bought this except for the Maxell name. Disappointed.",2,Click Click Click,1298678400,"02 26, 2011",-0.2013
5,A3KOAIRG0CC0NR,B000001OM4,C. Kelley,"[4, 5]","I'm actually a bit shocked. I've been using this cassette adapter for the past two years. The sound quality is good, although you can hear some typical cassette noise at higher volumes. The cassette adapter itself is fairly quiet as well. In cold weather, it sometimes sticks a bit. But overall, it has worked quite well. I don't leave my mp3 player in the car, so the stereo cable saw quite a bit of abuse from daily bouts of plugging and unplugging. It managed to last 2 years, which is excellent considering how quickly 8mm stereo cables can develop shorts.",4,Lasted 2 years before the wire gave out,1304812800,"05 8, 2011",0.1029
6,A14399DQBS4QD1,B000001OM4,Cmar,"[1, 1]",Use this to play my ipod in my nissan maxima tape player. Works great and the audio is pretty good. Better then radio quality but not cd quality.,4,Worked,1376956800,"08 20, 2013",0.4863
7,A3TTG579DHLYZW,B000001OM4,Cyan Lulipop,"[0, 1]",It works fine and is a pretty good product. I picked this one over 4 other ones because it was cheaper and had okay reviews. It does the job well.,4,Not bad for price,1330214400,"02 26, 2012",0.428
8,ATLCOMAE8J7FO,B000001OM4,Daine P,"[1, 1]",I got this several years ago so my daughter could listen to her iPod through the family car radio which does not have an AUX input.It does not provide super fidelity but such a device can't ever be compared to a direct connection.It works good (certainly met my expectation) and it still gets used occasionally to play mp3s from my phone.,5,Still works,1366243200,"04 18, 2013",0.8205
9,ADQEM4CCLH7FB,B000001OM4,David Carr Biologist & DJ,"[2, 2]","I purchased this to listen to podcasts off my BlackBerry Curve 8330 (Sprint). I have found that the sound quality varies from podcast to podcast due to the level of compression used. Generally I turn my BlackBerry up to full volume and almost do the same in my car stereo. The sound quality is ok - it is a cassette after all. The cord is not very thick so you need to be careful not to snap it or pull on it roughly. I might try another adapter to see if there is any difference in sound quality.Also, the Dolby noise reduction is a must, otherwise you will get a lot of hissing. I would say overall the purchase was positive, perhaps my expectations were a bit too high.",3,Adequate Adapter,1270425600,"04 5, 2010",0.1438
