,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A24RKNJFGL1OIZ,B00007E1M2,Alabaster Jones,"[0, 0]","I find some of the top reviews extreamly question.There is no way this blade will handle cutting through a oil drum, it will not cut wire unless its very thin. I would be weary of really prying wit it, its a thin blade.I have the orignal seki Japan seal pup. And i know plenty of guys who have deployed with it.Its easy to sharpen, holds an edge. It will handle any lite to medium task you throw at it.The new nylon sheath is crap, get a kydex. The knife is affordble, replaceable. And wont break the bank. Its a quialty knife but has its limitations.",5,The truth,1393459200,"02 27, 2014",-0.0338
1,AXMICLYSCEIQU,B00007E1M2,boomer,"[0, 0]","Excellent knife; sheath is above average. Blade arrived very sharp. Used it last night to split whole chickens in half for the BBQ grill. Sliced right thru them like warm butter. Great product, Great price. Thanks!",5,Very satisfied.,1402099200,"06 7, 2014",0.4065
2,A3T9NDR35O0MZH,B00007E1M2,Cherokee,"[0, 0]","I bought this one for my daughter who is now in R.O.T.C. My own is the knife I have with me at all times. For more about the knife, see the review from my first purchase. Like the tactical sheathw ith this one It's 20+ dollars if bought seperately.",5,My second.,1382400000,"10 22, 2013",0.0903
3,AO2W3F2NUK1MM,B00007E1M2,chris,"[0, 0]","This scaled down version is as perfect as its big brother. The Pup is the perfect size for my wife. Attach a paracord lanyard, and you are set.",5,Outstanding knife,1380758400,"10 3, 2013",0.3813
4,APFEQMTX550NE,B00007E1M2,Clayster,"[0, 0]","Ended up returning it and getting the Becker bk7 but it's really just personal preference vs any major flaws with this knife. It is a whole different type of tool. The Becker is massive, burly, tough, heavy duty and heavy. The SOG is light, nimble, and low profile with a much smaller and thinner blade. I just didn't care for the feel of it in my hand and I don't think it would make a good survivalist knife compared to the becker. It's too fragile for chopping and hacking and prying. Nice knife, just not what I needed.",4,Nice knife,1383868800,"11 8, 2013",0.0798
5,A17DVX4TO6LTZK,B00007E1M2,DANN5988,"[0, 0]","Great quality Knife!!! Light weight, balanced well, built to SOG high standards!! I use it for everything from fishing to hunting to camping!! Would deff. purchase another one!",5,Love IT!!,1373414400,"07 10, 2013",0.223
6,A3W2IK007IA48A,B00007E1M2,Dutchman,"[0, 0]","Long story short, it's an excellent knife. But the kydex sheath is lousy. I'd recommend the nylon sheath with the kydex insert. Much better, and MOLLE compatible.[...]",5,"Excellent knife, but I'll pass on the sheath.",1361404800,"02 21, 2013",0.1695
7,A3V60HXIJDNNIT,B00007E1M2,Dylan Cortez,"[0, 0]","The knife helped out on my needs. Very durable, awesome price. The metal is good also. I couldn't beat the price anywhere else. I use this knife daily and it has not failed me yet",4,Awesome knife,1389830400,"01 16, 2014",0.3
8,A23HGJJXPI61F9,B00007E1M2,Erik in AZ,"[1, 1]","Excellent value. The knife's design was put through grueling test to meet NSW requirements, from submersion tests for rust to strength tests, etc, and will accept tons of abuse while keeping a good edge. Handle allows for a strong, positive grip with or without gloves. Sheath is ready for MOLLE or your belt loop. Great camping, backpacking, climbing, hunting or survival knife.",5,SOG SEAL Pup,1388880000,"01 5, 2014",0.608
9,AWHWW462V93QW,B00007E1M2,Harlan J. Merwin merwins,"[0, 0]","The SOG Specialty Knives & Tools M37-N SEAL Pup knife is one of the best knives I have ever owned. It is smaller yet, big enough to do what I want to do.",5,SOG Specialty Knives & Tools M37-N SEAL Pup,1380672000,"10 2, 2013",0.3571
10,ADF7Z7QMFUL7K,B00007E1M2,Jaime Nunez,"[0, 1]","I got it at wally for $40.00 so the price was ok (discounted). I like the blade design, it was sharp out of the package, but with a few passes with the lansky turn box and now its really sharp. The nylon sheath its ok dont have a problem with it. The balance is good but the handle its small, if it was a little bigger and more rubber like for better grip it would be better. I would have given it more stars if it wasn't for the handle, it is still a very good knife from a known brand. I will recommend it if the price is $40 or less and for someone with smaller hands.Pros:sizeblade designCons:handleprice",3,A nice solid knife!,1337126400,"05 16, 2012",0.4739
11,ARNSIMLKU7PT6,B00007E1M2,John Armstrong,"[1, 1]","Great knife. Not sure about the mixed reviews on the sheath. I optioned for the Nylon with a plastic insert (where the blade goes in). Works great and feels like its built to last.The knife and blade are everything I was looking for. Although it is a bit smaller that I thought it would be. BUT I have no plans on returning it, just planning to pick up the full size version as well.I did shop around after deciding on this knife and by far Amazon has/had the best price",4,Great knife,1316995200,"09 26, 2011",0.3119
12,A3V58DYMKOF27V,B00007E1M2,Keoki,"[0, 0]","Well, saved $10 from other places by getting it here and totally love this buy! Great quality, toatally sharp (including tip) and perfect size. I've always wanted one of these knives and am glad I bought it. g-",5,This knife is bomb!,1370736000,"06 9, 2013",0.5389
13,A3MDX580F0DZEG,B00007E1M2,Matt,"[0, 1]","Love it love it love it.I've been needing a camping knife for a while. I already owned several SOG products and have found them to be an acceptable balance of price and quality. This product is no exception. Are their better? Of course! But there are much worse for much more money, as well. THis is an excellent value for an excellent blade that I expect to last forever. Or, until I give it away / lose it/ abuse it to disrepair. This buy is a no-brainer for anyone in the market for a similar sized blade.The only thing I may--- MAY - have changed, was going for the kydex rather than nylon.... but I do like that the extra storage in the nylon version is perfect for a sharpener or my SOG multitool.",5,Awesome,1362182400,"03 2, 2013",0.228
