,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A9JWP771B3C29,B0000789T2,A. Bauer,"[0, 0]","I've been playing with these for years. Much easier to catch than a traditional frisbee, very good for kids learning frisbee and just plain fun, doesn't hurt as much as a frisbee when it his you either.",5,I &lt;3 the aerobie,1388793600,"01 4, 2014",0.5519
1,A13IKQCJKFAP5S,B0000789T2,applegd07,"[0, 0]","I love this ring! it is fun to play with. It has a very long flight path. It does not hurt my hands when catching since the sides are soft but solid rubber. My only complain is that when you buy this at Amazon, you can't choose the colors you prefer. Bad service!",5,Great Flight,1364083200,"03 24, 2013",0.1654
2,A1JSTNQGE54F7K,B0000789T2,Brad,"[0, 0]","Better than any frisbee type.More fun to throw and catch. Softer for dogs to catch. Holding up pretty well,couple little splits in the plastic but our dog is hard on eerything",5,Great dog toy,1367625600,"05 4, 2013",0.2877
3,A21TWSJ12YERBH,B0000789T2,Buckeye fan!,"[0, 0]","Used this on the beach during spring break. Wow does this thing fly a long way. We had to be careful of throwing off target, cause it would either sail into the water (doesn't float) or possibly hit sunbathers. If you can throw a disk accurately, this one is easy to get the hang of. Very cool.",5,Flies long distances!,1399939200,"05 13, 2014",0.312
4,A2UCB92JD134SO,B0000789T2,D. Purciel,"[6, 9]",This toy can give you a workout chasing it around. It flies so far you will spend most of your time going out and getting it. It is fragile in the wind and will be carried away by it. Not the best on the beach. Takes some practice getting the right throw. Tends to get a little wild. Also beware of trees. I got this think stuck in a tree three times and had to get creative to get it down.,3,Great for park or large field.,1342915200,"07 22, 2012",-0.0369
5,AJGU56YG8G1DQ,B0000789T2,E. Kennedy,"[0, 0]",This ring is a great alternative to a traditional frisbee. It's easier to catch and travels even farther! This pro ring is excellent for little kids too since they seem to have less trouble throwing it than with a regular frisbee.,5,Great Frisbee Alternative!,1321920000,"11 22, 2011",0.4723
6,A11KQADBYE0UZL,B0000789T2,GLIverson,"[0, 0]","These are a lot of fun, work very well, and kids love them. They are lighter weight so sail well and won't break anything they hit.",5,Good product and reasonable price!,1384387200,"11 14, 2013",0.6036
7,A2JB3U70NTYSOD,B0000789T2,Hawthy Chris Hylton,"[0, 0]",Terrible Frisbee! Doesnt fly well and broke in half after about the 15th throw (it landed on the porch and just snapped in half) Was a big waste of money.,1,Terrible,1404950400,"07 10, 2014",-0.6386
8,A2IHDSWGOJBZ2Q,B0000789T2,Hoopee,"[0, 0]","Especially for the beach or windy days. The wind will carry this thing for seemingly miles. It's amazing to watch as the wind will lift and lower it as it sails through the air. It's can be a great dog retriever toy if your dog doesn't chew his fetch toy. Since it sails so far, it will tire the dog quickly, however if he chews on it much, it won't sale much at all.",5,Aerobies are Awesome,1365465600,"04 9, 2013",0.2013
9,A2M31FTC3ETYDW,B0000789T2,Howard C hc,"[0, 0]","The ultimate necessity on the beach these are fun and they makes You feel Really Strong and Focused... They go very far, they are fun, they are easy to catch.... Classic!",4,Makes You feel Really Strong and Focused,1374019200,"07 17, 2013",0.8125
10,A3480W8EWNU551,B0000789T2,JD,"[0, 0]","These things are a blast. Even people who don't throw traditional Frisbees well will have fun with a little practice. It aerodynamic profile allows this ring to maintain lift for quite a long distance.Start with short distances. You'll be surprises how easily you can overshoot your target by 100-200 feet.Store in a place the will be perfectly flat, it can deform easily even just leaning it against something vertically for too long.Great for wide open flat fields. Have fun!",5,Just buy one!,1388620800,"01 2, 2014",0.4176
11,AGKXP186I8JIA,B0000789T2,J. Hubbard,"[5, 5]","I had one of these when I was much younger. My first throw went about 500 feet and I lost it. I still remember seeing it travel over the top of some phone lines at the end of a football field (I started on the opposite side) and watching it just keep going. I'm 39 now and my girlfriend and I bought one today and took it to the park since we finally had some sun. What fun! It goes very far with little effort. The ring shape makes it easy to catch. If it's not flying level you just give it a gentle bend up or down to correct. I never liked Frisbee's since the solid disc was hard to catch for me. This is well worth your time and money. I'd only stress as all reviews do, this will travel great distances with little effort. It might be a good idea to bring two in case it one gets away from you. Oh and I don't think it would be good for dogs to catch. Their teeth would likely crack the spine on the first catch.",5,Lots of fun,1301788800,"04 3, 2011",0.1927
12,A259MPG6SOL02P,B0000789T2,Josh-Daniel S. Davis xaminmo,"[12, 14]","Aerobie rings are awesome as for distance, though you have to have good control. Otherwise, you may find it leaves your neighborhood.It's good for kids when learning, because it will still fly if they flub the toss.They don't hold up to UV and weather really well. A year in the backyard and the plastic is faded and brittle. YMMV, but it should last a long time if you bring it in when you're done with it.Be advised that while the image shows a three-pack, you get only one. They're a little pricey, but not too bad if you're expecting it.",4,Product description issues,1291939200,"12 10, 2010",0.4042
13,APFSFA4B91BOI,B0000789T2,JWL,"[0, 0]",I can't get over how far it goes! No issues thus far and it works properly. Kids are not too interested in it but the oldest is 6 so I am a little ahead of the curve!,5,Lots of fun!,1403136000,"06 19, 2014",-0.1758
