,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A28GT8K15D0LIS,B000052ZB4,adam,"[0, 0]",What more could you ask for thick creamy and really clears up my skin. Didn't dry me out and smells neutral.,5,Works!,1379376000,"09 17, 2013",0.0756
1,A3L6KBGN5EF5PU,B000052ZB4,AEGen AEG,"[0, 0]","I originally purchased this product when traveling. Later, I purchased an additional package upon returning home. These cleansing wipes remove makeup remarkably well, including eyeliner, mascara and eyeshadow.",5,Great Every-Day and Travel Product,1372982400,"07 5, 2013",0.1128
2,A22UF8U41B32FE,B000052ZB4,Amazon Customer,"[0, 0]",I use this once a day in the night to help get all my pores clean from the day. This has a nice light scent and makes my face really soft. I recommend this scrub.,5,Nice Scrub,1358985600,"01 24, 2013",0.4808
3,A1WL6363ZKIHCK,B000052ZB4,Amazon Customer,"[8, 9]","I first purchased this product because I wanted a cleanser in a squeeze tube so that I could easily use it at the gym. Pumps are hard to close so that they don't accidently pump into my gym bag. I also wanted a cream cleanser because after I turned 40 skin dryness in my face became more of an issue even though I make sure to drink plenty of water. I also purchased it for the price. I didn't even notice that the packaging read oil free. I typically don't buy oil free cleansers because I want more oil in the cleanser to moisturize my skin.Well, don't let oil free fool you. Deep Clean does not dry out my skin. It works as well as cream cleansers that use the word moisturizing on their package.As of 01/06/2012 Amazon listed this product as costing $5.74 for 7 ounces ($0.82 per ounce) and $19.77 for 21 ounces ($0.94 per ounce). It does not make sense to me that the cost per ounce for buying in bulk (the three pack which comes to 21 ounces) is MORE than the cost per ounce for buying a single unit. Buying in bulk usually means saving money. I will be hitting the 1 pack button when I order and then once the item is in my cart I will increase the quantity. I will not be hitting the 3 pack button.",5,Irregular pricing.,1325894400,"01 7, 2012",0.1181
4,AUBKXJYRKGOF4,B000052ZB4,A. Young,"[0, 0]","I started using this cleanser last year, and I can honestly tell you that my skin has never looked better. When you rub in this cleanser it creates a cool, tingly sensation -- you can literally feel it working into your pores, and the creamy consistency makes it easy to apply just the right amount. It does a wonderful job of helping to prevent acne and blackheads without drying out your skin.My forehead and cheeks are prone to dermatitis and used to get dry and flaky with the cleanser I'd been using, which was actually also a Neutrogena product: the Deep Clean Facial Cleanser for Normal to Oily Skin. It worked for me for a while, but eventually it started to dry me out (which caused more breakouts). I decided to try to cream cleanser based on its superior reviews, and I'm glad I did: something about the composition of the cream cleanser must make it milder than the other product, because I haven't had a problem with dryness or secondary breakouts since I made the switch.As with any face wash I'd suggest using a toner after washing to get rid of any residue, but really, this is one of the best facial cleansers I've ever used (I use it in conjunction withNeutrogena Oil-Free Deep Clean Gentle Scrub, 4.2 Ounce, and it's the best skin-care combo I've ever tried). I hope it works just as well for you as it has for me!",5,Love that clean tingle on my face!,1349308800,"10 4, 2012",0.5578
5,AW0QCBQ5FSJIT,B000052ZB4,Chantillielace Chantillielace,"[0, 0]","I have used many high end scrubs and this is one of the best and least expensive. Each time I use the scrub, my skin feels really clean and fresh. Makeup goes on better too. Will buy again. Don't need very much so the tube will last quite a while.",5,great product,1342483200,"07 17, 2012",0.3507
6,A34KGD6ZYDDVT0,B000052ZB4,Charnita Fance ChaCha Fance,"[0, 0]","I bought this cleanser for my husband. He was looking for something simple to help his complexion and he loves this stuff! I was sharing my own personal cleanser with him at first, but he didn't like that. I decided to try this for myself a couple of times. It doesn't foam, but it leaves your skin feeling squeaky clean. I also love the smell. With regular use, I have noticed a change in my husband's skin for sure. Good stuff! It looks smoother and brighter.",5,My husband loves this,1358812800,"01 22, 2013",0.3395
7,A2ZI4RMRSA072T,B000052ZB4,C. Havanac,"[0, 0]",I alternate between this cleanser and their Fresh Foaming Cleanser. This one makes my skin feel a bit more squeakier which I like when the weather is warmer. This is a great cleanser and should work for anyone except someone with very dry skin. This does not dry out my face and I have combination skin. This is a must have for a gel cleanser.,5,Great Basic Cleanser,1141862400,"03 9, 2006",0.303
8,A3VVHDYLGVYAG1,B000052ZB4,C. O. Day,"[0, 0]","I'm rather lazy at washing my face, so this product is great at removing makeup at the end of the day when I'm too tired to wash it. After using it for a while, I think it actually is doing a better job at cleaning my face than soap and water. Super fast, super easy.",5,Easy Makeup Remover.,1363046400,"03 12, 2013",0.4189
9,A1LNISCJBDOHXW,B000052ZB4,D. Wilson,"[1, 1]","This is the best facial cleanser I've ever used. I love how it makes my skin feel really silky after washing with it, and it gets make-up off really well too. I've tried the generic brand at Target, and it just doesn't work the same. Stick with the original!",5,Love this stuff!,1360800000,"02 14, 2013",0.4454
