,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3V2B6DWM544EN,B0000533CC,Amazon Customer Borderline,"[8, 8]","I gave this 4 stars because of the mess of cleaning--but its a thousand times better than a tampon or pad. Won't be going back to those!Here are my impressions of using the Instead Softcup.Do not try to do this in a public bathroom--it's too difficult (messy) and may not be sanitary. And because these cups can be used for 12 hours, in my case, I was always home to do my changes.Follow the instructions! Read them twice.I found I didn't have a hard time inserting the soft cup, but getting it out was another thing. Make sure your hands are clean and if you are having a hard time inserting your finger and pulling out the ring you need to RELAX.The first time I pulled it out (after a lot of sweating), I made a mess trying to empty it out and dispose of it. By the third one, I was more prepared. After emptying the cup, I wrap it in toilet paper and then place it in a small plastic bag. If you have small plastic bags to reuse then put them in the bathroom where you will be doing your changes.If you insert it correctly, you will not feel anything there. If you have problems inserting due to dryness, then try some lubricating gel. The cup was so comfortable for me that I had to remind myself when I needed to change it.I had one time that it leaked. It was on the second day of my period (the heaviest day for me) and I had a cold. I coughed and coughed and suddenly, yep, you guessed it, I felt a warm gush--good thing I was home. Like I said in the beginning--READ the Instructions. I should have been changing it every four hours--it was about six hours that I had it in. So that leakage was my fault (operator error) ;-).I wish I had known about this product while I was going to school--would have made me a lot happier not to mess with pads and tampons at school.",4,Not for Everyone,1258502400,"11 18, 2009",0.0761
1,A3NLW5OKL2FGMB,B0000533CC,Amazon Customer,"[0, 0]",I have been wanting to try a menstrual cup out but was hesitant. I decided to try these rather than the diva cup or reusable ones. I like the fact I can just throw it away. I was surprised I actually like this product!When inserting push back and down not up. I have not had a leak with this technique. I have not had any issues with it coming out. If you bear down too hard it might come out though. I put the garbage can right in front of me when taking the cup out. I really don't think it's messy at all. I pull it out slowly and am careful not to spill. You will obviously get blood on your fingers but you could put gloves on if it bothers you. I have not tried taking out or inserting a new cup in a public restroom. I would rather do this at home. It is really nice not having to worry about changing a tampon all the time!,5,Wow! Goodbye Tampons! Hello Menstrual Cup!,1404000000,"06 29, 2014",0.1113
2,A380S0FSWNY6QK,B0000533CC,Amazon Customer,"[0, 0]","Thanks to all the reviewers that have shared with candid honesty... I found them to be very helpful before buying this product. I'll try to do the same, hoping someone will find it helpful.This product was definately a godsend for me, but it's definately not for everyone. My sister, for one, would have tried it once and said, Yeah, good luck with that one.... But I was deturmined to give it a chance because I no longer find tampons comfortable, and frankly end up wasting a lot of them because I think they need a change and then find that they don't and it's not like you can put those back in. I really liked how this product gave me the comfort of feeling clean and dry when I was wearing it, yet I could take it out and clean it and put it back in. Talk about reducing waste! One of these could easily last an entire period. I still wear a decent panty liner or super thin pad as a back up (like Always Dry Weave, which would give me time if I needed to get to a bathroom) but at least I get to feel clean and dry while wearing it, as opposed to having to sit in the 'stuff' I'm menstruating. Also, I use to have a terrible time sleeping with a sanitary pad because I would get woken up by the sensation of the blood trickling gravity-style downward while I wondered if I was sufficiently covered to not stain the bed. Such a hassle and lots of restless sleep. The Instead allows me to not be awakened by that, yet not have to deal with tampons that never lasted all night anyway. So, now for the down side. It's a bit tricky getting used to insertion and I'm not so sure the one size fits all. It feels like it's a bit big around, but maybe it would leak if it weren't so. I love how flexible and bendable it is and it's not bulky. After trying this I KNOW I could never use one of the non-desposable bulkier Diva type models with a stem to grab. The Instead seems much more user friendly compared to those.The ideal bathroom would have a sink right next to the toilet so you could remove the Instead, rinse it and re-insert it. Or better yet, do it in the shower! But that's not usually the location you'll find yourself in. Oddly, I found that many times I didn't actually need to remove it! Something about the position of crouching over the seat in a public bathroom seems to lend to enabling the Instead to purge it's contents into the toilet without me actually needing to remove the thing. Odd, but hey, who was I to look a gift horse in the mouth? I just made sure it was situated back how it should be before finishing my business. Once, I did remove it in a public bathroom and wiped it down with a flat wad of toilet paper before re-inserting it. Gross, yes, but then so are pads with clots in them that I have to sit on until the next change, so it's a trade off. Ahh the joys of womanhood. I don't think I ever washed my hands so much before and after entering the bathroom until purchasing this product. So there's always an up side to everything. I think every woman should try these to see if they'll work for them. I wish I had found these 20 years ago. I bought a box of 24 and plan to give one to my niece and another to a close friend just so they can try it and see if it'll work for them and make their lives easier. It's definately better than the alturnatives if you can make it work. Good luck ladies!",4,"Like it, but definately NOT for everyone.",1317427200,"10 1, 2011",0.2303
3,A3EN1BBHJ7MU9X,B0000533CC,Ash,"[0, 0]","Okay,,, so tmi review! Seriously!This product works perfect for days 3-5! It's amazing! I wore it on the airplane, used it during intercourse, and no blood at all! But it really lacks in the first two days when I have a heavy cycle. Not surprised. I would suggest maybe wearing at least a panty liner or doing what you regularly do for your time of the month.Out of all of the options (tampons, pads, softcups) it's is soo comfortable. Let's be honest, pads feel like a weird diaper (and I always feel like I smell with pads) and tampons can be a pain to get in especially when you're cramping!I feel like you definitely have to be familiar with your body and comfortable with it to put it in. You have to stick it a little bit back in there. It's more complex then a pad or tampon. But it really is amazing! Clean up is probably the worse of all options. You have to pull the softcup back out and it acted as a bucket for the blood (meaning you're pulling a pool of blood out). It can be messy and awkward to dispose of in a plublic restroom. Lot's of TP needed!So idk... it ultimately depends on what you like to deal with during you're period. I wish females didn't have a period!I would recommend anyone to give it a one time try! :DPS never writing a review for a &#34;feminine product&#34; again. BYE! :D",4,Works best with medium-light flow and are so comfortable!,1399420800,"05 7, 2014",0.2137
4,A1DH3QDZX8Z7GO,B0000533CC,Charlemange,"[0, 0]","I use these mostly in the summer time when I go swimming. I do not wear tampons, and find these to be a much better alternative. They may take a little practice to insert, but it can be done. I recommend using a little bit of lube to make it easier. Sometimes they like to tilt the wrong way, but overall I like having these on hand. I don't know why they are so hard to find at the store.",4,A must for swimmers,1387756800,"12 23, 2013",0.2792
5,A2SEMQS6880ATU,B0000533CC,Charles Hoover's gf CnGz808,"[1, 1]","LOve the way it seals it up, no smell and you can use it for up to 12 hours at a time. However, getting it in place can be tricky and removal is best done in the shower. Actually insertion might be best done in the shower where you can squat down and get it in there correctly then wash off any mess left behind. Feels clean and comfortable when properly placed, you forget it is even there. Make sure to change every twelve hours though. Recommended.",5,Love using a cup but removal is messy.,1344211200,"08 6, 2012",0.4273
6,A1HC0DV6RF4PJ2,B0000533CC,cutenerd,"[3, 4]",Alright so I am going to be extremely open in this review. If you or any other female you know are in a wheelchair it makes that time of month even more unpleasant.I was using a large overnight pad and the super+ tampons and well when you bend over in a wheelchair it creates a very uncomfortable.. squish... and it was not working and making me miserable.Now I still use a pad to catch accidental leaks since sitting doesnt allow for natural gravity flow. But with this product I can actually feel like I am able to go out of the house during that week each month. I don't worry about what if I bend over.Pro's: not recommended but i have used over 12hrs and it worked great. use longer at your own risk since there is little research with TSS and these.less smelleasy for those with less dexterity (i couldnt use diva cup cuz i have issues with my hands and folding it while inserting was impossible)sanitary just throw outcons:takes time to get used tocan be messy to remove but better after practicei think its only cuz i sit in a wheelchair but it sometimes sits on my urethra and after 8hrs hurts/makes me really have to pee.great product. i recommend to all!,5,Must have for handicapped!,1300752000,"03 22, 2011",0.4363
7,A16UM2AMMZCY13,B0000533CC,Erin Riley ELK,"[0, 0]",I was nervous to try these but desperate because I would be on my period on my wedding day. It definitely takes some proper placement technique but I'm getting better and better at it and managed to breeze through the wedding without any problems. I have major discomfort with tampons yet with the soft cup I don't even notice it's there. I am very happy with these and will continue to use this product.,5,Try it!,1392508800,"02 16, 2014",0.1257
8,A1KEPD71NTGA5H,B0000533CC,Gina L. Lyles,"[0, 0]","I know there are some very long reviews about these. Here are my suggestions:1) watch the Youtube video and read other blogs/reviews on how to put them in. I had success my first time using and I think the extra research helped.2) I do feel pressure; it isn't true for me that you don't feel anything. I don't seem to have any extra cramping or discomfort other then feeling pressure in my lower, lower abdominal area though.3) I suggest taking these out in the shower if you can or follow the directions about using a medical glove so you have something to put it in to throw it away.I bought these mainly to use for intimacy during that time of the month and for that purpose these have worked great. I don't use these exclusively and still use tampons/pads as well. My partner has been thrilled with the results.",3,Don't mind using these but switch it up with other products,1402358400,"06 10, 2014",0.0559
9,A2Y4S4CNGKF21S,B0000533CC,H. Swanson,"[3, 13]","I was so hopeful about these. I wanted an alternative to tampons that was healthy and environmentally-friendly (and cheaper!) So I was excited to try them. But it wasn't at all what I was expecting. I don't want to get into vivid details. But basically, I was not warned that this would be such a MESSY ordeal. Not to mention it's not at all convenient. I do not want to leave it in for too long, because if I do, I know it's not absorbing any fluid, so I worry about leakage, or the horrible mess that it will make all over my hands when I try to take it out. GROSS! Also, the thing itself is absolutely huge. I imagine most people would look at it and be terrified to try to put it in their bodies. I believe there was a reason tampons became so much more popular than these methods. Sorry, but I've got to switch back.",1,I'm sorry but this is GROSS!,1307318400,"06 6, 2011",-0.0132
