,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A35SASAGCSBSTH,B0000535RA,A. J. Ammy12,"[0, 2]","I've only recently started incorporating toner into my facial cleansing program, but this is my favorite that I've tried so far. This toner leaves my face feeling very clean, yet soft (not tight or itchy), plus it has the benefits of an Alpha and Beta hydroxy. It really does help keep my pores cleaner, and therefore smaller over time. I find it to be perfect for my combination/oily skin, but for those with dry or sensitive skin the alcohol might be irritating or overly drying.",4,My favorite ABH toner,1359504000,"01 30, 2013",0.3936
1,A26NTVWYOXC407,B0000535RA,Amazon Customer,"[0, 2]",I have been looking for a product to help reduce the apperance of the pores on my cheeks. This stuff is awesome! I noticed a difference within a week. I have gotten compliments that my skin looks the best it has in a long time! I highly recommend giving it a try. I use it with the daily face wash. Will continue to use!,5,WOW,1367971200,"05 8, 2013",0.4216
2,A1J6KD2NJX0WPV,B0000535RA,bag,"[0, 3]","It is an ok choice - there isn't any burning with this product, but I would buy it again. probably",3,ok choice,1367193600,"04 29, 2013",0.0766
3,A3KSXW1MF1GRHQ,B0000535RA,Banu,"[0, 0]",this product has been really suitable for my skin type. it helps me look brighter when used it for one week staright,5,suits me,1369785600,"05 29, 2013",0.3185
4,A3HGM2DVB5SNZ2,B0000535RA,Carmine,"[0, 0]","I have used this product for a couple years. It exfoliates without drying out the skin. One tube lasts a long time, too. It is far less expensive than department store brands and just as good.",5,Excellent value!,1384905600,"11 20, 2013",0.1101
5,AG0L2EBUV98BP,B0000535RA,Catherine J,"[2, 4]","I didn't expect my pores to magically disappear, but I notice they truly do lessen immediately after using this product. What's better is that my skin has cleared since I started using this: I used to get occasional breakouts, but now, that rarely happens. I'd recommend using this before a nice occasion with a pore tightening moisturizer, and your pores will be out of sight for a few hours at least.",4,"No miracles, but great",1378339200,"09 5, 2013",0.4866
6,A2MHZLAHLLF1G6,B0000535RA,catorobinson,"[2, 4]","I purchased the Neutrogena Pore Refining Toner and was pleased that it did not sting and was not drying to my skin. My pores do appear to be smaller and my skin looks smoother. In the past, I have used toners that made my skin turn red and irritated, but after four weeks of using this product have not had this problem. This product is reasonably priced so I can afford it. I plan to continue using this product.",5,Great product!,1348963200,"09 30, 2012",-0.0587
7,ANXT431V3MW4Z,B0000535RA,Dana,"[0, 1]","it didnt seem to work, my pore look the same as always, and it is a little stingy because of the alcohol.",3,mmmm,1376870400,"08 19, 2013",-0.3197
8,A3RLQZULN5HUX,B0000535RA,derpy,"[5, 6]","I have somewhat large pores, so I was really hoping this would help. I use it once a day and it immediately shrinks and clears them out considerably, though they get bad again the next day. Overall though, I've seen an improvement in my complexion, so I'd highly recommend this even though it's not magic.",5,Worked,1384819200,"11 19, 2013",0.3097
9,A1XIFSUPEFWBWG,B0000535RA,Erin Williams,"[3, 5]","I washed my face with this once yesterday, and once the day before and yesterday in the evening, a good portion of the right side of my face and a few under my chin broke out in ugly hives! It itches horribly and it really hurts. To make matters worse, I had to go to work looking like this. I didn't want to put on makeup that would irritate my skin so I was forced to leave the house looking like a pepperoni pizza. :(And also, when I was washing my face with this, I noticed that the scrubbing beads in this were SCRATCHING my face. Not a comfortable exfoliation, but like sandpaper. And this cleanser has a very noticeable chemical smell to it. I wish that I had never wasted my money on this product, and I wish that I had never put this on my face!",1,One side of my face has broken out in hives!,1367193600,"04 29, 2013",-0.1137
10,A241655ABS5LY4,B0000535RA,Ester,"[1, 3]",I love this stuff. It cleans your skin very thoroughly and leaves it very soft. I love the smell too! Overall I'm very please with this and will continue to buy.,4,It's Great!,1333584000,"04 5, 2012",0.4217
11,A369K0V7XOX6UB,B0000535RA,FrankRelax chartreuse,"[1, 3]",I buy this because my pores are huge. Always have been. This product visibly reduces them. It's a bit alcohol-ly. It stings when it gets close to your eyes. But I like the product.,4,Works.,1317513600,"10 2, 2011",0.1368
12,A3EBX7GDQVG04V,B0000535RA,Girly Girl,"[2, 4]","I am a huge fan of most Neutrogena products, as they are generally very gentle for my somewhat sensitive skin. This toner is refreshing, and seems to pair nicely into my routine. It does appear to be mildly pore refining, but it's a miracle worker. It's just a great toner for a 20 something with relatively nice combination skin. I use it daily and it hasn't ever given me any problems.",5,Love it!,1375920000,"08 8, 2013",0.4672
