,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1H9SWNKX6N260,B00000J97G,Aaron,"[13, 13]","I bought this color, Teal, because I liked teal very much. Other than that, this console has improved on its graphics! On games like Super Mario Bros. Deluxe and Pokemon Gold and Silver, the graphics are much better! Also, there is a ample amount of color that your eyes can feast on. Now if you have game boy Pocket and Regular game boy and you're playing Pokemon [It doesn't matter which one], you will notice that when you walk around in Pocket, It's very blurry. Well this fault has ben fixed in GameBoy Color. It's extremely helpful because it enables you to see more detail and little things that you couldn't see before. I also have some regular gameboy games that aren't for game boy color and if you play them on GameBoy color, they show little color, but no blurryness. Now make sure you read what the box says when you are buying a gameboy color game. There are two types, there is one that says FOR GAMEBOY COLOR ONLY, which you can't use on the other gameboys. The second type just says that it's for gameboy color. Those you can play on the regular gameboys. It won't show any color but at least you can play it. There are a couple faults for the gameboy color. One of which is that the console is too small [for me I have big fingers so it's hard for a grown up kid]. A second fault is that the batterys run out faster than the Original GameBoy [The gameboy pocket battery use is outrageous! I played the gameboy pocket for 2 hours straight and the batterys were already starting to run out[[I think it's because the console takes AAA's and they tend to run out fast]].]. The original gameboy lasted me up to 23 hours! This only lastes me for about 12. Well I can see why because of all the good color and good graphics. So my point is that this color gameboy, teal, is a good color to get [if you like it]. The console is worth the money too. It all combines. The color, graphics, games, to make a great system!",5,"Good Color, GOOD Console!",980467200,"01 26, 2001",0.2123
1,AWXH63WE2TL2S,B00000J97G,Adelknight Seven oodleman_aka_mazza_2k3,"[1, 7]","Nintendo has mastered the art of portable gaming, and they have always come out with a better and more advanced Game Boy.Right now the Game Boy Advanced, Game Boy Advanced SP, and Game Boy DS has come out already, so you're probably wondering why should I get an old Game Boy Color? Well, a Game Boy Color is still an excellent product, and there are tons of games to choose from. Compared to the original Game Boy or the smaller version of the Game Boy (was it Game Boy light?) this one is great.I really like how this Game Boy Color runs for about 8 hours just off of two double-A batteries. If you want recommendations of Game Boy Games, look no further than the classics-Zelda (Oracle of Time and Ages), Super Mario, and Metroid. Another really cool game is Pokemon, and if you're not into it then you can find many other great varieties.This Game Boy Color is really reliable and stable. If you don't do anything really careless with it (like drop it in the toilet or hit it with a hammer, etc) it should last you many years. There are many different accessories you can get to enhance your gaming experience also.Game Boy Color is excellent, and if you haven't experienced it yet, then you should go and try it.",5,"Pretty stable, fun, and reliable.",982454400,"02 18, 2001",0.4724
2,A2QEWZDQOHBKCV,B00000J97G,Alex Recore,"[0, 0]","I never had the chance to own a game boy when they first came out. So I bought one that was used, and I am definitely glad that I did. It works fine and looks awesome. I sometimes take it out and play it just to turn heads. It's caused many people to exclaim &#34;DUDE IS THAT A GAME BOY?!&#34; I'm often engaged in discussion with people who share their own personal game boy memories and experiences. So much fun.",5,Successfully living out some missed out experiences,1357516800,"01 7, 2013",0.3918
3,AUJLN5NVTOAWO,B00000J97G,amber,"[1, 2]",this isnt bad i have it and it works great i think this is better then alot of older systems like game boy or super nt but still its a good system.,4,great and fun,1099353600,"11 2, 2004",0.9095
4,A3BEJOL2X8PS8I,B00000J97G,ATHF Fan,"[3, 6]",I love my Game Boy. It is awesome. I recomend to get Super Mario Bros. DX. and a battery pack (so you won't have to waste money on batteries.) with it.,5,Excellent,974505600,"11 18, 2000",0.4373
5,A5FS50VW0GWEE,B00000J97G,Baseball Johnny,"[1, 6]",I don't see all the hype in this portable gaming device. The games graphics are so terrible (So is Game Boy Advance). The only good Nintendo graphics is the brand new Nintendo DS which has Nintendo 64 graphics which isn't too shabby. But I really hate the Pocket and Color because it's a waste of money. Why would you get something in black and white with terrible graphics and then get one with only some colors (It's not that good) and plus the addition of bad graphics...now that's what I call a bad deal.,2,Game Boy Color,1106697600,"01 26, 2005",-0.3923
6,A1VA4Z4B7Y74KY,B00000J97G,Brad,"[0, 0]",Must I say more,5,Five Stars,1404777600,"07 8, 2014",0.0
7,A1L8HNSNIL7LP5,B00000J97G,Daniel McDonald,"[2, 3]","I liked this thing. It played in color, but used up batteries fast. The sound isn't all that great (too quiet), and the screen scratches easily.",4,GREAT!!,1141948800,"03 10, 2006",0.1248
8,A1YLVLMKZGTGS5,B00000J97G,Dave,"[0, 0]","It's the classic GBC for old school hand held gaming! It's not the latest and greatest, but there are plenty of games on here worth playing.",5,Review!,1358985600,"01 24, 2013",0.6361
9,A1WLE5121F7M00,B00000J97G,DeadPool,"[0, 0]",the system would be a bit better if it had a front lit screen.but it is still awesome.if you are going to get a game for this system i thing you should get zelda and pokemon silver or pokemon gold.thanks for reading,4,sweet,1400198400,"05 16, 2014",0.4404
10,A10FCZHS6L5SA1,B00000J97G,DONKEY KONG Go portable with games,"[0, 0]","This is the origanal Gameboy Color its not some crappy SP this was amazing due to all the colors on the screen and the size was better than a gamegear for sure. Most of the titles are great and take full advantage of the colors many people say that it's not that great only because there is no backlight,but who cares anyone remember the Gameboy Light? And how did that turn out, horrible nintendo did mot want to take another risk like that and they were right backlights and graphics don't make a game console*cough gamegear cough* its the games for the console and these games are awesome so if you want dust off your old library of Gameboy color games go for it youll be sorry if you don't",5,Better than an SP,1190764800,"09 26, 2007",0.6104
11,A3L3SPDV9J5UJY,B00000J97G,dre344,"[1, 1]","Some consoles like Dreamcast and N64 are really good, but hard to carry around. Ether in teh house or ont eh read this console rules! I would like it to maby be a bit smaller like the pockets, but other wise its really cool. Some of the games you play on the computer, well like Tomb Raider are good, but the controls are so confusing! But on the GBC's versiond of the game is really easier to controol and still has all that good stuff. Its a really good console. And the Atomic Purple is the one i have and its really cool. So BUY THIS ITEM!!! Its really good.",5,Good Fun!,1007164800,"12 1, 2001",0.3942
12,A1JLX0VQSN84BT,B00000J97G,Ds Lite Miser Deoxys+Darkrai,"[0, 16]",The gameboy color was good but i really like the 1989 gameboy the grey one that takes 4 batteries,1,"Pathetic, Prefer original GameBoy",1190332800,"09 21, 2007",0.7131
