,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3EZEP0FX5BC1P,B00004Z69W,A Conrad Ask Conrad,"[0, 0]","We bought these initially for our daughter's first birthday party a few years ago, and we were very happy with its ease of use and professional look. Since then, we've used it on just about every event we send invitations for. In addition, we've also used these to print labels for just about anything (plain shoe boxes, photo boxes, labels on back of pictures, gift bags, and fancy name tags for drinking glasses/cups at parties).Because it is clear, it can go on any color of envelope (except the dark ones). Labels printed fine on our inkjet printers (HP Deskjet PSC 750, Canon Pixma MX870, Epson Artisan 810) in black & white and in color, and the results were excellent. I've used it on laserjets as well (HP Color LJ 3550 and HP 2420), and it prints fine. I just let the printed product sit a few minutes, just in case the laserjet ink was still wet (I've actually tried to smudge a few labels after printing on a laserjet, and the ink did NOT smudge at all). The results were just as good as the deskjet printed set. Word 2003 and 2007 has the proper template for this product. The template for Word XP and Word 2000 can be downloaded from [...].The labels are easy to peel, thanks to the pop-up edge for easy peeling. Because they are clear, they are virtually invisible when applied to almost any colored surfaces. This gives the finished product a professional look without the professional price.Though we've gone through many of these over the years, I've only just got to write a review for this recently. I highly recommend this product.",5,Great little labels for just about anything,1281571200,"08 12, 2010",0.3977
1,A3SZXYX9YEDGT6,B00004Z69W,Addison Dewitt I'm nobody's fool.,"[0, 0]","Avery Labels have been a part of my mailings for various events for over two decades. But this is the first time I've ever used the clear versions and I have to say, this is a darn good product and I'd probably buy more.The labels do smudge rather easily and this might be difficult to see when the labels are still on the carrier sheet, but you can see the smudges kind of easily after they are stuck down on your envelopes, so a bit of care and clean hands are needed when doing large mailings.The ink from my printer dried pretty quickly on these labels and it seemed more crisp (with no ink spread) than others I've used and they ran through my printer with zero problems.These labels peel fairly easily off the carrier sheet and the transparent label stock looks great on various kinds of envelopes, colors and textures which makes it seem like the label is made of the same material as your surface at first glance.As others here have written you can also use these for handwritten labeling as well as machine labeling and the quantity is enough for most basic mailings or labeling jobs. A great product, but a little pricey for those on a budget.",4,"Decent product, priced a bit high",1280880000,"08 4, 2010",0.4525
2,A32GCOTGFJ9XC3,B00004Z69W,Alex Honda onyx575,"[0, 0]","The AVERY CLEAR ADDRESS LABELS 8660 are really easy to use. If you have MS WORD, you can just go to labels, select the #8660 and start typing away. You can create one label or a whole sheet of labels with the same or different addresses. If you don't have MS WORD you can go to Avery's website and download templates for Adobe Photoshop, Illustrator, or InDesign. Don't have any of those programs, no problem because you can download -- for free -- Avery's Designer Pro for either Mac or PC and you can design in that program.Since the labels are clear, the typeface will stand out from the background color of the envelope and looks really elegant even if you're using white colored envelopes.They're easy to peel off and stick securely, and if you have an odd sized or shaped envelope, you don't have to fight with the printer to accept it and risk ruining as it goes through the feeder. You just print on the label and then fix it to the envelope.Avery also has pre-designed templates that feature clip art on the labels that you can download, also for free, so you can make personalized invitations or holiday cards etc.I highly recommend AVERY LABELS 8660 for ease of use and professional looking quality.",5,*Easy* To Use And Looks *Nicer* Than White Labels...,1285545600,"09 27, 2010",0.4752
3,A2I98OOPNIJNYY,B00004Z69W,Altar Boy Pax Vobis,"[0, 0]","If you need a label where you don't want the background to show, then then these lables are for you. Believe it or not, I use these labels for my home brew beer bottles. With a clear label I can make a custom made label on my carefully crafted home brew that makes me look like a brewing professional. No more white background on my beer bottles. No sir - now my beer bottles look professional. Kidding aside I love these clear labels and recommend them to those who wish to hide the background.",5,Invisible background,1282003200,"08 17, 2010",0.1542
4,AD0WUBKBO21KK,B00004Z69W,Amazon Customer,"[0, 0]","Use a template to easily print clear address labels. These may smear if you touch them while they're wet, but that's true of paper labels, too, so it pays to be careful after they're done. Very handy, attractive labels.",5,Good labels,1300492800,"03 19, 2011",0.5651
5,A1P2XYD265YE21,B00004Z69W,Andrea Readaholic,"[0, 0]","I love these clear labels; you can't even see them when they are affixed to an envelope or to anything else. And they are for ink jet printers; therefore, I can run these through my printers, and instantly have address labels, or labels for boxes, or for whatever I need/want them for.These labels are awesome, and they make life so much easier.And, these labels are wonderful for cosmetic reasons. They are clear.",5,Clear Labels,1281139200,"08 7, 2010",0.6639
6,A146H4KN4LFR60,B00004Z69W,angelfood,"[0, 0]",These labels were easy to use. They printed out with no problems. I would purchase these when next in need of address labels.,5,"Print fine, Work fine",1283385600,"09 2, 2010",0.2498
7,A28ZDVY6NV75P,B00004Z69W,AZ Desert Rat movie buff,"[0, 0]",I like that fact that these are clear. When putting on a colored envelope they look super.,5,Love that they are clear,1285372800,"09 25, 2010",0.6121
8,A1INE33UQ1B4Q3,B00004Z69W,booktalk29,"[0, 0]","These labels are excellent -- 100% clear.PROS:--Sticky but easily removable--Labels are lightweight and thin--Labels look sleek/high qualityCONS:--Labels are a bit delicate--Price is highIf you are in need of clear labels, these are a great option!",5,Excellent!,1282780800,"08 26, 2010",0.9412
9,A2EHYCA29NSQLU,B00004Z69W,Bud,"[0, 0]","Being from Avery, these worked perfectly in Word's built-in template for the Avery 5160 label. Alignment was consistent throughout the whole page.These labels should not really be labeled clear, though. They are more of a matte transparent material, similar to tissue paper. When placed on white envelopes, etc., they do disappear -- sort of like Scotch Magic tape. If you were expecting some kind of clear plastic, though, these aren't it.The Easy Peel is a great feature to just remove a label or two without crinkling up the whole page which you know will lead to paper jams and/or smudges if you need to run it through the printer again. It is also easy and a time-saver. This is an excellent feature.Also, I ran a few labels twice through my Epson ink jet printer. The ink appears to dry like on paper, and there was no smudging even when I tried with my finger. I would also rank the adhesive above average stick.My only reason for 4 stars is that it is not really clear. It is a matte light white transparent. Depending on what you put it on (color/finish), you may get a different appearance.",4,"Excellent labels, but not really clear",1285027200,"09 21, 2010",0.2283
10,ASFP250F22MDZ,B00004Z69W,But I'm feeling much better now...,"[0, 1]","There are no Avery templates for iPages, so if you have a Mac your out of luck unless you use MS Office.Seriously, does anybody really print out labels and stick them to envelopes anymore? Don't all printers take envelopes these days?I guess if you need to print labels these are a lot better than white labels. They stick well.",5,"These work fine, but why?",1300147200,"03 15, 2011",0.3053
