,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3G0VC4V40KYFG,B00000JL6V,Amazon Customer,"[1, 1]","This will be short. Simply put, Riven is my all time favorite game. The story is deep. The graphics are excellent. I was fully absorbed. If they could create a game with graphics like these in real time 3d - could you imagine. It's a great game.",5,My all time favorite,1010102400,"01 4, 2002",0.3161
1,A2IOKA7AQYLLZU,B00000JL6V,A. N. Kershner Igloolik,"[1, 2]","I hold a deep affection for this game. My brother bought it for Playstation on a whim, having never either played or heard of Myst (I still haven't played it), and I played the game alongside him, both of us consulting the walkthrough the whole time (something I now do not condone, but we were young - what do you expect?), and thoroughly enjoying it. We had hours of fun playing it over and over, memorizing the steps, the scenes, and every instance of the number 5.This game started my love for everything Myst related, and made me realize that I can play video games too. Until seeing this game, I thought that all video games required finger dexterity and quick reflexes, neither of which do I have.Sure, it may not be the best as far as graphics when compared to newer games, and may not have the three-dimensionality of subsequent Myst games and many newer games, but it still holds a magical quality and the storyline can't be beat. This game is a true classic, and everyone who plays adventure games should play it. As far as storyline and puzzles go, this is what adventure games should be.",5,My first video game.,1216857600,"07 24, 2008",0.3935
2,A3S87ZOPB3UM9N,B00000JL6V,atmj,"[4, 5]","I can't recommend this game enough. You walk away smarter.If you like a game with a lot of action forget it. If you like to feel like you accomplished something, this is the game for you.It's predecessor Myst was excellent preparation for the type of game this is. There is no &quot;Action&quot; per se, just clues and objects to work through. You don't get killed, you don't get points. You do however get an appreciation for how intricate details can be interlinked.Imagine that you end up in a land, where you have to put together the pieces to figure out what happened. This is both Myst and Riven.If you play Myst first, it will help you understand what this is all about. I recommend it highly. It will give you a sense of what you are looking for and why. Myst was a land where you realized that two brothers had done something and were trapped in books for their efforts. Their father and mother also were elsewhere and looking for one another and had left clues in this same area. Your assignment is to piece together, what happened and use your gut feel on how to act in regards to that. There are in fact 4 possible endings to Myst.In my opinion and from what I have seen at home, unless you have a very analytical child, this will not hold their interest. This is an adult game and not from the perspective that you are protecting the child. I honestly think this would be an excellent assignment for a child to hone their thought processes on. However the lack of action and need for real thinking most children will think of as work, not fun.Put on your thinking caps and dive in.I'm waiting for the next one.",5,A thinking game,967593600,"08 30, 2000",0.1365
3,A3ME62ZG7A27KD,B00000JL6V,Aussiemystic aussiemystic,"[0, 0]","Riven is a worthy followup to Myst and still must rate as one of the alltime great adventure games.Those familiar with the Myst series will know some of what to expect: lush visuals (although in static form, no 360 rendering), a detailed storyline, fiendishly clever puzzles, much mysterious machinery, and a need to respond to and interact with the environment in order to solve the game.There are some important differences to the Myst series. First of all, rather than exploring a number of different worlds, or 'ages', in Riven you explore one (albeit large) world, comprised of five islands. There are links to two other 'ages' but these are very sketchily developed and there is not much to explore here. There are some differences between the islands, but the radically different tones of the ages in Myst or Myst III is missing.This has its advantages and disadvantages. The world you explore is much larger, and you can progress over virtually the whole world without needing to solve many puzzles, allowing even a casual player a good glimpse at the world of Riven.However, it also means that the puzzles are less contained and linear than in the other Myst games. As well as a number of smaller puzzles, there are two major puzzles to be solved, clues for which are scattered throughout the islands. Even with the smaller puzzles, the control to open a vital door might be located a long distance away, or only accessible via a very circuitous route. This can add another degree of complexity to the puzzles. Having said that, there is a degree of logic to most of the controls which are based on the culture and lifestyle of the inhabitants of Riven. The puzzles generally also operate in a logical manner and relate well to the entire environment of the game.There is little action for the punch-em-up enthusiasts - but they're unlikely to be reading the review anyway.In summary, a fantastic game that will engross you for hours - I just wish more alternative ages could have been included.",4,Astonishing journey to a fantasy world,1065571200,"10 8, 2003",0.3356
4,A2JJSCIGPZDWHI,B00000JL6V,BENJAMIN MILER,"[3, 4]","I tell you this, the creators of Riven sure did their homework in the four year gap between the original Myst and Riven. The graphic improved drastically, meaning whatever computer you were running the original Myst in '93/'94 (Myst first appeared on the Mac in '93, then the PC the following year) would probably not be adequate to run Riven. Certainly Myst had made even greater improvements in the graphics department since Riven, like the 360 degree panning feature for Myst III: Exile, and even more photo-realistic graphics and animation for Myst IV: Revelation, but even for 1997 standards the graphics to Riven still hold up, although it's rather obvious the graphics looks a little more pixelated during some of the animated scenes (like when you take a ride on the cable car, probably to keep the animation fast without slowing it down for the computers of the time). But for the most part, the graphics seem so realistic you almost feel like you're there. Of course the big pain is this game consisted of 5 CD-ROM discs, which you have to swap every now and then, it's too bad they didn't have an install feature where you could install all five discs on to hard drive and only need to use one disc to play the game (like the much maligned Schizm: Mysterious Journey, a game from Poland that's very much like Myst, which had five discs in the CD-ROM version, and you had the option for full install so you didn't have to keep swapping discs).It's agreed by most everyone that Riven is more difficult to solve than the original Myst. The puzzles often don't seem obvious, and there are some puzzles that can be frustrating, like the marble puzzle, which you have to solve in order to gain access to the domes found on Riven. Or the animal puzzle, which you'll find a bunch of stones in this one room with animal symbols that you have to push in the right order to go to another world. On the original Myst, after you won it, Atrus tells you that his wife Catherine has been taken prisoner, and on Riven, you're supposed to find and free his wife, taken prisoner by Atrus' father, Gehn. Also it looks like a different guy was playing Atrus on Riven from the original Myst, in fact it was none other than Myst creator Rand Miller who plays Atrus on Riven (as well as Myst III and IV, though I hadn't played Myst V, so I can't tell you about the game or the characters), although I'm uncertain who played Atrus on the original Myst. I really love the ambient music that goes with this, not to mention the beautiful scenery found throughout.Although a bit tricky in places, you're certain to enjoy this game if you're in to Myst.",5,Second great installment in the Myst saga,1148688000,"05 27, 2006",0.5313
5,A160AB64G2E949,B00000JL6V,B. GOODWIN dragon678,"[1, 1]","Though I didn't think it would be possible without adding real pictures, the graphics on Riven exceed those of Myst. Every scene is elaboratly detailed and very pleasing to the eye. The sounds and music are much better and sound even more realistic. They also have added more animation. You see more things moving around that makes it seem like you are more involved in the game. They have also added some very cool features such as a roller coaster type vehicle that lets you travel from island to island and a submarine used to travel underwater. The game play is much the same as Myst, but sometimes you have to go to one area and do some things to complete a puzzle in another area. You also have to learn the Riven math system to solve other puzzles which I thought was a cool idea. Ultimately, all these things add up to tougher game play, but this game is well worth it.",5,A great sequel!,981936000,"02 12, 2001",0.3478
6,A12VYIWTARD5G6,B00000JL6V,biteoffmorechew,"[1, 2]",I just played it in April of 2002 and it stands up over time as the best adventure game ever made! Superb.,5,All time best adventure game ever made,1018310400,"04 9, 2002",0.7364
7,A2KOPQQJ7V9711,B00000JL6V,C-3PO The Great Game Geek,"[1, 2]","Played it for the first time, after it has been out for over ten years. Great game. The puzzles are hard, but not impossible to solve. If you truly love Myst, then you will certainly love this game. (Do not use walkthroughs, it ruins the game!) Also, keep in mind that the 5-CD Riven set is for outdated computers. It will most likely not run on Vista or XP, at least not without some major glitches. Wish I had played this sooner.",5,An incredible game!,1212105600,"05 30, 2008",0.2194
8,A39619NYBJ6SEN,B00000JL6V,CBug,"[0, 0]","If you think you are smart enough to finish every computer game in the world in a few days, think again.Riven is THE hardest computer game I have ever played. I know someone who got this game and it took him six months to finish it! I myself have not finished it yet.If you get this game(I strongly recommend that you should), you have got to turn off the lights, turn up the sound, and you'll step into the strange world of Riven. It's really cool.This game requires tons of brainwork. If you don't think hard, you'll never finish the game.So, I think you should get this game. The story is great, the graphics are great, hey, EVERYTHING is great!!!",5,"VERY VERY challenging...and fun, too!",1045008000,"02 12, 2003",0.2934
9,A3M3QP00DJ4SMI,B00000JL6V,Darth K. Harris,"[0, 0]","Excellent. Sound story line, great graphics and challenging puzzles. Although I found I had to cheat just a little using the Universal Hint System on the Net. All in all it is well worth the purchase.",5,Riven,1032048000,"09 15, 2002",0.3157
