,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2YC0ADOK1SNMK,B00000J08Q,"Batavia Machinery, Inc Batavia Machinery","[31, 34]","Trust me it does not work. I have tried it on all rooms, anddoes not transmit. Waste of money. If you want an item that does work I have found the SBC wireless to be the best and you can buy it at amazon or walmart.",1,Do not buy if using for dish network,1127520000,"09 24, 2005",0.2061
1,A2G4OJFE2Q4HJO,B00000J08Q,Blaine,"[0, 0]",I bought this a few years ago and works well for the phone connection that my DVR's require. I've had no problems with this unit.,5,Works for DVR connection to phone lines,1372204800,"06 26, 2013",0.2911
2,A3SZOSH24K83K6,B00000J08Q,Bruce D. Miller Telecom Entrepreneur,"[1, 1]",I purchased this product to provide phone connection to my DSS receiver. I do not have a phone line in that area and this seemed like a nice solution to the problem. This is a low data rate application and voice quality is clearly not of concern. The product was easy to install and worked perfectly for this application.,4,Worked for providing phone connection to my DSS receiver,1193702400,"10 30, 2007",0.3872
3,AYE6O5A7WOXR0,B00000J08Q,D. Hill,"[1, 1]","I got this for a friend to use on his dial up modem, and it works flawlessley.Great buy.",5,This really works.,1175817600,"04 6, 2007",0.4939
4,ADBVNJLWZ4IT0,B00000J08Q,E. E. Andersen newarkshark,"[8, 9]","Used a Panasonic 2.4Ghz phones as the extension and it would not get a dial tone. Plugged in a simple corded phone and it worked just fine.So, beware, the operation of the unit is uncertain.",2,Doesnt work w/wireless phone,1134777600,"12 17, 2005",-0.148
5,A2JIQ6SZ1PQ6P9,B00000J08Q,HackZaw,"[2, 3]","These worked OK for a while, then they died. Reset button and repeated attempts to connect failed.Not recommended.",1,Short working life,1246060800,"06 27, 2009",0.0163
6,A1IF3VUAXBTX00,B00000J08Q,Joaquin Arosemena Bristol,"[1, 1]","This device did not work for me. They use the electrical wiring in your home to send and receive the sound signal. That electrical wiring can also carry a lot of noise from electrical appliances and even from light dimmers. In an apartment the noise is increased by all the electrical devices used by the neighbours, so in my case it was very noisy making this adapters a total waist of money. I found a similar device that uses 2.4GHz and it works great for me. But the device called DualJack could potentially interfere with other 2.4GHz signals like a computer wireless land or even wireless phones, so far I have not had any interference. You have to try them and see what works for you. Joaquin Arosemena",1,It picks up a lot of noise from household appliances.,1194393600,"11 7, 2007",0.1443
7,A2YSY26ZVMNNV2,B00000J08Q,Marcus Fenix,"[22, 23]","If you need to add a phone extension without cables or need to hook up a fax machine this product is ok, but for modems and internet connections, your speed will go dooooooown to 9600 or even less.",2,"For voice or fax only, not for modems",1073520000,"01 8, 2004",0.0
8,AB6KW0XLW1MR7,B00000J08Q,Mazal Mazal,"[0, 0]","Despite several attempts (including changing locations) I was unable to get a strong enough dial tone for my fax.I have seen that a real wireless 2.4 mgh phone extension system is available in Europe but not in the US, where I only find powerline systems.",1,No fax,1285891200,"10 1, 2010",0.2846
9,A1N3GNCJWXQ1ZP,B00000J08Q,"Robert Carnevali Typical, middle-aged guy","[11, 11]","I purchased this to add an extension phone line into my bedroom. Because of old wiring in the house, the phone jacks in my bedroom stopped working and no dial tone was available. While I use a cordless phone with the main base in the other room, I needed a phone jack so my Tivo could dial out and get programming information. When set up, the two units would be in separate rooms with a hallway between them. I purchased this unit from a store after the clerk assured me the range and quality was good enough that I could use it almost anywhere in my house. After a lot of effort, I find the unit to be nearly worthless.The range is VERY limited. I made sure that the only obstructions between the transmitter and base were the two walls between the two rooms and nothing else (furniture, electronics, etc.) were in the way, yet there was no dial tone. I moved the receiver so that only a single wall was between the two units, and I did get a dial tone, but had such a bad signal that voice calls would be painful to listen to. I couldn't imagine using it with an electronic device (like a modem or Tivo) that sends data. I got the best signal when both devices were in the same room and within 15 to 20 feet of each other. Needless to say, with that kind of configuration, it's easier and cheaper to just run a long phone cord along the baseboard.",1,"Nearly Worthless, save yourself the aggravation and just run a phone line",1175299200,"03 31, 2007",0.0264
