,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AWKZAUC0D8DYL,B00006B8GI,Auskan Auskan,"[1, 1]","If you like professional and uniform looking labels - and I do - then this is a great product. I have a P-Touch label maker that I have used forever to create labels for my file folders. Rather than hand-writing, I print the label, then peel the adhesive strip to the file folder and I do like that my labels have a uniform look. What detracts from this system is that my labels are printed on white, so once adhered to the file folder, the label as well as the text is clearly visible. What sets the Avery labels apart is that the label itself is clear. Thus, it is virtually invisible once it is adhered. This adds a very professional look to the labels, in addition to the uniform look.However the reason I said in the title that they are best for business use? The label sheets can be run through your printer which will print the whole page at once. Prior to their arrival I didn't think this would be a problem, as I could just print a few, then save the sheet and next time I needed labels, print a few more. Nuh-uh. The sheet can ONLY be run through the printer one time, due to the adhesive residue on the page that will gum up the printer. This means I need to know ahead of time what labels I will need for all 50 labels! Now granted, if I were starting a new project of some kind, that wouldn't be a problem. But generally I need to create only a few labels at a time - and I don't want to wait months until I have 50 labels that need printed! For this reason, I downgraded my rating to a 4.The software templates available online make it easy to create the labels. You can even add a graphic, such as a logo, to the label. When I saw the suggestion that you can print a label for both sides of the divider at once, I could not at first see how this would be useful. However I now realize how handy it is to have both sides of the divider labeled. Now, no matter where I am in the binder, I can easily flip to the section I need. (This feature means I only have to wait until I need to print 25 labels, instead of 50, before printing the whole sheet. It also means I go through twice as many labels.)Another nice feature is that rather than having to peel and stick individual labels, it is easy to label a whole strip of five at once. You simply line them up, stick down the labels, then when you remove the outer strip, all that is left is the labels on the dividers.The dividers themselves are flimsier than I would prefer. Thicker than paper but not as rigid as a good cardstock. The corners are sharp rather than rounded. So far this hasn't been a problem, although I can see them getting turned over and creased more easily. The hole side is reinforced and so far has held up well.Overall this is a good product but I do believe its best application is in a business setting where multiple labels are frequently required.",4,Great office product - not so good for personal use,1285200000,"09 23, 2010",0.3129
1,A1HFT68GJ42LTM,B00006B8GI,AverageGuyShopper,"[0, 0]",".. which is great! I will echo other reviewers to say that this is good for larger jobs. For just a few tabs... it's just easier to write it in neatly. I like that there is a template to use with MS Word, which makes it a lot easier to use and to keep projects organized in the same folder for future duplication.",4,Typical Avery quality...,1284508800,"09 15, 2010",0.5962
2,AC6HYEG9JT441,B00006B8GI,avgvstvs Matt Seil,"[0, 0]","This us an interesting product which allows you to quickly label file folders in groups of five in one shoot. You simply line up the folders, remove the one long strip of paper from the back of the stickers and press onto the folders. This product is useful if you are completing a large storage project but would be useless if you were simply adding a folder to your groups of files.",4,A New Faster Way to Label Multiple Folders,1280880000,"08 4, 2010",-0.1115
3,A1MR1VMK999I6O,B00006B8GI,Beth DeRoos Beth DeRoos from the California ...,"[0, 0]",As a rule I find the company makes quality products. But you need to install software to make the index spacer work and if you are in a hurry this product may be way to much work. But compared to the cheaper tags you find in most office supply stores this product is nicer looking when you get done. Just wish it were easier to use.,4,Quality company but hard to use,1283990400,"09 9, 2010",0.3158
4,A8KWNRQPZLAXC,B00006B8GI,Bette,"[0, 0]","First of all, you don't have to go to [...] and register in order to download the template. You can download from Microsoft's website. (I accessed it quickly by searching Woord 2007's online Help.) Click DOWNLOAD, accept terms, follow prompts and such, then you will be prompted to enable macros in Word. Once that process is complete (a few mins), you're all set to start creating. (You'll want to adjust the SAVE AS option, make sure you save it in your Docs, or wherever you keep templates, otherwise it goes into a preset MS folder and you may never find it again!)It's very user friendly. This is not your most basic Avery label, where you insert directly onto the template. Rather, you insert text and photos from a separate on-screen window. You can add different pictures on each tab (left or right position, easy Browse and Insert from Your Pictures) or the same pic on all tabs. Same with text. Click OK to view template, and if you need to edit, click EDIT TEXT OR PICTURES on the toolbar and the screen returns. Changes are made quickly enough, with a visible progress bar. Fonts can be easily tested out and edited - ctrl+a to select all on the actual template, then scroll through several preset fonts to see the changes before your eyes without final editing, then click the one you like best to make the changes final. You can also access and use MSWord's full set of installed fonts by clicking Create New Theme Fonts and saving as Custom.The template automatically prints in BLACK, size 14. What I have not found is how to quickly change the entire page's font COLORS and SIZES. The only way that has worked for me is to select the text on each individual label and then apply a new color or size from Word HOME (off the Avery template toolbar, back onto the Word toolbar). I have tried several tricks, nothing has worked. This is unfortunate, as color coding can be an extremely helpful and effective way to access specific tabbed sections of information.The template screen gives you the option to start on any row you choose, which is a great way to conserve template sheets, since you may not use every label on the sheet every time. You can print more than one set at a time and then Collate or Group.Overall I really like these, and I will forgive the color and size faux pas for now. But these options would be a nice update to the label for future editions.",4,"Easy to use, can even print pictures on labels",1278806400,"07 11, 2010",0.323
5,A27QXQQOLAMRRR,B00006B8GI,Bone JLLaser-net,"[0, 0]",I'm loving how the rings are the connecting to each other with the pin. That is such a better idea over other binders out there. also the ease of how they open and the side mounted binder instead of the back panel. So much better.The printable tabs are a great little add as well. I can redo them as I like and I can even handwrite on them as well. Plus the fact that all you have to do it line up over your set of tabs and just push them down. Makes life so much easier in general.....This is the perfect item for those of us with a little OCD when it comes to organizational issues...lolall binders should have the level of quality that this product offers.,5,Great product all around,1279152000,"07 15, 2010",0.4926
6,A1INE33UQ1B4Q3,B00006B8GI,booktalk29,"[0, 0]","These dividers are good for general use.PROS:--Durable--Professional looking--Convenient labelsCONS:--Not much different from other dividers--A bit expensiveRecommended for professional use. If you just need a set of dividers, these are much too expensive. You could easily improvise using cheaper labels and dividers.",4,"Great, But Expensive!",1282780800,"08 26, 2010",0.2601
7,A2HPVNZZF15W93,B00006B8GI,Brenda MYSHELFDOTCOM,"[0, 0]","I recvd Avery lavel dividers and heavy duty EZD ring binder. Cool.Over the years I've printed out many a label via Avery to use on their dividers. Both the labels and templates are easy-peasy. One template prints a row of labels together; the other individual labels. Templates are at Avery.com. Easy to download and use... Clean, crisp printing w/ jet printer. No more guessing if the labels are loaded correctly... The dividers are white and strong.Now the EZD Ring binder is very impressive... The info says it holds over 600 pages... And it really is one-touch... It has sleeves front and back on the inside. And clear sleeves on the front, back and side on the outside. The better to label and see what you're looking for... Nice...",4,easy-peasy,1278201600,"07 4, 2010",0.1678
8,A3AHDR4F2J7YXX,B00006B8GI,Caliaha Caliaha,"[0, 1]","I tried this product and liked it very much, but tried to call Avery to gather more information on their products and was disappointed with the fact that they have outsourced all of what used to be US jobs!!! On Avery's web site they have their Consumer Service Center shown as Brea, California. I called the number listed (1-800-462-8379) and was given several choices of support. There is an option for templates and software, products, and all other issues. Any of the options you choose whether you're calling from the US or Canada will route you to their call center in Manilla, Philippines. In addition, all of their products are manufactured in either Mexico or China, not Brea, California, USA. I am hesitant to use or recommend Avery products since there are very few US jobs associated with any their products. It would be really nice if Avery was up-front on their web site and list their Consumer Service Center as Manilla ;o)**************************************************My initial review of the product was good prior to my call to the Consumer Service Center in Manilla:I downloaded the Avery Wizard 4.0 to help me make the labels. It took some time to download and install, but well worth the time. The wizard was easy to use. I was able to use a big text size and printed the row of 5-tab labels quickly and easy.Once I had my labels printed out, I was able to lay down the row of tab sheets (you can not do this if the tabs are already in the notebook), align, rub-down into place, and then peel away the outside edging. If you have a lot of tabs to make at once this product would be very helpful. You get 10 sets of 5-tab rows per sheet.On the other hand, I still like using the Avery 612797 tabs which has 80 tabs per sheet and better for times when you just need to print a couple tabs.",1,"Like the product, but don't like Avery business practices.",1292889600,"12 21, 2010",0.2412
9,AV3XTMK5I2AWI,B00006B8GI,Canthespam,"[1, 2]","Let me say this right off the bat... I have NEVER written a review for a product that I haven't used personally, but in this case I have made an exception.I wrongly assumed when I requested these labels and dividers, that I could print out as many or as few labels as my project required. Read the instructions carefully - you can only run the one included sheet of 50, through your printer ONCE, and if the number that you need is less than 50, you cannot use the sheet again and have to buy either another package with dividers or individual packages of label sheets - either 10 sheets of 80 labels each, or 25 sheets of 80 labels. The reason they can't be used in the printer again is that the exposed, residual adhesive might ruin your printer.I contacted Avery's customer service (not mentioning Amazon or Vine) and was given the extra label purchase information above.Only one sheet of 50 labels comes with this package of 25 dividers. You can print labels to be used on both sides of the index tabs. Unless you have a large project, where you will be using all 50 labels, the others will have to be written on with a pen, which is all right if you don't want the uniformity of all of the labels being printed and not hand written. It is not a huge expense, but it would then require you to buy additional packages of 800 or 2,000 labels, again using the exact number that you require for your project, and throwing away the remainder of the sheet.Judging by the pictures only and the info on Avery's web site, professional results appear to be easily achieved with the printed labels. I have a project that only requires 15 labels and to be truthful, I will wait until I have a larger project, so I can print and use all 50 labels at the same time.For the $20.00 cost, I think that they should include more label sheets, varying the number of labels on each sheet. Maybe several sheets of 10 to 20.The package as it comes, and the purchase of subsequent packages of sheets, appears to be for industrial sized jobs, assembly-line production of multiple reports, or for companies/individuals who don't mind not having to write in headings on left over unprintable labels.As for the binder that was included in the Amazon/Vine package, it appears to be a good buy. It is sturdy and for people with hand problems, arthritis, etc., the binder ring lever at the bottom of the ring panel, opens the rings with ease.",3,Not Practical For Smaller Projects,1279756800,"07 22, 2010",0.097
