,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2PZO2V0HWG7IF,B00006IAKZ,Albert Lee,"[0, 0]",Simply mesh business card holder that matches the rest of the various big box office supply mesh product styles. It holds business cards just as well as any other stiff rectangular object.,4,Simple mesh business card holder,1358726400,"01 21, 2013",0.1366
1,A3CZ8FSR0VWSR5,B00006IAKZ,Amazon Customer,"[0, 0]",I use these as a holder for my smartphone (Motorolla Droid Razr Maxx HD) in places like the kitchen counter to watch videos while washing dishes and on the bedside table at night. Works great for this purpose. Would buy again.,5,Use these as a holder for my smartphone,1357603200,"01 8, 2013",0.3287
2,A4EWK1BCKU4OC,B00006IAKZ,Amy G. mammoth81,"[0, 0]","I ordered this to put my business cards in. It does the job. Nice price, looks okay. Good for basic business cards.",5,Your basic business card holer,1396828800,"04 7, 2014",0.2531
3,A3GJX3SGM00T1T,B00006IAKZ,Atalinder S. Bindra,"[0, 0]",Good. I like it. It looks good on my billy book stand. What else I can write about this card holder. Its good.,5,Good.,1357171200,"01 3, 2013",0.3365
4,A245DTGCSY59ET,B00006IAKZ,dj lg,"[0, 0]",use this to hold my note 2 on my desk at a good angle. best 2 bucks spent ever. nice metal construction is good quality.,5,"For 2 bucks, great cheap phone holder",1367971200,"05 8, 2013",0.5894
5,A3DQUCHHTFAOLA,B00006IAKZ,D. Smith,"[0, 0]","I have seen these all over the place. They are pretty basic, but the price and functionality are great. I have several.",5,pretty basic,1388275200,"12 29, 2013",0.2765
6,A28X7NZ02016FO,B00006IAKZ,eCognition,"[0, 1]","And that problem is the advertisement logo eldon on the back. I might be picking at nothing here, but a business card holder should advertise the business card that it holds and nothing else. Other than that, what you see is what you get with this. I ended up using a sharpie to color it in so it blends in. Overall, a good buy and certainly worth the couple extra bucks it costs over an acrylic card holder.",4,Good looking. One problem.,1301011200,"03 25, 2011",0.0666
7,A2IBRTI9KWYQQX,B00006IAKZ,Greg Plese,"[0, 0]",Perfect for my business cards. Love the mesh design.,5,Nice little business card holder.,1405036800,"07 11, 2014",0.6044
8,ACV136D7UQVE4,B00006IAKZ,Katie,"[0, 0]",It's nice and professional looking; not cheap at all. I use it at my main table at all my craft shows and it looks wonderful.,5,Great card holder!,1397088000,"04 10, 2014",0.4967
9,AW6A4PPENVZY3,B00006IAKZ,Li Amazon-Aholic,"[0, 0]","works great, use this to put our promotional business card at offices. i custom made a small tall card to put on back of the business cards on the stand to &#34;catch your eye&#34;, and it seems to be great ideal.",5,works great,1396396800,"04 2, 2014",0.7212
10,AKWA0KM0C6WOO,B00006IAKZ,LPN78,"[0, 0]","These are just fine for my business cards in the summer outside on the produce stands, etc. They seem to have held up just fine the last summer and they got wet a few times and there is no rust, etc.",4,Good,1388620800,"01 2, 2014",0.0498
11,A37KJYOYIWSXK3,B00006IAKZ,Sherwin,"[0, 0]","Light weight, looks modern, and holds my business cards. Can't get a better price either!",5,Economical,1404172800,"07 1, 2014",-0.2008
12,ARFRKSZXZF0PS,B00006IAKZ,tperry tperry,"[0, 0]","Good little product for making business cards handy on top of the desk.Could use some small rubber feet to keep it from moving so easily. The little think is so light, and there is so little friction between it and the desktop, that it slides away as someone tries to get a grip on a card.",4,Decent little product,1404345600,"07 3, 2014",0.3896
