,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2RMMLCU94BDFJ,B0000B35D3,1995shopper Choose to be happy,"[5, 5]","I bought these during a sale and got them for just under $50. I plan to use them as a birthday gift. They are just the right size. I wish I could have them for myself! I expected they would be flimsy, but they don't seem to be at all. Highly recommend especially when on sale.",5,Feel more substantial than expected,1233532800,"02 2, 2009",0.2196
1,A2MDL0OV4AMTPM,B0000B35D3,Amazon Customer,"[0, 0]","I am glad I looked up earrings on Amazon because I couldn't find the right size for me anywhere. So I had to by different kinds until I could find the right one. I love my earrings, thank you. And I would recommend to anyone who likes hoop earrings then this is the one for you.",5,14 kt yellow gold half round hoop earrings,1377043200,"08 21, 2013",0.498
2,A2CC8MLBSTMKPB,B0000B35D3,Bettieg Bettie Gatewood,"[1, 1]","Beautiful just sent them back for reason they are to small and plan order larger onesDuragold is a beautiful glowing 14K gold, I have a couple of duragold.",3,Duragold Hoop Earrings,1387670400,"12 22, 2013",0.8316
3,A22QW0KEIOA4Z1,B0000B35D3,BMW ArlAlone,"[0, 0]","They are a great work earring. Small, yet wide enough to signal they're there. Don't brush out on a hurried morning. Exactly what I was looking for. Well made. Good quality.",5,"Lovely, one step up from studs, these are well made",1356825600,"12 30, 2012",0.2231
4,A2DIWLOSJPMH6V,B0000B35D3,BonBonz,"[0, 0]",These are smaller than they look on the website. A little smaller than a dime I think. I like them - easy to wear etc,4,Nice but small,1398470400,"04 26, 2014",0.2199
5,A260QLS8Z33KCQ,B0000B35D3,Bun,"[0, 1]",I have short hair and I sometimes feel that my earrings are too big for my face. These are a perfect size. they cover the lobe and look a more expensive than they are. I will be looking for a white gold set.,5,Just perfect,1381449600,"10 11, 2013",0.143
6,A1DROPHCG4FX0N,B0000B35D3,ChemLuddite,"[1, 1]","This is a replacement pair for an identical set I had for over three years. Nice quality, the clasp to keep earring on is very solid, lost last pair on vacation.",5,Great clasps,1382659200,"10 25, 2013",0.1383
7,A2SQX1QSO0QVII,B0000B35D3,Christina,"[0, 0]","These duragold 14K yellow gold half-round hoop earrings are the best on Amazon! These are made high quality in nature and are made to last. These have a great clasp that won't ever let you down. These will not fall off-they are made well. These look classy, stylish and are a must-have for all. They do look bigger in the picture than they really are though but I didn't want them too big. They are by no means small just not as shown-so please keep that in mind when purchasing them. I absolutely love these earrings and will have them forever. A definite recommend to others on this one!!!",5,THE GREATEST 14K GOLD HOOP EARRINGS ON AMAZON!!,1394236800,"03 8, 2014",0.2805
8,AEZYVY4CS0ZAC,B0000B35D3,Coy D. Kelly Coy,"[0, 0]","This is very spectactular, beauty at its best, gorgeous to look at and brings out any outfit. These are just beautiful.",5,Duragold 14k Yellow Gold Half round Hoop Earrings,1362182400,"03 2, 2013",0.7611
9,AHXSLU9C78I2G,B0000B35D3,Donna Mae Baukat,"[1, 1]",This item is smaller than the first impression I had when viewing the description. I would not order such jewelry again.,3,Smaller Than First Impression,1389916800,"01 17, 2014",0.1132
10,AMPGRXQMO89X9,B0000B35D3,Faye L. Bowring,"[6, 7]","I wear mine for weeks at a time and forget I have them on. They are high quality and very attractive hoop earrings, but much smaller than I had imagined. They are keepers and the price was right!",4,Attractive little hoops!,1209859200,"05 4, 2008",0.0154
11,AE97LDFD9GYVN,B0000B35D3,gorry42 GO,"[1, 1]",perfect size and light weight compared to the ones I had that were stolen But here again I wonder how long they will last. They used the least possible amount of gold but I like them.,5,Beautiful earrings,1388707200,"01 3, 2014",0.2833
12,A3NRNWN0A9KRVM,B0000B35D3,Hawaiimom,"[0, 0]",Comfy. Looks good. Small hoop great. Great color. Wider gold band than I expected. I wear them all the time. Easy for sleeping.,5,Pretty,1375056000,"07 29, 2013",0.3044
13,A1WR6O4RXUZLF1,B0000B35D3,Jaunts,"[0, 0]","Bought these for my mom for Xmas. She really likes them. They also seem to be hypoallergenic. She is sensitive to that, so it was important.",5,Mom loves them,1389571200,"01 13, 2014",0.185
14,A14JCD7G4Q4SVC,B0000B35D3,Joan L. Smith,"[1, 1]","The earrings have a very good clasp that locks tight. They are so comfortable, I slept in them the first night because I didn't realize I was still wearing them. I always wear earrings but i like small ones for my casual life.",5,Right size for everyday,1388448000,"12 31, 2013",0.5999
15,A30IHJYSOSELOC,B0000B35D3,Judith A. Blucker,"[1, 1]",Secure latch and easy to open and close. Great for activity like golf because they are secure on your ears. Beautiful gold color...,5,Very nice earrings,1379462400,"09 18, 2013",0.6961
16,A1TNOFHQ4OW508,B0000B35D3,Juliet,"[2, 2]","These are small hoops, with an outer diameter of just under 5/8&#34;. However, they are classics that will never go out of style.",5,CLASSIC GOLD HOOPS,1385856000,"12 1, 2013",0.0
17,A3QV0ZJJ7R8R91,B0000B35D3,jzamora,"[0, 0]","My Wife love it.She looks beautiful, elegant and SexyWe are really happy with this product but they are a little tiny.We recommended to buy the product because to be totally honest , is beautiful !!!!",5,Are Beautiful but a little tiny,1390867200,"01 28, 2014",0.4851
18,A1NNYGJQ5GQOEA,B0000B35D3,Lalasings,"[2, 5]","These are tiny, tiny earrings. Yes, the photo shows the measurements, but it is so extremely magnified that you don't realize they are half-an-inch EACH...and that's not big at all. The photo must be at least 5x larger than actuality. Other than that, they're pretty, but way too small. I was buying these for my grandmother, but had to rush to get her something else once I received these. I will definitely be more careful when buying jewelry online!",3,They are what they are but Amazon didn't show what they are...,1206316800,"03 24, 2008",0.1808
