,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ABYBC49OP1MZN,B000001OM5,Amazon Customer,"[7, 7]","I have a single CD plyer in my 2003 car. Never cleaned the lens the entire time I own it. Lately it's been scratching my CDs, and frequently not playing them.Put this lens cleaner in. At first it wasn't doing anything, but the CD player just spit the CD right out. Apparently the lens is really dirty. After a couple times of putting the CD back in I heard instruction in track 1 saying that tract 2 only needs to be played the minimum of 20 seconds to get the lense cleaned.My player required 5 playings of full tract 2 to function properly again.When I took the lens cleaner out, I see a lot of dust on the little brush, and on the bottom surface of the disk (picked up by static?). I think it has done its job, and now the CD player is playing my music again.",5,Works for my car CD player,1346025600,"08 27, 2012",0.0306
1,A2FKYKDGHWSOIQ,B000001OM5,Calvin The one and only.,"[1, 1]","This makes it easy to clean your cd player. It tells you what to do when you play it and is not liquid based. Good cleaner and for dirtier lenses, make sure you use a few times to get it good. Always good to have one of these around.",4,The art of cleaning a cd player,1365033600,"04 4, 2013",0.5529
2,A2245J0YNO975U,B000001OM5,Crystal Strange,"[0, 1]",This arrived in only two days so I popped it in on the way to pick up the kiddos. This directions are on the disc and really simple. The cd makes an annoying beeping sounds while cleaning ( I turned the radio down and kept checking for it to finish) but that is my only dislike. The packaging was very study. I will definitely buy from this seller again.,5,worked!,1365033600,"04 4, 2013",-0.0482
3,A2NX6MFZP8TM6S,B000001OM5,Deanokat,"[64, 67]","My 2002 Pontiac Montana's CD player started acting up a few months ago. Almost every time I put a CD in, the player would spit it back out and the display would say CHECK CD. After 3 or 4 tries, the player would finally accept the CD. But it sure was frustrating. So I stopped at the dealership and inquired about this problem. The first thing the service advisor suggested was to try a CD lens cleaner. I had never used one of these in my life. And I've had CD players since 1984. But when I went to my brother-in-law's house for Thanksgiving, he had just purchased this same identical CD lens cleaner at the local Meijer store. I asked him if I could try it out in my car's CD player and he gladly obliged. Well, after one cleaning, so far the CD player hasn't rejected any of my CDs. And we drove back home after Thanksgiving...almost 300 miles...and played many CDs. So, for now at least, I'm convinced. I came right home and ordered this Maxell CD lens cleaner for myself. I don't know if I'd feel comfortable enough to try it in my Mac desktop or PowerBook...but I think I'd feel safe using it in my Sony CD player or PlayStation. In fact, the PS2 will be the first device to get cleaned when this arrives. It's been rejecting discs, too. Maybe the lens is just gunked up with dust. Anyways...it fixed my car CD player trouble and saved me a lot of money that the dealership would've charged me to service the darn thing. I'd recommend it highly.",5,"I have to admit, I was skeptical",1164412800,"11 25, 2006",0.1126
4,A27K80SBJQQQDS,B000001OM5,Elizabeth Bailey,"[0, 1]",Did not resolve the issue with my car dvd drive. When I put it in the drive ejected it as it did with dvds.I beleive it is ok. Just haven't tried it in any other dvd drives I have.,4,car cd lens cleaner,1379116800,"09 14, 2013",-0.1462
5,A2TXTCIOBK1NMQ,B000001OM5,Eric Norton,"[3, 4]","I am unsure of the benefit of using this CD lens cleaner. It MAY have solved the problem of a dirty/dusty lens, but it may not have, as the problem on one CD player was only temporarily resolved. Another CD player that otherwise worked fine could not recognize this disc at all, and on all of my players that did, it could not advance to the third track, which contains only music. Significant skipping was noticed on all CD players, including those that never skip on other discs. If nothing else, this cleaner may provide a superficial and temporary fix, but if your CD player's lens needs cleaning, there are likely better and more effective ways of solving the problem.",2,Questionable benefit,1335916800,"05 2, 2012",0.2483
6,AQDJP0D7EALAD,B000001OM5,Fefe,"[0, 6]",I don't know why I purchased it. I don't even understand how its supposed to work anyway. Mawell makes cheap products anyway. Pretty sure you can find it in the dollar store.,1,Don't waste your time.,1384992000,"11 21, 2013",0.1676
7,APK74RJ5E0DDX,B000001OM5,Ficus,"[1, 1]","After trying the memorex lens cleaner obtained from wal mart and returning it because neither of my computers' CD/DVD drives recognized it, I bought this product [the Maxell CD-340] from Amazon. Shipping via prime was rapid and arrival was in excellent condition. The product works just fine* thus hardening my position/opinion that Maxell products are of good quality and Memorex products are of lower quality.* My computer's drive can now burn a music CD at full speed and make a product which is playable on the same drive. Before cleaning, I had to reduce writing speed from &#34;fastest&#34; to &#34;medium&#34; to burn readable disks.",5,Maxell CD-340 Lens Cleaner!,1371600000,"06 19, 2013",0.2546
8,A2HFOS6ULS3BQJ,B000001OM5,Fox: Fairly Unbalanced,"[0, 0]","The product is not recommended for note book optical drives, but I used it anyways and it seemed to work.",3,Works,1370649600,"06 8, 2013",-0.0762
9,ADOR3TR7GDF68,B000001OM5,F T. A.,"[3, 4]","Hey, I am a music professional. I make many recordings and service equipment so I know what's going on in the world!This disc has a 1/8th&#34; by 1/8th&#34; piece of felt glued to a blank CD. I could have done that but I wanted PROFESSIONAL!Again, 1/8th&#34; x 1/8th&#34;. if you look on the internet it even tells you how to make these. Because the lens moves you need the felt to be the entire distance of the CD plus on both side for balance. However this is a tiny dot. You would have to leave it in the player for a week in order for it to clean the lens correctly. Shame On You Maxell... Shame Shame!",1,ZERO! DON'T Purchase!,1388620800,"01 2, 2014",-0.0626
10,A2LB8VDT59VTP5,B000001OM5,Jim S.,"[0, 0]","It worked great for me, but look out the handle on it may break off as it did me. I found out that you really don't need it. The reason I gave it 5 stars is the fact it really works.",5,It worked great,1396396800,"04 2, 2014",0.1239
11,A1579YT6JXUHUF,B000001OM5,JNX,"[0, 1]","I tried to use it in my 2008 Ford Explorer factory CD changer. No luck. It would just spit it out when it got to the brush section.I know some others had said it worked for them in their car decks and changers, but sadly, it did not work for me.If anyone has any ideas or tips that might help it work, I'm all ears.",3,"Didn't work for me, but would probably work elsewhere.",1393372800,"02 26, 2014",-0.1319
12,A37LCWTTQMBMFX,B000001OM5,Johnnysmooth,"[0, 0]","I just needed something, Any brand would have done. Worked great, helped alot and was pretty cheap. (under $10)No Cons.",5,Worked and Helped,1367539200,"05 3, 2013",0.2691
13,A1L1TSQFQ0HQL5,B000001OM5,Joseph Clark,"[0, 0]",Just as described.,5,Five Stars,1404950400,"07 10, 2014",0.0
14,A2T049UQONS0OY,B000001OM5,Larry VanDeSande,"[9, 11]","I've used the maxell CD-340 cleaner in my car and home players (two of them -- one a recorder where I've cleaned its mirror too) for 10 years and they've never failed. These things don't do much; you stick it in, listen to some jingoism and a pleasing voice on the first track, then advance to the cleaning track and wait for 20 seconds while a continuous beep ensures you turn the volume way down. Afterward, your lens is clean. That's all there is to it.Why does the lens have to be cleaned? I can't answer that since I've never seen one. In the cassette era, I bought a clumsy plug-in electrical wand with a metal probe that I had to physically touch to my recording and playback heads (on reel-to-reel players too) to demagnitize them. Apparently all that tape going through left some kind of magnetic charge behind that would foul the signal at some point. It's questionable whether the gadget I owned ever actually worked, unlike this product, which works every time.There's no such issue with the digital CD lens cleaner. This disk has some encoded voice commands and about a dozen little brushes the protrude about 1/8 of an inch from the surface of the disk. I guess the disk spins and the brushes rub off the bad stuff from the CD lens. If there's another explanation, I'd like to hear it. It works every time.Unfortunately, the thing this product won't do is eliminate age from cranky car CD players. I've owned a couple GM models where the player had to be replaced and the player in my 2006 Chevy Malibu is becoming increasingly wearisome. It has a habit of failing to play disks that are thicker than the norm. You'd think there would be a standard in the digital industry but there is not. Sometime spinning my maxell CD-340 arrests this behavior but typically it does not. I usually have to burn myself a homemade disk on a maxell CD-R blank disk Maxell 32x CD-R For Music - 30 Spindle to get the recalcitrant player to spin the music.As for the cleaner, it works in spades every time. Buy with confidence for that purpose.",5,"A CD cleaner but, unfortunately, not its savior",1277078400,"06 21, 2010",0.0609
15,A19TDF7NK6BZHZ,B000001OM5,Me,"[7, 10]","Received the shipment on-time, but the first thing I noticed when opening the box were the words not for laptop use written on the package. There was no mention anywhere in the specs or description of this item on the site that said it was only for laptops, so since I only have a laptop, I have now needlessly purchased a product I cannot use.",1,Not what I expected,1321920000,"11 22, 2011",-0.148
16,A1A5532VDV679B,B000001OM5,Michael L. Lowenstein,"[0, 0]",This is one of the best Dvd cleaners . I use it to clean my Sony Dvd burner head once a week.,5,clean,1372550400,"06 30, 2013",0.5194
17,A39DZU4YRGKWAG,B000001OM5,Mike G,"[0, 0]","Did the job I needed to clean all discs components, very handy and use ful to have, for all cleaning",3,Did the Job,1356480000,"12 26, 2012",0.4019
18,AZFF4CX9MQ4AE,B000001OM5,mrd,"[0, 3]","I have not use it yet, so I can not write a review for this item at this point, but I will as soon as I use it.",5,mrd,1382313600,"10 21, 2013",0.0
19,A3U8J6HOIYKIFM,B000001OM5,NanAnn Velvetmusic,"[0, 0]","Easy to use and cleans a CD or DVD completely. Try it and you will think it is good also. Great price, much better than buying locally.;",4,Maxell CD-340 Lens Cleaner,1378252800,"09 4, 2013",0.4178
20,ADWUJZ8865J2A,B000001OM5,Old Codger,"[0, 0]","Been having trouble with both my PC DVD drive and video recorder in getting a good clean start and/or play/record. Put this in today and followed instructions and after just 30-45 seconds, removed the cleaner disc and tried some prerecorded discs that have given me trouble in the past. No problems now!!! everything I tried out started up lickety split and played perfectly. Probably saved me from ordering a new DVD drive for the PC. Should have had one of these discs months or years ago. Highly recommended.",5,Grrr8!,1368489600,"05 14, 2013",0.3044
21,A2VYE9EF6VA5CJ,B000001OM5,Overthinking It,"[6, 6]",I was having problems burning DVDs in my Macbook Pro SuperDrive. Bought this and didn't realize it said not for use in laptops until after inserting disk and it getting ejected without being recognized by the drive.BUT...it worked! Tried burning a DVD afterwards and it worked. I guess it spinning in the drive trying to be recognized did the trick.How 'bout that...,4,Worked on my Apple Macbook Pro (even tho not supposed to),1316563200,"09 21, 2011",-0.1005
22,A1G6M86XS35YS3,B000001OM5,Paige Turner Paige,"[0, 0]","This CD Lens Cleaner didn't work for our broken system that could no longer read CDs. But it has worked on systems in the past. Simple and fast to use, you just pop it into the player like a regular CD. There is none of the nonsense with fluids like they had in the old days. It's a simple mechanism- it has a small brush-like device that gently cleans the laser lens.So look at it like this: this is a cheap investment to try something that might work for your broken CD/DVD player.",3,Didn't work for me- but it works for many CD players,1398038400,"04 21, 2014",0.1448
