,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3NH0GBGN8ZVII,B000052YJH,Amazon Customer,"[0, 0]","Works great - my skin has been clear since using these, even through hormonal acne. My skin has never been smoother/softer. I replace each one about every 3 weeks and use with my desert essence tea tree face wash on a daily basis. If my skin is sensitive, I may use it every other day, but these work great.",5,Does what it says - deep exfoliation for the skin,1386288000,"12 6, 2013",0.385
1,A29R6Z6BX392JM,B000052YJH,Celya723 Celia723,"[0, 0]",Love these facial sponges on the with the Avon Clearskin Professional Deep Pore Cleansing Scrub or your favorite cleanser. Lather up and try them - they work!,5,Cleans well nicely!,1385078400,"11 22, 2013",0.401
2,AF0E5TGS52NRD,B000052YJH,Crystal AMAZON FAN,"[0, 0]","I remember these from my teen age years, marriage, raising my children and then they disappeared. The other day I was watching a program(Mirror, Mirror) where they featured top models and their beauty regimen. To my excited surprised I see one model using a Buf Puf. I ran to Google and found them being sold on Amazon and some other retail stores. Amazon was the least expensive and I purchased 6.How wonderful to feel that strong clean feeling when using the puff. It is better than any blemish control scrub on the market and leaves no grainy residue.. I could feel those dead skin cells sloughing off and after only one use my skin felt cleaner than after any clay.mask I have removed. Needless to say I am thrilled and recommend them to anyone even with sensitive skin like i have.This is a facial in a sponge.",5,My love has returned after all these years.,1383177600,"10 31, 2013",0.3057
3,ALQELWI67BG5X,B000052YJH,C. Temple meta mystery buff,"[0, 0]","I have been using Buf Puf since high school (I am in my 50's now). It keeps the dead skin cells from clogging my pores, which helps prevent old looking skin.",5,Keeps my skin looking young!,1392336000,"02 14, 2014",-0.1909
4,A2IYLMDQGBB4VG,B000052YJH,D. Jones wyoairerescue,"[1, 1]","Have used buf puf's for years, this is a good deal for 6 pufs. They are great exfoliators, I use it every other day and can see a difference if I miss a day. We live in a dry climate.",5,Good exfoiliator,1325980800,"01 8, 2012",0.3276
5,A3GF0NIB9U6VVH,B000052YJH,Dorothy S. Mall,"[0, 0]",These buff pads are the best. I tried a less $$ brand and No comparison. I use them with a sugar scrub and it really makes a difference with my skin. REALLY squeaky clean.,5,can't live without them,1360886400,"02 15, 2013",0.2273
6,A3QXBVPPLHJPZH,B000052YJH,Erin Thiele,"[0, 0]",I prefer the body buf-puf for my face as this is much gentler than what I had even though I'm sure dermatologists would recommend a much softer scrub.,3,Gentle Scrub,1396310400,"04 1, 2014",0.7351
7,A2MOY9RP4VD6FU,B000052YJH,Ernie Mudd,"[0, 0]",Excellent product to gently exfoliate the skin every day. Have used Buf-puf for decades; store brands just aren't the same.,5,Exfoliate exfoliate exfoliate!,1355443200,"12 14, 2012",0.3859
8,A2RTUUUQFLALVN,B000052YJH,GlamourJ,"[0, 0]","Works very well! Lasts for a long time,",5,Good quality,1404172800,"07 1, 2014",0.1994
9,A3Q7SFSS99ELLM,B000052YJH,Ingrid Williams Tups,"[1, 1]","I know a lot of persons have commented on how great these Buf-puf sponges are, but I had to add my own praise. I had previously tried the regular and found that they were a bit too harsh for my skin (I have both eczema and acne, so my face tended to get extremely sensitive even when I was gentle with the puff). The gentle is perfect and I'm happy I bought the 6-pack too.We're currently renovating at home and it feels so nice after dusting, sweeping and mopping every evening to be able to just put a little Cetaphil cleanser on it and just buff off all the dirt....no other scrub product required...I also use the body buf-puf for showering and can't help but feel nice and clean afterwards.A great little product!",5,Perfect for my sensitive skin,1287532800,"10 20, 2010",0.5938
