,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A28HCE2ENWC796,B000086910,A#1DutchTreat,"[0, 0]","Being a very busty woman, I'm constantly looking for a bra that will smooth and minimize my proportions. Bali is a trusted name in intimate apparel, so I tried out this bra. I love the way it feels and how it makes me look when I wear tee shirts and sweaters. It runs true to size, so I didn't need to return it for a larger size. I recommend this bra to women who have the same problem as I do with finding a bra that will fit and look good!",5,Minimizing Effects,1395705600,"03 25, 2014",0.4409
1,AQHECLLG6JDIT,B000086910,A. Davis,"[0, 0]","I find this bra the first time I wear it is excellent, but then I wash it in the machine in a bag...and it seems to shrink in the cup! I don't get that at all. I]I'm a 38DD right now and losing weight, so for a cheap bra I can wear till I get down to a 36C this one will do.As the title says, not the worst, not the best...just ok. And the 38DDD cup is just too big...I tried it.",4,"Decent cheap bra...not the worst, not the best... just ok",1391472000,"02 4, 2014",0.1889
2,A2187K9XITLWQG,B000086910,AJ,"[0, 0]",Comfortable great bra. I'm not one to like wearing bras but this one is nice. I will be ordering it in more colors.,4,great bra,1398297600,"04 24, 2014",0.4324
3,AL22AAACJAV0P,B000086910,AK,"[0, 0]",I love the way these cups cover me. I don't care for the cleavage most bras are designed to show these days. Hurray for this simple cover the goods bra with underwire for support!!,5,Bigger Cups to fill,1396742400,"04 6, 2014",0.2551
4,A39NYM7MX2Z3PQ,B000086910,Amanda Preble,"[0, 0]","I love this bra! It fits great, and is very comfortable. It definitely is a minimizer bra. I would definitely order this bra again!",4,fit great,1386806400,"12 12, 2013",0.5889
5,A3N1CQV9LJ3PWQ,B000086910,Amazon Customer,"[0, 0]",Best minimizer,5,Five Stars,1404950400,"07 10, 2014",0.6369
6,A299GSZ9Q0OQRG,B000086910,Amazon Customer,"[0, 0]",i wear bali bras all the time and i knew that this one would fit like it was suppose too. i have no other comments for this item.,4,good fit,1375747200,"08 6, 2013",0.1582
7,A3B6OG1FVT1M6Z,B000086910,amazon customer,"[0, 0]","This bra has no padding. It is stiff and a wee bit scratchy until washed with Woolite or similar cold water soap.It is a minimizer. And it works. For those tops that are tight. This works!MY BALI INDULGENCE 34 DD AND 36 DD. I CAN SLEEP IN. This is not sleeping comfort. This is for minimizing.The price is super. My other Bali, and Olga bras cost $55.00 to $60.00 dollars.",4,IT WORKS,1404950400,"07 10, 2014",0.0598
8,A2OPFLMNQW1YS3,B000086910,Amazon Lady,"[0, 0]","This bra does provide support & lift, but it is not 'seamless'. This bra is part of the Bali &#34;Classics&#34; collection, so it's been around for a long time.The cup isn't a stretchy type of fabric, so you can see a little of the cup material through my tops. And, you can see a little of the cup seam (slightly).I just bought Bali Passion For Comfort Minimizer Underwire Bra, and that one is seamless- that one is a stretchy type of material. It smooths out over the breast. So, you won't see the cups through your tops with that one- although that bra fits a bit more snug.",4,"Good, but not 'seamless'-",1404604800,"07 6, 2014",0.3812
9,A3IXMFF7SJGBHP,B000086910,Amazon Shopper,"[0, 0]","I've bought this brand of bra off and on over the years, but have noticed that the bras that come in white are about 1 1/2&#34; longer in the back. I don't know why there is this discrepancy but the white bras are perfect. The black bras can be used and fit fine, but you need to purchase a bra extender to place on the hooks at the back. If it weren't for that, these bras would be in the trash. This is a good bra in that it is not skimpy, but manufacturer needs to correct the defect in the black bras. I'm hoping they are not making the white bras shorter and only the black bras are are affected.",3,"Bali Women's Satin Tracings Minimizer Underwire Bra, Black",1394841600,"03 15, 2014",0.1698
10,A3A0Q5WMP3FE4M,B000086910,A miller A MILLER,"[0, 0]","This bra fits great, wonderful support plus it looks so pretty, very comfortable would buy again bought usual size perfect.",5,Bra,1358294400,"01 16, 2013",0.9725
11,A3A96IXQBHMP10,B000086910,ANDREA,"[0, 0]",This bra offers all the support in the world for a full figured woman. It is very comfortable as an all day at work bra. The only reason i&#34;m not giving it five stars it that it does give a little pointy look to the boobs but not the cone look so its still very flattering.,4,Great Fit,1395705600,"03 25, 2014",0.4644
12,A35TPC9SYLVVZH,B000086910,Angela Angela B.,"[0, 1]","this is the second round with purchasing these bras. Amazon has the best prices, and easy to find the size needed. Would recommend this product to everyone.",5,great support and fit,1246838400,"07 6, 2009",0.3976
13,A27N2QVZZYL7V6,B000086910,Baje Gal,"[0, 0]","I chose this 5 -star rating because I'm accustomed to this bra, have been wearing this brand for years. Tthe bra fit as it should and was received in the time specified. I bought three of them this time around and as usual i'm quite satisfied.",5,I like this bra,1385596800,"11 28, 2013",0.2789
14,A3JOFQSO7YPV90,B000086910,Barbara Lee Klein Cat lover,"[0, 0]",This is my all time favorite and over the years I have owned many. Of course they don't last forever . Elastic has not progressed since it was first used in undergarments. Of course this is what sells more bras? The wide straps can be unsightly if they show,5,This is my favorite,1404864000,"07 9, 2014",0.0918
15,A1S1J45UFGG8MT,B000086910,BARBARA R.,"[0, 0]",I LOVE THE FIT AND THE LOOK. THE TEXTURE ALSO FEEL VERY NICE TO MY BODY SO I WILL PLACE ANOTHER ORDER REAL SOON.,5,EXCELLENT ITEM,1379376000,"09 17, 2013",0.6236
16,A2IMZ3QN83XP08,B000086910,Bella,"[0, 0]","Its a great minimizer bra, works well on reducing the gap between the buttons. Two problems, it will show through thinner cloths and very low neck blouses. But great for work shirts!",4,great minimizer,1394064000,"03 6, 2014",0.2994
17,A13G4ZV4DUNIYF,B000086910,BethCasbeer,"[1, 1]","I usually wear Lilyette Minimizer bras, but now they do not even make the one I really like. So I decided to try the Bali Minimizer, but although it fits, it does not minimize like the Lilyette does.",2,Bra does not really minimize,1390521600,"01 24, 2014",0.0877
18,A1RTYVZ583SAMS,B000086910,bexkiefer,"[0, 0]",Bra fit and has great support but the cups have a very pointy shape which I don't like. The fabric is not the softest and can be very itchy.,3,pointy cups,1381881600,"10 16, 2013",0.0098
19,A1OGM86F9XF5M3,B000086910,blueazulli blueazulli,"[0, 0]",I really wanted this to fit and be my go to bra because it holds you up and in so well but the sides are to high on my underarm and it chafes. if find this to be a problem in some bras so it's not a defect but probably my body vs someone else's. I tried going down a size but didn't help.,2,not for me,1384041600,"11 10, 2013",-0.0458
20,A3AJT77CE7NPY,B000086910,bornblonde,"[0, 0]",This is a good fitting bra and the brand is a long standing and trusted brand. I would recommend it for its flattering fit.,5,Bali Women's Satin Tracings Minimizer Bra,1400803200,"05 23, 2014",0.7307
21,A3OJJN11RPR1EL,B000086910,Carol J. Robinson,"[0, 0]",Had to size up to 38 band as it was too tight. The quality of bra is excellent. The color is a nice neutral.,5,bra,1373414400,"07 10, 2013",0.3311
22,A1ZAIAQAMCYRDA,B000086910,CECELIA,"[0, 0]",Purchased this bra for my grandaughter who has extremely large breasts. She was pleased and so was I. Will purchase more!,5,HOLDS AND SHAPES,1361232000,"02 19, 2013",0.1468
