,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3A1OA237FOZFK,B00006I58N,#1 Amazon Fan,"[201, 206]","We only buy Fellowes shredders and have found them very reliable. I originally purchased the oil for the cutters directly from Fellowes a couple of years ago; the bottle was smaller and more expensive at the time. I was quite pleased to find this product available from Amazon at a good price and larger bottle.I think a lot of people buy a shredder, not knowing that it does need some maintenance to keep it in top shape. Besides not overloading your shredder's capabilities or shredding material that you shouldn't, the next best thing you can do to protect your investment is to regularly lubricate the cutters. This reduces wear, noise, and can prevent the teeth from breaking.Be sure to read the instructions for your particular shredder, however, about the type of oil to use and the frequency. You may be tempted to use other types of oil you already have around your house or WD-40 or something, but many of those things are flammable and will only serve to damage your shredder or worse.As another reviewer said, be careful when cutting the tip on the bottle because if you make it too big, the oil will be harder to control.",5,Great Protection for Your Shredder Investment,1184976000,"07 21, 2007",0.0561
1,A1DXRF9D459RWW,B00006I58N,A. F. World Traveler,"[3, 13]","I gave it 2 stars because it does not have a warning label.I had purchased this at another store and when I first used it I cut too much off the nozzle and spilled some on a trash bag. My cat started licking at it and had to take her to the vet because the bottle does not have any warning stickers. It turns out that the product is mostly vegetable oil and the worse that I would have to watch for is diarrhea in my cat.The product works really well but it is a danger to pets because of the oil's sweet scent. I'm only buying it again because it works great, is the same price as they other store, and because I now have my shredder protected from my cat. I strongly advise anyone who uses this product to keep their shredder covered if they have pets or something that may be attracted to the oil. Especially if it has an automatic turn on to protect your pet if they put their tongue in your shredder.Update** I was really upset when I tried writing this review. A better explanation is in my response to a user's comment.",2,great product but dangerous for pets,1247097600,"07 9, 2009",0.2511
2,A2D1LPEUCTNT8X,B00006I58N,Ali Julia,"[2, 2]","I am on my second shredder. I did not use shredder oil on the first one, and after about 1 year use it froze. I was not able to get it going again. When I bought a replacement shredder I began applying shredder oil every month and I can really tell the difference. The shredder is three years old now and operates as well as new. The motor sounds even it chews through the papers very well.The bottle is easy to open and a long extension nozzle is helpful for precise place-ment of the drops. Each application requires only a small amount of oil. I would say I put a total of 8 drops in the opening, and then move the blades in both directions. This takes a total of many 20 seconds.I read that once this oil runs out it can be replaced by vegetable oil and I will try that, however this is not going to happen any time soon as I use very little during each application, so this bottle is going to last a very long time.I noticed that the price on the on this product fluctuates. There is a nice online tool that I use to help catch a good price on Amazon, this tool is called Online Price Alert. This tool will send you an email when the Amazon item price reaches the target price range that you specify. If you search on online price alert in Google it will be come up at the top. I find this tool to be very helpful.",5,I can tell the oil really helps,1304640000,"05 6, 2011",0.2314
3,A1LRXLBMY80OPC,B00006I58N,Amazon Customer,"[0, 0]",Love the reviews.... just opened this and ran a few pages through the shredder and nicehad another brand of the same stuff before I moved and would not have bought this except my daughter moved me and did not bring it... expect with the use this shredder gets this bottle may last as long as I do~ (I'm 70),5,does workl,1390953600,"01 29, 2014",0.6369
4,A2W3WWVETOMJBS,B00006I58N,Andrew,"[0, 0]","After my shredder started to make slow progress taking papers to be destroyed, I ordered this oil to fix the problem. It has exceeded my expectations many times over.",5,Makes your shredder run like butter,1374537600,"07 23, 2013",-0.2384
5,A3D07T3ZUI6BB5,B00006I58N,Big Frank,"[1, 1]","Now that I've finally learned to read and follow directions, I know why a couple of shredders crapped out on me so quickly. Every time I empty the waste bucket, I spray a bit of this lube on the cutters, and run them forward and reverse. So far, my latest shredder is running smooth as silk, with this simple bit of prevent. maintenance.The oil itself seems very good, no smell or spatter when I'm lubing the cutters. And a little bit goes a long way.",5,Excellent product,1274832000,"05 26, 2010",-0.07
6,AETG43ARLZDZD,B00006I58N,Bleudenim Dan Foster,"[0, 0]","I bought this with a cross-cut shredder as I thought perhaps some special type of oil was needed to lubricate the machine (true with many items.) As it turns out, my shredder can be lubed with simple cooking oil; my bad.Knowing what I now know, I believe the product is somewhat overpriced. But the reason I gave this product 3 stars & not five is both the container design and the way it is presented in the product description. There is nothing that I would call an extension nozzle. There is a nozzle (exactly what you see in the product photo). To me, an extension nozzle is something that attaches to the regular nozzle and lets you dispense the product in a controlled manner.With this product lets the oil (which is very light in weight) pour rather than drizzle out of the nozzle (note: the word extension not used). My shredder said to drizzle some oil on a piece of paper yada, yada yada. I cut the nozzle on this container at the marked cut line, but the oil poured out so quickly that it saturated & puddled on 2/3 of the sheet before I could stop.I have a real extension from one of my gun cleaning kits that fits this nozzle, and I will be using that henceforth. In the future I will refill this bottle with simple vegetable or canola oil.",3,"It's oil. It lubricates, but...",1347494400,"09 13, 2012",0.0037
7,A314KKDIJWCNMV,B00006I58N,bmac32,"[0, 0]","First shredder we had we used spray that came with it, we used it once a month and the shredder last 6 months. It started making a weird sound in the first three months so this time we went with regular liquid oil this time. We had two deaths in the family so lots to shred (a years worth under normal use) and this is either a better machine or this type of oil works better, I'm guessing it's the oil.",4,So Far So Good,1391644800,"02 6, 2014",0.1979
8,A3O6TAUE2GIH9Q,B00006I58N,Brett,"[1, 1]",I use it after every bag of shredded paper. It can be a little messy because the applicator nozzle creates large drops that are hard to get in the slot unless you have very good aim. Lubrication of the confetti cutters is definitely needed to maintain the shredder and get maximum life. The bottle will probably outlast the shredder. We'll see.,4,Keeps shredder lubricated.,1361232000,"02 19, 2013",0.1602
9,A3F31FZX5X64JN,B00006I58N,Bunnylulu,"[0, 0]","I guess it does the job, but it sure is messy. I think I'll just buy the paper that's already treated to run through the machine next time.",2,Too Messy!,1379462400,"09 18, 2013",-0.0386
10,AMBIFRHLCFVGS,B00006I58N,Cheryl Fontaine,"[0, 0]","The point is, it's a large bottle of oil that one is prompted to buy when purchasing a paper shredder. Then when you read the instructions on the shredder, you discover that a few drops of vegetable oil on a piece of paper and then fed into the shredder works just fine.This was a needless expenditure and now I'm stuck with a fairly large bottle of lubricating oil that I have no use for.",2,Special oil for a paper shredder is not necessary,1384214400,"11 12, 2013",-0.247
11,AKHFY3VCNZL2W,B00006I58N,Dan Huse,"[17, 19]","My wife and I shred just about everything, but you only need a few drops each time you change the bag. If I am still alive when this bottle is empty, then I will consider myself lucky. Maybe we can put it in the will for our grandchildren someday.",5,"Good Stuff, But Enough Oil to Last 50 Years!",1174262400,"03 19, 2007",0.1858
12,A32JCI4AK2JTTG,B00006I58N,Darryl Bennett Fuzzy342,"[0, 0]",This is a great product that will help keep your paper shredder gunk free and working great for a long time. Just follow the instructions on the bottle. A little goes a long way. I would recommend this product to anyone that is concerned about keeping their paper shredder working at its best.,5,"Fellowes Shredder Oil, 12 oz. Bottle with Extension Nozzle",1373241600,"07 8, 2013",0.4266
13,A2GPLOLLE6BUDT,B00006I58N,Dave,"[0, 3]","There was at least one reviewer who had indicated the price of this lubricant was reasonable. I am not sure he calculated its cost which is roughly $87.00 per gallon. At that price it may be cheaper to never lubricate your shredder and just replace it when it wears out. I am not advocating that you should not lubricate your shredder, but just plain motor oil will be nearly as good and a lot cheaper considering that you can lubricate many items in your home by using an inexpensive oil can filled with inexpensive motor oil. Some may want to use a light grade in one can and a heavier grade in another, but you can save yourself a lot of money over the years by not buying special purpose lubricants when they are not really needed. Of course you would want to use higher priced synthetic oils like Mobil One in your Ferarri or Mercedes that is required for their warranty, but even that standard for high performance engines is still more than 10 times cheaper than this Shredder Oil. Decisions on the use of certain types of oil are not going to make or break you, I am just suggesting putting such small decisions into perspective. Its similar to the example of the guy who buys a new car every two years and trades his old one in, but he will change his engine oil every 3,000 miles because that's what his father told him to do. The only reason for changing the oil so often is if you are selling your car to your father who will keep it for years.In conclusion, if it makes you feel better using the special $87.00 per gallon shredder oil I think you should do so. But you may want to acknowledge that at least some of your decision is based upon how you feel as opposed to how you think.",2,The current price of crude oil cannot justify this price!,1334016000,"04 10, 2012",0.2021
14,A21MB6QOZXYZN,B00006I58N,Dennis Scheminske caretaker,"[2, 2]","We do a lot of shredding as part of our non-profit business, and want to keep our Fellowes shredder running for a long time. This oil is great, and comes in a size large enough to last for a long time. The long nozzle make the application of the oil simple. Good product, good company...",5,Good product..,1360022400,"02 5, 2013",0.3506
15,A249G4SVEWV9UX,B00006I58N,Doc W8 Librarian,"[0, 0]","If you get a decent shredder, like we did, it is also worth the money to get lubricant for it. This is a good oil, but I can't help but think I could have just used canola oil from the kitchen, as this product is labeled vegetable oil.",5,Companion to the shredder,1364774400,"04 1, 2013",0.1458
16,A2DRW5925XZ7G,B00006I58N,D. Overend,"[0, 0]",I use this to lubricate the blades on my Fellows shredder. It is excellent. Highly Recommend. All Fellows items seem to be high-quality.,5,Very good product,1389484800,"01 12, 2014",0.248
17,A2V1J3JT5OOZFO,B00006I58N,Dragonwort Castle,"[0, 0]",It is OK but messy. Just Canola oil periodically. It does come with 3 ways to use it but it is oily so messy. I recommend it as it is preventive and shredders are not cheap. I don't know if it is really necessary; maybe some drying silicone spray would be better.,3,Just OK,1384732800,"11 18, 2013",-0.0337
