,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1YKJJSPGFI3KI,B0000643KA,bookworm for life Bill,"[4, 4]","This was a once great American iconic brand, and it was the best insulated bottle out there. Not anymore. Does not have the insulating properties that the older American made models have and the handles are spot welded and cheap. Do not buy.",1,Made in CHINA. what more do i need to say?,1353888000,"11 26, 2012",0.213
1,A3CU8A5WNQBKYF,B0000643KA,Carl D. Mcnair,"[0, 0]","A classic design,very tough bottle. Keeps hot stuff HOT and cold stuff cold...But not at the same time. Great for soup or coffee for people who drink coffee, I have hot coco.",5,Stanley 1.1 Qt Classic Vacuum Bottle,1378339200,"09 5, 2013",0.1656
2,A36CZ3BAN75PD1,B0000643KA,Cherston,"[0, 0]","I got this thermos as a christmas present (2012) and decided to try it out to see how long it held hot water. I placed boiling water in the thermos at 11am and it was STILL boiling hot at Midnight. Yes it is made in China, but I have not had any problems with the lid. Just make sure you don't screw the cap on too tightly and you should be fine. You don't even have to completely remove the cap either since it has slots for pouring liquid. One reason it kept the water hot so long. If you put soup in it that has veggies in it, then you would need to remove the entire cap. The only drawback is that the Lid that acts as a cup holds less than one cup. Other than that it is a great product. No glass inside to break either which is a plus too.",5,Great Thermos,1356739200,"12 29, 2012",0.1432
3,AU8ED357LR5GW,B0000643KA,CtrlAltDlt,"[4, 6]","The original model i was looking for (24oz food jar) was sold out everywhere, so i picked this one up. I was impressed by the labeling that promised to keep liquids hot for 24hrs.First thing i did was a temp test with boiling water. 8pm: preheat bottle and fill with boiling liquid. Sealed Securely. 8am next morning (12hrs in a typical work day): Water is room temperature. I might as well have left it in a plastic container. The packaging explicitly says it will keep liquids hot for 24hrs and cold for 32hrs. This seems to be false. I did several leak tests, did the test all over again, with the same result. Water is cold by the time i open the bottle 12 hours later.I did notice that this bottle becomes noticeably warm to the touch after being filled with the liquid. For an insulated bottle, it seems to be giving off a lot more heat than it should...i dunno...be insulating?Any time you introduce cost-cutting into manufacturing (such as outsourcing to china) you probably lose out on some consistency, which is why a few customer here have reported duds. I am likely the recipient of a lemon. I cant say for sure that the claims Stanley-pmi makes are false, but in my experience there is a large gap between the quality Stanley advertises and what it delivers.",1,"Hugely Dissapointed, Returning.",1233014400,"01 27, 2009",0.0999
4,A36VJZIJVQCF7H,B0000643KA,David Smith doctorjn,"[11, 14]","This thermos is one of Stanley's famous vacuum flask thermoses. Vacuum flask technology is the best technology for preventing thermal attrition (keeping your hot drinks hot and your cold drinks cold). I enjoy my coffee very hot and my water ice cold. When I received this I tested it and found that it kept my coffee nice and hot (not lukewarm) for over 2 days! As for cold, it had ice in my ice water in it after almost 3 days (and I live in the south where it's warm).The entire bottle is stainless steel. It is double-walled, with a vacuum between the steel walls. The screw-on stopper seals very nicely and is made of a very strong plastic, it seems very solid. The cup fits well and is solid plastic with chrome on the outside. Stanley also has a reputation for standing behind their products and offer a lifetime guarantee. It's pretty much impossible to beat the quality of a Stanley and a warranty like that. I am a student and also enjoy the outdoors, and my Stanley is a companion with me everywhere. I always have fresh coffee or tea piping hot. I almost never leave home without it because it is so useful!On camping trips you can also fill it with clean super-hot water and you can put oatmeal in the cup or in a bowl and have an instant hot meal. This thermos performs excellent in the winter too. I left mine outside in my car overnight in sub-freezing weather and the next morning I didn't have time to make more coffee and put it in. When I got to school, I figured = what the heck, I'll see if it's warm - to my surprise is was nice and hot and ready to drink!Here are some specifics on the Stanley Thermos that you might find useful:Thermos:Height: 14 inchesDiameter: 4 inchesCircumference: 12-2/5 inchesComposition of interior: Stainless SteelComposition of exterior: Stainless SteelComposition of Top/Stopper: Plastic/PolymerComposition of Cap/Cup: Plastic/PolymerThermal Attrition Resistance: VacuumMaximum Capacity (Volume): 1 Quart (32 fluid ounces or 1/4 Gallon)Country of Origin: Made in China (not USA, sadly).Cleaning Method: Hand Wash Only [Not Dishwasher Safe]Not Microwave Safe - Do Not MicrowaveGuarantee: Lifetime GuaranteeI must say that I am impressed with the quality and innovativeness of the design. It is definitely a must-have for students, in offices and commuting to work, on the job where ruggedness is required, and out on the trail. The only drawback I see is that it is made in China instead of the U.S.A. Personally, I'd happily pay double the price for one that was made in U.S.A. In any case, a good Stanley product is worth the investment. I am very happy with the product.",5,Stanley is Still the World Standard for Thermoses!,1210291200,"05 9, 2008",0.4106
5,AHS6PX6H22WW1,B0000643KA,H. Wang jwangamazon,"[2, 7]","This bottle is a little pricy. But it does what it claims. It preserves hot water temperature very well. I didn't try the cold temperature. The construction is very solid for high impact resistent (good for portability). I have no doubt that it will last for many many years. In all, I am happy with the quality of this bottle. But, I will take 1 star out due to its premium price.",4,Good quality. Do what it claims. But pricy.,1168387200,"01 10, 2007",0.2213
6,A13S0N4A4ZEKZH,B0000643KA,Inspector Nash Bridges,"[0, 0]","I have seen the bad reviews. Do I believe them? Yes. There probably are vacuum flask bottles that did not work. For what reason? I do not know.But just like buying a car, sometimes you get a lemon. Quality control should be better at the factory. I suppose they just do not have the resources to fill every bottle with hot water, then see if the bottle actually kept the water hot for 24 hours. They should though. These days, most products get a visual inspection at best.But not every item is defective. I've had no complaints with mine. From working double shifts to long road trips, my bottle has kept my coffee hot.For my personal use, my beverages go into the bottle at a boiling hot temperature. I will add boiling water to my bottle with a couple of teabags, and my tea will stay hot for well over 24 hours. I brew my coffee with a percolater on top of an induction cooktop. Sometimes I like to add boiling hot water into a French press.Boiling hot liquid going in stays hot for a very long time. If you are using an electric drip coffee pot, like a Mr. Coffee, then you didn't start off with very hot coffee to begin with. The boiling point of water is 100 C (212 F). Coffee shops typically keep retail coffee at or about 82 C (180 F). An inexpensive home drip coffee maker will be even lower in temperature (which usually results in a poor cup of coffee). Does that make any sense?",5,Opinions Vary,1347235200,"09 10, 2012",0.0221
7,A1UCUVJNLUS8ES,B0000643KA,Jaeydee,"[0, 0]","Quick shipping and great product. My dad is a truck driver and drinks a LOT of coffee. His old thermos was slowly dying so I picked this one up for him. Obviously it won't keep coffee SUPER hot, but he can drink it well beyond noon and it's still pleasantly warm.",5,Great gift!,1336348800,"05 7, 2012",0.3509
8,A1PT731NTIO191,B0000643KA,Lyndle R. Clement,"[7, 8]","I have owned a Stanley thermos for years and they were built like a tank and made in the USA. I picked one up a few days ago and was shocked at how light and flimsy it is. While it may look like the old American made Stanley, it is just a veneer of it's old self and absolute Chinese junk not built to last.I am so disappointed to see once great American companies succumb to the economic pressure of building junk. I would rather they go out of business than ruin their good reputation. Don't waste your money as the companies soul died some time ago.",1,Absolute Chinese Junk,1314835200,"09 1, 2011",-0.0779
9,A2YX5UKUEUPAPD,B0000643KA,M. Tillman,"[0, 0]","The classic is still the best. Took it out on the opening day of deer season. It sat next to me in the blind, with a temperature that wavered between high 30s and low 40s all day. The coffee stayed hot all day, and the last cup was still warm when I got home 13 hours later. That earned four stars, the fifth is because the price on Amazon is $5 less than the closest local competitor.",5,I can't imagine something that works better,1385856000,"12 1, 2013",0.091
