,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A38MZX4OMBBXIC,B00000DMA8,atlantis_az,"[1, 2]","Getting this game would be a waste of time and money. For halfthe price of this I'd rather get a game that offers better graphics,better realism, and better everything. If you haven't already guessed it's Red Alert. Even though it looks pretty good, after about a week you won't want to play it anymore. With Red Alert I continually go back to try just one more strategy... I think they just sat down and set a deadline for this game and the guys making it waited until the last week to do it. Right now all you need to do is type in the search box up there &quot;Red Alert&quot; and buy that game... You will have a way better game and not spend as much.",1,Don't Even Think About Getting This Game,958262400,"05 14, 2000",0.2718
1,A3D9V8QB1APIH5,B00000DMA8,Bankz Cesar Z,"[0, 0]","I have to admit something, I love the way this game looks! It is spectacular in the graphics sense, but the story just left me out to dry. The orginal command and conquer storyline was way better. The GDI missions are a joke in this game and I have to say it...NOD RULEZ! The NOD missions are very fun to look at and play especially the evil HAL computer that talks to you in the cool voice. The game play units are completely unbalanced! On GDI side, all you have to do is amass a huge army of Tank Mechs and you can destroy any base no matter how fortified it is. On the NOD side, amass a huge army of 30 mobile artillery and nobody can stand in your way. The game is worth buying to see how it looks, but the gameplay is horrible and some of the missions are close to impossible which may frustrate some novice players. Ok Westwood you have provided the interface, now quit slacking and give us a good story!",4,"Ok we have the new look, now give us the GAME!",954892800,"04 5, 2000",0.214
2,A25WC2ARY33AWW,B00000DMA8,bg75asd,"[2, 2]",Tiberian sun is an example of how a real time game should be. Great campains where you can be either Nod or GDI. This game also has great skrimishes. Where you can play the computer on a diffrent level of difficulty and can play anwhere from 1-7 enimies. With alot of diffrent units and buildings this game is not to be missed.,5,One of the best modern real time stragy,957484800,"05 5, 2000",0.3627
3,AT4LIIE1NCFZI,B00000DMA8,Bradley J. Erbe,"[0, 0]","This was the first C&amp;C game I ever purchased. I got this game when I wasn't playing much else apart from EVERQUEST, upon a friends recommendation. I wasn't to familiar with the C&amp;C franchise of RTS games from Westwood. Now I am a fan of the series.If you don't know, TIBERIAN SUN is a RTS about two military forces at odds with one another. The evil NOD, that wants to rule the world, while the honorable GDI wants to protect the world. The single player missions are on two discs. One is GDI and the other disc is the NOD single player missions. Both are quite fun and it helps you to learn the gameplay. I can't say I liked the full-motion-video sequences, but they are quite funny in an unintentional way!The online multiplayer is where the real fun of TIBERIAN SUN is at! There just is no way to describe winning a long 2 hour match online and not getting booted off!This is a good value for the money. It may not be as great as AGE OF EMPIRES or STARCRAFT, but TIBERIAN SUN is fun nonetheless. Enjoy!",4,Great fun! Many hours of enjoyment.,988070400,"04 24, 2001",0.3573
4,A18AQ3EFPYBKH0,B00000DMA8,Craig B. Craig B.,"[0, 0]","Loved it!!! One of the best games in this genre. Good story, and even has the guy from the first Terminator who protects the woman (can't think of his name) as one of the main actors in the cutscenes, and James Earl Jones. High production values. The game play is top notch.",5,Great Game,997401600,"08 10, 2001",0.5735
5,AG5RAVN4WSXXJ,B00000DMA8,Crash999 a PC and XBox gamer,"[0, 1]","Unless you intend to cheat and mod the game don't waste your money.Uneven gameplay,and few options plague this game,it is also way too short even at this reduced price.Spend your money on a game,just not this one.Hope this helps,I hate to have games collecting dust,but this is one of those and I own about 50 recent games so I know what's what.",1,Tiberian DUD,1010620800,"01 10, 2002",-0.6562
6,APBMA8IB0FPQF,B00000DMA8,Kevin,"[1, 1]","I am writing this review from what i thought of it before red alert 2 came out. this is a great game with a pretty good story line, though it lacks graphics. Westwood online (the multiplayer sever) is also very good. if your lookign to buy a good RTS i recomend red alert 2, but if you don't want to spend the money on RA@ this is still a great game.",5,Great game!!,991958400,"06 8, 2001",0.626
7,A16ZUZ0NQRSMEF,B00000DMA8,Les 456,"[0, 8]",I thought Red Alert was a pretty fun game. This was just a clone of red alert though. The people that make C&amp;C need to come up with some more ideas. All the C&amp;C games are exactly the same. I didn't like Red Alert to start with so Tiberian Sun has to be worse.,1,I like it less than Red Alert,1049673600,"04 7, 2003",0.0793
8,A1C9BHKF30GZZJ,B00000DMA8,Marc,"[0, 1]","All right, the graphics are nice and the terrain damage is something new, but that doesn't make up for the gameplay, which could be summed up in one word:SLOW.Skirmishes take a real long time to get going; I mean, at least a half an hour before you can get a sizeable force. And then what do you find yourself doing? Protecting your base with them, and attacking with missle launches. I'm dead serious, the only way to attack is with missle launches. To attack with your men (Especially tanks) takes like ten minutes to even get to the enemy base!That being said, the multiplayer is a total waste of time. If the person your playing saves you the trouble of teching and attacks you early on with engineers, consider yourself lucky. Don't get caught up in a 3 hour game that is just about to be resolved, when you or your opponent loses his/her connection. And don't consider engineering a cheap way to attack, it's the only way anyone attacks...THe campaign is allright I guess, if you can stand the poor gameplay to get from cutscene to cutscene (Which aren't as good as Red Alerts were)..... Come on, you can't tell me NOD doesn't have a huge advantage over GDI. They do.Let's hope Kane bites the dust soon, before the C&amp;C series turns as twisted as &quot;The Forgotten&quot;.",2,*Your Connection to Westwood Online has been lost*,984700800,"03 16, 2001",-0.3249
9,AL8QVSCIGU174,B00000DMA8,Mike L. GodOThndr,"[1, 1]","Unfortunately this game is just a hodge-podge of elements from the other games. There are some interesting new units, and I did enjoy the much larger maps. My biggest complaint is that it is so short. You are just getting to use some of the more advanced units and the game is over. You never get the big final battle like at the end of the last two incarnations. This is by far the shortest game of the bunch. I finished each side's campaign over the course of three nights, about 9-12 hours of game play.",3,More of the same,1001548800,"09 27, 2001",0.1006
10,A2MQ5O07UDJDOA,B00000DMA8,R. Khan,"[0, 0]","Well, it seems that those idiots who gave TS a low rating was because they thought TS reused Red Alerts units. That is completely wrong . TS is set in a futuristic world with advanced units. Red Alert was a PREQUEL to the original C&amp;C and was set throughout the Cold War. TS does not use standard tanks and the new units were made as it would have been seen in the year TS took place which was 2030. This is especially true with GDI and there titans, disruptors, firestrom defense, rpg towers, MMK II and a whole lot more. Nod has has the cyborgs, underground units, and and the banshee aircraft etc. Now, are these the same units from RA, i dont think so. Westwood retained a couple of units from the original C&amp;C such as the devil's tougue and light tank but they upgraded the functions of these units to please gamers. Nothing from this game was copied from RA- trust me. As for Starcraft some say its better than TS and some say it isnt. I personally hate that game. Its way more complex to understand than TS simple interface, no deformidable terrain, you have to RIGHT CLICK to deselect units (very awkward), structures take extremely long to build - as well as units, those same structures look like they have legs(terran barracks and engineering bay). I also have no idea what the storyline is about (no real actors - jus bad FMVs).I could name a whole lot more but it would take up too much space in this review. The only single thing i like is the marine responses which give u a good laugh now and then but it still gets repetitive after a while which is common in almost all RTS games. Sure, Starcraft is an original game with new features that pleases people just like the old C&amp;C. some people ask for too much in a sequel and when they find what they havent been looking for, they disgrace the game. We'll see what sequel is in store for Starcraft but for now, if youre a serious fan of C&amp;C's then pick up a copy of TS- you'll find an intersting game with a whole bunch of new features including some old time favs that would have remembered.",5,Not a copycat of Red Alert; better than Starcraft,964224000,"07 22, 2000",0.14
11,A19646YDU8IH1I,B00000DMA8,Robert Ian Farquhar IMAGinES,"[1, 1]","Okay I admit it, the two main reasons I bought this game are James Earl Jones and Michael Biehn, whom I believe are bloody great. However, the game in itself is lots of fun. I'm making my way through the GDI games at the moment, and having a good time!",4,Good Fun!,966211200,"08 14, 2000",0.5342
