,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3MV1KKHX51FYT,B00000J3Q7,Acute Observer,"[0, 0]","IOMEGA ZIP 100 Portable USB DriveThis unit is identified by its translucent light blue rectangular box. It uses a separate power supply. The Model Number is ZIP100USB. It can operate either horizontally or vertically (like a floppy drive). A device that connects with a USB cable requires Windows 98 or later. You should use the software EJECT command to remove a ZIP disk in Windows 2000 because the disk caching system may have data that needs to be written out. The IOMEGA software should be installed in Windows 2000 instead of the built-in support.The User's Manual warns against using the Operating System to copy a disk. Use the Iomega Copy Machine program. Right click on the ZIP drive to select the Iomega Format function. Use Short Format to delete all data on an Iomega disk. The Long Format repairs a drive with errors, converts from another format, or removes all passwords. Write Protection protects against writing over data, a password can protect against both reading and writing files. You can also flag the ZIP drive as non-removable so it appears like a hard drive. The manual has the details.Computers have a limited number of IDE devices and drive bays so a separate storage device is practical. Replaceable 100 MB ZIP disks provided vast storage in the past but are no longer the latest in storage technology. But the 100 MB ZIP disk is almost as universal as the floppy disk when you have a parallel port drive for older systems. The ZIP disks reuse deleted space unlike a CD whose space is consumed when you replace files. Falling prices for CD discs solved that problem. A ZIP disk has no compatibility problems between different systems and computers. A CD written on one system may not be updated by a different system.To test the status of a used ZIP disk. 1) Right click on the drive, select `Properties'. 2) Select the Iomega tab (after support was installed). 3) Select `Diagnostics', then `Close' after the green light. 4) Select `More Info' on the `Disk Type' Note the `Disk Life Status' and the `Format Life Status'. Percentages lower than about 85% are not good. 5) A `Long Format' can improve the Life Status statistics.",5,Useful Data Storage and File Transfer,1253232000,"09 18, 2009",0.0137
1,AV1GL5WEA5MRW,B00000J3Q7,Amazon Customer Tech-head in Coventry,"[1, 1]","I bought my first ZIP drive (parallel port) a long time ago, and replaced it with a USB/AC-adapter model a while later. I am still using it, and it works. The disks have a higher failure rate than the drive, but hey-still working after all these years.",4,Still using it 10 years later,1191542400,"10 5, 2007",-0.0949
2,A1F0J7IHM0KX5G,B00000J3Q7,Charlotte Sterling,"[0, 0]","Was sort of perfect for my needs: Using an obsolete storage system to take obsolete writing files from an older MAC and copy them to an eMAC. I then had to convert to a current word processing software, OpenSource.Org and then my intent was to plug this Zip Drive into my iMac and copy all those newly translated files to the iMac. But for some reason my iMac couldn't &#34;see&#34; or read the Iomega Zip Drive (it &#34;saw&#34; it at the USB Hub). So I had to buy a flash drive to copy those files from the eMac. Then I was able to copy to the iMac from the flash drive. (Their Customer Support said the drive had been tested through MAC OS 10.6 and it worked fine [have 10.7.5, Mountain Lion]). In a round about way, the technology served its purpose! Thank goodness. (The Seller was quick in responding to my questions. Good Customer Service.)",3,Amazing. It's great when obsolete technology saves the day!,1381017600,"10 6, 2013",0.1655
3,A1GBT4UN2RW7XY,B00000J3Q7,For Real HAND,"[2, 2]","I bought this to read some old Zip disks I had lying around. I wanted to save the old files. I bought my Zip drive from third-party seller ElizabethLeeHR and even though it was used, it ran on my Win7 laptop flawlessly. No driver needed; pure plug-n-play! Of course, Zip drives eventually all develop the click-death syndrome, so I can only rate this 4 stars!",4,Plug-and-play on Windows 7,1341532800,"07 6, 2012",-0.038
4,A1KH2YVJA0B6MB,B00000J3Q7,holiveira,"[9, 10]","This is the perfect product to back up file, photos, Vieo Clips, MP3s. Great performance, fast transfer rate, not very noisy at all comparing to an LS-120 I own. I recently bought a Zip 250MB, and so far it's get my thumbs up! Full compatibility with the 100MB disks. If you want a portable storage device put your money on a Zip drive. CD-R &amp; CD-RW media are great. The only drawback is the media being used over and over. CDs aren't a very reliable comparing to cartridge disks. Cartridge disks are more reliable and last longer in the re-write processes of everyday backups of your files. And keep in mind that the Zip drives or less expensive and are easily transported anywhere, easy to install and work with. A+",5,Great Product!,977270400,"12 20, 2000",0.2387
5,A3R9KRIO25CKZV,B00000J3Q7,I. Gross Georg imgeorg,"[3, 3]","Mine's been working flawlessly since I bought it in early 2000. I understand the newer models are bus-powered. If for some reason you can't have a power strip, that's a concern, but I do wish the AC adapter was smaller.Gotta love the way it shoots non-Iomega zip disks half way across the room, too!I recommend this drive for low-cost, low demand storage and backup. Now if only zips would come down in price...",5,Two Years Old and Going Strong,1043712000,"01 28, 2003",0.2727
6,A265S153QJNV70,B00000J3Q7,J. S. Beardall,"[1, 1]","I had backed up a legacy computer on ZIP disks and stored them away. (I now use thumb drives and CD-ROM.) When I needed some old material from the old computer, I could not read the ZIP disks without getting a new drive. This convenient USB ZIP drive was just what I needed. It was shipped promptly and in excellent condition. It saved my life on this occasion.",5,Product saved my life!,1262995200,"01 9, 2010",0.1699
7,A35BXS8M3HZZV4,B00000J3Q7,Juan C Placerncia,"[0, 0]",My zip drive finally went out. It worked for at least ten years. Current USB drives have more capacity and are a lot cheaper. One can buy a 128MB USB drive for $2.99 dlls!!,5,Iomega Zip 100 USB drive,1391558400,"02 5, 2014",0.0
8,A2DCXXNQCZERQ8,B00000J3Q7,Lazarus lazarus,"[0, 0]","I got 9 yes answers to my question about whether this Iomega Zip Drive works in Windows 8 before I bought it. No one however who answered had ever actually tried it in Win 8.The software for this drive took down Win 8, and I had to do a reset to get it to restart Windows. Major flaw.IT DOES NOT WORK IN WINDOWS 8, ACER COMPUTERS.I have applied for a refund.Update: I tried to load it after the fail on Win 8, on a laptop I have with Win 7. After loading the software, Windows would not start, and still will not. I would not try it on Win 7 unless you know what to do when it won't start. I have to have mine repaired, and minimum repair is $70. That's a high price to pay for just trying a product that was defective.",1,Does not work in Windows 8,1399680000,"05 10, 2014",0.2647
9,A2QXRKY45PAGU9,B00000J3Q7,Lil Ann,"[0, 0]",I purchased a zip to keep from loosing files...if system crashed...not realizing the zip would stop working first. Found a refurbished more updated with usb and I am in heaven. Now I can travel with it....,5,HURRAH!!!! I can now retrieve all my files,1359936000,"02 4, 2013",0.0715
