,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2ZRSTMK1Y23XW,B0000531WZ,An Author,"[0, 0]","I was looking for an orangy lipstick since ages, then I found this one on Amazon and I bought it after reading reviews on makeupalley.com, since I was not able to physically see the product. I didnt know what to expect.I am very happy with my purchase. Perfect color and excellent texture. The product was also in mint condition and arrived on time.",5,Wonderful,1332028800,"03 18, 2012",0.4005
1,A1NJ9OSQZOZB02,B0000531WZ,argentinamazing,"[0, 0]","I thought it was more on the nude side, but it is very shimmery, like a summer tone. The quality is fine and the price was great though.",3,It's fine,1384819200,"11 19, 2013",0.6384
2,A3S651Y97L6YZX,B0000531WZ,A. Spencer Love Books,"[1, 1]",I was watching a review on youtube and the artist used this shade of lipstick. It photographs beautifully and works well for any skin tone and especially shows up the teeth. I couldn't find it locally and was happy to find it online. I am glad I did. It really is a pretty color. A heads up it is a dark cherry color for those use to wearing lighter shades of lipstick.,5,Love the Color!,1390867200,"01 28, 2014",0.3779
3,A2JCZMRVXV13MA,B0000531WZ,Bigsexyhair22,"[0, 0]","I've has this lipstick for such a long time, and you cant find it in stores anymore :(. I don't use this by itself, I use it for a perfect ombre lip. I take any lip liner and outline my lips, and hen fill in the sides. Then I take this lipstick and put it on the center of my pout. Then I smush them together, and I have a nicely faded ombre lip. I get compliments every time. I have found that my ombre lip works BESTEST ;) with this lipstick. I've tried it with mac ones and its never as good! This lipstick is a staple in my collection. Very quick shipping !",5,exactly what i wanted!!!,1399161600,"05 4, 2014",0.1239
4,A8TWSBLUYJR0U,B0000531WZ,carra,"[0, 0]",have been looking for the perfect nude lipstick that offer higher pigmentation for dark olive/tanned skin. this lipstick does not disappoint- matte with a sheer finish. a great match for a smoky eye!,5,exactly what im looking for,1376352000,"08 13, 2013",0.5132
5,A2LP3OVZRYMBLS,B0000531WZ,CME,"[0, 0]","I bought this Revlon Kiss Me Coral lipstick about a month ago for the first time. Although it is labelled as Coral, it is actually more like it looks in the picture--a slightly orange-y red. I was nervous about that when I purchased it, but it turns out it actually is very flattering with my skin--I have very light, fairly neutral skin (I do get red cheeks, but with foundation it evens out). It works well whether it's applied and blotted just a little bit (for a nighttime look usually) or for a daytime look, if it's blotted a lot it looks like more of a stain.I also think it looks very pretty when I use it as a cream blush (very lightly applied of course). It's a creme lipstick, so it's not sparkly and it's also not matte--very creamy and smooth. It lasts rather long as a lipstick actually, and for me I need minimal applications throughout the day.When I originally bought this, I was looking actually for a lighter more true coral color (I was thinking more pink) but I guess I'm just attracted to bright reds! I am glad I went with my instincts and chose this.",5,Beautiful Color,1321056000,"11 12, 2011",0.4853
6,A2W3JEZ2AVVJP3,B0000531WZ,Creative Ca,"[1, 2]",THOUGHT THIS COLOR WOULD BE A PERFECT CHOICE FOR ME BUT IT PALED ME OUT.IT WORKED A LONG TIME AGO - BUT NOT NOW. :),1,DIDN'T WORK FOR ME,1392940800,"02 21, 2014",0.432
7,A21AJWWROH0OA8,B0000531WZ,CS,"[4, 5]","When it comes to many beauty products, I'm a big fan of going for the drugstore brands over the higher-end luxury brands and this Revlon lipstick does not disappoint! They're very pigmented and moisturizing, which is great for my chronically chapped lips. The color goes on smooth and I don't find it feathering out or flaking after a few hours like I do with many other lip colors.I was looking for some nice colors for fall and bought these in Rum Raisin and Raisin Rage, which go great with my medium Indian skin tone. Rum Raisin is a softer pinkish red color, which is beautiful for the daytime. Raisin Rage is a bolder red-burgundy. I didn't find it nearly as purple as the picture shows. It's awesome for the fall, and is that perfect red color I was looking for, without looking too 90s.Knocked off one star for staying power. This didn't last too long on me. Then again, most lipsticks don't due to my dry, chapped lips. The moisturization and pigmentation more than makes up for it. I don't mind touching up every now and then. Definitely my new HG for lipsticks!",4,Love this lipstick!,1382313600,"10 21, 2013",0.3082
8,A2CTS78K1HMU9L,B0000531WZ,Debbie M. Serjeant watch collector,"[4, 4]",I got the lipstick and I really like it because it is a nice dark color and I can use it to match anything.,5,My Beautiful Lipstick,1350259200,"10 15, 2012",0.6801
9,AV9D00DUJBJWV,B0000531WZ,Dorya Rascon,"[1, 1]","Beautiful color, so pigmented. I just can say that I love REVLON products and I will get more of their stuff.",5,I love it,1373241600,"07 8, 2013",0.6181
10,A1AN7RWT0OEDRV,B0000531WZ,Ginger,"[0, 0]","I sent this back immediately. There is absolutely NOTHING even remotely silver or red about this lip shade. It is pink with orange which means it's CORAL, not red. Very disappointing!",1,False color name!,1395878400,"03 27, 2014",-0.1459
11,ATKUKG6UXYDHH,B0000531WZ,Ivy N. Thomson,"[0, 0]","This color used to be more in style than it is now. But its a good product. Bought this 15 years ago, still love it. I top it with a light pink lipgloss.",4,Good product,1400457600,"05 19, 2014",0.358
12,AARLZ5YUHB7DB,B0000531WZ,Janice Wendling,"[0, 0]",A good bargain on this lipstick. The color is neutral and goes on creamy and smooth. I love the feeling of it on my lips. It doesn't smear or wear off. A great deal on pack of 2. Will buy them again!,5,Beautiful color and creamy and smooth,1388361600,"12 30, 2013",0.3605
13,A1UAX0R73G6EKH,B0000531WZ,Jordanya,"[0, 0]",It lasts for an hour or so and will rub off. It also stains your lips in a bad way. Beautiful color though.,3,"Drying, and doesn't stay on",1358553600,"01 19, 2013",0.019
14,A3RQKJ15188CAG,B0000531WZ,JustB4Dawn,"[0, 1]",Glides on your lips and lasts forever- I got so many compliments when I wear this shade- the PERFECT subtle red.,5,Gorgeous,1393372800,"02 26, 2014",0.8132
