,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AKBH21PTTCWVJ,B00000DMAE,D. Bass,"[1, 15]","I found Half-Life to be somewhat interesting, although it started to run thin by the ending levels. Not many of the levels were amazing, either. Just long hallways, small rooms, and an occasional elevator shaft that you climb up. I like 3D games that let you be outside, looking over vast plains of enemies and obstacles. Half-Life just didn't cut it in this arena.Another thing that I found most disturbing was the extreme gore/violence that is present throughout the game. When your science project goes wrong, you walk out to find a scientist lying on the ground with about 10 gallons of blood spread all over the walls and floor! Were the programmers just trying to be sick here or what? When you reach the levels in which you begin to fight the army grunts (who are the best enemies), it gets even more grotesque. If you let off an entire clip of bullets at one guy, expect to see a wall covered with blood. Sure, you can turn it off, but it does very little good. The blood is still very disturbing. This is one aspect of the game that is extremely unacceptable. I am not a parent saying this, either, I'm a teenager.Aside from the violence and lack of interesting levels, the game is pretty much void of any lasting qualities. If you want a weekend of pure hell (both keeping you stuck to your computer and grossing you out entirely) then buy this game. Otherwise, don't bother.",1,A disturbing game to say the least!,949017600,"01 28, 2000",-0.1633
1,A1U9BWPNNSJRTM,B00000DMAE,DMF,"[2, 4]","This game is definitely a hundred steps past Quake and others of its type. The AI is great. The evolving story is great. The fight against the Special Forces team is nerve wrackingly great. However, all this greatness became stale, I never bothered to finish the game. The game just seemed to grow old after a time. Maybe it needs something more to carry the player through?",4,"Sick, twisted...I love it!",945216000,"12 15, 1999",0.3614
2,A2GBBDNZLYC4A9,B00000DMAE,Jeff Johnson Jeff Johnson,"[0, 0]","Even though this game is almost 15 years old and uses a modified Quake engine, it is still one of the most FUN and best shooters ever to be made. In fact all other first person shooters and games in general can learn from Half Life 1. The game world is extremely immersive. There are no level ends, there is no text to read, there are no scores and everyone talks to you without freezing you into a cut scene. All of this makes you feel less like you are a player playing a game, but you are indeed the hero Gordon Freeman. Characters recognize you, talk to you, and you can have them come with you or stay put. Security guards that come with you will shoot enemies (slowly).The story is that you are silent protagonist Gordon Freeman (you'll feel like him by the end) and you work for Black Mesa, your standard super secret facility. Something goes horribly wrong and uh. The formula is very simple, but they execute it so well that other games have copied it and failed (Doom 3). Needless to say you need to fight your way out through the facility, on the desert (being chased by a helicopter), and everything else would just be a spoiler. There are no levels, no loading screens. Loading is seamless and happens during downtime.Half Life 1 has simple controls and an optional tutorial level. There are buttons for jumping, crouching (sneaking), using your flashlight (that needs to be off to charge it), shooting, secondary shooting (for machine guns) and using things. The game is always in run mode and character speed seems to be fast. Too fast sometimes, but there is that sneak button that will slow you down.But how is the first person shooting? There is a wide variety of guns and each has a certain joy and usefulness to them. Even the simple pistol is useful for lesser enemies 8 hours into the game. There is a shotgun, a machine gun with grenade launcher, grenades, explosives you detonate, wall sensors with explosives, a harpoon, a laser guided rocket launcher that once it launches you point your cursor and it will turn accordingly, lasers, homing missiles, head crabs and more. An amazing array that you continue to get even up to the final levels areas. To swap weapons you push 6 number keys and press some keys twice to access some weapons like the shotgun / machine gun / harpoon.You start with a crowbar good for breaking grates, and destroying boxes. Destroying boxes is how you will find most items and ammo. Instead of just finding things scattered on the floor, on shelves or on a desk you need to bash open boxes to find the good stuff. You can also push or pull the boxes too which is nice for puzzle solving and platforming.The enemies are just as diverse and each one requires you to think and act differently. Since I don't know the name of any enemy I'll fumble through this. The start enemies are lesser creatures that will start on the floor and jump at you. 2 shots from a pistol take them out. There are zombie-ish aliens that take a shotgun or two, but they are easy enough to avoid. Aliens that teleport in and beam electricity at you will cause you to hide, pudgy little alien crawler / hoppers will make you shoot from a distance because they will send out a small shockwave. Standard soldiers that will shoot machine guns, throw grenades and coordinate attacks against you like flanking. Ceiling huggers that are yucky red globs on the ceiling with long rope like tongues that when they catch you, you'll be pulled up and eaten... if you don't shoot them. Giant aliens with homing missiles too. There is a wide variety of enemies and bosses. I can't list them all.The game also shines with its tricks and traps and will throw a puzzle or challenge at you to keep you thinking. But in this game it doesn't feel like a puzzle or a challenge. It seems natural. There can be a hidden turret where the fun is making your choice how to take it out... Grenade, explosive, shooting it and getting shot in the process, running by it or just not hitting the trip wire to start it in general. Wall sensor explosives, push and pull box puzzles, pushing buttons, hopping hanging boxes over a pit, conveyer belts, using a sky cannon to destroy walls, using turrets, on rails vehicles that you have a lot of control over, water puzzles, high jump pads and so on. There is a lot of variety and it's never the same thing twice.To sum it up, this is a diverse and VERY FUN game. It has a sense of humor to it and you'll feel like you are Gordon Freeman through the game's well crafted immersion. Puzzles, shooting and challenges all melded together into one fantastic game and I can't say that too often.",5,One best made FPS that stands up today,1320105600,"11 1, 2011",0.0171
3,A1UA1RFUMTFH9W,B00000DMAE,John L. Maillard Digital Enthusiast,"[6, 7]","I was never a big fan of the first-person shooter (FPS) genre, but after giving Half-Life a try (thanks to all of the glimmering reviews), I am absolutely hooked. From the opening tram sequence, you're mesmerized by Gordon Freeman's plight and the falling Black Mesa world surrounding him. It's a game that keeps you in a trance from midnight to the first crack of sunlight (apologies to my wife!). After dishing out punishment to those Marines, be sure to frag some people in the outstanding multiplayer modes. The fun gets even better, and the taste of death is even sweeter when you blow apart that guy with 196 kills. Half-Life is truly a work of art. Opposing Forces, here I come.",5,Simply the Best,949276800,"01 31, 2000",0.1748
4,A16WKPOSEGQC3Y,B00000DMAE,Nanohead nanohead,"[2, 11]","Maybe its me, but Half Life is too crude to be an engaging play. Been meaning to play it for years, but never got to it. I played Half Life 2 first, and that is simply the best experience in gameing I've ever had. It is brilliant. I can see how 2 is a derivative and continuation of 1.But after a few hours, I simply could not take the constant jumping/missing/dying. And the totally totally obscure paths through each scene. The long passages with no health. The obscure mazes and constant times of being squished. After a while, I became so frustrated I simply stopped playing the game.There were some jump/fall/sqish episodes where replayed the silly jump part over 100 times. I think that the playability is dated, just like the graphics. The peculiar movement, where you always run, and have to press shift just to walk and not fall or overshoot where you're trying to get to, is simply not a current way to control movement.All in all, a charming prequel to the best game ever. I'm sure this game was truly groundbreaking 7-8 years ago when it first shipped. But by today's standards, its not for me at least. I cannot wait for more from Valve, as they are fantastic. But this one, I'll pass forever",3,"Too frustrating for me, interesting, but not fun. Half life is past its half life",1129852800,"10 21, 2005",0.2022
5,AD0J5KK4WQXNS,B00000DMAE,OverTheMoon,"[1, 1]","I bought the original when it first came out in 1998. In late 2004 Valve rereleased Half-Life with the update source engine used in Half-life 2. There is no new content though. I decided to play source to coincide with the 10th anniversary of this amazing game. Source just has more realistic water, a better physics engine, ragdolls, some better lighting effects, cleaner mapping and new 3D skybox. I am happy I have played source but the differences between this and the original may not be enough to justify the costs. The differences are not really noticeable. So if you want to play Half-Life just know that there are two versions of the game out there. Half-Life standard and Half-Life: Source.Now, to the story so far... In the Beginning... There was nothing new much in the Half-Life game engine which was essentially just a modern hack of the Quake game engine, so how could a game that based itself on software that others developed succeed in becoming the biggest selling game of all time? When Half-Life first came out it did a couple of things right that most other first person shooters failed to do... (1)Story, (2)Story and (3)Story. Valve created Half-Life in a period of our lives when Area 51 was a hot topic among UFO buffs and the X-Files was to become mainstream family television viewing. Alien based entertainment media was a craze in the mid and late 1990's, unprecedented since the 1950s. Smack in the middle of what could be considered the most influential era for UFO enthusiasts came HALF-LIFE where YOU get to play as Gordon Freeman, a physics researcher who witnesses a freak accident in an Area 51 type facility. All hell breaks loose and YOU have to survive. No cut scenes. No initial story. No explanation. You where just there and you had to escape. Cue interactive characters that could follow you around and say a few things, maps rich in objects that you could break eventually leading up to rapid action shootouts with monsters and marines.Playing HL again was simply reliving that experience all over. Yes games have improved but this offering still destroys a lot of the competition. Valve just did it right and there is no reason not to want to load this up and give it a whirl again. Let's face it, this is gaming history. Half-life changed the FPS scene in ways other games have since tried but failed. Has there ever been a revolution in FPS quite like Half-life? Some may have come close but not nearly as far. That is how important this game is.",5,Source of all modern FPS games,1233100800,"01 28, 2009",0.0912
6,A2QHS1ZCIQOL7E,B00000DMAE,Richard Baker BinaryMessiah,"[0, 0]","The Good: Game holds up 10 years later, one of the best told stories in gaming history, a lot of memorable moments, tons of mods availableThe Bad: Graphics look hideous these days, newer gamers will hate this due to all the flaws that stick out, to many mazy levelsMan O' man does this bring back a lot of good memories. I remember almost dying because my mom's computer couldn't run HL1. I begged her to get the computer upgraded (at the time not even knowing how this was possible or the cost) she just wouldn't do it. All I could do was stare at videos and screenshots until I thought would be forever *da-da-da!* until I heard about the PS2 port! I was so excited I babysat my bratty sisters for a whole summer and laid down $200 smackeroonies on a used PS2, but to my luck HL was no where to be seen. It turns out not many copies of the game were made so they were scarce. Settling with a rental I finally was able to play the game, but it was starting to feel old because I didn't get ahold of it until late 2003. Realizing that I was missing out on a lot AT THE TIME I wound up losing my save and being so angry never touched the game again. Four years later I can finally play the game again thanks to Steam (I actually ordered the HL1 Anthology off of EBgames for $20) and I DEFINITELY realized what I missed now that I have finally been able to finish the game.Half-Life used the Quake II engine at the time which was fighting against the Unreal engine technically. While Half-Life never looked as good as Unreal Valve pulled some strings and did some custom stuff with the physics, water, and lighting effects that wasn't originally in the Q2 engine. HL isn't just your regular run & gun shooter the story is told all in real time by running into certain characters and by just progressing you get an idea of what's going on without much dialog. This was revolutionary at the time and so were the weapons, graphics, sound, physics, and enemies. The game has your usual weapons like machine guns with grenade launchers, pistols, revolvers etc. but HL has some weapons up it's sleeve that were never seen before. Those such weapons happen to be a laser guided rocket launcher (you guide it with your mouse!) I remember people buzzing about this weapons back in the day and it's still pretty cool. You also have the Bee Gun which is a weird slimy thing that shoots killer bees, you have some strange electricity guns, mines, laser mines, satchel charges etc.The enemies were also something never seen before like the Head Crabs, Head Crab Zombies, the Ichthyosaur, the Vortigaunts etc. The game also had HUGE bosses which was amazing back in the day and seemed very epic. The game was dark, creepy, and very hard as well. Most shooters back in the late 90's were just run & gun nonsense in dark tunnels, military complexes etc. Half-Life is not innocent and does do this, but there are other places to see like climbing a HUGE canyon and looking out over the *ugly* vista that looks like the Grand Canyon. Today it looks like someone slapped a low-res JPEG image in the background, but in the late 90's things like this seemed like you were staring over a GrindLift in Gears of War 2. Half-Life was just so real and so amazing back in it's day that it really kind of shocks you how such an old game can still make that kind of impact.The game also consists of a lot of maze like halls that you can get easily lost in and I found this the main problem with HL. Some of the puzzles were a bit confusing to do and navigating the endless halls calls for a much needed walkthrough. While the level design is excellent and you pretty much know where to go there are those occasional moments that make you wander around the whole area a few times and look in every nook and cranny wondering what switch you missed or what do you need to go through. Some neat things back in the day was being able to have the Blue Shift men help you and ask scientists to open doors for you. While this is standard these days this kind of AI was unknown to the late 90's PC gamers. This added to the realism and made you fee like you really are stuck in Black Mesa trying to fight off the alien invasion.You're probably wondering what the story is right? Well it's simple really, Gordan Freeman (that's you) arrives in Anomalous Hazards as a regular employee and an experiment goes awry and Gordan must escape the facility and figure out the source of the alien invasion. The story, as I've already said, isn't told through cut scenes, but rather in real time while you play. This helps add to the experience, but of course may bore most younger PC gamers who are used to FEAR, Crysis, CoD etc. Half-Life is for the hardcore old school PC shooter fans only and really takes cunning skill to finish. The game will give you less and less health as you go and you'll have to figure out how to take out a room of 10 bad guys with only 2 health. While this isn't impossible it can be done and requires precise skill (thus only for hardcore fans).Most of you have probably played HL2 already and these games are pretty much completely different besides the content. You still have your hazard suit, most of the weapons are the same, but there is more stuff in HL1. About 40% of the weapons and enemies in HL1 aren't in HL2. HL2 is more realistic while HL1 is more of a sci-fi type game. Thankfully you can play HL2 without even touching HL1 (which I did), but HL1 explains a lot of things that aren't explained in HL2 and there are bits in HL2 that are for fans of HL1 that you normally wouldn't know about unless you played this game.Now of course HL1 has a lot of flaws like floaty physics, being able to run 100mph, cheap deaths, poor graphics but these are flaws seen from age. If you were to warp back to 1998 the game was almost flawless. Now when it comes to upgrades and mods there is an endless ocean. There are a ton of amazing multiplayer and singe player mods available and I have spend hours and hours on most of them. You must go to FilePlanet.com and download these mods because they are super fun. HL1 also has a free hi-def pack that you can download to update the graphics a little bit. If you want to go even further pick up Half-Life: Source which uses HL2's engine to make things look more modern. I highly recommend the Source version for people who just can't stand old graphics, but old school shooter fan should just get the hi-def pack just for nostalgia's sake.",4,The game that redefined the first person shooter,1332892800,"03 28, 2012",0.0831
7,A3IBXED14SKZ8Y,B00000DMAE,Robert Evans Robert,"[1, 5]",Half Life Revolutionized PC gaming. It is one of the greatest IF not The best pc game ever made. It has bin said that from almost every Pc Mag or Game mag. I was a few to own this masterpiece when it first hit stores and all I can say is...wowThis game really changed about the FPS gaming. It just made me think different about FPS. It truly is a masterpiece. I won't spoil this games amazing story of the g man's adventure. I wont even say how good this game is you just have to play it for your self.The graphics for that time was amazing and so will the upcoming HALF LIFE 2 BABY! nuff saidThe gameplay.......You're a moron if You acctually think I'm gonna go into that since we already no how incredible the game is....Nuff' saidThe story is what makes this game...a game..it's not just any shooter...it's history in the making..well for games atleast...I'm just gonna make this short and sweet for you...THIS GAME IS AMAZING!Of course this deserves a5 out of 5 stars!!!!!!!Amazing...Just amazing...Nuff said get the game before HL2 comes out..Lates..,5,The best.....nuff' said,1100476800,"11 15, 2004",0.2737
8,A1TK6R2JSC97HL,B00000DMAE,Rottenberg's rotten book review,"[2, 3]","Fans of dedicated single-player first person shooter games who've never played this game before should definitely not pass it up. HL takes an utterly unoriginal idea for either games or movies and crafts an utterly unstoppable gaming experience. You play Gordon Freeman, who works in the bowels of an ultra-secret, underground research facility called The Black Mesa. (Having played the game yet I'm still not sure what's supposed to be going on in BM - it's what happens that matters.) Oozing high-tech, the facility is host to another dimension when you/Freeman accidentally...do something that tears a whole in the fabric of our own - allowing beings from that other world to enter ours.Now, if you think that these otherworldly denizens are peaceful beings intent on fostering cross-dimensional love, or that your fellow human beings will enter the Black Mesa unarmed intent on warmly welcoming these beings to our world, I'm afraid you've picked up the wrong game entirely. For in the bowels of Black Mesa you'll confront howling dog things, flying crabs, alien-zombified versions of your colleagues, gigantic aliens that breathe fire through their fists, aliens that hang from ceilings (and entrap their victims using these vine-looking things) and squads of human special forces troops intent on killing everything that moves. If the above attracts you because you think it may be the setting that elevates the nobility of the human existence, I should warn you to look elsewhere - for in Half Life, you'll find yourself acting indiscriminately with a 9mm automatic, a submachine gun, grenades and (most regrettably of all) a nasty crowbar; you'll make few friends and find yourself (for the most part) alone and (not infrequently) exiled to ventilation ducts (again with the ducts!!) to avoid getting shot at by humans, or burned, bitten, bolted or tongue-bathed by aliens. Complex problem solving skills (as much as marksmanship or bullet-saving) are crucial in this game - in which your enemies have above-average levels of AI. There are unfortunately times when a level may be hung up by the failure to achieve some specific mission-goal, but this is on the whole a game in which the goals are sufficiently complex to make you feel cool for achieving them, yet not so complex as to be impossible to solve. The settings are fantastic - from the vast to claustrophobic. The game is long - uncommitted gamers may find it tedious - but the scope of design here rewards those who keep up with it.I ran this game on an XP-equipped P4, with a 64MB AGP card, and had no problems (other than those involving the evil aliens and homicidal fellow humans). Graphics and sound were smooth, and I suffered no CTD's.",4,(XP User) A series of unfortunate incidents...luckily,1119398400,"06 22, 2005",-0.0241
9,A2NS9YZIT9Y8DX,B00000DMAE,R. Ward,"[1, 2]","Made in 98, but still better quality, play, and design than most games on the market in '05. Good storyline, great AI and graphics, not-overly aggressive system requirments, tons of add-ons available. Incredible single player mode, good weapon selection, and arguably one of the best FPS online games of all time. If you like HALO, you will like Halflife. Very similar, but no limit on how many weapons you can carry, and the levels aren't as repetative. (My biggest complaint about Halo, though it's obvious why, many of the levels and hallways are exact copies of one you've seen dozens of times already...gives a feeling of being lost, and even fed up at times.) Halo does have the edge as far as cars and what not though. I also recommend Halflife 2, the sequel to what I'm talkin about here... INSANE graphics and gameplay.",5,An old game still worth buying...,1109289600,"02 25, 2005",0.158
