,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ASGJQAKO5NRRJ,B000052YOL,3jaysmom,"[3, 4]","I love this cream!!! I bought it because Dr Oz recommended a retinal cream to stop the signs of sun damage, and although I am not wrinkle cream age, I spend a lot of time in the sun, so I am worried about sun damage. On the Oprah website, they listed several that were recommended, and this was the cheapest and easiest to find, so I thought it would be the first I tried. I am so happy with the results, this is all I need to try. Right away, I noticed my skin looked brighter hard to explain, but that is the only way I can describe it. After about a week of daily use, my pores look smaller, and my face feels amazingly smooth. I feel like I can wear less make up. I don't have wrinkles yet, so I can't comment on that, but hopefully continued use will help prevent bad ones (I'm realistic, I know I'll get some, but maybe they wont be so deep)The only reason I did not give it 5 stars is because I feel that I need a bit more moisturizing on some areas of my face, so I end up using more that the pearl sized amount, maybe double. I dont think the recommended pearl sized amount is nearly enough for most people with dry skin.",4,Great product,1252713600,"09 12, 2009",0.2057
1,AAABR1XF7GJRE,B000052YOL,ajpenn84 Mandy,"[5, 5]","Pleasant smell, non-irritating, non-drying does it what it claims! I was depressed over how my skin was looking & tried Proactiv but that stuff made my condition worse, with this & the Neutrogena, Anti-Wrinkle, Anti-Blemish cream, I noticed a noticable difference the next day even my mom said that my skin was pretty! Don't expect a big lather with this in fact, it's actually a good thing it doesn't lather too much (it's just right) because that can be drying to your skin just as they say you don't want an uber soapy shampoo that lathers too much because that can strip the oils from your hair drying it out. I LOVE THIS STUFF, & being on a fixed income I needed something I can afford that actually delivered on it's promises!",5,Does what it claims! I noticed difference the next day!,1349568000,"10 7, 2012",0.3675
2,A1MJ5OIWM844CR,B000052YOL,AKL AKL,"[0, 0]",EVERYTHING I EVER BOUGHT FROM NUTROGENA IS FIRST QUALITY AND RIGHT ON THE DOT FOR WHAT I EXPECTED.,5,Five Stars,1404864000,"07 9, 2014",0.0
3,AJ4MN7JLDZBV1,B000052YOL,Amazon Customer,"[1, 1]",I am sensitive to the feeling of anything &#34;heavy&#34; on my face. This feels light and makes my skin feel so soft. Love the product.,5,"Neutrogena Healthy Skin Anti-Wrinkle Cream, SPF 15, 1.4 Ounce",1370649600,"06 8, 2013",0.255
4,A1VFDGVU3GS5IV,B000052YOL,baf,"[1, 1]","So great to use such a small amount & feel as if it's working! Great price/excellent product, but I'm not expecting miracles @ 60+...",4,"So far, so good.",1367798400,"05 6, 2013",0.5304
5,A1J6KD2NJX0WPV,B000052YOL,bag,"[1, 1]",I have used this product for years and it is good. I'm pleased with it and never irritates my skin.,4,choosy choice,1367193600,"04 29, 2013",0.5362
6,A1R1DW5GGE3B5Q,B000052YOL,B-Mon30,"[0, 0]","Based on the fact that I'm currently using several anti-aging products, I'm not certain which are helping and which aren't, so I can't comment on the anti-aging claims of this product.However, I will say this: the product goes on without a greasy feeling and makeup is easily applied over it. Also, a little dab'll do ya. Goes a long way.",4,A little goes a long way,1301875200,"04 4, 2011",0.1145
7,A3L9VCA591DGDQ,B000052YOL,B. Nassif,"[5, 7]","This is a fine skin cream , it reduced pore size, improved my complexion's color and uniformity , didn't irritate it and didn't induce acne. I wear it daily prior going to bed and at afternoon if I am not going out ..definately improved my skin overall.Edit : after using this cream for more than 3 weeks now on daily basis I can say it has no effect on my age spots however, it does improve drastically pore sizes and makes my skin looks smooth and soft. will definately re-order",5,Improved my skin drastically..,1343952000,"08 3, 2012",0.4412
8,A2KMRF611D55NA,B000052YOL,Bridgette,"[0, 0]","This is an amazing cleanser, I've yet to find one that works as well as this one does, and I've tried at least a 100 of them. The first time I used it, after showering I saw the difference right away. My skin was very smooth and softened, makeup went on much better too. My friends even commented and asked what I was doing different!!The product is a pearly white cream, nothing really special. The consistency reminds me a bit of clearasil, it's pretty thick. It lathers up very nicely though, and the smell is kind of a light citrus-y smell, nothing special there either. I have mild acne, and a few fine lines, and this cleanser really helps. I LOVE the effect it has on my skin, like I said nothing else really comes close, I'm pretty sure they sprinkle magic into this or something.I'm so glad they have it on Amazon, because it's not available at my store anymore. This is the only cleanser I've bought a second tube of, and I'm definitely going to stock up. Everyone should try this!!",5,the only face wash I've bought twice,1370649600,"06 8, 2013",0.3264
9,A20XD3L42TN7KG,B000052YOL,CA resident CAresident,"[1, 1]","I was using neutrogena rapid anti wrinkle night moisturizer... By the way I am 36 and have 2 lines in the forehead and a wrinkle in the nose in between eyes. And also lines around eyes... I don't prefer to use chemicals near eyes.. So I use organic natural product for around eyes. The rapid anti wrinkle was good.. Still I felt it might be too strong and I don't need it now .. In late 30s... Might be in late 40s... So tried this cream which is milder... I am using it for the last 2 weeks... When I wake up every morning and see myself in the mirror... I feel like my face is super clean, fresh and soft...doesn't break out my combination skin... So far so good... Will continue using this",4,Clean look in the morning,1399420800,"05 7, 2014",0.1845
