,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ALSA1CWMISNPI,B0000891IO,Bibbles,"[0, 0]","I bought this brand and Danskin tights to see if there would be a difference in quality (I haven't been big on Hanes, as a brand, before), rather than stock up on a bunch of colors in one brand.I'm glad I did it this way, as I won't buy these again. They ended up getting a run the very first night I wore them, then they just tore into a hole.For starters, I didn't even like the way they felt. They didn't stretch well (I have big hips and bought the size supposedly appropriate for me, according to the chart), and they were too snug around my upper thighs, of all places. It's like they designed it for children's legs.. very runway model, ignoring that women's thighs are typically bigger than their calves.And they were SO THIN, I might as well have shaved and wore nothing. I bought white because I was hoping to get some white sheer like the picture, but it was nothing like that. So don't expect these to hide any hair/blemishes you have on your legs, or even look like you're wearing white tights.The only reason I can think of that this gets two stars rather than one is the price and I'm pretty sure they arrived when expected.",2,Weak,1374969600,"07 28, 2013",0.1465
1,A3P83CGXWYKFUO,B0000891IO,Cat,"[0, 0]",No stretch at all. Are like nylons from the forties. Give me elephant leg or flat out fell down. I threw them away.,2,Weird,1376956800,"08 20, 2013",0.0163
2,A3BI2FJRE6R9TI,B0000891IO,Culture Queen,"[0, 0]",These pantyhose provide terrific tummy support and do a lot to highlight my legs. The &#34;reflections&#34; look great as I walk.,4,Excellent hose,1376265600,"08 12, 2013",0.7135
3,A2DH03CO9QBIWM,B0000891IO,Debbie mustang man,"[0, 0]",I thought the further up the size alphabet the larger they get I was wrong they also need to put the proper size chart along with the product.,3,stockings,1392336000,"02 14, 2014",-0.4767
4,A1V57JZNU3Y1BH,B0000891IO,Debra R. Hanson,"[0, 0]",I keep coming back to this product. Hanes feels very nice and silky on your legs and they look good as well. I would recommend.,4,One of the better panty hoses,1365465600,"04 9, 2013",0.3857
5,AYKH22RR4R8DT,B0000891IO,emclean,"[0, 0]","Just got these and I love them. True size, good quality and they really do their job with the &#34;control top&#34; thingy. I would buy them again.",5,Great quality,1360713600,"02 13, 2013",0.4426
6,ALFBROXVWTMS3,B0000891IO,Jili Jili,"[0, 0]","I have had so many Hanes pantyhoses in c/d size, but this is not c/d for sure. It was too small and short. Very off size and false advertisement. Unless Amazon is selling defected or off sizes of this brand/style.",1,Hanes pearl c/D pantyhose,1366416000,"04 20, 2013",-0.1498
7,A1A5QUQEZOQT17,B0000891IO,kato2010,"[0, 1]","These tights are extremely soft and very flattering. They fit perfectly and looked very sleek and of high quality. The only thing is, I purchased the barely there color and it is a little darker than the picture. In fact, it is more of a tan color and would go perfectly with people who have a tan complexion like I do. You really can't tell I'm wearing tights until you come closer and even then, it is such a nice, sophisticated look. These tights would go great with formal evening wear and dresses.",4,Really nice,1360800000,"02 14, 2013",0.5499
8,A2KBV88FL48CFS,B0000891IO,Kelli Kelli K,"[6, 9]","I have been wearing Hanes Silk Reflections for over 15 years now and I still love the sheer look and silky feel of them on my legs. I have many pairs of Hanes Pantyhose for daily wear in different colors as well as Silk Reflections Thigh Highs and Stockings. I have tried other brands but always come back to Hanes Silk Reflections. I have tried other brands of pantyhose that are as sheer but not as durable, I have found some that are as durable but not as sheer, Hanes has it all for me. The fit is perfect they do not bag or sag at the knees or ankles even after a long day.I am an Amazon Prime member and that has been wonderful the shipping is always fast and on time. Whenever I can find my Hanes hose with Amazon Prime available I purchase them. It is so much easier to buy these online and have them delivered at no cost I am so happy with my Amazon Prime membership.",5,Great Pantyhose,1268697600,"03 16, 2010",0.3982
9,A1FHLZ9WYOBGH4,B0000891IO,Kelly,"[0, 1]","my legs are mostly in no nonsense pantyhose but a co worker said to try the hanes sheer nylon pantyhose, i really like how sheer my control top sheer toe silk reflections pantyhose are, these pantyhose are very soft and sheer nylons, like all of my pantyhose when i pull up very sheer pantyhose i take my time so i dont run my nylons and pantyhose, once on i love how these pantyhose make me feel, i prefer reinforced toe pantyhose but sheer toes are nice also. i wear pantyhose and nylons everyday and now have several pairs of hanes pantyhose.",4,lik my top sheer pantyhose,1397260800,"04 12, 2014",0.4825
10,A4W04JGWML69E,B0000891IO,Kendall Ewan,"[0, 1]","Very sheer, which is good, but the Caf&eacute; Au Lait color has more tan to it than I expected. Overall, still a good purchase and I will buy more in other colors in the future.",4,Nice,1367366400,"05 1, 2013",0.3393
11,A28KROLQM7LDCR,B0000891IO,Madisnani,"[0, 0]",I always feel hose of any kind not quite as long as I would like. I am 5'7&#34; and weight 129 yet they always seem to be &#34;not quite&#34; as long as I would like for an easier fit.,4,As expected,1392076800,"02 11, 2014",0.744
12,AN2NEK2M42Y6O,B0000891IO,Michelle,"[1, 1]","Not only do these hose fit, but they really do exert control comfortably. They are also strong (have used for years) but have a silky quality. Cannot speak highly enough about this purchase.",5,Pleasing Pantyhose,1400025600,"05 14, 2014",0.3166
13,AO2DZ7WIPM74U,B0000891IO,mom12,"[0, 0]",they last pretty long and the color and length are fine. I actually have been able to wear each pair more than once.,3,they are good for work,1365292800,"04 7, 2013",0.3062
14,AU5AJAEF12DWC,B0000891IO,mrs,"[0, 0]","they are a little darker than nude, but they are exactly what I expected. comfy panty hose, hopefully they last",5,nice,1381795200,"10 15, 2013",0.2009
