,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ADLVFFE4VBT8,B00006IATH,A. Dent Aragorn,"[18, 20]","It's nearly all-plastic (feels cheap but it looks okay from a distance) with the exception of the blade itself which appears to be thin steel and the bolts that keep it together. The only assembly needed is attaching the handle (just push it in) onto the blade assembly.The trimmer features:- inch and metric rulers- a protective guard rail- a blade latch hook- a largely meaningless 10-year limited warranty (you pay for shipping, does not cover the blade)Putting it to the test, I found that it does cut photo paper well. The cut is straight and the blade cuts through the paper with no difficulty. Because of the guard rail, I doubt that you can squeeze more than a few sheets at a time but that's not a big issue for me because I will be cutting photos only and I doubt that I will ever stack more than 2 or 3 sheets at the most.Inside the box there's a note that says that Swingline is GBC's new name.One (almost) good comment on the seller. Shipping was quick and the item came in perfect condition but the packaging wasn't exactly state of the art.__________________________Six months update:Still cuts well so that self-sharpening claim on the blade may hold some truth. On the other hand, I only cut a couple hundred sheets so I can say it's great for casual use and it COULD be good for heavier cutting activities.",4,It comes very close to fully meeting my expectations,1241136000,"05 1, 2009",0.1264
1,A2JAEZ0FMAMJVW,B00006IATH,A. H.,"[0, 0]","By way of disclosure, I received a sample of this product for evaluation purposes.The only guillotine trimmer I ever used with any frequency was my mother's. It was a heavy unit, made largely of hardwood with a heavy spring-loaded arm. It was hardly portable -- it weighed a lot.This Swingline trimmer is much lighter, with the surfaces made of plastic. It's easy to get it out when you have a job that calls for it.It has a sharp blade that cuts paper cleanly without requiring excessive force. It is reasonably stable on a table.It can deal with sheets of paper bigger than the standard 8.5&#34;x11&#34; size, having a 15&#34; cutting length. If you need to trim legal paper lengthwise, this trimmer can do it.Overall, it is a fine trimmer and isn't too expensive. If you only need a trimmer for occasional use, I'd recommend it.",4,"Good for light jobs, versatile capacity for larger sheets of paper",1394928000,"03 16, 2014",0.1397
2,AFEYHFH2GH0QZ,B00006IATH,AJ,"[0, 0]","This is an upgrade from a very old paper cutter, so it's a huge improvement for me. I like how lightweight it is so it's easy for me to move from room to room if I need to. The blade is great and cuts very cleanly from top to bottom.",4,Lightweight and cuts very cleanly,1391644800,"02 6, 2014",0.6578
3,A3NYPJQ5LYCU25,B00006IATH,amber,"[0, 0]","This thing is great. Works perfect, I have not had any issues with it at all. We got this at a really good price, it was more durable than I thought it would be.",5,Great Trimmer,1384300800,"11 13, 2013",0.5632
4,A17G8GQM941JTC,B00006IATH,A.Miller,"[1, 1]","It's sharp, has a built-in ruler, and makes nice cuts.I got this to do random cropping and trimming of documents in my home office.When working with standard 8.5 x 11 paper, I find that I could use a larger model of paper cutter. This one still cuts really well, but having another 3 or 4 inches of working space would be nice.It can easily cut 3 pages at a time.",5,"Swingline ClassicCut Lite Guillotine Trimmer, 12 Inch Cut Length,",1401235200,"05 28, 2014",0.2806
5,A3FEGTOLCWXSV4,B00006IATH,Ammy_Evaluator,"[0, 0]","I have used its 12-inch sibling for over a year now, and have been very impressed with its functioning and its reliability.Except for its length, this trimmer is identical in all respects, including the ease with which it can be setup.I have used it for all sort of projects for the kids, including cutting photo stock for passport photographs, and the cuts are clean and true.It definitely works as advertised.~A_E~",4,Competent product,1392595200,"02 17, 2014",0.8718
6,A2KMV056844YV2,B00006IATH,Book Lover CYN,"[0, 0]","This desktop paper trimmer is perfect for my home office. I am always looking for a way to cut my scrapbook papers which are 12&#34;x12&#34;. This Swingline paper trimmer will cut up to 15 inches which is just what I needed. The paper trimmer is listed as Lite and it really is light weight. It is easy to handle and you won't hurt your back when you pick it up. The handle comes with an extension which is removable for storage. The blade is very, very sharp and had a hook to lock the blade when not in use. It also has a grid and scale for measurements and a guard rail for safety. I highly recommend this Guillotine Trimmer for all paper trimming uses",5,Great paper trimmer,1390953600,"01 29, 2014",0.1728
7,A2QWEEYO8QLIMI,B00006IATH,B. Rackley Sierras Creative World,"[0, 3]","I am always on the look out for a cutter that will last. When this cutter arrived and I opened the box, I found a cutter that was plastic....How long? I also found that in use, the cutter has not enough weight to hold strong. And you need to apply pressure so that it can cut....again How long can this last.I believe that if you are going to use this on occasion and not for heavy duty scrap-booking I might want to consider theunit is mostly plastic and light weight.Could only give 3 stars for this product.",3,Will it last?,1391040000,"01 30, 2014",0.0711
8,A17V9XL4CWTQ6G,B00006IATH,Chandler,"[2, 2]","I've tried out 3 paper cutters just this year. I use it daily for work, many times a day--I sent out samples of products and for sample labels I just hand cut the labels before sending and also cut out the mailing labels. That means lots of cutting, and some of it on sticky backed surfaces. I also use paper cutters in my art.This one, by far, outperformed all the others, even my commercial ones. It's amazing that it's so lightweight, but cuts so easily, even bigger stacks of paper.Most seem to cut by shaving the blade up close to the metal bar rather than by having a good and sharp blade. This means more resistance and pulling---This one is a light easy pull but fast and accurate cut. Far better.My other cutters tend to make the paper move, crooked, so precise cuts are not as easy--this one kept the paper just where I place it for straight cuts.Also a few of my others have a large protector so you can't easily see where you are cutting. This has a small bar. Whereas I wound up removing the protector on some other paper cutters because it was in the way of my site, I can leave this one on, meaning fingers are protected but I can still see.This one is longer than may others so long pieces of paper are no issueAnd the guides on the cutter make it simple to align items straight, whether vertically or horizontally.Best cutter I've owned in years, for sure.",5,Best paper cutter out there,1392163200,"02 12, 2014",0.0437
9,A317G6H6Q0EPNK,B00006IATH,Chris Underwood,"[0, 0]","I was looking for a relatively inexpensive trimmer for our office and this unit has been great. Nicely made, decent weight and a very sharp blade. Perhaps most importantly, the mechanism operates clean and tight and appears to be built to stay that way for a long time.",4,Better than its price would suggest,1383264000,"11 1, 2013",0.571
10,A7C77J4MH94B6,B00006IATH,Cowboy Bill cowboybill,"[0, 0]","I received this 15-inch model for review from Amazon. I already own the same trimmer but in the 12-inch model. They're both the same except for the size.The trimmer is mostly plastic and feels lightweight, but it stays stable when cutting and is solidly built. The lightness of the unit is actually a plus for me sincce I keep it in the closet until I need it. It's easy to move around.Assembly is easy -- you basically slot the arm in and you're ready to go. I use my 12-inch model about once a week. I cut about five sheets at a time to make sure the cut is straight, but I think you could get away with up to 10. The same is true for the 15-inch model.I'd give five stars to this unit if it were just a bit less expensive. But compared to a wooden cutter, the price is reasonable. If I were using the cutter more often and to cut more than paper (say, thicker paper or cardboard stock), I'd think about getting a more sturdy model. But with this model, the blade stays sharp and is more than adequate for paper cutting.",4,Good cutting action,1395187200,"03 19, 2014",0.1499
11,ALNFHVS3SC4FV,B00006IATH,Darena Shopz darenashopzatoutlookdotcom,"[0, 0]","This Swingline Lite Classic Cut is a standard size cutter but is light weight so you can move it around if needed. It's nice to cut coupons or whatever else you may be doing like craft projects. It is easy to move around and store if you have the room. Because it was called &#8220;lite&#8221;, I thought it would be a smaller size but it's just lighter in weight than others that I've used. It still takes up quite a bit of room.It has measurement markings and a grid on the the cutting board to help with measuring and lining up your cutting projects.There is a locking mechanism for the arm which is nice. I have another one that you can not lock the arm in place and I worry about the safety of that one.I noticed that is states it is for the occasional 10-sheet cutting project so I think this would be suited to homework, coupons, etc but may not stand up to daily use in an office or classroom.",4,Light Weight but Large,1390521600,"01 24, 2014",0.2157
12,A2V5M5EJPOD2IU,B00006IATH,David Bradshaw,"[4, 4]","This is a really high quality paper cutter. The base is a nice sturdy, solid piece that stays in place on the table (no wobbling or anything), the blade is super tight to the board and this ensures a tight cut right where you want it. The ruler guide is nice and easy to read and use with paper on the board and the top is solid enough to allow paper to flush against it to ensure a straight cut. The unit cuts through card stock and thick piles of standard paper with no problem and leaves a smooth perfect cut line. It also has a lock to lock the handle down so you do not cut yourself when moving it, this is easy to unlock and use.In the end, this is a great paper cutter. It cuts through piles of paper (max is 10 and it does that perfectly) and heavier papers with no problem. It has a nice look and a large working area for cutting oversize papers and a sharp tight blade that cuts paper smoothly without tear marks. This is a great cutter and works amazingly! Highly recommend!!!",5,Great Paper Cutter,1391990400,"02 10, 2014",0.4721
13,A3GEKT2LS4QLR5,B00006IATH,dawn vander weide,"[0, 0]","perfect for my rare needs to cut paper. i like this, and i've always wanted one. so far i've used it to cut papers in quarters for party invitations. cheaper and easy.",5,good guality for price,1396224000,"03 31, 2014",0.3341
14,A6KWBF2VF5ME9,B00006IATH,ECH,"[0, 0]","cuts fairly straight. decent desktop cutting board. I would recommend it to people who is looking for this type of product. only issue is, you have to be careful to line up top and bottom so it cuts straight, also, you cannot cut unless you have enough thickness on both sides of the blade. can't really shave a thin slice of paper to adjust an edge as it just folds over.",4,cuts well,1358553600,"01 19, 2013",0.1193
15,A2U0LY01LK9C3E,B00006IATH,EddieE,"[0, 2]","First thing you notice taking this out of the box is the weight, quite light. They say 3.6 pounds...hardly, more like 2 lbs 5 oz. or so is the actual cutters weight and it does advertize as lite which on the plus side makes it quite easy to handle and store. The blade appears to be quite sharp and produced a clean straight line, both on singles and several pages stacked, I have not tried thicker material yet. The locking latch is quite cheap and a weak point. The handle mechanism bolting though plastic sort of makes me wonder how long that will last considering that is where most of the movement occurs. For the money you get a cheaply built cutter that does the job, depending on how much you plan on using it. Granted it is not the industrial, heavy duty wood models and such, just a simple around the home trimmer.",3,"Decent, cheap trimmer.",1381449600,"10 11, 2013",0.16
16,A2RMVKGPSIISC0,B00006IATH,E. Dempsey,"[0, 0]","I really like this Swingline Trimmer. It's very easy to use, lightweight and easier to store than the big, heavy ones. It performs well, can easily cut ten sheets of paper at a time. I've used it for a lot of paper crafts, cutting heavy cardstock with ease and accuracy. The paper is easy to line up, so you get satisfying results. I've had quite a few trimmers, and they never really lived up to my expectations. I have a very expensive Martha Stewart trimmer which is a huge disappointment, difficult to line up and and the cuts are often slightly off, which drives me crazy. This trimmer far surpasses that one, for less than half the price. I'd highly recommend for scrapbookers and other crafters, for students (with parental supervision, of course). There is a lockable safety latch on the side to prevent accidents while not in use. Very pleased with this product.",5,Great for paper crafts,1393459200,"02 27, 2014",0.2481
17,AG88PJVD9RI74,B00006IATH,Faith N,"[1, 1]","Our cub scout leader last year let me borrow one of these to cut out all our homemade den doodles, ribbons, etc. It worked like a charm so I had to have one myself for all the scrapbooking I do at home. Great price, arrived in perfect condition and the blade on this is wonderful. I've been using it for a few months now, absolutely no problems with cutting through anything yet. Love the side lock so that my 4 year old can't get curious. Highly recommended!",5,Great for scrapbooking,1400284800,"05 17, 2014",0.4059
18,A33AEK6T00UR4X,B00006IATH,FunCouple,"[0, 0]","If you need a good accurate large format paper cutter, look no farther. This Swingline gets the job done quickly and precisely. Our only concern about it relates to the weight. It is made of composite material which makes it lighter than wood and it tends to move around a bit when using it. On the other hand, if it were made of solid oak or other hard wood, it would take two people to move it around from place to place. Good product and worth the money.",4,Good for Home Use,1363910400,"03 22, 2013",0.2151
19,A1R377IPZOKLMM,B00006IATH,Gina B. It's a dry heat!,"[0, 0]",I like this for making straight consistent cuts - I've used it to print 2 flyers or cards on 1 piece of paper and cut it in half. The blade is extremely sharp and the board is lightweight plastic. I easily store this under my bed to keep it out of the way and off a desk.,4,Very sharp!,1395360000,"03 21, 2014",0.1219
