,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2S166WSCFIFP5,B00000I1BJ,adead_poet@hotmail.com adead_poet@hotmail.com,"[0, 10]","There's a lot of hype surrounding the Resident Evil series of games. They're on most systems, there are books, and even a movie. The story is a good one, but I found the game to not be so great. Graphics are alright, the sound is bad though. And game play is horrible. Trying to move around is difficult and can be confusing, especially when you're under attack and things are chaotic. The characters move unlike most games. You don't go in the direction of the D-pad, rather you turn with right and left direction and move with a button. It was poorly designed. But since the Playstation 2 is out, and better games as well as more Resident Evil, there's no reason to pick up this game anymore. The 2-disc set here is one adventure with a male character and another with a female. The game is involved, just not as much fun as it shoud be",2,"no, no, no",1043366400,"01 24, 2003",-0.1624
1,AH5OGQP0S9KSU,B00000I1BJ,Alan C. Logan,"[0, 0]","Resident Evil 2. I realized I hadn't written a review for my favorite game of all time. Yes, I'm not kidding. This game has it all. Graphics, check. (Still look good today in 2009.) Gameplay, check. Music, check. Gore and zombies, check and check. It just doesn't get any better than this. I loved the original but when I got this game is when I got really hooked into the series.The game is filled with great atmosphere. There's no game that defines survival horror better than this one. This was Capcom at the height of their powers. Silent Hill is a close second in the genre. Resident Evil 2 improved upon the original in many ways. The voice is a little better though it still has moments of cheese. The weapons look better and are upgradeable, the game has two scenarios where your choices make slight differences in the other character's game.Yes this game is survival horror royalty. Get it, I don't care what system you get it for, but just get it.",5,Those zombies aren't the only things crawling around out there...,1171756800,"02 18, 2007",0.0141
2,AQR9YZE1YO5EM,B00000I1BJ,Amazon Customer zdcheezit,"[0, 1]","In my opinion this is the best Resident Evil yet, although I have still not played Code Veronica. If you're going to buy a Playstation Resident Evil title get this one. It is by far the longest one also.",5,Best Resident Evil,994032000,"07 2, 2001",-0.3212
3,A1NTDY413IHKUO,B00000I1BJ,amy avance,"[0, 0]","One of the best survival horror games of all time. If ya don't know, now ya know...",5,Five Stars,1404000000,"06 29, 2014",0.064
4,A3KVCULINQA8OU,B00000I1BJ,Angela,"[0, 1]",we have every resident evil game we love the game and we love that the game was in great shape when we got it and how fast we got it,5,resident evil 2 game,1264550400,"01 27, 2010",0.8442
5,A2UUWIKIF3DOO4,B00000I1BJ,Ather Masood,"[0, 0]",Turn the lights off and play RE 2 to the very end. For me RE2 was the best in series so far.,5,Best in Series,1388275200,"12 29, 2013",0.4885
6,A3SNO7AAYOXQUN,B00000I1BJ,Avatar of the Llama Iamnotamoose,"[0, 2]","My first experience with the Resident Evil series was with Code: Veronica X. I was severely disappointed overall with it, and from what I've read, the whole series is the same, so I had little to no faith in it. I didn't feel the need whatsoever to play the other games, and openly spoke out against the series, even though I only played one game. But, after playing Resident Evil 4, I got intrigued by the story, so I decided to try out Resident Evil 1-3. I thought, There's no way they can be worse than Code: Veronica, so why not? And good god... was I right.Although the first RE was little more than a big laughable joke (thanks to the ridiculously horrible voice acting that makes what you find in Code: Veronica X look like an Oscar-winning performance), that wasn't really scary at all until the hunters came into the picture, the second iteration really blew me away. Anybody who has known me for more than two seconds knows I don't care at all about graphics in a videogame, so I'm not going to say anything about them because it is irrelevant (which is why I'm not a GameCube or Xbox fan). The gameplay is very good for a survival horror - there is plenty of puzzle solving, adventure, exploration, and combat to keep the interest level up. That's what I like about survival horror: it's not just about fighting to stay alive, but it is also about exploring and solving puzzles to unravel the plot and make sense out of mysterious circumstances. And, while Resident Evil 2 isn't anywhere near as scary or intricate in story as the Silent Hill series, it is still a top-notch game to play for any fan of the genre, and I highly recommend it. The first one you can play on your own; I just played it because I wanted to know what Wesker did to get Chris so ticked off with him, and vice versa. The reason the title of my review is I was wrong... is because I really was wrong in assuming that the Resident Evil series was a bunch of bunk and no worth anyone's time. So, I apologize for being a presumptuous jerk.But, there is one issue I just can't stop from addressing: the controversy over the control scheme. Now, I won't go into one of my trademark rants insulting everybody, but I will state my thoughts from an objective point of view. The reason survival horror games have such awkward controls is because the game developers wanted it that way. This is a genre for puzzle solving, plotlines, exploration, and thought, not just about shooting things. They made the controls this way to render it, in a way, a sort of anti-action type of game genre. Still, though, once you get used to the controls, like me, you will have no trouble blasting zombies torsos in two soon enough.Another thing that is cool about this game is the zombies and their... creative death sequences (okay, so maybe they die a second time, but this time for good). Naturally, you can blow their heads off, but even more possibilities await your execution. Sometimes, you can fire at them and their arm will be severed by your bullets, or with a shotgun you can shoot them at the base of their spine and they will be blasted in half, the upper section of their body crawling on the ground with its arms alone to try and bite you. When you upgrade your shotgun later on, you can actually blow their chest in half! And, with a rocket launcher, if you fire at them square in their torso, their arms, head, and a good portion of their upper body will be gone. If you hit them to the right side, most of said side will be gone, as will their head and respective arm, yet their left arm will still be attached. Pretty cool, huh? Code: Veronica X didn't have anything like that, which is rather too bad.The only problem I had with this game, and it really isn't a problem with the game itself, is that it really made me shake my head at Code: Veronica X. It almost seems as if Capcom had taken a huge step backward in their videogame-making abilities. Heck, even the first Resident Evil is better than REC:VX. For example, in the first one, the hunters had narrow, sharp, reptilian eyes, rows of razor-sharp teeth that protruded from their mouths, and they looked pretty scary, but in Code: Veronica, they didn't have such teeth (it almost looked like they didn't have any at all), and they also had small, beady eyes, making them more of a joke than an intimidating enemy.Yet another good part about this game is the Titan. I must say, he is really one heck of a bad guy. But, of course, he's nowhere near as bad*ss as the Nemesis or as terrifying as Pyramid Head. But he's cool nonetheless.So, in conclusion, if you like survival horror games, then I suggest you try this one out. But don't expect it to be better than Silent Hill, if you're a fan of that series (just as a side note).",4,I was wrong...,1136160000,"01 2, 2006",0.0043
7,A2582KMXLK2P06,B00000I1BJ,B. E Jackson,"[1, 2]","Now THIS is how you're supposed to enjoy blowing through a bloody, violent game! Blood squirting from moaning zombie bodies. It's so strange and relaxing to experience this. I know you will laugh at what I am about to tell you, but I never bothered with this game when it first came out. Yeah, I know, I lost many friends because of this. I ignored this game in 1998, and my level of coolness went right down the tubes. I had to fail math and pretend to smoke cigars to fit back in with my classmates again.Children shouldn't play this game. If you think it's ok for children to see the two main characters in this game shoot and fry their way through the police station then you might not be a reasonable person. Yes that's right: you can walk through a police station in this game. If in real life you have a problem with the way cops sit in a field and watch over you to make sure you have your seat belt on (and not one of those cases where you pretend to put the seat belt on until the cop is out of view and then take it off again) you now have a place to take out your frustrations- Resident Evil 2.The weapons in this game are realistically cool. I like pulling out the magnum and shooting zombies in the head and watching their heads blow to pieces. Don't try this at home, but do try this on your Playstation. The magnum doesn't make much noise so you wouldn't think it'd be such a bad-ass weapon, but you can shoot at the head of a zombie and watch his head quietly blow to smithereens. You know you shouldn't do that in real life though, right? You'd go to jail for a very long time. And if you tried to explain to the police that you were shooting at zombies, you'd only get laughed at by the entire court room. Use your head.If this game doesn't satisfy your sick animal-like needs, then try looking for the fire blaster thing. You can cook zombies with this. It's near the end of the game hidden in a locker. Go near the locker and press the X button, and it will open and you will say sweet.In this game you have two CD's. One CD is for the Leon adventure, and the other CD is for the Claire adventure. You can choose to start the game with either Leon or Claire. To do the game completely you have to beat the game twice with Leon and twice with Claire. I've only ever played this game on easy and I had a blast. I'm sure on normal it's quite harder, maybe so hard you can't think straight and become dumb. Of course you aren't dumb, it's just that video games can confuse you sometimes.Man I'm tired. But I'm never too tired to take a couple hours from my easy-going day and blasting my way through this super cool game. The only downside is that you can't skip the cutscenes. That's fine at first, when you want to listen closely to the story (even though I didn't) but after a while you really wish Capcom would have put a skip button on this thing.Still, great game. It's old, but please don't be one of those people who thinks that just because something is old it's not good. I've been around people who think like that and they just ain't cool. Sure, these people get all the girls and all the friends, but what else? What's in sucks, and what's old is cool. You think I'm wrong? Good for you. Buy this game used for 10 dollars today.",5,Want to see blood and zombie guts?,1126051200,"09 7, 2005",0.0454
8,A2KA0AM77EUK0U,B00000I1BJ,Biggest Jacob,"[0, 0]","Resident Evil 2, truly is a classic scare. Resident Evil 2 showcases just why the series became big, and why Resident Evil is the leader of the Survival-Horror genre by a landslide.Resident Evil 2, was just full of new ideas. The 2 discs, and the 2 people to play as, where each of their actions affect the other person's adventure, for example was just amazing.I'm also not kidding when I call this game a scare. Resident Evil 2 will have you on the edge of your seat, and it may even have you wetting your trousers a bit at certain times.Resident Evil 2 is an essential pickup for any fan of the Survival-Horror genre. Resident Evil 2 did so much for the genre, that it shall be remembered forever.",5,A Classic Scare,1231632000,"01 11, 2009",-0.5967
9,A2II09GQGWOMTQ,B00000I1BJ,Brian Nallick METALMANMN,"[1, 1]","RE2 was my first zombie game and......I fell in love with this franchise right off the bat.I grew up on a steady diet of Sega Genesis games then I went to the N64 and my love of all things Mario.Then I finally broke down and got a PS2.RE2 was one of the first games I got for the system and it completely changed my outlook on games forever.I had never played such an adult oriented game. Not even Mortal Kombat came close to how R rated this game was.I was blown away.Incredible graphics for the time.Constants scares.Interesting puzzles that really didn't make any sense and still don't LOL.Who cares, they were still a blast to solve anyway.A story line that rivaled the best Hollywood has ever thrown at us regarding the horror genre.I'm not going to go into complaints now as the game is rather old.Did I have complaints at the time?Only one.......the characters control like a walking tank.All of this was corrected by RE4 but that's about it for my complaints.One of the most influential games ever made.It brought adult gaming into the mainstream and proved that not all games have to have cute mascots. (I still love my Mario and Sonic mind you.)Excellence.Perfect in almost every way imaginable.A must play.Highest recommendations.",5,My introduction to survival horror.,1296086400,"01 27, 2011",0.5297
