,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2IVLPL56B1IDQ,B0000ASFDC,Am321,"[0, 0]","So far so good. Got this jacket for my bf for xmas, it fits well, he says it's comfy & warm & I believe it's durable enough to hold up to him in everyday use so...SCORE!",5,Boyfriend loved it,1356393600,"12 25, 2012",0.5653
1,A2Z88CXX037DOR,B0000ASFDC,Another Review,"[0, 0]","4 stars because it is a nice, comfortable jacket. I removed 1 star because I do not feel that the price reflects the quality of the jacket.",4,"Great jacket, but a bit over priced for what it is.",1388361600,"12 30, 2013",0.3634
2,A200FKBEWWO68M,B0000ASFDC,. Chip...,"[1, 2]","I bought this jacket to replace the exact same 4 year old jacket that is starting to show signs of wear on the sleeves and cuffs. This jacket is not exactly the same as the original. They cheapened it up quite a bit. The lining is not of the same quality. The quilting is thinner and the elastic in the cuffs is not as elastic. This jacket is compared to a 4 year old jacket that has been worn three seasons for four years.This jacket appears to be typical of much you buy today. It's made with cheaper material, by an off shore manufacturer for pennies on the dollar.If I had bought this in a 'brick and mortar' store and had other jackets to compare it to, I may have passed it up for a higher quality piece.Still an okay jacket, but not the same.",3,"It's okay, but...",1387152000,"12 16, 2013",0.0197
3,A33UJKYS2F71IO,B0000ASFDC,Dadude34,"[0, 0]",Love this jacket. First Carhartt jacket ever owned due to skepticism. But it actually is very warm and comfortable and not too heavy feeling. Highly recommend,5,Awesome Jacket,1383609600,"11 5, 2013",0.4006
4,A1T18O5P9JZTP,B0000ASFDC,Dave,"[0, 0]","I got the Sandstone Active Jacket in &#34;mushroom&#34; color, which is exactly as shown in the picture -- it's a tan color but more brown than beige. This jacket - above all - was a great value. I'm not sure if I got an off season discount or what, but when I saw it I jumped on it. The jacket itself is great. I have owned three of these in my lifetime and they're pretty hard to destroy. Mine just got to looking kind of ratty after many years, and need replacement. The quilted flannel lining is warm enough for sub-freezing temps with layers underneath. This is the original work wear jacket. I have seen a bunch of knock offs, but Carhartt is still the king. It's not about the label, it's about the quality.",5,Great jacket,1374364800,"07 21, 2013",0.1841
5,A3OAV4N63O4GXA,B0000ASFDC,dogs2010,"[2, 2]","It is really perfect. The material is stiff until you was it, once that happens the material relaxes a bit and becomes amazing. The jacket is really warm without beign crazy. I wear it with appropriate layers from 65 degrees all the way to 30's. When i make my way up to northern california ill be sure to update this on how the jacket performs in snow and lower temps. I have high hopes. Highly recommended just as with all carhartt products.",5,Outstanding in any weather,1386288000,"12 6, 2013",0.3064
6,A3F5XSDL75TVUI,B0000ASFDC,GTM1954,"[0, 0]","Jacket is a little stiff but I'm sure it will ease up in time,really like the fit. I wear a large and I'm 5'10 and 180# and I couldn't ask for a better fit.",5,Great fit,1390521600,"01 24, 2014",0.7866
7,A1DYX39WLQD522,B0000ASFDC,I HATE GRAHAM MCINTYRE AND NADER AIINEHSAZIAN,"[3, 4]",im 6'1 250ish and ordered a reg XL and it fits great with room to wear a hoodie under if needed,5,nice jacket,1387411200,"12 19, 2013",0.6249
8,AULBF5I0N9YNJ,B0000ASFDC,Jane R.,"[0, 0]","This jacket is a different style than some of the other carhartt's such as the camo series that hasn't been around a long time. The hood on this was a couple inches shorter than the other carhartt I purchased. It doesn't quit cover the face, so sent it back. I haven't run in to that style hood since the 90's when carhartt was cut smaller.",2,returned this one,1391644800,"02 6, 2014",-0.0683
9,A1RR8MILLMBI8N,B0000ASFDC,John F. Keith,"[0, 0]",Good product and a great price. Received on time. Would recommend to any outdoorsman or some one that works out in cold weather.,5,Great Coat,1388361600,"12 30, 2013",0.3839
