,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3QPWNKTUC8N2B,1400532736,Amazon Customer,"[0, 0]","I bought this ereader and the Amazon Kindle ereader at the same time, so I could compare both together. After about a week I gave the Amazon ereader to my nephew and I kept the Nook. I am left handed, so holding things in my left hand feels natural to me. I really like how this can be held in the left hand and still have access to forward and back page turn buttons. Also, I like that it has a touch screen in addition to the physical buttons as well to turn pages. Also, and this was the biggest reason I kept the Nook. It has a more natural feel in the hand to me. My thumb rest comfortably next to the screen will reading. Overall, in my opinion this is a better ereader then the others out there.",5,My favorite ereader...,1398729600,"04 29, 2014",0.4335
1,AXL5F6RXDQMEW,1400532736,Amazon Customer review2u,"[5, 7]","No stars. Be warned, potential B&N customer: if you have a problem with a defective brand-new, just-delivered Nook device, you're likely headed for Customer Service hell. Be prepared to meet with an army of know-nothing, apparently deceptive incompetents. Any merits of B&N's Nook products are offset by the company's Customer Service from hell. Today, trying to resolve the problem of having just received a Nook Simple Touch lemon, I've been lied to, hung up on, and received no help at all. The return call, promised by a supervisor at around six this evening, never came. So, around 4 hours later, I called back and spoke to another supervisor, identifying myself and asking for help. This call was disconnected on B&N's side, and that supervisor never called me back or emailed me to provide service. I've also been advised that I'll have to wait quite a while for a replacement Nook, though I live in Manhattan and the site promises same-day Manhattan delivery. I'd read reviews on the B&N site and, I believe, on Amazon as well, about B&N's horrific so-called Customer Service. I can see now, from experience, that the horror stories are true. So if you buy a Nook from B&N and get a lemon, as can happen with any e-device, you're going to find yourself quite alone with your problem. Whatever the merits of the Kindle, I know from experience that Amazon Customer Service lives up to its name. B&N Customer Service is essentially an insult to customers. I don't work for either company. I'm just a customer with a brand-new defective Nook Simple Touch, and I can't get any help from B&N. So if you look at the numbers and see that Kindles far outsell Nooks, B&N's misnamed Customer Service is likely at least part of the reason.",1,Barnes and Noble Customer Service? Not happening.,1378252800,"09 4, 2013",-0.1596
2,A1S2BTVDZV4PYD,1400532736,catherine kendall,"[1, 2]",good reader. uploads books fast. I do not do wifi on this because I have heard bad things about the updates. also has problems if hooked up to a computer will take the shelves away. I have a lot of books so this is a big bad thing for me. But still is good.,4,could be better,1385683200,"11 29, 2013",-0.0756
3,A1OLG8WQ4EAPMF,1400532736,Dance Day and Night,"[1, 3]","Received this as a gift last Christmas (11 months ago). Manual claims that at a typical rate of reading, one should be able to use it for a month on one charge. My battery already lasts only 2 - 2 1/2 hrs on one charge before the unit won't start due to a low battery level, requiring recharging. This is either a false claim on the part of B & N or else the batteries they use are of exceedingly poor quality. I've used hundreds of rechargeable batteries of various brands and technologies over the years; if this thing suffers from a battery problem, then the batteries in these devices are on par with the cheapest quality / lemon nicad rechargeables I use to encounter 25 years ago. Keep away.",2,Bad battery or possibly false claims of reading hours on one charge,1385424000,"11 26, 2013",-0.1683
4,A2GZBPJ1HTFM67,1400532736,Daniel Kwok,"[0, 0]","Personally, I'm a kindle fan. But I got the Nook to try out the ebook loan facilities from libraries. The layout and user interface is not as user friendly as the kindle, as on the kindle, pressing the home button brings us back to the library. On the Nook, the home button opens a menu, then you need to select the options. Also, if you sort the books by &#34;Recent&#34; it does not show the most recently read books in order, but still displays books in order of &#34;recently downloaded&#34;, not a useful function.But on a positive note, the Nook combines the touch facilities and button control (to turn the pages) of both the Kindle Touch & normal kindle. The borrowing of ebook a from public libraries is done on your PC, then imported onto the Nook via Adobe Digital Editions. A bit of a hassle, but a good option which Kindles do not offer. Overall, it's a good companion to Kindle, especially if you wish to borrow library books.",5,A good reader that works well to borrow public library e-books,1402444800,"06 11, 2014",0.2062
5,A14QFQFF3ZX575,1400532736,Kamiyama,"[2, 10]","I need to buy a gift for my mother's birthday and I know she likes to read books while on break at her job. I thought the Nook would be a great gift for her, after reading reviews here on Amazon that it can download and read free ebooks from library sites. Our local library offers ebooks so I thought it would be great.After getting the Nook, I learned a number of things:1. The Nook does NOT have a browser. It can only connect to the Barnes and Noble online bookstore.2. You are REQUIRED to have a valid credit card, even to download free content.3. While there is a way to root (hack) the Nook and thus enable a functional browser, it voids the warranty and is way too complicated to follow. I shouldn't have to hack a device to enable such a basic functionality.My mother isn't very computer savvy, and doesn't own a credit card, so I couldn't give her something like this. If it let you connect to library sites and download library books for free, it would be an ideal ereader. In it's current form, it's an overly-complicated money sinkhole. Now I'm out $70 and I still need to buy my mother a birthday present.I don't know why some of these other reviewers claim it can be used to download library ebooks. Claiming that a device has a functionality that it in fact does not have, is a really despicable thing to do.If you don't mind a wireless device owning a copy of your credit card, and throwing money at it to read books, then the Barnes & Noble Nook is right for you. If you are looking for an easy to use Ereader for library ebooks, STAY AWAY!",1,don't listen to the liars,1368489600,"05 14, 2013",0.3741
6,A3A9O355TNBWKK,1400532736,marina hull,"[12, 13]","I loved my Nook very much, Its very comfortable to use . What I love about Nook more than kindle , that I could pick any Russian book, magazine on Internet download on my computer , convert to PD format and download on Nook + I could pick on Nook any size of letters for comfortable reading .. On Kindle you can make bigger size of letters only if you Bought ebook on Kindle store. Other PD format books have so small size of letters , only if you zoom text , which I find uncomfortable Like I said with Nook no problem. Also touch screen work great too.",5,great product !,1358294400,"01 16, 2013",0.6366
7,A22H8Y1J3EW2N8,1400532736,myjudge2,"[5, 7]","My screen stopped working a week out of warranty. Apparently, this is a common issue with the Nook Simple Touch. Customer service told me that Barnes & Noble is aware of this issue but they do not plan to repair or replace anything. This is not the way to treat customers. I am canceling all my pre-orders and going to a different ereader.",1,Has known screen problems,1378166400,"09 3, 2013",0.0851
8,A3M73KV733HBG3,1400532736,Patricia H.,"[24, 27]","I've owned the Nook Simple Touch for about a year now and for the most part I'm happy with it. The rate it which the words draw on the screen is a little slow sometimes and about once a month it freezes up. The only thing that unfreezes it is pushing the reset button for about 20 seconds.***Update*** About a month after the warranty expired, the screen froze up permanently. I haven't been able to figure out anything that will make the touch screen work again and when I called tech support, the only advice they could give me was to do a hard reset which isn't working to unfreeze the screen anymore. When it worked, I really liked it. I just wish that it still worked.",3,Somewhat Glitchy,1347580800,"09 14, 2012",0.2539
9,A3L9NGPTBJBQEL,1400532736,Po Po,"[2, 3]","Aside from various problems with this since the beginning, now I have to charge this Nook every time I want to read. It is said to hold a charge for 8 weeks with the wifi off, but even if I only read for 10 minutes, the next day I have to charge it again because the battery is too low. I've tried 3 different chargers to no avail. Instructions say to leave the Nook on when not in use, so I do. It's absolutely maddening when I return home from a stressful day of work and just want to sit on my porch to read for a while to unwind and get some cool air - but no, I have to charge the fricking Nook AGAIN and can't use it outside until it's been charged for a long time - and then have to deal with this frustration the next time I want to read.This Nook is crap and the service by Barnes & Noble and the seller were both zero - no service whatsoever, with each party passing the responsibility onto the other.Also, why is it that although the Nook screen or buttons often have to be pressed very hard to turn a page, when the Nook is closed to carry to my car or somewhere the slightest pressure changes the page or screen so I have to remember or write down what page I left off at???This Nook takes all the joy out of reading.",1,battery charge doesn't last more than an hour os so,1373068800,"07 6, 2013",-0.2328
