,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2JAGOIH2DZAN,9888002198,Amazon Customer,"[19, 19]","Just got back from a week in London and Paris. I used this adapter to power my HP laptop and I used it's built-in USB port to charge my Blackberry Bold, iPhone 3GS, and iPod Touch with no problems at all. The built-in lights are really handy. The power light lets you know it's plugged into a working AC wall plug. I found that not all plugs in the Chicago and Houston airports are working, so having the light was really handy for finding a working outlet. The second, USB, light gets brighter or dimmer as power is pulled by the USB device. For example; when my Blackberry was plugged in and recharging, the light glowed somewhat dimmly, but when I made a call, the light glowed more brightly. So you can tell when you have a good connection to your USB device.Overall, it's well built and easy to operate. I'll be keeping this in my travel bag.",4,Worked great,1269129600,"03 21, 2010",0.2589
1,A3FZI1RHDOZEJO,9888002198,barelyhear,"[1, 1]","Ordered Sept. 2012 from another company on Amazon for $5.24 which included shipping. I sent it with a gift to someone in the UK.Item is finished well, the different interlocking plugs cleverly designed and fit together snugly. Came with instructions and carrying pouch.Only trouble I had when testing it here before sending it was pushing my computer's power cord plug into the AC receptacle. Very difficult at first to force it without it seeming it would break but after many tries finally got it. Much easier after that.The USB slot and its light worked, but the second light for the AC receptacle did not. However, the receptacle worked fine and charged my computer through it.The USB light did not go off when the device charging through it was fully charged. Also, another switch was shown in the instruction diagram (I don't remember what it was supposed to be for) that wasn't on the adapter.Recipient uses the USB slot to charge a camera and MP3 player and reports it is working fine for those devices. Thrilled to have the EU plug too.If it lasts, great product and VERY cost effective.",4,good item,1357344000,"01 5, 2013",0.1847
2,ATXRV6Z3N08ZX,9888002198,Buckeye_Knight,"[2, 2]","I purchased 2 Universal Travel AC Wall Adapters, with USB Charger, for my daughters' trips to Europe. Both units worked for about 1 day or less, when they stopped working during use. They used them with dual voltage camera battery chargers. I had also given them straight plug adapters. Thank God that I did! The straight plug adapters, which I bought in 1999, still worked, and lasted them the rest of the trip. Good thing I also included USB charger units. So they could not charge 2 items at the same time, since the new wall adapters broke, but they got their gadgets charged with the other plugs.I put in a request to return these to the seller (HandHelditems). And they did NOT honor it because I bought it a few months back, but the kids' trips were not until the past few weeks. I guess I should have tried them out after we first got them.",1,Defective,1373328000,"07 9, 2013",0.0647
3,A2OHGA790ZR35V,9888002198,Darren Leung,"[54, 54]","This product does NOT deserve the 2 stars the other reviewers gave it. One reviewer got the wrong product, apparently (which has to do with the seller), while the other doesn't seem to realize that the USB port is for charging peripherals, NOT a computer.Pros:-has basically all plug adapters you need built-in or easily removable.-compact-sturdy, good quality plastic, kind of like Lego-decent USB power port rated at 500mA-lights for AC Power and USB powerCons:-does not ground-instructions say 110V-250V, but unit says 100-250V. Should work in Japan, but haven't tested it.Notes:*Do not pay full price at a retailer for this item! I got mine from the seller in this listing. It was delivered in a simple bubble-envelope with instruction sheet, no maim-shell packaging.*I LOVE the lights on this thing. You can plug in and know right away if there is AC.*Furthermore, the USB lights up depending on the current being drawn and thus flickers when something is trickle-charging. Know what this means? It means you can tell AT A GLANCE if your device is 95% charged!!! Do NOT top-off your battery-powered devices to 100%! The memory effect is a myth. The real culprit is topping-off your battery. Charge your devices until the USB flickers and then remove them.*keep in mind that, as with all modern plug converters, your primary device must be rated to use 100-250V mains power. This adapter will NOT step-up or step-down voltage (unnecessary with modern electronics).The only possible improvements to this would be if there was an extra USB port or if it was somehow rotatable.This thing kicks ASS and is a great bargain compared to the other name-brand junk out there that is either over-priced or over-priced AND doesn't have USB power.",5,Can't really ask for much more.,1263168000,"01 11, 2010",0.0597
4,AI261Y5T8PB0S,9888002198,Deviantlucifer,"[0, 0]","These are great, the USB port is especially handy. Small size, and all the adapters I could want. At first it seemed to light to do it's job but it is working great. It is the only adapter that I use when travelling.",5,Great size and configuration.,1384646400,"11 17, 2013",0.3676
5,AU8A5W8DWEMVP,9888002198,dismybabe,"[0, 0]","This is very handy and it charges two things at once easily. I usually charge my laptop and iPod touch in this at the same time and have not had problems with it so far. It also has all of its individual parts for the various plugs it is capable of fitting in all contained within itself, which is very handy because you don't have to remember where you put the EU plug or the US plug, etc!",5,Awesome,1379462400,"09 18, 2013",0.275
6,AA6BJGZG6XI05,9888002198,E. Moore,"[0, 0]","These were a life-saver! I bought 2 of these and I was a little unsure of the quality based on the price of this item, but was pleasantly surprised by how well it worked for me over 6 weeks in Europe and UK. Stayed in over 22 hotels and on a train sleeper car and never had a problem. I travel with a CPAP breathing machine and it was critical to have power every night so I could sleep. I also had an iPhone and my brother had an iPad and the USB charger was great for both. I could also use one plug to both power the CPAP and charge the iPhone. It was really nice to have the red lights that indicated that you had power since many outlets in Europe and UK have some sort of switch that turns the power off to each individual outlet. Also, on the train, the red light wast coming on and let me know that the outlet wasn't working. I worked with the conductor to get some circuit breakers on the train reset by letting him know when the red light came back on. That was quite a time saver and great tool for that purpose.The only negative I have is that the part that holds the US plug into the device could be a little more snug. It felt like it was going to fall out at times (and did fallout 1-2 times but that wasn't much over 6 weeks of use).There is one design enhancement that I would have put into this device: When using the UK converter, they could have made the bottom of the device a 2nd 110 outlet so that you would have 2 110 outlets (the regular one on the back and one on the bottom using the Euro converter) as well as the USB outlet. Of course this may be over the amperage that one plug should carry, but it's a thought for the designers.",5,Worked for 6 weeks in Europe and UK,1341446400,"07 5, 2012",0.2127
7,A3JMVQ5G2G522W,9888002198,"E. Okorie If all you have is a hammer, every...","[1, 2]","I bought this device so I can use my laptop and charge my phone during travel to other European countries. But few hours after using it, the fuse blew up and the device didn't work after that. Very disapppointed.",2,worked for few hours then the fuse blow up,1309305600,"06 29, 2011",0.0
8,A4KQW4S2PAXIT,9888002198,Fitfool,"[0, 0]","Product was shipped quickly from Toy 4 Kids. At first, I loved it. It's compact, has all kinds of adapters, and very lightweight -- seemed perfect for travel. My first night in Italy, it plugged right in and charged both my camera battery (in regular outlet) and ipad (using the USB port). Unfortunately, after the 2nd night, there were faint black burn marks on the white plastic and it failed to charge anything else after that. Burnt out after just 2 nights? In short, great idea but very little durability.",1,Great for the few days it worked.,1361491200,"02 22, 2013",0.0928
9,A1TIWOJFIX21RY,9888002198,JennGB,"[1, 1]","We are heading to Europe this summer. Of course, we'll have an array of electronic devices with us (camera, kindle, phones, etc.) and I wanted to make sure we could keep things charged as needed during our trip no matter where we ended up. This is a perfect solution at a very affordable price.",5,Perfectly priced,1334275200,"04 13, 2012",0.2069
