,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1COBF34FM73LH,B0000A53UX,Amazon Customer WC DivaHotPen,"[0, 0]",The shoes came fast. that why I like this company. everything was just right and my baby girl love them............,5,I love KSwiss,1315699200,"09 11, 2011",0.3327
1,A1I3OO4P1837LU,B0000A53UX,Claire2011,"[0, 0]","My husband is a fan of these and so am I. Since my son has been able to wear hard-bottom tennis shoes, we have purchased several pair and have never been disappointed.",5,K-Swiss Classic is a Classic,1387065600,"12 15, 2013",0.3453
2,ABGR2KY9RGVIT,B0000A53UX,Guesswho,"[0, 0]",YEP LOVE THESE! Look small but are true to size when put them on the childs foot. LOVE THEM. These are perfecto!,5,Perfecto,1348876800,"09 29, 2012",0.59
3,A315HDTLV15CPD,B0000A53UX,jenn,"[0, 0]","have always liked kswiss for myself. however, not the best for small kids. they are quite stiff and scuff so easily. and i'm not saying &#34;gets dirty&#34;, I'm saying the leather on the front toes have totally been rubbed off after only a handful of wears. I think I'm going to have to stick to white Vans for now.",3,scuffed,1391731200,"02 7, 2014",0.0759
4,A1UGF5O2G8BMVU,B0000A53UX,Kesha B.,"[0, 0]","I purchased this shoe for my 2 year old daughter. It is extra cute and extra durable. Best of all, I didn't even have to leave my home to get them! I am officially an amazon junkie!",5,Soo Cute!,1361232000,"02 19, 2013",0.3386
5,A3G9H9PO9E7C5P,B0000A53UX,LadyOgburn,"[0, 0]","I bought these in a size 6 1/2 when my daughter was wearing size 6. I find that Reebok, Nike, & K-Swiss run a half size smaller or tend to be a little narrower than other tennis shoes. If a 6W was available, I would've ordered those instead. Also, they are nice shoes but the shoes strings are to get out and clean.",4,"Nice shoes, buy half size bigger",1387756800,"12 23, 2013",0.1663
6,AFAW7I6VTACJ5,B0000A53UX,Laurie Emmer,"[0, 0]",These shoes.... ugh. They are so cute. And the quality is great. And they fit awesome. And they don't come off easily. I regret this purchase 0%!!!!! Love them.,5,So adorable,1399248000,"05 5, 2014",0.1905
7,A208Y1ZPM9OUNF,B0000A53UX,Lisa Johnson shopsaleshop,"[2, 2]",I rodered this shoe in a 5.5w BIG GIRL and recieved and baby shoe the shoes looks like picture defintely and im sure you have seen it before however i was not able to return and get proper size at deal price.,2,Size matters,1330041600,"02 24, 2012",0.5859
8,A1MLBMJSFK6BIJ,B0000A53UX,Nati,"[0, 0]",My son needed shoes for his first soccer class and tennis shoes were suggested as an alternative to cleats. These seem comfortable and very durable.,5,Good shoes,1381449600,"10 11, 2013",0.2553
9,A1NZXC57K4LU3S,B0000A53UX,Rebecca Alexander,"[0, 0]",Love the shoe and love K-Swiss but the shoe was too small so we had to order a larger size and rush it so he could have it in time.,4,Runs small,1379980800,"09 24, 2013",0.6369
10,A2H9PP1PX1E474,B0000A53UX,spirit5,"[0, 0]",The quality is still the same as I remember it. Unfortunately the sneaker does not run narrow andd the medium is just to wide. Disappointed skinny feet.,4,Not for skinny feet,1394668800,"03 13, 2014",-0.2722
11,A3VHYM57PPF56H,B0000A53UX,the allens the allens,"[0, 0]",Not sure if these are real but cute. I purchased wide width and they are not wide. So beware of that. They fit my sons feet which are a medium width,3,maybe real k swiss?? not wide more medium but cute,1399420800,"05 7, 2014",0.2266
12,A2XPLJBIXDI805,B0000A53UX,T. Peterson,"[0, 0]",Love these shoes. My son has a wide foot and they fit great! Dad has a pair and the two dress alike. Great shoe for a great price. So glad I caught them at $20.99. I see that they have gone up in price!,5,Great Classic Infant Shoe,1168646400,"01 13, 2007",0.4631
