,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A24EJ9TAC0Z8RG,B00008I8YM,A. Burks,"[1, 1]",These fit very nicely with no annoying side seams. I really like the cotton better for daily wear. These are very good with some outfits that cotton doesn't work well with.,4,Great fit,1353369600,"11 20, 2012",0.6094
1,A19Q4KWHKVMSWW,B00008I8YM,Bags,"[0, 0]","These are comfortable, wash and dry like a breeze and move with you. Comfortable under slacks no matter how tight.",5,Comfort,1331337600,"03 10, 2012",0.5993
2,A224YIBQCDVRQK,B00008I8YM,Blumenmom,"[0, 0]","I have been wearing these for years and really like the brand and fit. I used to buy them on-line from Hanes, but then I discovered they were available from Amazon cheaper. This time however I needed to purchase them individually, rather than getting a cheaper price by ordering 6. I would like Amazon to bring back that option.",5,Good Fit and comfortable,1375401600,"08 2, 2013",0.3508
3,A1X8CUY24POQL8,B00008I8YM,bookworm bookworm,"[0, 0]","Like wearing a piece of silk with a little elastic throughout for support. No snags of binding against the skin and slack, etc. slide on and stay in place. These also have a cotton crotch to allow health there. I had 6 and just bout 4 more of these panties.",5,Bali brief,1392422400,"02 15, 2014",0.1134
4,A3LV8HWR7BXGR1,B00008I8YM,Brenda A. Elliott Aspiring Butterfly,"[24, 24]",I L-O-V-E (LOVE) these briefs. I sometimes have a hard time finding them in department stores so was very glad to be able to buy them on the Internet. They are comfortable. They allow a little forgiveness when you gain a bit here and there without stretching out if you lose a bit (I wish more often). They also wash and wear very easily and simply. I can even throw them in the dryer. What's not to love? :),5,Briefly Yours,1245542400,"06 21, 2009",0.3469
5,A1GWNPHCV116B6,B00008I8YM,Cindy Richardson,"[1, 1]","Bali Skimp Scamp Briefs are THE MOST COMFORTABLE UNDERWEAR I have ever worn in my 64 YRS. of life!! They are very Soft and Silky with a back seam instead of side seams. These briefs NEVER, EVER Ride up or get stuck (you know where), they ALWAYS Stay in Place, my clothes glide over them very easily and there's No visible Panty line either!! I would rather go without than wear any other under garment!! Try 'em, You'll LOVE 'em too!! You'll Never be Sorry with this purchase.",5,Bali Skimp Scamp Brief 2633,1367020800,"04 27, 2013",0.1627
6,AAX9CAGICO2XJ,B00008I8YM,Coloradobloom,"[0, 0]","I wasn't so sure about order these panties online, but it worked great. They are the same as I've seen in the store except I thought I was buying cotton instead of nylon. Nevertheless, they work just fine.",5,Nice fit,1374624000,"07 24, 2013",0.3044
7,A3I8NNGQUDX7ET,B00008I8YM,DebbieG,"[0, 0]",These briefs have been my favorite briefs for over 25 years now. I am very long waisted and rather curvy and these are the ONLY briefs that I found that DO NOT RIDE UP!...I hope Bali never stops making them.,5,Great for a LONG WAIST!!,1403481600,"06 23, 2014",0.0754
8,A1IU1K46FW1ODA,B00008I8YM,Dennis,"[1, 1]",I have worn these for years and love them. They fit and feel great and hold up very well. I highly recommend them.,5,Great as always!,1391126400,"01 31, 2014",0.5729
9,A3QW45JHNTZ1WJ,B00008I8YM,Ethel,"[1, 1]","I like the panties ,because they do not ride up they stay put where they suppose to be....love them...thanks,I will buy them again..",5,"stay ,they don't ride up",1399593600,"05 9, 2014",0.3612
10,A15OSNH8A4IDO9,B00008I8YM,Gael Linn,"[0, 0]","As my title indicates these fit very well, are comfortable and pretty. They seem to hold up well in the wash, although I usually take mine out and air dry to help the fabric and elastic last longer.I have bought more and will do so again.",5,Great Fit and Comfortable,1394928000,"03 16, 2014",0.7391
11,A2N9GEVEZG3SYO,B00008I8YM,GLC,"[0, 0]",I bought my first pair at a department store...then went to Amazon and bought 3 more pairs...liked them so well that I bought 3 more! I love the fit!!,5,Great product,1383696000,"11 6, 2013",0.4556
12,A2A4C0IRW8OMIK,B00008I8YM,H. Johnson,"[1, 2]",I wore one pair once and gave them away because I didn't like the way they felt. The fabric felt rough and the leg bands too narrow.,1,hated them,1334275200,"04 13, 2012",-0.1378
13,A16C4WEP3NSNWL,B00008I8YM,Jabberama,"[2, 2]","These Skimp Skamp Briefs are the most comfortable undies I've ever worn, and I've been buying them for a long, long time. They're perfect for anyone who doesn't like bikini or high-rise panties. After three babies, I can't wear those things anymore. The fabric moves with you, and they're practically invisible under clothing. I add Oxi-Clean to the detergent when I wash them, as chlorine bleach does a number on them. Plus I use a hanger with clips to air-dry them on the shower rod, as they last longer that way.",5,My favorite undies for many years,1369353600,"05 24, 2013",0.1326
14,A3JVJLLNH1Y3NF,B00008I8YM,Janice L. Engle Grandma Jan,"[0, 0]",I bought a large number of these panties throughout the years....always the best fit and quality. I wear no other brand or style.,5,A Very Happy Shopper,1383091200,"10 30, 2013",0.2473
15,A2H5MB40X1FZJ,B00008I8YM,J. Clair,"[0, 0]","I have owned Bali skimp skamp panties for years because they fit nice and with proper care last a long time.The Apple Blossom color is nice, I love it.",5,LOVE THE COLOR,1387670400,"12 22, 2013",0.9382
16,A3M9TGEZ1JCP3,B00008I8YM,J. Jack ManyFeathers,"[0, 0]","I probably missed the explanation for the &#34;seam&#34; up the middle of the back side on this brief. Just a little too &#34;clingy&#34; for me, thanks.However...for those of the younger set the clingy-fanny thing might just blow your skirt up.Was in a hurry when I ordered these and might not have read the details.",2,I probably missed the explanation for......,1404086400,"06 30, 2014",-0.148
17,A2UO040HWOP0C2,B00008I8YM,joe,"[0, 0]","Wonderful fit and thay are so smooth and soft, Love Bali panties and would and probably will order more in the future, Well made and lasting,",5,great,1372723200,"07 2, 2013",0.91
18,A33IN9UR345DZM,B00008I8YM,Junio36,"[0, 0]","Size 5 is not always easy to find, so I will keep them even though I'd like a little snugger fit. The quality is very good.",4,Not as snug a fit as I like -,1388275200,"12 29, 2013",0.4072
19,A2Z8I73PYPMQ6B,B00008I8YM,Katherine Kat,"[0, 0]","I was looking for panties that fit well, with comfortable coverage and that didn't show under pants or jeans. Skimp Skamps are all that! I've worn them in the past and started buying another brand for some reason I can't remember, but they never fit well or washed well. I'm so glad I have found Skimp Skamps again. I'm sticking with them this time. Great price for a great product!",5,The Best Panties,1401667200,"06 2, 2014",0.2874
20,AO645B6SU6DZV,B00008I8YM,kellydolls,"[1, 1]",These are pretty but I'm not going to wear them every day. Not what I expected but nice. A little to sheer .,3,Not the best but nice looking,1369612800,"05 27, 2013",0.2817
21,A3H08VUFKT5DIK,B00008I8YM,Lola 48 Dazzleyou,"[2, 2]","Bali Skimp Skamp briefs are the ultimate in comfort. I recently purchase a pair to give them a try and I am know hooked. I wore them on a long airplane ride and never a tug or pull, no riding up. Wonderful. Give them a try.",5,Extreme comfort,1254528000,"10 3, 2009",0.1274
22,A2RO7ZOT0MN6SB,B00008I8YM,Lovely Lady,"[1, 1]",What a find! This brief has one seam going up the back. Other than that it is seamlessly smooth and comfortable with just enough stretch to make it so. Pretty much the perfect pantie.,5,Only one Seam,1284163200,"09 11, 2010",0.3238
23,A27HLTDITCL1O8,B00008I8YM,L. Wick,"[2, 4]","Fits like a sack, styled like something my mother might have worn - very late in life. Not nice at all. I DON'T wear tiny underwear, but there's enough fabric in these for two pair, going on three. Yuck.",1,Not nice,1303344000,"04 21, 2011",0.0241
24,A265JUO8W7SL7H,B00008I8YM,Margie,"[0, 0]","I like how smooth these are but I ordered them too large to help slim me, but still wear them as they are very comfortable and wash well.",5,Very comfy,1384300800,"11 13, 2013",0.9159
