,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AC6HYEG9JT441,B00004Z64U,avgvstvs Matt Seil,"[0, 0]","There really isn't much to say: assuming you have decent label printing software, these labels label. After a couple of months they seem to stick in place in contrast with other products I've used.",5,Easy to use.,1287792000,"10 23, 2010",0.0
1,A2J39GPS8D4YJI,B00004Z64U,Booklover Jerry,"[1, 2]","Avery File Folder Labels are fast and easy to use. The paper is nice quality and they are easy to peel off. It works well on my ink jet printer and states it works with laser printers too. The labels are on acid free paper. I like that the labels are not side by side connected together like some labels I have used in the past but the labels have spaces between them (side by side) so they come off easy. The labels are close together on top and bottom but they don't stick together. Has anyone used labels like I had where the labels hang together or stick to the paper when peeled off? Ugh, I hate that. This one will not do that.I also like that it came with four free samples of Avery Note Tabs that was a pleasant bonus. Another great feature Avery has is free templates online for Microsoft Word and an Avery Design and Print. Going online, I found 44 templates listed for the file folder labels but about a handful of templates that will work with these specific file labels. They are basic but get the job done and look good printed out. Another freebie is the Avery Wizard for Microsoft Word for more creating. I use Wordperfect X5 and the templates work fine in it. I have yet to explore the other software listed but I just thought it was a great added bonus for using their templates. I will buy from Avery because they not only give quality labels, but go the extra distance and give more to boot.",5,Does The Job,1279843200,"07 23, 2010",0.4027
2,A3AHDR4F2J7YXX,B00004Z64U,Caliaha Caliaha,"[1, 5]","I tried this product and liked it very much, but tried to call Avery to gather more information and was disappointed with the fact that they have outsourced all of what used to be US jobs!!! If you call Avery's Consumer Service Center (1-800-462-8379 number listed on their web site as Brea, California) you will be given several choices of support all of which route you to their customer, product, and software staff in Manilla, Philippines.I wanted to get more information on where their products are manufactured. The operator I spoke with and her supervisor both assured me that all Avery products are made in the U.S.A. in Brea, California, but some of the raw materials may be from other countries. They were unable to route me to anyone in Brea to confirm this information. After examining the packaging I have I found a sticker that said Made in Mexico. Other Avery products I have say either Mexico or China. None say U.S.A.I am very hesitant to use or recommend Avery products since there are very few US jobs associated with their products.**************************************************My initial review of the product was good prior to my call to the Consumer Service Center in Manilla:I have used sharpie pens on all my well-used file folders and decided to try these file folder labels by Avery. I was surprised how well they blocked out the old hand-written tabs with clean new labels. The TrueBlock Technology is simply a silver backing on the sticky side of the label.As for the templates, I downloaded the Avery 8366 template for MS-Word on Avery's website, but was disappointed that I could not get the text to center on the label when I increased the text to a legible size. So, I downloaded the Avery Wizard 4.0. It took some time to download and install, but well worth the time. The wizard was easier to use than the template. It comes with a few colorful graphics to make your labels interesting. I was able to use a big text size and center the text vertically and horizontally.Once I had my labels printed out, it was easy to peel and place the labels right in the file drawers, and I had a whole file drawer of easy-to-read folder tabs.A couple side notes. 1) Avery required that you give them your name and email for downloading a simple template which I didn't like. In addition during the Avery Wizard 4.0 install there is a box automatically checked to also install the Avery Ask toolbar and make it your default search engine. You can easily uncheck it, but rather tricky of Avery to set as the default to install additional software on your computer. 2) If you try and remove the label on your file folders, they do not easily release and you'll peel off some of your file folder with the label.Again, this may be a useful product, but very disappointing that Avery continues to outsource all their customer support and manufacturing!",1,"Like the product, but don't like Avery business practices.",1292889600,"12 21, 2010",0.1057
3,AG2YXYIQ8TLTA,B00004Z64U,CandysRaves (and Rants) CandysRaves,"[0, 0]","I've long been a fan of Avery products. Every time I buy an off-brand just to save a few cents, I always end up with paper jams or unusable smudged, smeared, or incorrectly placed labels. Avery products are always well-made and supported by every device that I use in my office. The Avery File Folder Labels are no exception.Speaking of software and formats, even if the program you have doesn't support Avery (I can't imagine which one that would be...) you can go to their website and download templates or even use their website to print! (This one is great because our office includes not only PC's but also several Linux machines).Lastly, I was happily surprised to see the inclusion of 2 Box Tops. My children's school does an excellent job of collecting these and turning them in. It is nice to finally see these great incentives on products other than snack food.When is a label not just another label? When it's an Avery label! :)",5,"Great product, support your school!",1280102400,"07 26, 2010",0.374
4,AY3XPKRAMKKY7,B00004Z64U,C. G. King,"[6, 6]","Since I usually print only one label at a time, I'm pleased a sheet will go through the printer many times correctly. I've used various software programs for printing these labels and they always come out looking great, plus a single sheet doesn't seem to be affected by the heat from the laser printer and even after many trips through, the labels still release cleanly, then stick well to the intended surface. Even better, they can be removed cleanly when no longer needed.I use them for file folders as intended, but also for jars of stored goods in the kitchen. These may be multiple jars of the same thing, e.g. jelly, or one jar of a newly ground spice. I've given up thinking I'll remember what's in all those little spice jars. There's plenty of room on these labels for the name of the contents and the date.I don't always use the printer. I keep a sheet of the labels in the kitchen for quick labeling and just write on them with a pen or marker. When I reuse the jar, the labels peel off in one piece and don't leave an annoying residue.My latest labor saver is to write the name of a device on one end of the label and fold it in half over the cable that device uses so there's no more guessing which cable goes to the scanner and which to the camera, etc. etc. That worked so well, I labeled all my stored chargers so I now know which is which and don't have to try multiple plugs to get a fit. Some things don't need charging often enough for me to remember which of the dozen little corded black boxes is the right one. I've seen tags you can buy for this purpose, but why spend the money when these labels work so well. In addition, if the cord is much longer than it needs to be I include several loops when I fold the label over it, effectively shortening it to a more manageable length.Now I'm beginning to label various items in my home discretely on the bottom or back to aid my kids when they inherit it all. My daughter suggested it since she feared she wouldn't remember the details and dates of Great Uncle Sam's baby cup and like items. Because the labels stick well, but release cleanly they seemed a good choice for this labeling. If they are too big, I cut them in half. With the printer you can get a lot of info on the label.I'm really pleased with this size and the quality and will re-buy. Highly recommended for multiple uses.",5,So many uses,1282176000,"08 19, 2010",0.2374
5,A12J7R7GAJ5FBZ,B00004Z64U,Charles M. Nobles,"[0, 0]","These file labels are part of a growing list of innovative office products being introduced by Avery and they are really worth the extra cost.The labels are acid free and utilize TrueBlock Technology that allows you to place a label over an existing one on a file folder and there is no bleed through...the label absolutely covers everything under it. Like most other reviewers I tend to try to use and reuse file folders and have at one time or another resorted to writing over labels with magic markers or sharpies or sticking labels over others to the extent that the folder looks, well less than professional.While I do not use the labels in my printer these come with free software online and templates that are easy to use.An added bonus is the generous Box Tops for Education coupons on each package. Since we have teachers in the family and grandchildren in school we are aware of the amount of money your school can earn by saving these coupons. It is not the primary reason I like these labels but is a tipping point when considering buying something, all things being equal.These labels are amazing in that they actually do what the manafacturer says they will do...completely cover up old labels and writing and allows the reuse of file folders.Highly recommended.",4,Worth the extra cost,1281398400,"08 10, 2010",0.6484
6,A7EU2BWLLCJY2,B00004Z64U,Claire Jordan Filmmaker - &#34;The Baroness ...,"[5, 5]","I recently went through my filing cabinet and purged all of the old crap that was cluttering the drawers. The problem is that I now had a stack of very usable folders that were tattooed by the old labels. You can't tear the old labels off without damaging the tab and if you put new labels over them the writing on the old label shows through.These new Avery File Folder Labels are absolutely perfect for this situation: you can place them over old labels and they completely block out the writing on the old labels. Problem solved!!Nice and heavy-duty, these are excellent labels.PS - It always makes my day to know that people find these reviews helpful. If you'd also like to ask a question or leave a comment I usually respond the same day, so if you have a question or comment (even if it's just to say, Hi!) feel free to post it below.Thanks,Claire",5,Handy,1283990400,"09 9, 2010",0.1839
7,A26LQSC65AMTGK,B00004Z64U,Dawn Dowdle Mystery reviewer,"[0, 0]",I like to print labels for my file folders so they are easier to read. These labels go through the printer well and attach to file folders securely. They are great!,5,printable file folder labels,1282176000,"08 19, 2010",0.6261
8,A1SN0GF90DLUHI,B00004Z64U,D. Gasson,"[0, 0]",I'm starting my own business and these are working out perfect for setting files up for my clients. Avery does a good job on all of their products.,5,Very easy to use...good price on Amazon,1375056000,"07 29, 2013",0.5061
9,A3J9Y6KCZ1IMGE,B00004Z64U,Frank Gibbs,"[1, 2]","The folder labels are fine, but only time will tell how well they stick. I've used other kinds of Avery labels in the past and they tend to come unstuck after about 3-5 years. I bought those labels 15 years ago so hopefully they've fixed that. The problem with the software is that the lettering can look fine in Avery Wizard (when using WORD), but when you print or go to print preview, you may find that part of the lettering is actually off-label, particularly if you like to mess with different font types and sizes. So you have to go back and forth through trial and error until you get it right. Maybe by exploring more I'll find a better solution, but you'd think the text you see in the wizard's label box would appear the same when you print it out.",3,"Fine labels, mediocre software.",1284854400,"09 19, 2010",0.1624
10,A16RI68PS6T5CA,B00004Z64U,Gadget Geek,"[2, 2]","To me, Avery is like the standard when it comes to printing labels. The reason I say this is not only because of their high quality labels and products, but because when you buy it, you're pretty much guaranteed to find a template already in your office productivity software (e.g. MS Word/Excel). Avery now has the added feature of being able to design the labels directly from their website and print (Go to their website, and then click on Design & Print. Avery is truly going the extra mile to make the process of printing labels as simple as possible.I've been using Avery labels for years, and they continue to improve upon their already excelent products. This product in particular adds a special feature that they call 'Trueblock Technology'. For most people, this would seem like trivial. A label is a label, whats the point? For those of you that want to re-use old folders, and completely mask the previous label/marking, this label does the trick. After printing out a sheet of labels, I placed them over folders with permanent markers markings, old printed labels, pens, and more. On regular labels, you may be able to see faint outlines of what was written before. With these labels, I was unable to detect any previous marking. Works as advertised!There are 25 sheets of labels, each with 30 labels, for a total of 750 labels. Whether you print or write directly on these file folder labels, what amounts to less than 3 cents per label, you can't go wrong with this. Unlike some of their other labels, this particular one worked well with my Epson Photosmart printer as well as my ancient HP LaserJet 8150 (If your printer has the option to, be sure to specify that you are printing on a label versus a regular sheet of paper).Needless to say, I highly recommend this product.",5,Excellent products as always,1282003200,"08 17, 2010",0.2438
11,A24IBBUZIHTPRQ,B00004Z64U,Gengler,"[0, 1]","One of my summer projects was to file, re-file, and re-organize existing files. Not the most pleasant task in the world. One of the things I wanted to avoid this time around was my messy hand written tab titles for the hanging folders.Voila!These Avery computer generated tab title thing-a-me-bobs are exactly what was needed! Download the template, type the titles, print out and attach- couldn't be easier.I love it when simple products perform their designated task well and make my life just a little bit easier.",5,Just What I Needed!,1279756800,"07 22, 2010",-0.162
12,A1HLWQ55JSKK7R,B00004Z64U,Jean Leinhauser Rapid Reader,"[0, 1]","These are easy to use, either with a computer template -- even available for Macs -- or to write on by hand. They do cover all that's underneath, remove easily from the master sheet. I'll probably buy themwhen the sample set is used up. I find most Avery products a good value and well made.",5,These really work!,1286668800,"10 10, 2010",0.4544
13,AL4SB31UAZLXL,B00004Z64U,Jennifer Donovan 5minutesforbooks,"[0, 0]","I am giving this product 5 stars because the feeding instructions (for printing) were very clear, the template was easy to find in Word, and the print quality was good.What else could I want?I used these to update my business cards with twitter information, and they worked great.",5,Worked great,1281830400,"08 15, 2010",0.9061
14,A33J2VWP9HXDU9,B00004Z64U,J. Lesley (Judy),"[1, 2]","One of the things mentioned on the package of these file folder labels is that they have TrueBlock Technology. Well I couldn't wait to find out if that was true. I have been making file folders for my home office files by reusing old folders from our business. I have usually used a felt tip pen to write the name on the folder. That is not a very attractive way to set up a system, but I tried some old file folder labels and the previously printed title just bled right through. I had a ready made experiment for these new labels and I'm very glad to say that they did truly block the writing underneath and it did not bleed through at all. Now my personal files look like I actually took some time to set them up correctly (or at least correctly as per my definition).The Avery Company has made available free templates and software to use with their products. I had to give them my name and email address in order to access the templates I was looking for. The good thing is that the templates will help me utilize the labels more efficiently. These labels are for both laser and ink jet printers and are acid free. Included in this package was a sample pack of four repositionable note tabs. I've used those in the past and absolutely love them. Thanks Avery for the reminder that I need to pick up more of those.",4,It really does prevent bleed-through!,1280188800,"07 27, 2010",0.3259
15,A256S0OWLFKCDC,B00004Z64U,J-Man,"[0, 0]",I always feel like office supplies in general are over priced. However Avery products have always been great quality. I have never had a problem with anything from them and this product was no different.,4,Great product,1386288000,"12 6, 2013",0.3337
16,A1TP2RW7KDI5AZ,B00004Z64U,John Werner JWW,"[0, 1]","I love to reuse file folders. I know, file folders are pretty cheap and why bother? Well, convenience is the main reason and not being wasteful, maybe, that's the other. Anyway, I've developed that habit over the years and I've used my share of tricks to do it which include turning the folder inside out and using the other side of the tab, liquid paper, correction film, and stick-on labels. Labels have become the preferred choice for me and that is where these improved Avery ones with their super opaque cover technology shine.Avery labels are simply the best brand you can buy. A label isn't something that cannot be improved upon and Avery continues to be the leader in the finish of the actual label, the adhesives, and their TrueBlock Technology which makes the label 100% opaque to anything under it. No more x-ray vision of the previous writing, or previous label, underneath makes for a neat job of folder presentation. They feed flawlessly through all my printers, and if only printing a single the sheets will hold up extremely well for repeated trips through. The quality is top-notch and you can use a fine point sharpie to write on and it is still crisp without the fattened bleed look to your written labels. The adhesive never curls and I have even been able to remove them with care to simply put a new label on when I've had several to build up.This particular size is truly versatile too. I've used them as labels on so many different items that I am addicted to having these on hand. You can use them not just in the office, but for lots of creative labeling. You can label audio/video cables by wrapping them around the cable, price sundry items if you have a business, label dates on items stored in your fridge or freezer, put a date you opened something such as olive oil so you know it is still usable, the list goes on. They stick and they remain readable under and/or heavy use conditions. These labels are worth the money and you may find yourself addicted too. Recommended with no reservations.",5,Best Quality In A Versatile Size Label,1283385600,"09 2, 2010",0.3079
17,A8WXLST0944GZ,B00004Z64U,J. Powell,"[0, 0]","These labels are good.They are wide, and they do darken out anything that was previously on the old label or written on the tab.I need a better method of printing a single label though. I rarely print or require an entire sheet of labels like this, so while the product is good for project work, it's not the most efficient for onesy and twosy. Otherwise, looks good and works.",3,Does what it's supposed to do,1281571200,"08 12, 2010",0.4373
18,A3AW05VYWC3LX8,B00004Z64U,Julia Rietmulder-Stone,"[0, 0]","I'll go into more detail about what's superior about Avery below, but first, regarding this size --These will fit three lines of 10 point Arial, or one line of something bigger. I use them regularly at work for their intended purpose, and I also use them at home to label stuff going into the freezer. They do stay on even when frozen, but are easiest to remove while still frozen. If they get wet before I try to remove the label, some adhesive has to be scrubbed off.I doubt Avery matters for the freezer application, but if you want a professional result for more traditional uses, Avery and name brand printer toner are a must.I've tried several different generic brands -- from all three big office retailers -- and the letters get smeared or flake off when applying the labels. Add generic toner, and the problem gets so bad that the printing becomes almost illegible. With generic toner these smear a little bit, but with the name brand toner (I've used these in both HPs and Canons), there's no problem. The generic labels might seem a lot cheaper, but these are well worth the extra dough.As far as True Block goes, well, I don't really care, but it does work. The labels have an opaque backing between the paper and adhesive, which doesn't allow anything below it to show through. I usually just remove the label if I'm going to re-use a file folder, because I'm just going to covering up the damaged area with another label anyway. True Block seems more useful for shipping applications than for file folders. I don't know whether or not Avery is selling these labels in a non-True Block form, but if so, it may be worth looking closely at price.",5,Always pick Avery,1290124800,"11 19, 2010",0.1003
19,A225G2TFM76GYX,B00004Z64U,J. White,"[0, 1]",I am very satisfied with these labels. They are easy to work with and look great.,5,Labels Work Great,1284508800,"09 15, 2010",0.633
20,A1OD0MT3I6ZVC7,B00004Z64U,K. Carroll,"[1, 2]","The TrueBlock technology works really well. I had some folders with old labels that I had written on with Sharpies and ballpoint pen. I have tried using other labels to cover the old writing, but I could always see through them - especially the labels that I had written on with marker. These folder labels blocked out the old writing completely.Avery's website also has some really nice free online tools to create quick templates for printing labels - no downloads required. I used the Design and Print Online feature to create a sheet of labels on my MacBook, then I printed the sheet on my Brother laser printer. It worked really well. It took me less than 5 minutes to get my labels typed in, choose a font, and get them printed using the manual sheet feeder on my printer. It was impressively easy.",5,"covers old labels perfectly, nice online software",1281225600,"08 8, 2010",0.2909
21,A3OIC7GUFY941R,B00004Z64U,Meg Livin la vida loca in Maine!,"[1, 2]","I was pleased to receive these as I had filing to do. I printed out a sheet of file labels, and then applied them to file folders I was re-using. I was extremely disappointed as I could see the writing right through the label, making for a very messy look. NOT recommended at all. I had to go buy new labels...",1,Tru- block? Not so much!,1285632000,"09 28, 2010",-0.0889
22,A3EJ8XHVDC0CWH,B00004Z64U,mrsmel2010 mrsmel2010,"[0, 0]","As a teacher, you quickly learn how to recycle and reuse anything you can get your hands on. This is a great way to reuse file folders. With the True Block Technology, you can make a folder look practically new. The labels underneath don't show through. Of course you can use Avery's templates with this labels. What could make it any greater? They can be used on both Inkjet and Laser Printer. How many times have you bought printer labels only to discover they aren't for your printer? They even come with 2 Box Tops for Education. Gotta love that! Avery has done it. The perfect label. You are going to find a million uses for these File Folder Labels.",5,A great product for any teacher!,1280188800,"07 27, 2010",0.2086
23,AG71XMQGQ2UTJ,B00004Z64U,My Old KY Home,"[0, 0]",These worked very well for me. I was able to load them in my laserjet printer and and print a variety of labels to cover up older existing labels. The labels are thicker than normal and have a grey back to help make sure there is no show through. Over all a great and did the job.,5,Great Coverage & Easy to Use,1282176000,"08 19, 2010",0.3555
24,A17A1KTVI3DG6U,B00004Z64U,Nathan A. Edwards,"[0, 0]","Avery has accomplished exactly what they have claimed with their Ink Jet File Folder Labels. That which I am most pleased about with regard to this product is the fact that when one label is placed over another, the old label is entirely blocked out, permitting me to use and reuse my file folders. These labels may pay for themselves over time.",5,No Complaints,1283126400,"08 30, 2010",0.18
