,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A9998RE3AEA95,B00000IM2T,Alex,"[8, 8]","I was very surprised with Legend of Legaia when I first played it. Although the basic RPG formula is still basically intact, there are a few radically innovative bits that seem to work quite well.Take for example the amazing battle engine: while turn-based at its core, each character's basic attack is instead a series of kicks and punches that YOU enter (at the beginning of each round). Specific sequences of kicks and punches unlock &quot;Arts&quot; - combos that you can perform at any point in the game. Furthermore, you can chain Arts in combat if they share their first and last moves, and, what's best, you can perform any Art at any given time, giving you total freedom in combat. Most Arts are learned through experimentation, while a few are taught to you by a variety of casual mentors. To save you the trouble of writing the arts down, the game keeps track of the ones you learned in notes that can be called up either through the status menus or directly in combat. Magic in Legend of Legaia is all summoning. During combat you have the chance of absorbing the powers of a variety of enchanted monsters, and thereupon summoning them to cast spells. If you summon the creature frequently, it will increase in level, making the spell it produces more efficient and perhaps even add a side effect.Seems as though Sony threw this amazing thing in and then forgot to capitalize on it. Makes me wonder why they capitalized on the far more restrictive battle engine in Legend of Dragoon.Graphically, Legend of Legaia isn't much to look at (or listen to), with ungainly polygonal surroundings and fully polygonal characters who look like blocks on a string. Thankfully, in combat the characters are realistically proportioned and animate realistically. Also, their faces are very expressive and well-detailed.A diabolic mist has enveloped the world years ago, turning the enchanted Seru into deranged monsters, and their human possessors into mindless zombies. It is up to you to revive the Genesis trees spread across the land in order to destroy the mist. If the story sounds off-beat and unexciting, it is still your formulaic save-the-world story we have come to know and love in many RPGs. The plot is as unobtrusive as they come. There is nothing unnecessary, no confusing tangents, no bland, endless dialog, nothing to detract you from the gameplay.Now, to alerts: this is a slow, SLOW, S...... L...... O...... W game. Travel on the overworld is very sluggish. Character advancement is equally slow. Get ready for tactical level-building, lots of it, because the bosses are tough. If you like your games to move at breakneck speed and half-blind you with glitter of many explosions, Legend of Legaia may reduce you to tears in under an hour. But if you're in for a good, old-fashioned RPG experience, you will most certainly enjoy this game.",4,Innovation you can enjoy,967680000,"08 31, 2000",0.1672
1,A1WQZT63J45DQI,B00000IM2T,Annette Wiseman,"[0, 0]","my husband loved his birthday gift.. he played this when he was younger and due to a bad divorce from his ex wife he lost it. Now he has it back and we are building a collection together. He was impressed what I paid for it, and how great of a condition it was in when it arrived. Perfect condition, perfect working order. Would buy from this seller again.",5,A great buy in perfect condition,1383350400,"11 2, 2013",0.4283
2,A210RFI1LH1F8F,B00000IM2T,Blade Wolf,"[0, 3]","I've had Legend of Legaia for a number of years. I've picked it up and tried to play through it countless times. The verdict... It starts out OK story wise, has a nice battle system on it, but it falls flat after a while. Let me elaborate.First off, the good about this game. An RPG's battle system is one of the most important elements of the game. About 50% of your gameplay time in an RPG is spent battling. That being said, Legend of Legaia has a very nice battle system. It's turn based (which means you can stretch between hits) and offers what many have called a fighting game inspired attack system. Basically, what that means is that the directional buttons are used as the primary selection tool in battle (the X button is only used to confirm attacks and select magic). Combo attacks are initiated by entering certain combinations in Attack mode (up {high kick}, down {low kick}, left {left hand blow}, right {right hand blow}) and not only are nice and damaging but are pretty spectacular to look at too. But, the good stops there.Here's the bad. First off, the random battles. I love RPG's, but I hate random battles with a vengance and in Legaia they spring on you every two steps in any given dungeon. This ensures that the player will quickly become tired of the battle system.Secondly, the way that the magic system is set up is a pain in the butt. Creative, but a pain in the butt. Unlike most RPG's, where the characters aquire new magic by gaining levels or buying it from shops, Legend of Legaia has a somewhat Pok&eacute;mon-esque method whereby the characters must absorb the powers of enemy Seru into their Ra-Seru in order to learn new spells. This wouldn't be too bad if the chance of absorbing a Seru's power weren't so low (maybe a 20% or 40% chance) and that for a character to aquire that Seru's powers, he or she must land the final blow him or herself. That can lead to hours of frustration trying to learn new attack and healing magic. When trying to learn new spells becomes a chore, you have a problem.Third of all, the story line. The plot is really thickest toward the beginning of the game, then becomes less and less engaging as you play. I mean, it starts out promising but never really picks up the pace! The most exciting moment in the game is the attack on Rim Elm (right at the beginning of the game) and from there it never really takes off. For the love of God, they had a demi-god that sleeps in the form of three freaking infants giving random prophecy in a freaking cave town that keeps falling apart! What the Heck! That's the part when you know whoever wrote the script for this game was having some monster writer's block that never really went away.Fourth point, the music. Now, I know most people don't care much about the music in an RPG as long as it's bearable, but the music in Legend of Legaia would be better replaced with the sample music tracks from RPG Maker. It's OK for short sperts of playing, but after a few hours in a dungeon, it gets redundant.Number five, the graphics. Now, I know this game has OK graphics for its time, but it's more the way that the graphics effect the navigability of dungeons that has me. The color pallet for this game tends to be overwhelmingly dark, especially in caves, and in certain areas it's hard to tell a wall from a door from an extension of the floor because the colors and textures merge together so much. Not fun when you've been through 800 random battles, are low on health and healing items, and are just looking for an exit.Lastly, the two most annoying things about Legend of Legaia: Save Points and the price of upgrading equipment. In this game you can only save on the overworld map and at save points. The problem with the save points is that they are so far apart from each other in the dungeons. The save points tend to be one per average sized dungeon and sometimes two, and always about an hour or three apart from each other. This can cause headaches when you just want to quit but there hasn't been a save point in sight in the dungeon for hours on end. And the price of equipment upgrades is just plain wrong. To afford new equipment, you have to run around in circles of about an hour or so fighting to just be able to afford the next sword...after fighting every monster from the last town to the one you're in now without running from a single battle. This leads to hours and hours of trying to get into a fight (which, as it turns out, is the only time when you're not jumped every three steps). This, in turn, leads to boredom.So, in closing, Legend of Legaia is a decent game if you can stand the frustrations stemming from its faults. The battle engine is good and you can always Mystery Science Theater on the plot if you're so warped in humor. But, if you hate getting hit with random battles, being over charged for equipment, never being able to find a save point when you actually need one, and getting lost in confusingly rendered dungeons, then leave this game alone.",3,"It's an OK game, but...",1226188800,"11 9, 2008",-0.0833
3,ATVD3TLOXJRI9,B00000IM2T,bosley83,"[0, 8]","To sum it up, Sony didn't do that great of a job trying to find a way onto the ever growing RPG scene on the Playstation. It lacks a strong story, mostly. You run around reviving Genesis Trees to remove the evil mist that has transformed kind creatures to evil little monsters. That's right an evil mist is your enemy. I as much a believer in the etherial realm of evil as most people but come on. You don't actually expect me to fight mist. They try to tack on a final boss but he seems oddly removed from the evil from the mist so his presence makes little sense. The battles, though the engine is innovative, are much to long. A battle can last anywhere from 3 minutes to almost an hour. The main reason that the battles are so time consuming is because of the lengthy entering of the combat combos that your character uses. The game just stops being fun when you have been in the same dungeon for two hours because you are getting into too many battles. The dialouge is also very dry and foolishly written. After meeting the character Noa I knew that I wanted her to be killed by the mist. She is maddingly annoying, and she runs around like some mental midget on steriods. The other two characters have no personalities. This makes it hard to get involved with the game. The pluses. The aformentioned battle engine innovativeness. Also when you buy a new peice of armor or a weapon you actually see it on your character in battle and they actually use it. Their are some really odd looking weapons and armor. The bad part is that gold is very difficult to come across in this game. My words to you. Do not buy, do not rent, do not do anything with this game. It should be burned and its record removed from the planet. This game does not belong with anyone Playstation collection. Unless you are really hard up for some entertainment.",2,Legend of Legaia: Too Bad for Sony Attempt at an good RPG,993168000,"06 22, 2001",-0.2943
4,AU54AUT75ZMST,B00000IM2T,Classic GameFan1991,"[0, 0]","Where do I begin? The graphics are top-notch for the time it was released, and the environments vary from being colorful to plain dark with a very fitting soundtrack that hums perfectly with its perspective locations, and the controls are pretty solid, and you can even use the analog stick, which is pretty neat for a game that was originally released in Japan in 1998 with a 1999 US release. The enemies can be rather creepy, which adds to the overall appeal of it. The story is rather entertaining with plot twists that will keep the player going, and the idea of mist being such a poisonous element to the world seems interesting in itself as there are some deserted towns that were deserted from the movement of such a lethal element. The battles have various combinations that characters can use to defeat opponents, and some of the bosses will require having special moves to defeat them, as they can rake up in difficulty very quickly. Overall, I highly recommend this game to any RPG fan looking for an original story with exciting gameplay. My two cents.",5,An Excellent Unnoticed Gem,1401235200,"05 28, 2014",0.1032
5,A11LS12ZU93SV6,B00000IM2T,DeRosset Myers DeRo,"[1, 2]","Legend of Legaia is a relatively simple RPG with a new twist: now you can customize the way you attack your enemies. This makes it look sort of like a Tekken game, but it's still menu-based.The story begins when Vagn, the main character with blue hair, is preparing to go hunting. Of course, like almost every RPG story that starts out with a plan, things take a turn for the worst: Vagn's girlfriend's father gets killed by monsters in THE MIST, then an evil entity invades Vagn's village. Now Vagn must go on an adventure to stop the mist permanently. The guy who was killed isn't especially important; Vagn is just sick of people dying.On his way, Vagn meets a young girl named Noa and an Akuma look-alike named Byron (if I remember the name correctly). Sorry to cut off there, but you'll have to play the game if you want to know more. It's worth it though.What I especially like about Legend of Legaia is that it fits into the 32-bit era without sacrificing bizarre hair colors. This is very essential to anime, as it can somehow relax the nerves.",4,umm . . . just read my review.,1051488000,"04 28, 2003",-0.1072
6,AERF40KNXDQDI,B00000IM2T,DisneyVillain,"[0, 0]",This is one of the best RPGs I ever played. It has a unique combat system that inputs how you'll attack by using combos with you feet and both arms. Often you find a special move after using a specific combo that gives stronger attacks. I highly recommend this game to RPG lovers and Playstation 1 gamers.,5,This is a great RPG,1381881600,"10 16, 2013",0.2923
7,A3EE8L9DQE69FE,B00000IM2T,eagle252,"[0, 0]",One of the best fighting games of it's era. I highly recommend this game to anyone that enjoys fighting games.,5,Love it,1358640000,"01 20, 2013",0.4791
8,A1IQV6AI7L9NOK,B00000IM2T,Feelah the tigress,"[0, 0]","I don't think this game is as well-known as other games, such as the Final Fantasy series, but it's still a pretty good RPG. It's not the best out there, but it's really fun to play and is a solid entry in the RPG genre. Let's find out why!Graphics (score 8/10): The graphics kind of remind of Final Fantasy VII's graphics, although I'm not sure if they came out around the same time or what. They aren't really exciting by today's standards, but they work well enough. Legend of Legaia may not have the best graphics, but it makes good use of what it has. In fact, the enemy designs and area settings are pretty unique and inventive. Overall, the graphics aren't too hard on the eye.Music (score 8/10): The music is pretty good, and somewhat memorable, especially the overworld theme. There is some limited voice acting in the form of battle phrases, most of which are in Japanese. Each character only has three moves that are voiced in English, which don't even play every time you use that move (it cycles randomly between that and the Japanese phrases). To make matters worse, the few English phrases like Tornado Fist sound a whole lot like butchered Engrish. I wonder what happened there. Were they not able to afford more than a few phrases voiced in English? Or decent voice actors? They really should've kept it all English or all Japanese. Other than that though, I have no complaints in this category because the actual music is awesome.Characters (score 6/10): The characters themselves are not the best in RPG history. Firstly, we have Vahn, who never speaks and has no personality. Yep, it's the old silent protagonist. The game even makes fun of this--there's a scene where Vahn steps into some hot water and turns red, then jumps back out, all without saying a word. Then, this guy walks over and says, if the water's hot, you should say so. It's hilarious. Next, we have Noa, who was literally raised by wolves (well, a Seru creature attached to a wolf's head). Because of this, she is socially awkward and knows nothing of the world. Unfortunately, this leads to some pretty cringe-worthy dialogue (for example, a scene where she broadly proclaims that suffering is bad!). To make matters worse, she speaks the most out of your three characters. Gala is your last character. I actually think he is the best developed since he starts out being an uptight stiff but later becomes more open-minded. Overall, these characters are not the greatest, but they get the job done.Story (score 9/10): You'd think a game about reviving trees to save the world would be boring, but this game pulls it off. An evil mist has covered the land, causing the normally helpful Seru creatures to attack humanity. Your small party of heroes possess Ra-Seru, a type of Seru immune to the mist, and must save the world by reviving Genesis Trees, which have the power to drive away mist. No, this isn't Arbor Day propaganda. In all seriousness, though, the story is pretty engaging. It's really interesting seeing how each isolated settlement of humans manages to protect themselves from the mist and who is ultimately responsible for the whole mist problem. The game developers have really done a good job of portraying a devastation-ridden world and keeping it engaging and believable.Battle System (score 10/10): The battle system is an interesting take on the usual turn-based system. You input a left, right, up, or down button in a string to make an attack. Certain combinations will be special attacks called arts which do more damage. If you get sick of inputting buttons, the game allows you to use your last input as a default. This option can speed things up if you just don't feel like doing all those inputs. This battle system is actually more fun and engaging than a plain old attack command, and I really enjoyed it.Gameplay (score 8/10): This is a bit of a catch-all category for me. Now, the best aspect of this game, in my opinion, is collecting Seru to use as summon magic. If you have a collector's mindset like me, you'll really enjoy collecting them all. Unfortunately, this can be tedious and irritating since you odds of catching good Seru are usually low, forcing you to try over and over and over again. This really wears on your nerves after awhile. Usually though, it isn't so bad. Let's see, other than that, no complaints!Overall (score 8/10): NOTE this score is not an average; it's my subjective overall score. It's really a shame that this game isn't more well-known because I feel like Legend of Legaia is a good solid little game. If you're an RPG collector then this game is definitely worth putting in your collection.",4,"A Good, Solid RPG!",1251331200,"08 27, 2009",0.1063
9,A1EHPSG1JK3C0V,B00000IM2T,Jeff Brugamyer,"[0, 0]","Legend of Legaia was the first rpg I ever played which started my love for rpg's. When I first played this game I could not put it down to eat, sleep or go to work. I called in 2 days in a row because of how addicted to this game I was. Anyways, to get to the review part and after beating this game 3x since and played many rpg's it still holds as one of my all time favorites just under Lunar:SSSC, Final Fantasy VII, Grandia and Xenogears for the original playstation.Storyline: I still after all these years love the storyline to this game. Van, Gala and Noa are the only members in your party (which after playing other rpg's, I wished you had a few more people in your party). Basically there is a mist that turns people and animals into crazed monsters and you need to activate the Genesis trees and destroy mist generators. It has some really good twists in the story and it stays for the most part intersesting and keeps you hooked. Van is a quiet and just good all around guy, Noa is a girl who grew up on her own until she met Van and Gala is a monk who seems to be angry most of the time.Graphics: Definitely for its time some of the best around but there were no cg clips or fmv's to help move the storyline on. With games around its time using cg clips, like FFVII, or anime scenes like Lunar, I think Legaia could have used some clips as well. As far as graphics when your characters were fighting, very nicely done, a bit blocky but when you buy armor and the change is actually noticeable on the character its a very easy to get over.Combat System: Probably the very best thing and most enjoyable part of the game, even the random battles are easy to get over because it actually get you into the fight. You get to do whats called arts, hyper arts and magic that is used through your Ra-Seru. Magic is learned by killing monsters but getting the actual spell is random so it can be on your first kill or 200th kill. The power of your magic goes up the more times you use it and the Kamero spell is easily my most favorite.The game can take anywhere from 50+ hours to finish depending on how much you do. There are a few mini games but none that are noteworthy and I only have few gripes about the game itself.The first is when roaming around on the world map Van moves really slow. Also, money is an annoyance to get and armor starts getting really expensive so you'll spend a lot of time money grinding if you want the best stuff.The money grinding, lack of a few cg clips or fmv's to help move the story and long levels keep this game from being one of the greatest rpg's ever. It gets delightful 4 out 5 from this long time Legaia fan.",4,My first rpg experience.....,1223510400,"10 9, 2008",0.3602
