,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A17ED9J0J0UJ9G,B00008ID39,A. Gehlke Cat Mom,"[1, 2]","I've been wearing these for over 15 years and love them! They are cool, comfortable, cute and sexy at the same time AND they last a long time. Although I'm a size 4, I have a full caboose and these accommodate that very well. One of the other things I just can't stand is when the bottom rides up (like those boy shorts)in the rear and these don't do that with me.",5,My favorites for over 15 years!,1165363200,"12 6, 2006",0.5673
1,A3DCGRENVUIBQ4,B00008ID39,Amazon Customer,"[0, 0]","Love the weight of the cotton and the smoothness. Tried to see if they fit when they arrived and they did albeit they were a bit baggy in the buttocks.Thought maybe they would shrink a tiny bit and be perfect after laundering. Cold water, delicate wash cycle with organic soap and then inside line dry. I'm still kind of shocked that they shrank so much.I would need to order a size larger than normal to get perfect fit.",3,Shrinks one size even with cold water delicate wash and line dry.,1388966400,"01 6, 2014",0.4955
2,A1TKAFJDZY2775,B00008ID39,amber,"[2, 2]","I found these to be a bit smaller than store brands like Hanes and Fruit of the Loom. I do like the style though. My one big problem with these panties is that they are perfumed. Seriously, whose idea was it to scent women's underwear?? Why is this necessary? Jockey, do you also scent men's underwear, or are women just particularly stinky? And why would they think we would like it?? I've washed them 3 times now, soaked them overnight in a borax and vinegar mixture, and they still smell. I'm worried that I could get a UTI from the scent if I wear them. As long as they keep using perfume in their underwear, I will not purchase Jockey panties again.",2,Why are they perfumed?,1378252800,"09 4, 2013",-0.0435
3,A34PW41XE2G31V,B00008ID39,Amber Ramsey,"[0, 0]","My 11-year old daughter is 5' 2&#34; and weighs 103 lbs. She's straight as a board and doesn't have much of a butt. However, these size 4 fit her very well. I was concerned, since I ordered online and couldn't hold them up to put my eyes on them before I bought them. She really likes the prints and when she tried them on she said they felt more like a bathing suit bottom. That's good, since bathing suits need to fit your body kind of tight. They're Jockey, so they're made of great quality!",5,First pair of bikini for Tween,1389571200,"01 13, 2014",0.4074
4,AJRNC98E2ADGL,B00008ID39,AngieG Tanchaddy,"[0, 0]","These are my go-to undies for everyday wear. A friend suggested them years ago and I've worn them ever since. They stay put without the sticky bands that some other brands use. Comfy, flattering.",5,Stay put undies,1375833600,"08 7, 2013",0.1421
5,AGOUQCAOS4ROO,B00008ID39,Bi Boi,"[1, 1]","Great fit, just as I had hoped. Good quality, feel very sexy on. My partner likes them too, loves the look and feel.",5,Jockey womans string bikini,1369008000,"05 20, 2013",0.7902
6,AJ5586P0YFU9E,B00008ID39,BizDoc,"[1, 1]",These shrank something fierce after a couple of washes in warm/hot water. The legs just became too tight to wear.,2,"Fit after the first wash, but not after the second",1353715200,"11 24, 2012",0.0
7,AF5CTN96ZSYPA,B00008ID39,B. Scott,"[0, 0]","These comfortable all-cotton panties don't ride up or chafe, and they fit well. I will be ordering them again soon.",5,Comfort,1375747200,"08 6, 2013",0.3922
8,A3RJGP3MFFG6PV,B00008ID39,Dana R. Gill Heal yourself,"[2, 2]","I wanted to go to all cotton underwear as part of a move to more natural products. Bought these in size 4 (my pants size) to try them. I was unsure what size to buy. I have washed them, and they shrunk a little i think, but not much. They fit very well, do not ride up, and are very comfortable. As for the reviewer who thought they come up too high and show over her pants, I suggest her pants are waaaay too low :-). if these show, she may have bought them too big, or her pants are so low, she is at risk of exposing her doo da! I am here to buy more today.Update: Liked so much, I bought 2 more packages. I bought a size 5 in black and a 4 in white. Don't see much difference. Jockey sends a coupon with the first order. Coupon code is BBFTTYYSH. Try it for 20% off. May have to order on Jockey website, but can pay on Amazon site.",5,Love these,1359244800,"01 27, 2013",0.0403
9,A1B14L92LJ42B0,B00008ID39,Dan D,"[0, 0]",BOUGHT FOR MY WIFE. SHE SAYS SHE LIKES THEM . ALSO SAYS THAT THE FIT IS VERY GOOD AND SHE WOULD LIKE ME TO ORDER HER SOME MORE...,5,WELL THE WIFE DOES,1356048000,"12 21, 2012",0.4496
10,AZQSQSF2QI02F,B00008ID39,DVictoria,"[0, 0]","I am a bigger hipped person and find that I have a hard time finding cuter, sexier underwear that fit right. These work perfect.",4,underwear,1386720000,"12 11, 2013",0.6158
11,A2KHV3LQ62YFE4,B00008ID39,faygoredpopkid,"[0, 0]","When I bought these panties, I really wanted to like them, but I couldn't get any further with them than opening the package. They have a &#34;perfumed&#34; smell. I really don't want any fragrance on my underwear.",1,Weird scent...,1394496000,"03 11, 2014",0.0313
12,A33V1BN9MGUETI,B00008ID39,"Grapevine, Texas","[0, 0]",These are perfect for a 58 year old woman like me who doesn't want to wear granny panties. Fabric and cut are great.,5,Great fabric,1375228800,"07 31, 2013",0.5877
13,A3JN214E17BX9T,B00008ID39,Herm,"[0, 0]","I really like these. They are very comfortable, no matter what I'm doing (sleeping, exercising, sitting around). And they last a long time. They were my favorite underwear colors to, especially the dark grey. I wish they were still available.",5,My favorite underwear,1395878400,"03 27, 2014",0.3812
14,AIK5SVXJ3NAO5,B00008ID39,Hope,"[0, 0]","As always, a good, sturdy product. You can wash these many times, and they last a long time. I'll always buy from Jockey.",5,Always A Good Product,1355616000,"12 16, 2012",0.1468
15,A1I97QIESCUU8B,B00008ID39,jem,"[1, 1]","Love these. First time purchasing, fit well and comfortably. They seem well made much better than multipack undies from a box store. Flattering and wash and dry well. Pefect everyday functional underwear.",5,will purchase again,1341705600,"07 8, 2012",0.5053
16,A3UGTTAH2BLSOQ,B00008ID39,Joan M. Elisha,"[0, 0]","I know I need to lose a few pounds, but I did order a size up. Maybe I will like them better once I get back on my diet! The colors were really good. Bright pink/fuscia, bright royal blue, and one floral pattern. If I like them better after the weight loss, will update the review.",4,A little bit snug,1382140800,"10 19, 2013",0.4291
17,A3K9L9S9QCRIE9,B00008ID39,Kat T. An Iron Butterfly,"[0, 0]","Comfortable, basic and just what I needed. Completely lacks annoying frills,lace and other irritating materials. Cool, breathable cotton. Wears and washeswell. Highly recommended!",5,"Basic, comfortable and a great value",1366070400,"04 16, 2013",0.0898
18,A3YFRWYH583EQ,B00008ID39,Keri Carpenter,"[0, 0]","I can't find these in stores anymore but I'm used to them, so its nice to know I can get them online.",5,They were fine,1366070400,"04 16, 2013",0.627
19,A1ZXZ2ND3R1C0R,B00008ID39,knobe,"[2, 2]","I have bought Jockey before and they were quite good but these seem already stretched to the max Before putting them on , very little give left in the bands .I don't know if it's a cheap knock off with a bogus Jockey label or if Jockey is now cutting corners but I wouldn't buy them sight unseen again .Probably back to brick & mortar for Jockey purchases ( see what it is Before I get it ) .",2,Womens cotton Jockey underwear,1368662400,"05 16, 2013",0.0891
