,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A32E1FI2STSFV3,B000052YOR,4Hand,"[0, 0]",I have used this product for several years and have not found a better shower oil. It is cheaper to buy it at Amazon than my local drug store.,5,Love this product,1331251200,"03 9, 2012",-0.0817
1,A3UR5FRLA1LINI,B000052YOR,abstsf,"[0, 0]",This bottle will last a long time. It has a pleasant scent and I typically reserve it for putting on in the evening since it does not contain sunscreen. I love to put it on before I go to bed as I really think it helps me get to sleep and I tend to think of it as a luxury product.,5,Luxury,1389312000,"01 10, 2014",0.435
2,A234X1MVIMPMMC,B000052YOR,Akima Rolle Book Junkie,"[0, 0]",The Neutrogena Body Oil is very light. I use this when I get out of the shower and within minutes it is absorbed into my skin and my skin is hydrated through out the day. My skin does not feel oily or greasy just soft and smooth. I love that this oil is very lighly scented and does not interfere with my perfume or body spray.,5,Hydrates Your Skin Perfectly!,1357948800,"01 12, 2013",0.1592
3,A9BLJJM9Y6R2M,B000052YOR,Amy Lamborn,"[0, 0]","Highly recommend. Will leave your skin silky smooth after a shower, with a very delicate scent. Not greasy at all. Highly recommend. Also real bang for the buck.",5,Delightful,1384560000,"11 16, 2013",0.1831
4,A2V3HE239Y8PBG,B000052YOR,anothersara,"[0, 0]","I'm a huge Neutrogena fan and was perusing their products on Amazon when I stumbled across this. I was about to run out of lotion and needed something that could handle how dry and flaky my shins and elbows tend to get - especially now when I'm flying a lot for work.The bottle arrived with the cap broken at the hinge unfortunately. Luckily, the oil hadn't leaked out and gotten all over, but it does make storage kind of obnoxious right now, so I'm going to have to steal a cap from an old shampoo bottle or something to replace this one.That aside, the product itself is great! If I was choosing on fragrance alone, this wouldn't be my first pick, but the smell is very pleasant and is growing on me. Instead of rigorously toweling myself dry after my shower, I do a cursory drying, leaving my skin quite damp and then immediately use the oil. It soaks in much better and quicker that way and can proudly say my elbows haven't been ashy in over a week! I do also use this at times on my fully dry skin, and it's still great, just a little more oily feeling at first.This product is defnitely a keeper,. I just don't know how it took me so long to realize this exists!",5,How had I not found this before!,1393459200,"02 27, 2014",0.2373
5,A3NMT0XES7THFR,B000052YOR,Ashley,"[0, 0]","I never thought a body oil would be so great. When I hear body oil, I think, greasy, thick, and gross. Neutrogena body oil is none of those things. I squirt a little in the tub when I run a bath, and it keeps my skin from drying out. After I shower, I put it on my legs and they never get dry, either. It's so light that you don't feel it at all, and the scent is very light too. I did, however, order the unscented version for when my current bottle runs out. My husband is hooked on this stuff too. We keep a bottle in the shower, and when we turn the water off, we just put some on our arms and legs before we get out. That way, we don't have to use a lot of heavy lotions instead.",5,"Great everyday moisturizer, who would've thought?",1340236800,"06 21, 2012",0.0262
6,A16FQAZE232M0R,B000052YOR,AZ Lady,"[0, 0]","I've switched from body lotion to this Neutrogena Body Oil. Living in AZ is pretty dry and lotions don't rehydrate my skin after showering like this does. I've tried several methods from using it right in the shower to toweling off LIGHTLY and apply this afterward. That's the method I like the best. If I dry myself off too much and wait too long to apply the oil, I just lightly dampen my skin and then apply the oil. Great product I won't ever be without.",5,Wonder oil after showering,1397692800,"04 17, 2014",0.3479
7,A1FCUFVPEPCWIV,B000052YOR,barbbbb,"[0, 0]",I have been using this product for years and sometimes it is hard to find. I have it on subscription at Amazon and they are so good about having it to me every 2 months. I love the feel and silkiness this gives my skin and cannot imagine anything else working as good.,5,Love it,1373328000,"07 9, 2013",0.4526
8,A112TFLXGBF6NI,B000052YOR,Bonnie Awesome,"[0, 0]","As a body oil it's just fine.... I like to use a cap full in a bath. It makes my skin very soft. It will make your bathtub just disgusting though, you will have to clean it after.But the smell.... It's not my favorite to begin with, but it's ok. It's just SO strong!!!!! I give it 3 stars because it works well and does what it supposed to, but I actually don't use it. I can't handle the scent, or its strength of scent I guess.",3,Light?? Try overpowering.,1377216000,"08 23, 2013",0.2051
9,AS12AOZ971ZF1,B000052YOR,Demetria,"[1, 2]","I was intrigued by the reviews, but I actually wouldn't bother to order this again.It's too light. It absorbs well, but I'd prefer something more effective.",3,Not All That,1354233600,"11 30, 2012",0.5513
