,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A18TR1IFK85NYJ,B000074RL3,Adrienne Gray,"[0, 0]","I have never been so lifted dependably in all my life, probably since a teen. I can run, work, do anything and they stay in place.",5,THE LADIES ARE HAPPY,1392854400,"02 20, 2014",0.0
1,A1BZFRYSMNPVYF,B000074RL3,Amazon Junkie,"[0, 0]","I ride horses and some of them are a little on the rough side when it comes to trotting. I feel totally secure with this item holding in the 'girls.' There is a little bit of bounce, but I guess if there wasn't any, I'd be a boy. ha haDefinitely want to order a size larger than what you'd usually wear. It can run a little on the tight side. After washing, it feels tight, but then after a day, it stretches out enough to be comfortable.It does take a few wears to get used to it and to mold it to your body. It can be quite uncomfortable at first...feel like a straight jacket....but only at first, then it's great. You don't notice you've got it on.I'd recommend this for anyone who wants a good hold. I'm not crazy about the pink color, but what the heck, it's not lingerie!",5,Long Lasting and Holds Up (literally) to every day use.,1293321600,"12 26, 2010",0.2609
2,A3MS0QB3VS1Z4W,B000074RL3,Anne M. Hagerty catwoman,"[0, 0]","What a releif this bra is for me. I can run, jump rope, and perform other aerobic athletic activities without a hint of a jiggle! This is a muist have for the active well-endowed!",5,The Perfect Bra For The Well Endowed,1286236800,"10 5, 2010",0.1525
3,A1N73M40MPPWSR,B000074RL3,Badboatygirl,"[0, 0]","I love this bra, fits tight and holds the girls in but i will say right after i got it one of the snaps broke off i think it was defective so now i have a bra i paid alot for that one hook can't be snapped but other then that i love it, i have went thru alot of bra's and this is by far the best support it is kinda hot and takes a little getting used to it is my first compresion bra, so that may be it for me, but i would say if you are larger busted try it, i just wish my bra would not have broke it would have got 5 stars if it had not broke. i was very disapointed in that but like i said not one of the other snaps have broke so i really think it was a defect of some kind.",3,great bra but sadly Snap Broke,1398902400,"05 1, 2014",0.6144
4,A1CQ5Y7E6WVYL6,B000074RL3,Bike Chick,"[0, 0]","This is the only sports bra that I have ever worn that can also be used as a minimizer as well. It worked very good at flattening my big chest making it impossible for the big huge sacks I call breast to even budge one centimeter.The downfalls of this bra is that it is hard to put on the first time and really does not break in and feel comfortable and natural until you have worn the thing many times. Also it took time to put the bra on as it has over 10 hooks to fasten painstakingly one at a time.However, the positive is that I had this same model bra for over 2 years and has survived constant wear, tear, and abuse.To sum up this review it is worth the money if you are up to enduring some discomfort until the bra breaks in and is looking for an excellent minimizer.AS for an actual sports bra for activities where you will be doing alot of moving and flexing of the upper body I do not recommend this bra. You might want to try the Moving Comfort line as they have excellent support for big chests.",4,Great sports bra excellent support also makes a good minimizer,1352073600,"11 5, 2012",0.6178
5,A25E8V5JMW43RY,B000074RL3,Carol D. Pippin,"[0, 0]","This is definately a great bra, well made but it runs alittle small, imo. It has a great support built in and I'm sure it would last a long time as the quality is great. I will try for another size!",4,Very well made bra,1387238400,"12 17, 2013",0.4661
6,A14T3L1AFVPFP7,B000074RL3,CMR,"[0, 0]",This is a great product! It offers the best support for me when I go for a jog or just working out at the gym. It holds you in place and you don't have to worry about any bounce. You'll feel super supported and won't want to use another bra after trying this one out!,5,best bra ever!,1238976000,"04 6, 2009",0.6313
7,A1G2F1OUA153GU,B000074RL3,cristanann,"[1, 1]","It was easy to follow the sizing guide and the bra I received fit appropriately (it's supposed to be tight!). I like fastening it in the front instead of the back, but there are quite a few hooks that can be tedious to fix up each time. I was disappointed in the efficacy of the bra for vigorous activity. This was my last stop in my tour of expensive sports bras that the interwebs say are best for ladies with large breasts, and I was hoping that it would blow the competition out of the water. It didn't. It's playing nicely with the other bras in the water. This bra works fine, but I didn't find it to be anything special.",3,"This bra is fine, but not it is not the holy grail of sports bras (unfortunately)",1403827200,"06 27, 2014",0.3259
8,A1H0P7ESJE2109,B000074RL3,Gadget Girl,"[1, 2]","If you are a busty woman (anywhere from C cup or above), then this bra is for you. I have tried numerous other (very expensive) sports bras, but none has provided the level of support AND comfort that the Enell does. Now, I have no problem with the fact that there are no strap adjustments, but apparently some women find the straps are too short/long for them. It fits me perfectly and I have changed sizes over the years. Be sure to take the time to measure your rib cage (below the breast) and across your breasts to determine the correct size to order. The basic calculation is breast size (let's say a 40) minus rib cage size (say 34) equals your cup size (40-34 = 6). Count the alphabet to 6 letters (in our example, F) and that's your cup size. Many products use double and triple D, so an F = DDD as well. As anyone with large breasts knows, it can be difficult to get excited about exercise when every bounce hurts, but exercise is SO important for our physical and mental health. So take a little time to figure out your size, and spend a little extra money, and get a good bra!",5,Best. Sports Bra. Ever.,1261526400,"12 23, 2009",0.3021
9,A3P73GMNTWDJ2S,B000074RL3,gdeen,"[0, 0]",This may be a good sports bra but it is for smaller cup sizes with larger band sizes. A lot of hooks to fasten.,3,For smaller cup sizes,1388448000,"12 31, 2013",0.1191
