,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3E1KL2N4ZOQ8W,B000052YJX,Amazon Customer,"[2, 3]","This is the most gentle brand available. It contains 2.5% Benzoyl Peroxide. All other brands are extra strength and have 10%, which eats away at my face and burns. This takes a few applications to fully rid my face of break outs, but it is worth the wait to avoid any burning or injury. I have really sensitive skin and roseacea. My dermatologist recommended this for me. I am glad that I took his advice. :)",5,My dermatologist recommended this product,1184544000,"07 16, 2007",0.1844
1,A37Z843SR49K8P,B000052YJX,Ana Logue,"[0, 0]","Between this Neutrogena Spot Treatment and Oxy Spot Treatment Maximum, there is no contest! The Oxy works and the Neutrogena does not, pure and simple. I have only the occasional pimple these days, but want a treatment that quickly dries up the oil and inflammation. The Oxy costs more but is worth the price, the Neutrogena does nothing (as far as I can tell) as a spot treatment. A better medicine will prevent scarring and disfiguring marks on your face! Early application of effective medicine can stop an emerging blemish before it becomes much worse. The Oxy Spot Treatment Maximum did a far better job for me.",2,Buy Oxy Spot Treatment Maximum Instead,1361232000,"02 19, 2013",0.1172
2,A23ED1KXUQ0BO,B000052YJX,arsenic sulfide,"[1, 1]","Originally I was worried about allergy. I have to say this treatment may be too mild to me. It works, not significantly.Also I found this is NOT transparent gel, but some white cream which does not fully absorbs, and leads to an ugly face white white spots.",3,white residue on face,1350000000,"10 12, 2012",-0.3204
3,AK7CAW3N1XZV6,B000052YJX,Beth Cholette doctor_beth,"[6, 9]","I purchased this product after in was recommend as a disinfectant in the book Don't Go to the Cosmetics Counter Without Me. I had been becoming extremely frustrated with my oily skin and frequent breakouts, so I was ready to try something new. For the past 1 1/2 months, I have been religiously using this product in the morning and Clear Pore Nighttime Clarifying Gel (a BHA product) prior to bed. While I haven't seen miraculous results, I have had a reduction in breakouts, and my skin texture seems to be slowly improving. In addition, I am no longer getting the dry, flaky patches which I was getting with other products. However, my skin is still oily, and I do still experience the occasional breakout. While this product certainly might provide you with some benefits over time, keep in mind that you will not see immediate results: despite the claims, there is NO product available which can get rid of existing blemishes.",4,Some improvement over time,1084233600,"05 11, 2004",0.1287
4,AZJ8PVOKAJS5,B000052YJX,Cary Penrod,"[0, 0]","This stuff works pretty good. Good price also, will buy it again. Also use it on my 10 year old daughter who has been breaking out as of lately and it's not to strong for her sensitive skin",5,Its good stuff,1390348800,"01 22, 2014",0.255
5,A1TWCRABJ1DXCR,B000052YJX,cenerentola,"[0, 0]","I can't believe that I find an acne cream that actually works!! I don't even remember how many creams, lotions etc. I tried over the years until now for adult acne. This is the first time I really see some result and I even don't use it regularly. If you put it on at night you'll see the effect the next morning. Even if the blemishes don't completely go away the next day, they reduce down in size. It helps with the redness and the pain. I have a very sensitive skin and this doesn't dry out my skin. The only minor issue is that I don't think it is completely vanishing. Some white residue still stays but it is manageable. Overall very gentle yet powerful cream. Definitely recommended.",5,I can't believe that it really works!,1401321600,"05 29, 2014",0.092
6,A1CV0WYIHTF2GQ,B000052YJX,Chelsea Smith,"[0, 0]",I usually would use Clearasil's blemish cream but decided to try this instead as it had really good reviews. I don't think it works as well on my skin as Clearasil's blemish cream did and I would probably not purchase it again.,3,Doesn't work well for me,1357171200,"01 3, 2013",0.4603
7,A87JI1JMRS0PG,B000052YJX,Dog Mom,"[1, 1]","Everyone has different skin, but mine tends to dry out and get easily irritated. I thought Neutrogena On-the-Spot would be a good solution because of the lower concentration of benzoyl peroxide. Unfortunately the product made my skin red and flaky, so much so that it is taking a few days for my skin to get back to normal. I usually have pretty good luck with Neutrogena products, but I think I'll be getting my skin care items elsewhere.",2,Too harsh despite claims of being more gentle,1317772800,"10 5, 2011",0.1865
8,A2Y4S4CNGKF21S,B000052YJX,H. Swanson,"[0, 2]","I hate this stuff! It didn't do anything to help my acne. All it did was make my skin so painfully sensitive all over! I wish I could get a refund. I used it for a good week. I have hormonal acne, and this had no impact on it. It was as if I'd put nothing at all on (aside from the horrible dryness and burning).",1,Did not work for me. It BURNS!,1326758400,"01 17, 2012",-0.1275
9,A1HMP49REABOZI,B000052YJX,Jae Kim,"[1, 2]","I like it. It doesn't make my face super shiny. However, it makes my face feel thick (it's not that bad). So far my blemishes seem smaller.",4,Good,1225756800,"11 4, 2008",0.3479
10,A2UWR5Q1DW43BU,B000052YJX,Kati,"[2, 3]","I recently started breaking out on my cheeks and jawline which was never a problem area when I was in my teens. This works if you use it just like the directions say: on clean skin, once a day initially then increase to several times daily. On day two I use it like every 2 hours.It makes the pimple or, in my case, underground monster, less visible and less irritating. It gets rid of any pain or soreness that makes me want to pick and pop. After day two it completely disappears.Honestly, the best thing about this product is that it makes me keep my hands OFF my face which is likely why I break out in the first place. Oh, and I started changing my pillow case every night.",4,Effective with time,1312848000,"08 9, 2011",0.2035
11,A13IRKEEPFTWFM,B000052YJX,KH1,"[2, 3]","I like this product and have returned to using it when the drugstore is out of my usual on-the-spot treatment. I use this product only at night - when the cream dries, it does leave a little flaky residue - for this reason, I would recommend using it only at night or other times when you aren't going to be out in public. It can dry out your skin a little. In the morning, I have noticed that my blemishes are much less noticable, though there are better on-the-spot treatments out there that do jsut as good of a job reducing blemishes and aren't quite as drying.",4,some reduction,1146787200,"05 5, 2006",0.3449
