,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A28FT3QZMU0A86,B00000INR2,7772001 7772001,"[1, 1]","Memory is what you need to even begin playing with your nintendo 64 for two reasons. First you cant play Zelda without it. Second, because if you want to continue in a game with levels saving it will help. Nintendo 64 memory is a high price although if you buy another version of memory it may not work. Paying more is better thatn paying for a new system if it breaks.",5,MUST BUY FOR ALMOST EVERY GAME,1018137600,"04 7, 2002",0.1786
1,A1KD86ZUPBA42Z,B00000INR2,Adam Cady,"[3, 4]","The expansion pak is the best thing since sliced bread. It is the item that revived the 64 after Dreamcast (RIP) debuted. It makes the graphics even more superior, finally putting the PSX to shame. It also helped to create enormous games, such as the excellent Majora's Mask and Perfect Dark. But here's the twist. If you don't allready have a pak or Donkey Kong 64, I would suggest you purchased them as a bundle at the very low price of ..., a steal from the Expansion Pak at ....ac",5,Don't buy until you read this.,981849600,"02 11, 2001",0.1653
2,A8TCAEBMUQ3VP,B00000INR2,adidas21012,"[3, 3]","I extremely recommend this, especially for the games that have come out lately, which may run slow without it. Other games won't even let you play the full version enless you have an expansion pack. I speeds up the game speed and raises the graphic quality by a lot. It makes a dramatic difference to your game. Go and buy it today.",5,Great Upgrade,1006300800,"11 21, 2001",0.152
3,A2FLZVYN0P6V41,B00000INR2,Amanda DarkSiren929,"[1, 4]",I did not get anything from this product personally and I haven't enjoyed this one at all.,2,Accessory Review,1267142400,"02 26, 2010",-0.4023
4,A3H090XL78XF3R,B00000INR2,Arcade Extreme ArcadeStuffBuyer,"[13, 17]",Products offered by many marketplace sellers are not original Nintendo Brand. Often they are unlicensed third party knock-off expansion packs. Ive personally had these damage a system and ruin games. Look for sellers offering the real thing by Nintendo. Ive warned you. You can save a few bucks and take your chances. Deviation from the actual product isn't even allowed on Amazon. Their very listings are a violation to begin with. Their feedback speaks for itself.,1,BEWARE The KNOCK-OFF Third Party brands,1158105600,"09 13, 2006",-0.0674
5,A3BEJOL2X8PS8I,B00000INR2,ATHF Fan,"[0, 0]",This is my favorite accesoory. It will make the graphics of dsome games better and all this other cool stuff. FFor some games you need it no matter what like Donkey Kong 64.,5,A great thing!,976665600,"12 13, 2000",0.4804
6,A3TIT9O3DUVZEB,B00000INR2,Baer Bradford Smile the Future Is Now,"[3, 4]",For any post Zelda: OoT N64 hit this device is a must have.,5,N64 Must Have,999820800,"09 7, 2001",0.0
7,A33T8IA1WICAH9,B00000INR2,Benjamin M. Pecarina,"[0, 0]","Great product, glad Nintendo decided to come out with it. Boosts RAM for the 64, which greatly improves gameplay.",5,X-Pak,1247097600,"07 9, 2009",0.7277
8,A2QHYLI6Q4PL14,B00000INR2,brentswinehart,"[2, 5]",ill start with the goods first of all its nice having this little gadget for ur N64 for games like The Legend of Zelda:Majoras Mask that requires u to have it and Perfect Dark where u practically need it to get the most out of the gameplay now the few bad things its a little difficult to get out the original jumperpak with the cheap plastic thingy they give you and for some of the games there aren't much improvements with it they have pretty much the same graphics as the jumperpak but with like hydro thunder then u can have 4 players instead of 2 or 3 (i forget which 1 it is cause i don't own the game i just saw the reviews off of nintendo magazines,4,Great item few flaws,996019200,"07 25, 2001",0.6503
9,A2II09GQGWOMTQ,B00000INR2,Brian Nallick METALMANMN,"[1, 1]",For anyone who still owns or wants to buy a N64 you simply MUST have the expansion pack.Banjo TooieDonkey Kong 64 all made great use of the pack.More ram.Bigger and more colorful worlds.It pretty much does exactly what the description says.Granted the older N64 games don't make use of it but the newer games do.A no brainer and a must have.Highly recommended.,5,A must have.,1296691200,"02 3, 2011",0.4908
