,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A17ED9J0J0UJ9G,B00008KH9C,A. Gehlke Cat Mom,"[3, 3]","I bought my first pair about four years ago and was quite pleased with them. They are like a heavy duty control top panyhose but they really lift and tuck the goopy stuff.Recently while trying on some new skirts I turned around and was dismayed at what appeared in the mirror! Horrors! My butt has gone south, but not to worry, I tried the said skirts on with my Spanx and that solved my problem. Now the twins back there look nice and perky...well, not like when I was 16, but maybe when I was a 33 year old dance teacher.The waist and thighs stay in place, no rolling there. Even though I'm a size 2 it does take a little more work to get these babies on. But once they are in place, wow!",5,LIFT AND TUCK!,1221609600,"09 17, 2008",0.0182
1,A1POKQ821ZBYQ8,B00008KH9C,Alexis Humphries,"[1, 1]","at first, I was a bit wary about buying them since I have thick thighs & worried that it'd cut into my legs & you'd totally be able to tell I'm wearing them. nope, not with these. I love them. they slim down my legs & love handles enough so I can wear a size lower than what I'd wear without them. easy to manage & they don't really roll down on the top unless I'm hunched over. I just have to make sure that they're pulled down far enough on my legs so they don't make any marks. (size 11/12 jean)",5,love these,1369180800,"05 22, 2013",0.2107
2,A265EJE2WINJY0,B00008KH9C,Amanda,"[0, 0]",They lift and hold in all the right places. Love them! Every girl needs a pare to have on hand.,5,LOVE MY SPANX!!!!!,1363478400,"03 17, 2013",0.3878
3,A3V4DUBZJBKEZ3,B00008KH9C,Bargain Shopper Me Me,"[0, 0]",Purchased this for a wedding I attended. It worked very well and made me look good in my little black dress. Very comfortable to wear.,5,works well,1367712000,"05 5, 2013",0.4014
4,A1OGM86F9XF5M3,B00008KH9C,blueazulli blueazulli,"[0, 0]",not a good fit around the lower hips. but what I really like about them is that the material breathes. after I get used to the bad fit I forget they are there. waacoal feels the best but it is way expensive.,3,"almost, but no cigar",1386201600,"12 5, 2013",-0.0451
5,A1NVER4FI1K13K,B00008KH9C,bollycats,"[0, 0]","They fit perfectly and really sucks in my tummy! Kind of hard to wear with jeans, but other materials work great.",5,Love it!,1384819200,"11 19, 2013",0.6956
6,A3P8WZ8E14G8SZ,B00008KH9C,Bunkster Brown,"[4, 4]","Just got my new pair, and for ME the secret was to go two sizes up. I am 5'4 and weigh 145... according to the chart I'm a B... but the C was even too small for me. Just got the D, and bingo! Perfect! Doesn't seem to roll, and I might actually be able to breathe in the thing. Those who haven't been happy before, try going two sizes up... worked for me~ five stars now!My previous review:I am completely torn about my rating on this one. On the positive side, this product shaves ten pounds off my appearance, easily. So five stars for that. Two negatives though... First, I ordered a size up (from what is recommended at Spanx.com), as everyone seems to suggest. They are still VERY tight, and still roll down. Secondly, I have not even worn them yet... I only tried them on twice with my Maid of Honor gown... maybe had them on for a total of fifteen minutes each time... and all of the stitching on the waistband started to come out in a big, long unravel. It happened in two different places on the waistband. If I hadn't bought them so long ago (well in advance of the wedding), I would have returned them and requested a new pair. Now, I'm here to order another pair, and I think that this time I'll try ordering two sizes up, and see if that stops the rolling problem. I will save the second, damaged pair as a backup for the wedding day. Those two issues caused me to take away two of the five stars that these could potentially be (for me, anyway). One more thing... as it stands now, I couldn't imagine wearing these every day... it really is a GIRDLE! But for a special occasion, or a night out on the town, yessiree!! They do really suck you in and give you that figure you wish you had! (Maybe not recommended for going out to dinner, if you plan to eat more than a salad LOL!)",5,Changed my rating from three to five stars because...,1245542400,"06 21, 2009",0.1142
7,A3Q1H0YQZYA478,B00008KH9C,Cari Johnson,"[2, 3]","I understand that you have to have a seam somewhere in a garment, and it probably would make clothes look worse on the hip, but the seam going over the tummy looks horrible on garments, that you want your tummy hidden. Maybe it is just my pair, but you can totally see the seam over the tummy. I want that area to be smooth. Grrrrrr.",3,what were they thinking,1182729600,"06 25, 2007",-0.1674
8,A2ZY49IDE6TY5I,B00008KH9C,Crabigail Cassidy Crabby Abby,"[6, 6]","I'm a reformed chubster so I'm still packing flab galore. I bought this to wear with a semi-fitted dress and shrug. Not exactly revealing, but I felt I needed the protection. Looked fine and liked the way this felt. It was not confining or uncomfortable. Did a good job and I felt confident.Yesterday it was frigid so I decided to use this as an extra layer under my jeggings that are fitted. I wasn't thinking in regard to hiding anything. I just wanted to stay warm. Anyway, when I put the jeggings on I thought they seemed baggy or loose. They've always felt fitted. When I met my friend for lunch she asked me if I was still losing weight because my pants were loose fitting. Ditto for my husband.Spanx work, but darn if I can explain it. They go on easily. While they are fitted to conform to the body they don't feel tight. They are comfortable enough that I forget I'm wearing them.I ordered a medium and since I normally wear an 8 or 10 they are true to size. I have friends who wear plus sizes and tell me the size they wear are consistent with the garment sizes they normally wear.I either hand wash or wash on a gentle cycle using Woolite and air dry. Just went out and bought two more pairs in tan and black. Can't put a price tag on confidence.",5,I Was Clueless,1326499200,"01 14, 2012",0.17
9,A2L4BFVLQBY80D,B00008KH9C,Darci Noelle Maurer,"[2, 2]","OK, so I use these less as a tummy cinch, than I do as long underwear under a dress since my thighs brush together. And since there are no panty lines, it makes you feel more confident. I would buy multiples of these if they weren't so expensive.",5,Best invention EVER!,1339891200,"06 17, 2012",0.1056
