,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2ZM9BGE3K3SY2,B00000JBNX,Amazon Customer,"[5, 9]","I didn't take math my senior year of high school and didn't know where my calculator was when I started college. I bought this one because it was cheap, compared to the TI 83 that I wanted. I used it for 2 years before it was damaged (my fault, not a product defect).I bought a cheap calculator to replace it and have been very disappointed. I plan on getting another calculator like these before my statistics class next semester.",5,Worked great,1070582400,"12 5, 2003",-0.1197
1,A1L9E4OA926W9B,B00000JBNX,Buffy,"[0, 0]","This is a good calculator, does what it is supposed to, great color, easy to take on the road when I travel.",4,Good Calculator,1371340800,"06 16, 2013",0.872
2,A2C1Y5F8DE9H6P,B00000JBNX,Clann Mother Clan Mother,"[0, 0]","Amazon is totally my school supply go to place. They may not have the colors I want, but they ALWAYS have the price! 3rd calculator I've ordered here. Just like what you buy at the store (and usually less expensive)",5,Works great! Even better price!,1380067200,"09 25, 2013",0.1631
3,A3DOPYDOS49I3T,B00000JBNX,Confucious,"[0, 0]",This calculator does the job for what I need. No batteries needed and it is solar powered. Only problem I have is the cover case. It is not slide in / slide out cover cases like most calculators. It is more of a snap it on / snap it off. Other than that it does help protect it from dust and getting the screen scratched.,4,Does the job....,1222300800,"09 25, 2008",0.052
4,A1Z54EM24Y40LL,B00000JBNX,csm,"[0, 0]","Outside of being able to attach this to your car's rim and use it as a tire, this calculator does about everything. And, for a reasonable price! This is the required calculator for the 6th grade here in Ohio, but I originally purchased mine for an advanced chemistry class for a top 10 university course 18 years ago. It's still the one I grab every time I need a calculator - it performs all the scientific notation that I need, and doesn't become cumbersome like the TI-83. I've used this for everything from calculus, microbiology, biochemistry to advanced chemistry and it's worked like a dream. For the price, it just cannot be beat and durability, well that speaks for itself. Highly, highly recommend!",5,"Fabulous, had mine for over 18 years now!",1340323200,"06 22, 2012",0.2516
5,A1TS45JWJVOSSW,B00000JBNX,Duane Sparks Duane,"[0, 0]","This TI scientific calculator was easy to use instantly. Clearly written and thorough instructions that made it simple to operate. I haven't had use for all of the functions, and probably never will, but for high school and college, this will do very nicely.",5,So very pleased,1303776000,"04 26, 2011",0.4966
6,A2GL70AZ8MWXI3,B00000JBNX,GWT,"[0, 0]","This is a very nice calculator for high school students in higher math - algebra, trig, pre-calculus. The two line display is an added bonus. Can't beat the price for the functionality.",5,Does the job,1375747200,"08 6, 2013",0.3392
7,A1QI6PI0HH4H0P,B00000JBNX,Happiness,"[0, 0]","I got this at the Big Box retailer that I despise. Apparently, they only carry this in black. URGH!!! I LOVE that it comes in pink. (Totally would have bought it on Amazon had I known about it. Every day I find more and more things to buy on Amazon with my Prime Membership, not that I'm plugging Amazon, but I love Amazon.) I also love that this shows two lines for previous entries. That was the major selling point for me for when I do my accounting online homework - my laptop computer doesn't have the numeric keys, so it's frustrating to have to use the numbers above the QWERTY keyboard, and it's also time consuming. I love this calculator - very useful.",5,I Wish I Had the Pink One - URGH,1375056000,"07 29, 2013",0.2633
8,A1RTVWTWZSIC94,B00000JBNX,Hb Black Beauty,"[0, 0]",Too much error code...does not work for me and gives a lot of problems. I will used it when I have no other choice. Texas Instruments are always good. Not sure why I am not having a good experience with this one.,3,Okay,1385942400,"12 2, 2013",-0.2592
9,A3DWENW34NQEAV,B00000JBNX,"Julie Writer, chemistry teacher, reviewer, C...","[0, 0]","When working properly, these are wonderful calculators: affordable, simple to learn, fuctional, small, comes with case, easy to reset the memory, etc.It's not as bulky or expensive as something like the TI-89 and on series of graphing calculators.I recommend these calculators for all my chemistry classes. I've never had to use the sin, cos, and tan buttons, but one feature that is especially useful in science class is the ability to shift between scientific notation and normal notation (end, sci/eng, right, enter). It sounds more complicated than it really is and once you do it once, you'll be fine.Occasionally, there are individual calculators that will have poorly made buttons that stick a little. In that case, you have to be extra careful when inputting data, but usually this gets fixed with enough use.Conclusion: Good choice for science class.",5,Just Right for Teaching Chemistry Classes ...,1401580800,"06 1, 2014",0.5588
