,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ACNYR79WI3K1K,B00004YVB1,Amazon Customer,"[5, 5]","This is my initial review. I will update this after using it in Afghanistan.BLUF: I would buy another one should something happen to this one right now and would recommend it to a friend. I have used two other brands of multitools extensively for the last 13 years and this product is more solid and feels better made. Each tool can be extended without pulling out other tools and does so smoothly yet firmly enough not to feel cheap or to come out when you pull the tool next to it out. The tensioner on the back of each handle is very finely cut to produce an individual tensioner for each tool. The tools themselves are very general purpose and don't seem to be designed for any particular trade or use. The pivot pin of the pliers is smooth, has no spring or tension to it, nor any lateral/sideways movement. The case fits well and doesn't slide around much at all on my 2 utility belt. The tool arrived well oiled appearing to have been cared for until packaged for distribution.My overall initial impression is this tool strikes a good balance of tension and smoothness to provide a quality tool suitable for general purpose work. It would certainly suffice until more appropriate tools were on hand. I will edit this review after the tool has loosened up and I have had a chance to use and sharpen all of the tools. (Update 1: The carry pouch for the tool closes via a button which I have not been able to master. It takes some finesse to close properly and if it is hit just right it will open unknowingly. I've recently replaced it with an old multi-tool case that has a velcro closure because I fly helicopters with the doors off. The case itself is the sturdiest of the four nylon cases I have owned in the past and the closure suffices for day to day uses, but if you do work where the tool could fall out if the button were not snapped, I would either look at getting a different case or know you will have to modify the existing one. I have downgraded my review from a 5/5 to a 4/5 because I believe the people that use a multi-tool like this on a daily basis are probably performing a job that would require a more secure closure; however, if I were to rate the tool itself, I would rate it 5/5.)",4,Quality General Purpose Multitool,1313193600,"08 13, 2011",0.1807
1,A176YAJSD48S6E,B00004YVB1,Cesar,"[0, 0]","I wave other multitools of different brands, like Leatherman and Gerber. In my opinion, Victorinox Swisstool X beat all others I have in quality and functionality. The selection of tools is perfect to perform all tasks I face in home or outdoor. The tool is very well made and the finish is perfect. The tools have individual locking mechanisms and all tools lock in position. All tools are also easy to access.The pliers are bold and strong. You cannot go wrong with this tool!",5,The best multitool over any other!,1365897600,"04 14, 2013",0.4173
2,A2XD2SRQ77OGXV,B00004YVB1,David S. Markowitz,"[1, 1]","I have owned or evaluated multitools by several manufacturers, and Victorinox makes the best. The manufacturing quality is outstanding. The selection of tools is excellent, the tools lock solidly in place, and the knife is razor sharp out of the box.When used as pliers, the outside of the handles do not dig into your hand.Highly recommended.",5,Excellent multitool,1236902400,"03 13, 2009",0.6399
3,A2D3J8SX03YRK9,B00004YVB1,James Her,"[0, 0]","Out of the box you will be impressed with this great multitool! Beautifully polished, individual locking tools that don't clump when you open them. That pliers are not needle nose but I like the compromise. The stout but slightly rounded nose is precise enough for most precision jobs but because the metal is of softer material I can understand why they don't included it. The craftsmanship on this tool is top notch and better than any other multitool I ever had. What more can I say, it's a victorinox!",5,Best of the best!!!,1391904000,"02 9, 2014",0.4256
4,AQ55H30MZSV0Q,B00004YVB1,John A. Lefcourte,"[0, 0]","This is a beautifully constructed, solid tool. Being so it is on the heavy side. The only faults that I find with it are: the phillips head screwdriver blade is hard to remove and there are three slot head screwdriver blades. In this day and age it is rare to find a slot headed screw and rarer still to need three different blades. On the other hand, the one phillips headed screw driver is of an in-between size (size 1?), a larger or smaller one would be more useful. I have found that it works fairly well with larger Phillips head screws.The locking mechanism for the blades is positive and easy to remove.I agree that the snap closure on the holster is inadequate.If the combination that includes three flat screw driver blades works for you then this tool is nearly perfect.",4,Beautifully made,1293408000,"12 27, 2010",0.2778
5,A1GPG0YXH9QD9S,B00004YVB1,joshnstuff,"[2, 2]","In my opinion, this is the best multi-tool that can be had.I did a lot of shopping around for a larger multi-tool.If you just get out there and simply handle them, you willfeel the superiority of quality in this tool.Every tool is solid and useful, every tool has a nice crispsnap. Its a little heavy....but its a larger mult-tool andso is pretty much on par with its competitors as far as weight.I think the price tag is acceptable, as this thing will last youa lifetime.I know there are a lot of leatherman fans out there that will tell youleatherman is the only way to go and is American made!Thats all nice and good....but I would advise you just get out there andplay with a few of these...like I said, you will feel the quality of the swiss-toolover the leatherman. I like buying American products too....but when it comesdown to it, I'm going with quality.",5,Best multi-tool,1376352000,"08 13, 2013",0.7001
6,A1R4830GBU8UIM,B00004YVB1,LgT,"[1, 1]","This one has all the tools I was looking for - sturdy pliers, scissors, sharp plain edge blade, file, saw, and the all-important awl which seems to be a hard to find feature these days. I own several Leathermans, and I can't stand how their tools clump together and are difficult to deploy. The Swisstool has no such problems. Every tool is easy to deploy individually, and locks in place. Also important is that the tools can be deployed without having to open the pliers. The product has good fit and finish, is reasonably comfortable to hold, and has no sharp edges poking my hand where they shouldn't. The included holster holds the tool securely, I didn't observe the problem of it opening too easily as mentioned elsewhere.",5,Excellent multitool,1327449600,"01 25, 2012",0.2547
7,A2YY8P74ZP0XO1,B00004YVB1,messageboards,"[0, 0]","This is a very nice tool, feel like I'm a fancy engineer or something when I hold it. Now engineeringwise, its kind of tough to get to some of the tools and when they come out, they are at a weird angle. I ordered this along with a bunch of other items and found myself reaching for my Leatherman Sidekick's blade to open the other items. Like that everything locks.",4,"Fantastic construction, weird design issues",1403740800,"06 26, 2014",0.221
8,AHNCSRONCAQ5F,B00004YVB1,M. N. Heyes,"[0, 0]","This is a really nice tool, fantastic fit & finish.I like how all the tools are available without opening the pliers, don't clump together and all lock.I feel so well equipped when I have this multi-tool with me.",5,Great multi-tool,1384041600,"11 10, 2013",0.9287
9,AA8YKC2LOYDN2,B00004YVB1,Richard G. Life is Good !,"[1, 1]","I owe Wave and Vic.X tool as I found them to be the best of the best on the market among multitools. Recently I bought Leatherman TTi Charge(the most expensive one) and pliers broke with first hard squeeze... that was unacceptable for me and I returned it. I owe first Wave and X tool for 4 years now and will say that for more delicate job you probably would want Leatherman Wave but for the tough job (any job)- X tool is 100% the leader. Just look ahead of time and decide where, and how, you will most likely use your knives. The best future for me over Wave is quality of steel. I didn't see anything of the same or better steel quality in other knives yet. The best description I found from Aj Viljoen here: [...] Good Luck !",5,I will say the best multitool,1253664000,"09 23, 2009",0.2847
