,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2MNOTSEEI2RG2,764002465,Anthony F. Winkler Tanne,"[0, 0]","I had read the book years ago and now got to see it with Daniel Craig--really liked it and helped ,me to rememvber the story",4,good mystery,1363824000,"03 21, 2013",0.4215
1,A7VEQLY06X32Q,764002465,Bahaman,"[0, 0]",DC in the early days.It's not difficult to see why he was chosen as the new Jams Bond.. Enjoyed this DVD.,5,"Good,solid mystery",1362700800,"03 8, 2013",0.3931
2,A1HR1OPXP8TESI,764002465,Betty,"[0, 1]",it was entertaining but slow. I ordered it just to see Daniel Craig in an early movie and I already had read the book,3,icw houaw,1375488000,"08 3, 2013",0.1191
3,AYFFWPUMI2MDH,764002465,BKR,"[0, 0]","I enjoyed the novel more than the movie, but I did want to see Daniel Craig in an early film. He's very good in this, but I do think I have Bond stuck in my brain, so I had some trouble accepting this particular character who has his weaknesses. The movie is faithful to the book but seems to drag a little in places. If you like Daniel Craig, this one is worth a look.",4,Interesting just to see Daniel Craig,1355875200,"12 19, 2012",0.085
4,A21OTH2LUE1NJ,764002465,Bruce Miller hyper2u,"[0, 0]","This was a most entertaining DVD. It was a bit long and seemed if it was a made for TV special. Actually, it was in two parts which provided a refreshing break. The subject was a body found in an underground ice house. The mystery was whodunit. The likely suspects were all involved to some degree as they were seemingly living as a lesbian threesome and scorned by the local villagers. The story unfolded with all sorts of twists and turns, new developments, and enlightening forensic evidence that was only forthcoming at critical times in the story. There was a bit of romance between the suspect and investigating detective that made for an interesting story by itself. I felt like this was a pilot movie of a series that might be scheduled to follow. There were certainly many follow up stories that could be made. I was glad that I found this DVD and would recommend it to anyone who enjoys British mysteries.",5,"Great Story, Superb acting, and entertaining.",1390867200,"01 28, 2014",0.2693
5,A260QLS8Z33KCQ,764002465,Bun,"[0, 1]",First major role for Daniel Craig and a great start to his career. Good mysterious who-done-it with lots of great characters and interesting plot.,5,"Great story, with lots of twists & turns",1355270400,"12 12, 2012",0.7453
6,AFTAZ9LRP0S9B,764002465,carol lunce,"[0, 1]",Wasnt sure by the description whether I would like this. Very suspenseful and surprising ending. Highly recommended if you like thrillers!,4,Deep Secret,1398643200,"04 28, 2014",0.3601
7,A10VO0XWRNFEBE,764002465,C. L. Orr Catwoman,"[0, 0]",Loved this movie. It was an old fashion English sleuth movie. Reminded me of the old Agatha Christie movies. Made in 2 parts.,5,Old fashioned English movie,1352505600,"11 10, 2012",0.1499
8,A2TXR85WQLE32N,764002465,D. S. Thurlow,"[0, 0]","The Ice House is a surprising good television murder mystery from the BBC. It features very solid performances by Corin Redgrave and a young Daniel Craig as Inspector Walsh and Detective Sergeant McLoughlin, assigned to investigate the mystery of a dead body found in a disused ice house at Streech Grange. The Grange is inhabited by a Mrs. Maybury, whose husband mysteriously went missing nine years previously. Inspector Walsh immediately suspects the body is that the missing David Maybury, whom he further suspects was murdered by his wife.However, nothing in this three hour crime drama is simple. Not the identifying of the body, nor the cause of death, nor how it came to be in the icehouse, nor especially, who done it. The movie, based on a novel by Minette Walters, manages to make a suspect out of practically the entire cast, including the nearby villagers. The solution will be a while in coming, and may surprise all but the most acute viewers. Along the way, Daniel Craig is quietly compelling as a dutiful Scottish cop with a dying marriage, an alcohol problem, and an unexpected attraction to one of the suspects. Recommended as an entertaining mystery movie.",5,Unexpected pleasure...,1372204800,"06 26, 2013",-0.1878
9,A29TKSIWA3JKF3,764002465,Einsatz,"[0, 0]","Less a mystery, more a study of human nature (everyone has a hidden agenda). In this case, the police are decidedly suspicious before the facts. A body is found and Chief Inspector Walsh (Corin Redgrave) desperately wants it to be a man who went missing (he presumes dead) years ago. He goes to great lengths to ensure that everyone else jumps to the same conclusion, becoming increasingly prickly when the facts decide otherwise. Daniel Craig plays Sergeant McLoughlin, who eventually learns the inconvenient truth.There are no sympathetic characters to be found as everyone is on their worse behavior. I found it fascinating; it certainly kept my attention throughout. I was, however, disappointed at the resolution and would never bother watching it again because of that.",4,Malevolence abounds,1368230400,"05 11, 2013",-0.1221
