,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A32JKNQ6BABMQ2,B00000I1B8,abe starman,"[0, 0]","well theres tons of different levels and stages you can go through.each fighter has his own special powers.before you get started youll need to inject caffiene directly into your thumbs to keep up with the computer guy.at first you should take lou kang.hes the easiest guy to learn.everythings easy once your caffiene kicks in up un til you run into goro.hes not even the boss but hes the toughest guy by far on every level.hes a big huge guy who can kill you in like 5 hits.when you hit him,it barely fazes him.just do something repeatedly like raiden[theres a real japanese god called raiden] and his torpedo spear or quan chis tele stomp.the fatalities are very gruesome.one involves a guy ripping off the other dudes leg and then beating him to death with it.ps-for some stupid reason all the cs are ks in this game.",3,coolcoolcool,1107388800,"02 3, 2005",-0.928
1,A2T2MYZEB81NOQ,B00000I1B8,Alex K Catman,"[0, 0]","I did not play this on N64, but I did play it in the arcade! It is such a wonderful and awesome game it is not even the least bit funny! The graphics rock, the arenas are both cool looking and interesting, there are many cool moves each of the fighters have, and the endings are movies! I have won this game four times, all four as none other than Scorpion, my favorite MK fighter(4 times I won MK4! Perfect fit!). I love this game, it is cooler than nearly any game I know, there are some of the coolest fighters ever along with Scorpion in it, and I plan to get it for my computer. Period.",5,Mortal Kombat 4 true fans only!,1128297600,"10 3, 2005",0.6212
2,A3GKMQFL05Z79K,B00000I1B8,blackaciddevil,"[2, 3]","Despite mixed emotions from reviewers all over, Mortal Kombat 4 is an awesome fighting game. Taking the once 2-D game into 3-D now adds alot of depth. The game moves just as smoothly and as fast as the past games so, those who still have the 'twitch' when it comes to fighting games, will feel right at home. I remember when I played this at the arcade at our local mall when it first came out. I went up against a 12 year old kid and got my tail kicked by him on it but I was tickled to just get to play it. I'm tickled it's out for the systems. Definitely worth checking out. Collect it if you can.",5,Mortal Komat 4 is awesome....,1039132800,"12 6, 2002",0.1743
3,A1SSKWISW4QWVX,B00000I1B8,Daniel T. SWan,"[0, 0]",This was my a;ll time favorite both on the arcade and at home. Great classic as far as fighting games went back in it's time. Works wonderfully! Thanks so much.,5,Hellz yeah!,1363564800,"03 18, 2013",0.4792
4,A3VCKTRD24BG7K,B00000I1B8,Eric M. Bell Deacon,"[0, 1]",I like Nintendo 64 also I really enjoy watching the Mortal Kombat movies and playing the Mortal Kombat games Yeah!!,5,Great game,1378425600,"09 6, 2013",0.4256
5,A2GBBDNZLYC4A9,B00000I1B8,Jeff Johnson Jeff Johnson,"[2, 3]","The very first 3D Mortal Kombat offers great graphics, new 3D worlds, the return of several fighters, tournaments, 2 on 2 kombat and much more. Scorpion, Goro, Reptile and others return to the game with a few new fighters, however the bad part is that all of the new characters have similar powers as the old characters that were not in the game. Another bad part is that unlike the past few Mortal Kombat games is that this game is very quick to beat and it lacks challenge. To make up for it though, there are the most awesome fatalities of any game, such as Scorpion's very realistic fire, the spinal removal from Sub Zero with a total 3D effect and Liu Kang's throwing his opponent straight toward the camera. Each fighter now has weapons as well to add flavor to the fight.",3,"Return of fighters and rip offs of old ones, 3D excellence",997056000,"08 6, 2001",-0.2064
6,A6VFFRIHAXKRL,B00000I1B8,J. Paul John doe,"[0, 0]","Now I'll be reviewing Mortal Kombat 4 which is hated by some some do like it they The MK Team was trying to change it with the times & I'll admit it's not as good as Mortal Kombat II, 3, Ultimate Mortal Kombat 3 or Mortal Kombat Trilogy it has it's problems but I like it. MK 4 came out in The Summer of 1997 it was the last Mortal Kombat game to be in arcades most of the principle characters return Liu Kang, Raiden, Johnny Cage, Reptile Sub Zero & Scorpion. Goro returns which kind of pi s s es me off 1 he's harder than he was in MK 1 or MK Trilogy 2 he wasn't even in MK 4. You fought Quan Chi as The sub boss. Jax & Sony are back. Some of the newer characters I didn't care for like Reiko he was a poor substitute for Noob Saibot but Noob is a secret character he has no ending though. Goro is another secret character & he has no ending so it's pretty pointless. I hate Kai. Jarek is just another poor substitute for Kano. Ilike Fujin Quan Chi Tanya is alright. Shinnok is cool to play as. Story is Shinnok escaped The Neterreln thousands & thousands of years ago Shinnok was an Elder God he betrayed them he needs this powerful amulant. Raiden & Shinnok fought over it & ended with millions of people dying Shinnok was banished to The Neterreln. While The Invasion Of Earthrelm was going on Noob Saibot helped Quan Ch get Shinnok out of The Neterreln. Shinnok overtaken Edina takes Kitana hostage. Kitana is Liu Kang's love of his life all around good time girl. So Liu Kang helps Raiden. Shinnok has killed most of The Elder Gods except for A Wind God Fujin. Quan Chi & Scorpion have a history he tells Scorpion yes that Sub Zero is lying about being a brother that he ready killed his clan & his family. Also Tanya a new fighter & Reptile join to help Shinnok. Tanya's job is trap Liu Kang & have him killed & if you're seen her ending she does it's not official Liu Kang lives on until MK V. Shinnok agrees to send him back in time to his original race if he helps him Reptile is lied to again Since Shinnok is a fallen Elder God the battle can be won by Motals. Jax & Sonya are hunting down A Black Dragon guy named Jarek & if you have beat this game as Jax it's a really bad a s s ending. The FMV endings look better on The PS1. It's not perfect the main boss Shinnok I Quan Chi should've been the boss instead he's in most of the endings. Nothing wrong with Shinnok I'll say this he's better than The Dragon King or Blaxe cause they were straight forward run of the mill monsters. But when you compare him to Shang Tsung or Shao Kahn he doesn't measure up. The game has a lot of in your face gore. This game got ported to The Playstation & Nintendo 64 & an expanded version called Motal Kombat Gold on The Sega Dreamcast. The 64 version has the advantage that it's a cartridge no load time but The 64 controller isn't made for fighting games. The Playstation version has better picture quality for the endings & you can get an arcade stick for it. I've never played or have Dreamcast but I've heard MK Gold is glitchy but Kung Lao, Baraka Kitana, are added I think it has Millena & Cyrax. I don't know if MAME will run it. This woulalso be the last game Of The Boon Tobias era. Next is going to be an all time gulity pleasure Motal Kombat Anhillation.",5,MK 4 review,1308096000,"06 15, 2011",0.0155
7,A8L37C5ABVJDY,B00000I1B8,Matthew J. Rowland,"[1, 1]","This game is a few years old, of course, but I was so pleased with it that I played it all last night after it was shipped to me. Definitely the best fighting game for the fading N64 platform. It is somewhat easy on the easy settings (almost too easy mind you), and as you increase the challenge level, the computer opponents increase in ability almost 10 fold.The only gripe that I have is that some moves are just not condusive to being made on the N64 controller. My hands also wanted to keep sliding over into the traditional n64 grip on the controller (with the stick and not the pad), but this game does not play well with the stick and thus you have to use the pad. That will feel weird at first. You can re-map the buttons to better suite your needs, but if you do, other moves will be more difficult to pull off as well. For instance, Sub-Zero's famous slide is almost impossible to do without taking your right hand off the controller and repositioning it on the correct buttons to make him do his slide. While you're doing this, you're getting your butt kicked because how are you going to concentrate on where the buttons are during the fight?I still give it 5 stars because those problems are not really that significant in the long run. The combo system is wonderful, and anyone who is looking for a good fighting game on the N64 console should pick this one up. With the price that it is at now, it is very affordable too. I highly recommend it.",5,"Just got it delivered, and it is wonderful!",997401600,"08 10, 2001",0.2405
8,A1G5LJ8T1IGYC5,B00000I1B8,MICHAEL TAYLOR SNAKEFIST2,"[0, 0]","THIS IS A LITTLE SUPERIOR TO ITS PLAYSTATION VERSION. THE GRAPHICS ARE BETTER, THE CONTROLS ARE A LITTLE BETTER, AND IT'S A LITLE MORE FUN. THIS IS A GREAT GAME. AND I THINK THIS SHOULD PLEASE ALL MORTAL KOMBAT FANS. IF YOU STILL HAVE YOUR NINTENDO 64 AND YOU DON'T HAVE THIS GAME, GET IT NOW!",4,A GREAT GAME; 4.5 STARS,1093478400,"08 26, 2004",0.4565
9,ANAYSRE3LX8GZ,B00000I1B8,Micheal Hunt,"[0, 1]","I had this game given to me for free years ago on the PC format. I liked it, but for some reason it crashed on me one day and I mustve done something to the disc, 'cause it never worked or would reinstall on any computer after that.All these years later I've just picked it up, second hand, for the N64. And I must say there is not really any difference between the PC version and the 64 version, which is a good thing!The only difference is in the movies. The PC and I 'spose gaystation version had the movies & ending in video form, where as the 64 replicates them the same way using the polygons of the 3d characters themselves. I have no complaint about it, I like it wether it's video form, or 3D poly form. They both still tell the same story. Except Reiko who just walks off into a portal.. the other versions show what happens when he goes into the portal, he puts on his Shoa Kahn mask!!!! shame thats not in it.All the codes and moves where the same, and I like the fact that the PRACTIVE mode allows you to press pause and choose a list that displays all the characters moves, fatalitys and weapens etc... tho, i'm really kind of sick of the combinations of move lifts, which makes it great to just go into the options, highlight continues # and hold down block+run untill it takes you to the hidden menu where you can turn on auto fatalitys and stuff.The only bad thing I can say about the game is what it should have had included. It needed to be fixed so that the auto fatalitys worked like in MK: TRILOGY (All platforms EXCEPT the N64 version) where each button freformed a diffrent fatality (2 fats, freindship, babality etc..) that about it.This game is one of the best head to head fighter games. Unfortunatly the team at Crapcom decided to make a billion versions of Street Fighter for every other system... talk about over kill... but they didnt wanna make one for the 64, so thats there loss, which means Mortal Kombat is the best head to head fighter on the 64 if you ask me.This game is actualy converted to the 64 straight from the arcade and then extras where added in after that, which makes it better then the arcade. Like the fact you can play as Goro & Noobsaibot, and a skinless character named Meat (go to GameFaq,com for the codes)MK is the best head to head fighter on the N64 in this realm.",4,Choose Your Destiny,1121817600,"07 20, 2005",0.3672
