,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1G0VFQ9198IUF,B00000ID61,al,"[0, 0]",a fun game to battle against your friends. up to 4 players can play at a time. this is one fun game to have.,5,starfox 64,1397865600,"04 19, 2014",0.4788
1,A3VU8VZ0JVHOOC,B00000ID61,andrew007_jjj,"[3, 3]","Starfox was one of the premiere games for the Super Nintendo, boasting some of the best graphics that any platform of the time could show off and yes the game, at the time, did deliever in what could be described in a &quot;Tour de force&quot; performace. When the game transitioned making it's way onto the Nintendo 64 I had to hail the calling of this game and buy it, so I did. The result? I was as happy as any person could have been after spending the money for this game, and it was worth it. The game is easy to beat, but, only on the easy route. There are hundreds of ways that give this game a replay value that could be unmatched at the time, such as getting medals for every planet in the &quot;Galaxy&quot; in order to unlock expert mode, or the ability to win tanks in multiplayer mode, or even be able to fight on foot. So, is this game worth the money you would pay for it now? yes, give this game a home on your shelf. Enjoy.",5,"Yes, He is Back",1006128000,"11 19, 2001",0.451
2,A3RXRLQ2YIBL89,B00000ID61,AndrewCD,"[0, 0]","There's a strong case for this title being N64's most replayable, with a heart rivaled only by Zelda. The arcade and score-based gameplay alone means competitive revisits, and you can absorb a complete experience in a reasonable timeframe, like a good TV show. Even with the kid friendly premise, there is a sense of true emotion between the characters. You care about Fox, his team, and the strife they encounter. Most of all, this game has yet to be topped for its kind - the closest they got was the 3DS remake, but even that isn't a whole new game (plus the voices were way better in this one).",5,In a word: timeless.,1392940800,"02 21, 2014",0.6141
3,A1X8QMXISE6QE4,B00000ID61,CaptainCC CaptainCC,"[2, 2]","This game is fairly short and can be beaten in a matter of ten minutes on the easy route, but it does provide other secrets and ways to go about the game. You can go through three main paths, but you can quirk the paths if you decide to or if you screw up on one part of the level. You definitely will find yourself going back trying to unlock the different multiplayer modes and trying to up your high score. The rumble pack is worked very nicely into to the title. The voices are also a nice added feature. Buy this game guys.",5,Great Game,975196800,"11 26, 2000",0.1981
4,A2OUKHGJ85XN4U,B00000ID61,Charles H.,"[0, 0]","Gameplay: You play Fox McCloud, a fighter pilot for Starfox, and you're at war with the forces of the evil Andross. It's more or less a rail shooter, but there's some free-roaming flight to be had at various points through the game. One of the best features of Starfox is that progression is non-linear. Your actions in each mission directly affect how you proceed through the game. For instance, if you defuse the bomb on one level, you go one route. If you fail, you end up playing a different level.Graphics: You have to be a little forgiving of Starfox in this area. It's a fairly early N64 game. In the grand scheme of N64 graphical quality, Starfox 64 is probably somewhere near the bottom. But if you're turning down the new 3DS Starfox in favor of the old school one released fifteen years ago, chances are you won't care about that.Sound: The music is pretty good, as is the voice-acting. Although it lacks the polish and natural feel of some later N64 games with voice-acting, Starfox 64 still has one of the best uses of voice-acting on the system. Flying through space shooting aliens and talking on a radio to your teammates go hand in hand.There's still a lot of fun to be had with Starfox, even after all this time. I rented it and progressed most of the ways you could progress back in the day, and I'm glad to own it for the system now.",5,Take out dem spacemen!,1330992000,"03 6, 2012",0.3382
5,AODCE1AC7NOHW,B00000ID61,cthoms,"[3, 8]","This game is pretty entertaining for the first couple weeks that you have it. After that is doesn't really have much to offer. The game just gets really easy to beat and extremely repetitive with all the says of the various characters. Although the characters, with names like Slippy and Peppy, give some extra flavor to this boring game. Multiplayer mode is just plain bad. All of the escape moves make it too easy to dodge your opponents fire, so the game takes forever, and the multiplayer levels themselves offer you nothing interesting. This game does have it's value for a little while so if you want to try it then rent it, don't waste your money buying it.",3,Gets Old Quick,984700800,"03 16, 2001",0.1445
6,AWG2O9C42XW5G,B00000ID61,David Black Widow 2014,"[2, 4]","this game is okay, i'm not really into this type of games, but this one ewas pretty good for it's type.",3,an okay game,1219622400,"08 25, 2008",0.8625
7,AMDV1MMKUBCI,B00000ID61,David Harless,"[0, 0]","There is no save feature, but the whole campaign takes a hour at most. Just sick with some friends and &#34;Do a barrel roll Skippy&#34;",5,No you can't save,1362960000,"03 11, 2013",-0.1286
8,A2290OIJTU42QP,B00000ID61,Female Spy,"[2, 2]","*The title is a quote from the final boss, Andross*A more accurate rating for this game, overall, is really 4.5 stars; but, of course, Amazon won't let you grade in half stars. A true masterpiece, Starfox 64 stands as one of the greatest games ever created for the Nintendo 64, and perhaps even all time. I recently got it as my first and only Star Fox title; and, though I'm normally not a fan of games with shooting and space ships like this, this game succeeded in impressing! Analyzing its features step by step, it's pretty hard to find reasons why this game shouldn't be loved:Storyline 10/10: The story is absolutely captivating! Though it starts out pretty simple and generic (the galaxy and Corneria are being threatened by Venom, someone save us, etc.) the backstory behind it is pretty detailed, the intro is epic, and the story itself takes on a whole new life when you start playing! Actually, YOU are the one who controls the story to a degree: you can pretty much decide, through skill and/or choice, whether things go great or awful for the Star Fox team, a heroic pilot crew you can manipulate. You control Fox McCloud, and only Fox McCloud, but you also associate with the three pilots of Peppy, Slippy, and Falco; why, just protecting Falco and doing certain actions on the first level can decide which way the story goes! This game does a great job of drawing you into its world and making you want to figure out what's happening.Characters 9/10: I have to commend whoever came up with these interesting characters: they make the game! Even on your own crew, each one is distinctive: Falco, for example, plays along the lines of the tough guy with a secretly caring heart. Peppy is like the fatherly instructive type, and Slippy plays along the lines of a new school boy. Finally, Fox, the same character you control, often takes on a reserved leadership role (which makes sense). Each one has his own quirks; and, though any of them can be annoying on a certain level, you can't help but feel a degree of liking for each of them. Their lines, though perhaps epic for the time, can be somewhat cheesy and/or cliche (Peppy's, It's Quiet . . . too quiet. is a good example); but the cheesiness adds to what is oddly a funny and light-hearted game. You often can't help but think, I shouldn't be laughing at this, but you'll laugh anyway. It's just that kind of game. The A.I. of each character on maneuvering is decent; but, until you get skilled enough, it can be hard not to shoot at them or let enemies get them, as they get in your way at the oddest times (then fuss at you when you do hit them). Peppy occasionally gives advice that doesn't particularly help either, though it hardly ever hurts if you follow it. Speaking of advice, though, the game can make you depend on your characters if you're newer at it, as they can each do something useful: Peppy gives advice and often tells you where to shoot, Slippy analyzes boss health meters, and Falco often covers you. If someone gets shot down, you'll miss him. Finally, the characters are also pretty life-like in behavior: try shooting down enemies that Falco is chasing on some levels, and listen to his reaction to it.Graphics 9/10: Some issues with fog (common for Nintendo 64 games), but otherwise absolutely beautiful. The fog itself, even, can be justified, as you spend most of your time in the air. Though many stages take either a purely generic spacial theme, such as the asteroid field, the planets are really intuitive. In this game you can find a volcanic environment, which even mimics the wavy effects of heat, an ocean environment (full of fish and plant life), a couple of cities, a train depot . . . the works! The most interesting graphics you could see, however, has to be the part of the asteroid field you can warp to. Though it probably looks like you've taken a medication or something else you shouldn't have, you can't deny the mysterious beauty of that point in the level. . . . Please note, however, that what levels you see depends on what paths through the game you take; like the story, it's dependent upon your actions in the levels.Mechanics 9/10: This covers things like controls, ability to save, and learning curve (whether it's easy or hard to master). The controls, though they work well, are pretty complicated to learn. This complication, however, is eased by the nice training mode they threw in; a few rounds in training mode, and you'll pretty much have them down! The game can still be pretty tough to a degree, though; however, I was able to nearly make it through the entire game on one of my first three rounds (and I'm usually not too hot at games like this), before the Star Wolf team finished me off (they're pretty tough if you don't know how to handle them right). Make sure to master the somersault maneuver; I've never seen a game force you to rely on it as heavily as this one! In terms of saving, I was disappointed: there's no way to save; and, unlike what some people say, there's no password feature either. You'll probably get sick of the first level for that reason. While it's not a deal breaker, this game isn't for the busy person who's looking to play for only an hour or less and quit. If you want to experience the true value of this game, you'd better set aside at least a couple of hours for it. The lack of a save feature is the biggest thing that kept me from giving this game a perfect score, as I kept catching myself thinking, This game would be perfect if only it had a save feature!Music and Sound 10/10: No complaints in the music and sound department! It pretty much captures the mood, be it suspenseful, hopeful, dramatic, or even rewarding. The character voices are also well done, awesomely portraying the character personalities as well. I can't describe any of this justly, though; you'll have to listen for yourself!Conclusion: Star Fox 64 is a face of near perfection, if only a few small blemishes hadn't reared their ugly heads. Multiplayer, I hear, is lacking; but, overall, none of the minor flaws in this game are major dealbreakers. Personally, I recommend this game to people who are bored and have a lot of time on their hands; the replay value is great with its various paths! The final boss can be downright creepy, and . . . well, I think any critique could easily go on forever! Long story short, this game is an absolute steal at the cheap price it's at now. A fond memory in many gamers hearts, this Star Fox 64 still remains as a highly recommended game to play!",4,"If I Go Down, I'm Taking You with Me! (by Laura)",1258934400,"11 23, 2009",0.3086
9,A2KSRJFZ2R9JK3,B00000ID61,Fuwwyfootpaws,"[0, 0]","Star Fox 64 (known as ''Lylat Wars'' in Europe) is a shooting game for the Nintendo 64. You play as Fox Mccloud, and he must go on an adventure through space to find and destroy Andross. Throughout the game, Peppy, Slippy, and Falco help you.This game is really fun and addictive. It is also really short, and a little challenging in some parts. But when you learn the gameplay, it becomes really easy. This is a really fun game.",5,Fun and addictive,1375142400,"07 30, 2013",0.2532
