,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3RIOHLQHR44R6,B00005TQI7,Amazon Customer,"[0, 1]","I love this. It was cheap, and it is super cute and the kids just adore it. Anything to do with Dora is always a hit, and they felt like it was similar to her backpack...",4,Cute!,1356480000,"12 26, 2012",0.6289
1,A21CMPZWSQQ1XL,B00005TQI7,Amber,"[0, 0]","Great for a toddler, perfect size for the little ones. Durable and no chocking worries at all. Enough in the purse to role play and hold interest great price too!",5,Super cute!!!!,1364342400,"03 27, 2013",0.5781
2,A3HNCPACL5LNWP,B00005TQI7,Am Shopper,"[0, 1]",I bought this for my 2 year old cousin. She has a habit of taking her mothers purse and walking all over with it so I figured it would be perfect. When I first saw it I fell in love with the soft material and girly colors and she absolutely loves it. She always remembers to put her things in her purse so she can be just like mommy.,5,sooo cute!,1347840000,"09 17, 2012",0.4452
3,A297R44X7WEQ8T,B00005TQI7,Another opinion,"[0, 0]",This purse is very cute and my 15 month old g-daughter loves it. It's her favorite purse of the two she has.,5,Grandaughter loves it,1388620800,"01 2, 2014",0.6245
4,A2HUG9JGCHM106,B00005TQI7,Barbara Venereo,"[0, 0]",I bought this for little 2 year old for Christmas & she loved it. The price was fair too!!! I will probably buy from this company again.,5,Cute!!!,1388620800,"01 2, 2014",0.3631
5,A27WGPMYCDQWME,B00005TQI7,Betsy,"[0, 0]",This is a fun little purse for a toddler. It's a manageable size and comes with fun things inside. Just wish the steps were a bit longer.,5,Great first purse,1398643200,"04 28, 2014",0.4744
6,A1F5H0JZUN2E44,B00005TQI7,blondb,"[0, 0]",i love it its cute my daughter plays with it she feels like a little lady with it . .,5,cute,1373587200,"07 12, 2013",0.4467
7,AEYZ1P2RQTEYQ,B00005TQI7,brittnny9,"[0, 0]","my 2 year old daughter loves this product! she is not crazy about the purse which is pretty small but she really likes the things that come with it. I wish the phone would have been made to work with batteries, so it would make a noise or something but it is just a piece of plastic with fake buttons.",5,great for toddlers!,1376092800,"08 10, 2013",0.2921
8,APFVLCHSGQQSH,B00005TQI7,Busy Mom teacher,"[0, 0]","My 15 month old daughter received this for Christmas and she loves it. I wish the phone buttons could be pushed or did something. Other than that, it is a fun toy and she walks around the house carrying her handbag just like mommy. Too cute!",4,15 month old daughter loves it.,1293667200,"12 30, 2010",0.5459
9,A31AKA7MLNK0XX,B00005TQI7,CaliforniasWeird,"[0, 0]",I purchased this purse for my daughter who is almost 2. She loves playing with all the parts and I gave her some additional cards to put in the purse. Better than some of the other sets I found online.,4,Cute set,1295827200,"01 24, 2011",0.3703
10,A2F7CEXBQSND0B,B00005TQI7,cap19,"[0, 0]","My 20-month old granddaughter loves to go through Mommy's purse so I was sure she would love this one - but not so. The phone doesn't do anything and doesn't look mom's smart phone, the mirror is tiny, the credit card wallet is hard too open. Mostly, the things just aren't 'real' enough to match what Mom has. It was tossed in a corner after the first day and hasn't been used since.",2,Not like Mom's!,1383696000,"11 6, 2013",0.1697
11,A3NFR606Q5II6P,B00005TQI7,Catty,"[5, 8]","My daughter recieved this purse as a gift and we found it was missing some of the pieces. Since the pieces were sealed in a bag, it was a clearly problem from the manufacturer. When we went to exchange it, we found all of the purses on the shelf were missing at least the mirrors! Pretty bad quality control, if you ask me. We ended up stuck with an incomplete toy... pretty dissapointing.",2,Where's the Beef?,1128038400,"09 30, 2005",0.0074
12,A1AXBQM2YHKDMB,B00005TQI7,City Girl,"[0, 0]","&#34;What is thaaaat?!?&#34; That was the shriek exclaimed by my 2.5 y/o when she opened this up on Christmas! She is so super excited about this purse set... She loves the credit card, phone and &#34;Chapstick (lipstick)&#34; the most. The size of the enclosed items are. Perfect for a toddler. The price was really good, too. We are definitely very happy with this purchase. Oh, for those who may care, the mirror that came with her set was yellow vs the shown blue, just FYI.",5,My toddler Loves this set!,1388275200,"12 29, 2013",0.4328
13,A2TF7DBCIBQQ7D,B00005TQI7,cjwest,"[0, 0]",I haven't opened it yet but it looks really cute.fast delivery also!cant wait to give it as a gift to my 2 year old shes going to love it!,4,gift for christmas,1382918400,"10 28, 2013",0.9049
14,A7WMHL3QV0DM0,B00005TQI7,cortney,"[0, 0]","I bought this for my friend's three year old daughter and she absolutely adored it. It's been about a month since then and my friend said her daughter still can't leave the house without it! For the money, this gift is perfect!",5,3 year old loved it,1398556800,"04 27, 2014",0.6165
15,A29XHDT85S7AVR,B00005TQI7,"D. Miller Live, Love, and Laugh, everyday!","[0, 0]","very nice first purse for a little girl. My granddaughter will love it, I am saving it to give to her for Easter.",5,nice first purse,1392595200,"02 17, 2014",0.5562
16,A1EDIHWDJNKMO9,B00005TQI7,EC Mommy,"[0, 0]",My niece loves this little purse with all the items that go in it. She walks around caring her little purse just like her mom's.,5,So cute!,1397088000,"04 10, 2014",0.6178
17,A4S2GMZIQKEHY,B00005TQI7,Eldude,"[0, 1]","My kids liked this and have fun playing around with it, the only thing I felt was the price could have been better. Saw it much cheaper at Walmart not too long ago and then believe it or not at the dollar store.However, the product itself is durable and nice, not kids hazards jumping right out or frail designs.",4,nice but...,1356739200,"12 29, 2012",0.6452
18,ANROP64XNV49R,B00005TQI7,Grace1120,"[0, 0]","This is adorable. The fabric of the purse is nice and soft and the little items inside are cute. I like the size of it as well. Not too large, not too small. My granddaughter will love it.",4,My First Purse,1386633600,"12 10, 2013",0.4777
19,A32MLAAY4D0VB3,B00005TQI7,Guillermo Valdes,"[0, 0]","The child I gave it to loved it, she carries it around all the time. Cool toy for the Mommy mini me girly girl.",5,Awesome,1400371200,"05 18, 2014",0.4588
20,A2TRVPRLY8J0F3,B00005TQI7,Jahosh,"[0, 0]","This is pretty cute for the price. A bit cheaper in quality than the small picture makes it look, but for the price, it serves it's purpose. My 2 year old niece loves it!",3,It's nice for the price,1392940800,"02 21, 2014",0.4488
21,AH1S02E7LGMSR,B00005TQI7,Jay Doshi,"[0, 0]","My daughter wanted a toy cell phone, (911 dispatchers probably wouldn't agree its a good toy, but oh well) so I got to looking and I got this set for just a little more than just a phone would have cost. She loves all of it and carries it around the house, she just turned 4. Great product for the price, I would recommend it.",5,Just what my daughter wanted.,1377216000,"08 23, 2013",0.6013
22,A35Q10UJWLW5XL,B00005TQI7,jm,"[0, 0]",Bought for my 15 month old Granddaughter. She thinks it's great. I think her favorite piece is the fake lipstick. It's worth buying.,5,Cute,1390953600,"01 29, 2014",0.2063
23,A1CIGMN879NSA,B00005TQI7,John Hargraves,"[0, 0]","I haven't actually gotten to see the product, but I got a call from my sister-in-law and she told me how much her daughter loves her first purse. She said she carried it quite often and that it was a perfect gift for a 3 or 4 year old girl!",5,My niece loves it!,1354752000,"12 6, 2012",0.7533
24,AS4P74KQY9WR4,B00005TQI7,JO MO JM,"[0, 0]",My neice loves it. She really likes the cell phone. She is so cute with her little purse! She loves the little mirror in it.,5,1 yr old loves it!!!,1354060800,"11 28, 2012",0.5628
25,AOGH0OOG5LBEG,B00005TQI7,Judith Whitmire Biographical Lover,"[0, 0]",My granddaughter loves it & all the adorable goodies inside it.She carries it everywhere with her and happily plays with the accessories.,5,Success!,1394236800,"03 8, 2014",0.91
26,A3PPYV0LUBM14W,B00005TQI7,judy s,"[0, 0]",I bought this when I saw it on Amazon. I also bought a book (Lillie's Purple Plastic Purse) to go along with it as a gift for my 2 year old niece. Lots of fun for a little girl.,5,FUN FOR A 2 YEAR OLD,1394928000,"03 16, 2014",0.3763
27,A1NEIH01B5X6QL,B00005TQI7,K. Faasse,"[0, 0]","I sent this to my granddaughter for Christmas and never heard back or got a thank you or even if my granddaugter received it. I am only guessing that it was all that it was suppose to be. Since I had it sent to myself and I wrapped and sent it to them myself I did get a look at it from outside the box. It looked pretty good quality to me and I would have bought it for my daughter when she was little if they had it then, I would still recommend it as a nice gift as it came in a very sturdy box and everything looked like fun to me.",5,AGAIN LOOKS LIKE FUN,1379808000,"09 22, 2013",0.3301
28,A1EVV74UQYVKRY,B00005TQI7,K. Groh,"[0, 0]","My daughter had one of these when she was a toddler. It was really sweet and she loved carrying it around and taking the stuff out. I ended up buying one for my step-grandaughter this Christmas. She was thrilled with it and just like my daughter used to do, she had a blast pulling everything out, going through it and putting it all back in. Everything is easy to hold, fun to look at, and just grown-up enough to make them feel like this really is their own purse.",5,Really Cute Gift for Little Girls,1389484800,"01 12, 2014",0.4577
29,A116Y1JDIZ81L,B00005TQI7,Khanh Ly,"[0, 0]",My daughter was in love w/this for about 5 mins (she's 2)...then she threw everything all over the place & never looked at it again. Maybe I'll put it away & regift it to her next year.,3,Received as a gift,1377734400,"08 29, 2013",0.3185
30,A3ORT5GTOGP7D8,B00005TQI7,kimberly r,"[0, 0]",I got this for my 17month granddaughter. She enjoys the toy. She really likes the phone and lip stick. I think she will enjoy even more as time goes on.,5,very cute,1389225600,"01 9, 2014",0.37
31,A279F26TAKYWMA,B00005TQI7,Kriston Douglas,"[0, 0]","My daughter likes this toy, I was disappointed that the little pink phone didn't have push buttons. Other than that the toys is cute.",3,Cute,1363132800,"03 13, 2013",0.1908
32,AP4VM69F6WBPA,B00005TQI7,Lindsay,"[0, 0]",I was in a hurry and needed an easy little gift for a one year old's birthday. It does say on the tag that it is for 2+ but the pieces inside weren't too terribly small. It came in the mail quick with prime so generally I'm happy and so was the kid. Win win!,4,Needed a quick gift for a year old.,1401753600,"06 3, 2014",0.678
33,AE81GKNCIYK6O,B00005TQI7,Lisa,"[0, 0]",My twin cousins loved this! They are not yet two but said &#34;ohhhh&#34; and sighed like they were so elated :),5,So cute,1387324800,"12 18, 2013",0.7946
34,A3FJQDMK3S5RT,B00005TQI7,MATT,"[0, 0]","This was so much fun for my niece, a two year old. She liked the items so she could be &#34;just like mommy&#34;. She loved the purse for other items as well, like carrying her other precious things. Nice little toy gets a lot of use.",5,Gets a lot of play...,1400284800,"05 17, 2014",0.6321
35,A2CD2I87BLU0T4,B00005TQI7,mcccashew,"[0, 0]","This is a great little purse, and my daughter still plays with it a year later. The design is very cute, but the phone could be better (like if numbers could actually be pressed and perhaps sounds made). When you put all the accessories in the bag, it is pretty full and barely closing. But my daughter has since found a better phone to put in her purse, along with the rest.",4,"Great purse, cheap phone",1357084800,"01 2, 2013",0.6659
36,AYJQ8UHAONNGA,B00005TQI7,Meg C,"[0, 0]",got for my niece and she had a blast with it. the only bad this is that the little parts all get lost and now she does not have half of them.,4,great gift,1364774400,"04 1, 2013",-0.3502
37,A1JI9EMSFLBVVV,B00005TQI7,Mom of Two,"[3, 4]",".....this was purchased for my daughter for her first birthday. It's very cute, and I can see her playing with it a bit more as she gets older. Right now she's more into the take the stuff out of the purse and put it back in stage, but still......a neat little toy for the lil miss in your life!",4,Very Cute.....,1104278400,"12 29, 2004",0.3832
38,AW2TNZIO23K0M,B00005TQI7,Pamela A. Peters,"[0, 0]","It's very durable, perfect for your &#34;little princess&#34;. Now my 2 year old princess is using it, and loves it, now she has her bag /phone and make-up too! So cute!",5,Nice-Makes little angels feel like big Girls!,1366156800,"04 17, 2013",0.592
39,A2SP9I25WTDDX,B00005TQI7,P. Willie,"[0, 0]",We bought this for our 15-mo old granddaughter. She liked carrying it around. She played with the Phone and the keys that came with it and used the lipstick. I liked that the handle was soft and the purse was a good size for toddlers. I'm sure she will continue to enjoy it over the next few years.,4,Cute Purse,1325462400,"01 2, 2012",0.4246
40,ATY1TGX2BDL53,B00005TQI7,Rachael T Rachael,"[0, 0]","My twin girls got this when they turned two and they both love it and still have it at almost 3 1/2. My only complaint is the little plastic card holder. For some reason, neither of the girls can open it. But overall, they love the purse and it's lasted this long with very destructive twins!",4,My girls really enjoy it,1318291200,"10 11, 2011",0.0576
41,A1001UEHDLCC1Z,B00005TQI7,R. Lowther,"[6, 6]","My oldest daughter, who is now 5 years old, got one of these purses a couple of years ago from my mother. Out of all of the toys that my daughters have, this is the one that they would fight over the most, so for my youngest daughter's 3rd birthday I got her her very own First Purse. They both love playing with all of the included accessories, and often throw in a few additional items of their own. The purses and accessories are all very durable, in fact, I had to put my daughters' initials on everything because I really can't tell the difference between the new items, and the items that we've had for a couple of years already. Out of all of the little purses that I've looked at online and everywhere else, I definitely feel like this is the cutest and best deal out there.",5,A Great Purse for Any Little Girl,1141084800,"02 28, 2006",0.2517
42,A3Q1GTBCX6SL1R,B00005TQI7,Robinhood77,"[0, 0]",bought this for our daughters 2nd birthday and she loves it. its great for any little girls &#34;first purse&#34; :),4,cute little purse,1391126400,"01 31, 2014",0.6842
43,A1SP45DJ6A5X83,B00005TQI7,rohnna,"[2, 2]","I gave this as a gift for the daughter of a friend. I was not able to check the age requirement but it turns out, the gift was still a hit, especially the cellphone. This is a good buy.",5,The cellphone does it,1359936000,"02 4, 2013",0.5867
44,A39Y4ADI4F9I5U,B00005TQI7,Ruby8245,"[0, 0]",My daughter is 1 and loves to play with this purse. She takes the items out and outs them back in. She also tries to talk on the phone and thinks the debit card is fun to carry around.,5,My 1-year old loves this!,1378339200,"09 5, 2013",0.4125
45,A3FN2UNQ8HB2OA,B00005TQI7,Sondra Metzger Artist,"[0, 0]",SHE ESPECIALLY LOVED THE LIPSTICK & PASSED IT AROUND THE TABLE. IT WA SO CUTE WATCHING HER JOY FINDING ALL THAT WAS IN THE PURSE. GOOD BUY GRANDMA,5,MY GREAT GRANDAUGHTER THOUGHT IT WAS CHRISTMAS.,1381536000,"10 12, 2013",0.6783
46,A3XF3VEOT0YME,B00005TQI7,Stacy Mcdaniel Stacy,"[0, 0]",I got this for my two year old granddaughter...she loved it...it is safe and the different objects in the purse are very appealing.,5,Great first purse,1401667200,"06 2, 2014",0.7783
47,A2RM5ZSZJQL7WY,B00005TQI7,Susan E Crangle,"[0, 0]",I bought this for a gift for the neighbor and it was perfect - she was turning 2 and was just starting to get into her mom's purse.,5,Cute!,1387324800,"12 18, 2013",0.765
48,A3SVS69N5FU11A,B00005TQI7,Synetra Leaphart,"[0, 0]",My first purse is very sturdy and nice for any little girl developing into a big girl. I love it.,5,My first purse,1392163200,"02 12, 2014",0.5536
49,A1D1782JK9GDNE,B00005TQI7,the guru I live on amazon,"[0, 0]","Bought this for a baby in the family, she loves real purses so I had to buy her the baby version! she loved it.",5,Good early development toy,1391040000,"01 30, 2014",0.6054
