,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3A1OA237FOZFK,B00004Z5SN,#1 Amazon Fan,"[0, 0]","Although I have had the opportunity to use other brands through the Vine program, I am still very pleased with the price and performance of the Avery brand of labels. I have never had an issue with these labels smudging or jamming in my laser printer. I use these not only for address labels, but also for frequently used notes on packages (e.g. Fragile) and to label file folder boxes as well. The templates to use create the data for the labels are included with Microsoft Word and make easy work out of getting them printed properly.",5,Always pleased with Avery,1296604800,"02 2, 2011",0.3207
1,A2JAEZ0FMAMJVW,B00004Z5SN,A. H.,"[0, 0]","There isn't much to write about a standardized product such as labels. These are good quality, and they work well in our HP LJ2200D printer.They stick where you put them.Highly recommended.",5,Works well in our HP LJ2200D,1282176000,"08 19, 2010",0.3502
2,A1KBXGIJ9C7YJ2,B00004Z5SN,Amazon Customer Alaskan Realtor,"[0, 0]","Avery is the standard for computer printed labels, and have been for years. These laser labels print well, don't smear, and stick well to envelopes.Why did I give them a 4* review? Because I think this new Easy Peel label is a solution looking for a problem. I've labeled thousands of envelopes (I sell real estate and send out mailers on a regular basis), and I never had a problem with the old style label.These Easy Peel labels have a line where you fold the paper and the edge of the label sticks out making it easier to peel off. When I tried this, the top labels stuck out fine, but the sheet didn't quite fold on the line so the bottom labels didn't stick out as well. I'm not sure that taking the time to fold the sheet 3 times to peel off the labels actually saves any time.I haven't done a major mailer with these labels yet, but I think the regular Avery labels are just as good.",4,Quality labels,1282694400,"08 25, 2010",0.4618
3,A1QG13XG3EO2CX,B00004Z5SN,Amazon Customer,"[0, 0]","As address labels these do everything you'd expect them to do - you can print names and addresses on your printer, peel them off easily, and stick securey to envelopes. If your wordprocessor doesn't have a template for them, one can be downloaded from [...].However I also used these labels for another purpose - organziing several closets. No longer do I have to remember which sheld the fitted king sized sheets are on and which is the fitted queen sheets - just print out what you need on these labels, stick them to the front of the shelves, and you're done. (Just use a nice large readable font). I reorganized the linen closet, hall closet, and basement closet using them and I couldn't be happier.",5,also good for organizing your closet,1283644800,"09 5, 2010",0.0097
4,A1P2XYD265YE21,B00004Z5SN,Andrea Readaholic,"[1, 1]","These labels work perfectly. Labels are such a time and effort saver, and they are so versatile; there are so many things you can do with them. I can't imagine living in a world without labels. These particular ones are for laser printers, but they can also be used just for writing on. They are easy to peel. They are address labels, but you can use them for a variety of different reasons. These labels are really awesome.Convenient, practical, good quality, and they make life easier. These labels can do so many things and you can use them for so many reasons - the list is endless.Highly recommended for office, home, school, workshop, playroom, etc. - the list is endless.",5,Awesome Labels!,1279756800,"07 22, 2010",0.2216
5,A2JXCOUGYS5Y4J,B00004Z5SN,anonymous,"[2, 2]","and yes, they are easy to peel off, haven't caused a printer jam, print nicely and sticks well. i don't know what the difference is between the 5160 and 5260 because they seem to be the same size. from what i can tell, the only difference seems to be that the 5160 comes in a much larger pack (3000 labels) than the 5260 (750 labels). so if you're in need of many more labels than 750, i'd buy the 5160 instead of multiple packs of 5260. but for casual home users who don't want 3000 labels (that's 100 sheets of labels - it's a lot), the 5260 would be a better choice even though you spend more per label - buying in excess is more wasteful than paying for a smaller pack.",5,these work just like the classic 5160 labels,1316649600,"09 22, 2011",0.3887
6,A2SSV6KM3W1VFD,B00004Z5SN,A. Zerkle Loves Great Kitchen Gear,"[0, 0]",Found myself using these handy little strips for labeling all kinds of things... you will too !,5,Very practical item,1284595200,"09 16, 2010",0.0
7,AW5JSQCHC2ZJO,B00004Z5SN,Basil MacDougal,"[0, 0]","Avery makes some really great products. It's certainly a name you can trust. These labels work great for my needs. I also love the available downloads from the Avery website. I've had nothing but a pleasant experience with this item and getting the job done.The price seems to be pretty reasonable. I would also like to add that the price on Amazon is, I think, a little bit cheaper than what I have paid in the past at a couple of different office supply stores (not to mention any names).",4,Avery Address Labels,1290038400,"11 18, 2010",0.5492
8,A3S5EXYZDEBF3K,B00004Z5SN,Brian Morris,"[0, 0]","These are your world famous Avery 5160 style labels. It is so well known, apparently, that 5160 is a registered trademark...interesting.TESTINGMy first tests with with an HP OfficeJet Pro K5400 and HP DeskJet 5650. Yes, these are inkjet printers and this is supposed to be a pack of laser labels. Despite that fact, the labels performed very well. Large text and small text are both clear and crisp with minimal ability to smear (not any more than any other paper).In my test with an HP LaserJet 4050, it went through the printer perfectly and the printed labels look terrific.FEATURESThe Pop-up Edge for fast peeling is useful. This is by no means unique, as 3M has the same thing in their labels, but it is useful for quickly pulling labels off. It works by having a perforation strip under the right edge of each label column, so you can fold the sheet and the edge of the label will stick out and be ready to pull off.ADHESIVENESSAs for the adhesiveness, it is a moderate stick -- you can carefully peel it off once you stick it on, but it will not go anywhere if stuck on paper.As you would expect from Avery, these are very high quality labels good for home or office that have stood the test of time.",5,High quality labels you would expect from Avery,1295654400,"01 22, 2011",0.4329
9,A3AHDR4F2J7YXX,B00004Z5SN,Caliaha Caliaha,"[1, 3]","I tried this product and liked it, but tried to call Avery to gather more information on their products and was disappointed with the fact that they have outsourced all of what used to be US jobs to Manilla, Philippines!!! On their web site, Avery give the appearance that they are located in Brea, California, but in reality all of their consumer inquires, information on their products, software support, and general questions are all routed to the Philippines. I was not able to connect with anyone in the USA after more than 30 minutes on the phone with several different people in Manilla.In addition, all of their products are manufactured in either Mexico or China. I am hesitant to use or recommend Avery products since there are very few US jobs associated with any their products.**************************************************My initial review of the product was good prior to my call to the Consumer Service Center in Manilla:I downloaded the Avery Wizard 4.0 to help me make the labels. It took some time to download and install, but well worth the time. The wizard was easy to use. Once you down load the software there will be a new toolbar in Microsoft Word. You simply click the Avery button and it gives you a comprehensive list of all of the Avery products (listed by product number). After that is takes you through a few easy-to-understand wizard windows to enter the text and layouts your labels. Once completed, you have a MS-Word document that you can save on your computer and reprint if needed. I was able to make address labels with a small graphic quite quickly and easily.Even though these are listed for use on a Laser printer, I used them on my ink-jet printer and they turned out quite well. Even after roughing up the label by crunching it up, it stayed clear and legible. The Easy Peel backing allows you to reposition or remove the label although it does hold in place and will not easy fall off.",1,Don't like Avery business practices.,1292889600,"12 21, 2010",0.2477
