,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1CJ6O4N4ZWGGR,7245456313,Afrikan Freedom is not free,"[0, 0]",These bands were as claimed all sizex and good for me a 5'7 inch 145 pder who loves to use them daily They pkg was complete leg band good soft handles and door anchor Great buy,5,Excellent product,1390521600,"01 24, 2014",0.9274
1,A29NO61G1WH74V,7245456313,Alan Smithee,"[0, 0]","If you are creative, you can do almost any exercise with these bands, and they all fit into a small tote bag. Build quality is good -they are durable.",5,Gym in a bag,1365724800,"04 12, 2013",0.55
2,A2ZWD1RON75HX3,7245456313,Al,"[0, 0]",I like it but I have to say I wish they included a way to &#34;loop&#34; the band over something to be able to do pull-down or back exercises. I ended up using the &#34;ankle&#34; attachment to do that and works for me. Quality is great and would definitely see this lasting me a long time. I love the carabineer because you can use 2 or more at the same time with the handles once you get stronger.,4,Great set.,1404604800,"07 6, 2014",0.6253
3,A1XLWJPVB4WEMP,7245456313,Amazon Customer,"[0, 0]","Love the wide variety of resistances you can combine. Because I don't have room for a weight set with bench, these bands and an exercise ball are perfect for my workout.",5,Love it,1355529600,"12 15, 2012",0.6044
4,AE4LMEMGK2TI8,7245456313,Angela Lunn,"[0, 0]",You can vary your workout and custom it to the part of the body you want to work. It is high quality equipment that can be used for a toning workout or a tough muscle building set.,5,Versatile,1382140800,"10 19, 2013",-0.0254
5,A1A45IW850QZBT,7245456313,AnneMarie,"[0, 1]","I have several different bands and these are the least likable, they do not stretch enough and make it way to difficult to use",2,They are too short,1397692800,"04 17, 2014",-0.3612
6,A2AECU5QSJ6UB7,7245456313,arnold,"[0, 0]","the bands are great the services is great, when can you make a call and get the owner on the phone what more could you ask for, great bands great price great services that saids it all",5,super,1324771200,"12 25, 2011",0.9702
7,A1FKGHZYT64TYG,7245456313,Ashley Y.,"[1, 1]","I absolutely love these resistance bands! You have every amount of resistance you could need, and bands can be easily added together to get your perfect resistance. The handles are comfortable, and the door anchor does stay in the door. I was a little scared to try the door anchor because I was afraid it was going to come flying out and hit me in the face, but I tested it using a long broom lol. I do love using resistance bands instead of weights because you get lean muscle instead of bulky muscle like from free weights. This is a great set, and I highly recommend them.",5,Lovin' these!,1373760000,"07 14, 2013",0.6725
8,A3V65EQUFDQ1FL,7245456313,Austen Hayes,"[0, 0]",My wife and I use these and they work great! No problems so far. I would definitely buy another set.,5,Excellent bands,1374451200,"07 22, 2013",0.4565
9,A28ZDVY6NV75P,7245456313,AZ Desert Rat movie buff,"[0, 0]",This was a great surprise for the money. I looked at resistance band workouts on YouTube and decided to try it out. At this price why not? I really feel like I had a good workout after my first try. The door anchor worked great. I'm 71 and keeping big equipment around the house is just not possible. This I just keep in my night stand and any time I've got some extra minutes I do a little workout. Pleasantly surprised and pleased. I highly recommend.,5,Quick and easy and economical,1369267200,"05 23, 2013",0.3615
10,AD739EVO0P4QH,7245456313,b00,"[0, 0]","took this on vacation, worked great. got through the airport ok. now i use this at home. the bands are strong. you can exercise most of the major muscle groups, might be a few gaps but not many. holds itself in the door just fine for the exercises that need it. I personally like to have it pull towards having the door shut, i don't trust it pulling towards the door open unless there is a dead bolt.",5,this works great for travel or is the cheapest way to workout at home,1368403200,"05 13, 2013",0.1112
11,A3HMUF6Z3MTCPE,7245456313,Baileyruth,"[0, 0]","This is a pretty decent set of resistance bands. The only thing I would change about it, is that the band themselves are a little bit long. When you put the attachments on them, they are too long to do some of the exercises I would like to do. I have tried to tie the bands in knots to remedy this, but they are very hard to untie, so I try to avoid doing that. Also, if you call the company after you get your package, they will send you a free orange band, which is even stronger than the strongest band in this pack. That was a nice little bonus!",4,High quality bands!!,1386288000,"12 6, 2013",0.3391
12,A1S3Q1N7YQQAO8,7245456313,Ben,"[0, 0]",I bought these along with a recumbent bike and wanted to wrap them around the front to work my arms while I pedal away on the bike at the same time. Work perfectly and I could not be more satisfied with the quality of these bands.~ Ben Donley,5,Perfect,1377388800,"08 25, 2013",0.1961
13,A2YQCH6XUMG93,7245456313,Benji,"[55, 70]","The red band(heaviest resistance) started tearing the first time I used it, so for obvious reason I stopped and tried the black one. The black one lasted fine for the exercise, but the next day it started ripping in the same place as the red one. I will not use the other colors as they simply do not have enough resistance. A big minus is that this set has only one pair of handles and to switch from one handle to another is a big inconvenience and a waist of time.",1,"Broke extrememly fast, inconvenient.",1300924800,"03 24, 2011",-0.1212
14,A3S3UA3D7TXBS6,7245456313,Bill Matthews,"[0, 0]","It was a gift for a friend who had shoulder problems. When I saw her a week later, she raved about it. So even though i never looked at it, I would have to give it two thumbs up, just on her say so.",5,Resistance bands,1376438400,"08 14, 2013",0.1756
15,A2F99B7LEFVYH4,7245456313,Bk,"[0, 0]",They work really well you can use them in any way they even work out with pull-up bars and can attach it bench and use for reverse push-ups,5,Work great,1384041600,"11 10, 2013",0.3384
16,A25FT39BS5I6U1,7245456313,Bobby Pynes Bobby Pynes,"[2, 2]","As most exercise products, these were used a few times, and stored away in the bag for a few months. I took them out to start using them again after a car accident has kept me off the free weights, and the bands are starting to discolor and fade. Makes me nervous that the integrity of the rubber is weakening...",2,Band Discoloration,1348012800,"09 19, 2012",-0.0502
17,A2R98RKOSU6UKX,7245456313,Bret,"[0, 0]","Personally, I don't think Resistance Bands get enough good press. If your wanting to tone, trim, and sculpt your physic, rehab injuries...this band set will do it! Pay a annual membership to a gym or spend $30 one time. Your choice! Worth every penny!",5,"Quality product for Quality workout, CHEAP!",1368489600,"05 14, 2013",0.1264
18,AIFRG8JI1MFUK,7245456313,BronxRev BronxRev,"[0, 0]","Good for those small exercises that one can't do with freeweights. I use it for slight rehab on a knee. It's perfect for that. With the door stoppers you can get angles that really help (if you have old joints). Of course it's all very light, so I can't see doing anything heavy (for those looking for something to supplement freeweights, such as wrapping around barbells when doing squats and so forth) with these, but they're good so far and seem to be made to last.",4,Useful,1379203200,"09 15, 2013",0.4125
19,A2NOB01UMJPAB9,7245456313,by James71,"[0, 0]","Upon opening, it looks like a Boston Strangler's equipment kit. Seriously...they are perfect for all around resistance rehab or training. Workable for retired folks, too.",5,Wow!,1391299200,"02 2, 2014",0.311
20,A2PNK4ZY6BXTYZ,7245456313,Caitlin Drane,"[0, 0]",This is a perfect set to keep packed up for when you are traveling. They don't take up too much room and if you know what to do with them you can get a complete work out no matter where you are.,4,Good basic set,1383091200,"10 30, 2013",0.2764
21,A1O5ZVZU2P3857,7245456313,Chris Foulon,"[0, 2]","Compared to other brands, where each band is its own resistance, here you can combine multiple bands to increase your resistance as you need it. That was a huge plus for me. The little accessories like the detachable ankle strap and door anchor are great add ons, and on top of that there is a nice little bag to keep them all organized.I have just had them for a short period of time, but look forward to using them alot.",5,These are great,1310515200,"07 13, 2011",0.4342
