,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,ADLVFFE4VBT8,B00005JAFA,A. Dent Aragorn,"[0, 0]","Those of us who've used a i950 don't need to be told that they drink ink like... I don't know... like how a thirsty something drinks water. In my case, this has been a good incentive to think twice before I go to print anything. Now, this set is a true price break from what I was used to. I don't really need an 8-pack but I did get one once, by mistake and I had no problem with the i950, I just ended up with 2 extra cartridges.It's low price, free shipping... if this was a grocery item, I'd probably set it up as an Amazon subscription. If anyone is aware of a better deal anywhere - it's got to be genuine Canon ink - please leave a comment to this review and I will be more than grateful.",5,"Probably the best deal around, if your printer needs an 8-pack",1235865600,"03 1, 2009",0.4226
1,A3NOBH42C7UI5M,B00005JAFA,Amazon Customer kepela,"[0, 1]","I've tried replacement inks and they are all awful. My Canon prints beautifully and use ink better than most ink jet printers (I have two i9900 and mp500, as well as several epsons and had HPs but no more) I print a lot of photos and my Canons print the best on plain paper of any ink jet I've ever used, as long as I stick with the canon inks. I'm lucky I didn't destroy my printer with those cheap, generic refills.",4,Nothing like the original,1167350400,"12 29, 2006",0.3536
2,A3P1508PZ0UADD,B00005JAFA,B. Bates,"[1, 1]","Great product, great colors. Here is a piece of advice: use the original manufacturer's print cartridges irregardless of who made it and you will be fine. Try to use a knock-off or wrong part, and you are asking for trouble.",5,Use original cartridges,1249516800,"08 6, 2009",0.2082
3,A39T0L7SX0BQ8R,B00005JAFA,Bryan Never late for supper,"[0, 0]","If you print high quality pictures, you can't get by without Canon ink with your Canon printer. Generic ink and refill schemes just suck every time. Buy what you need without regret. Not cheap. Not very much ink in the cartidge but it works well and looks great.",5,Accept no substitutes,1186617600,"08 9, 2007",0.1473
4,A21EDMG94ID7D,B00005JAFA,Clark Isaacs Clark's Eye on Books by Clark I...,"[0, 0]","The large size printer needs special ink. Canon's 13 x 19 printer requires the 8 color process. One of the things I found was on Amazon.com was some alternative supply of ink for one of their vendors. The quality of their ink compared favorably and we bought about a 3 year supply.The Ink from Canon is very high quality, but is pricey and especially compared to the competitor.",4,Canon has a 8 pack set which is great for the special printer,1317254400,"09 29, 2011",0.151
5,AC962C9Y1Z1BL,B00005JAFA,Cliff snazzzy,"[0, 0]",I always buy Canon ink for my Canon printer and they always perform as they were meant to by the manufacturer. There is a price break by buying in sets of 6 that I like.,5,Great Ink,1335225600,"04 24, 2012",0.1806
6,A10ZBR6O8S8OCY,B00005JAFA,Dat Hong,"[0, 0]",Economical and works like it should. Always stick with brand inks with your printer. These don't smudge and won't destroy your printer. I recommend canon brand inks.,5,Always stick with Canon authentic,1239062400,"04 7, 2009",0.2883
7,A24HQWVDBJ5ZT5,B00005JAFA,Dennis C. Rahn,"[0, 0]",I have bought the cheaper cartridges from various makers and found the ink in them to be very inferior compared to Canon ink. The cheaper cartridges seem to run out of ink faster and I mainly buy the black or letters with the cheaper cartridges.,5,Expensive compared to the cheap refills that have inferior ink.,1356307200,"12 24, 2012",-0.2288
8,A2ZNMPZMLRRC8R,B00005JAFA,Engee00 Engee00,"[1, 2]","I am very wary about buying ink cartridges online. On Amazon, even if you filter for new only and manufacturer only, it brings up used cartridges from unknown manufacturers.Used cartridges are really not good for your printer and you never know exactly what you'll get (unless you have your own cartridges refilled). Now if you still want to use them, that's up to you.My issue is that you really have to pay attention to make sure you are getting new and sealed manufacturer cartridges when you are buying online. (Wish Amazon would do something about that but I suppose they are busy.)So my review for this product? IT WAS A FACTORY SEALED NEW CARTRIDGE just like it said it was. Good place to buy from.",5,Just as Presented,1337126400,"05 16, 2012",0.1552
9,A1RBBQPFEY2WCI,B00005JAFA,F. Marsh Computer Guy,"[0, 0]","For my canon printers, I have always relied on the genuine canon made product. I don't like the ink tanks running low so fast even if the printer is just sitting without daily use, but the colors have always been dependable.",4,Standard Canon Ink Tank,1360454400,"02 10, 2013",-0.1372
10,A5JLAU2ARJ0BO,B00005JAFA,"Gadgester No Time, No Money","[5, 6]","Well, the other guys are all complaining about Amazon's shipping charge. Amazon's free shipping for over $25 offer comes and goes, so if you see it in effect -- it is as of today (10/12/2005) -- grab whatever you need. As for buying the ink tanks, just buy all three colors in the set at the same time to qualify.Anyway, let me talk about the ink tanks themselves. The three BCI-6 ink tanks work in the Canon Pixma iP3000 printer. (Maybe in other models as well, but I have the iP3000.) These are official Canon ink tanks so you'll know they'll work well. The number of prints you get heavily depends on your printing habit, e.g., what you print, how much you print, and at what quality you print.Using my usage as an example. I print at Normal Quality most of the time, and I print about 50% photos (at 200 or 300 dpi, depending on needs) and 50% web pages (e.g., flight confirmations, Hotmail messages, etc.). I don't print Word text documents much. I've run through 2 sets of ink tanks, and my very rough estimate is each set has lasted about 250-300 8.5x11 sheets. Maybe more, but I don't wish to raise your expectations too much. Suffice it to say that of all the inkjet printers I've owned -- photo or not -- the iP3000 has a terrific ink capacity record. Of course, if you use one color more than the others, that particular ink tank (or ink tank combinations) will go out faster.(For your reference, a few months ago I read in a magazine review the the average per letter-size print cost of the iP3000 came out to around 12 cents per page on plain paper, one of the lowest average costs for inkjets. Not sure what settings they used in their tests or how much they paid for ink tanks, though.)In case you are interested... the new Canon iP4200 model employs a new formula of ink which supposedly will not fade for at least 30 years. My own take is, no matter how you print your photos -- even at professional photo labs -- a photo print will eventually fade if exposed to light. It's just a simple law of chemistry. So be sure to archive your digital photos on CDs or DVDs so 30 or 40 years from now, you can still print fresh copies and relive your treasured memories in their full colors.",5,"A real review, not complaint about shipping charge",1128988800,"10 11, 2005",0.0851
11,A1EKSETIBS9ETQ,B00005JAFA,,"[0, 0]","Well this is canon own ink so the quaility is top notch and I have great photo printouts. My beef with this ink type is that it dry too quickly and canon printers waste too much ink when you turn it on and off, it does it cleaning or something. I don't use myCanon i960 Photo Printerthat often, when I do use it for black and white, I get low ink all the time. Sometime I only use black printout and the other color inks are out. I spent too much money here on Canon fast dry-up wasting ink compare toOriginal HP 56 Black Ink Cartridge in Retail Packagingand and old Epson that I could refill the ink/color. There is no chip on the ink, but I got a newCanon PIXMA MP560 Wireless Inkjet All-In-One Photo Printer (3747B002)that does use an ink with chip like HP.So you get good quality but Canon makes their money off the ink that dryout too fast when not used. Canon makes the best printers for the price/ features/quality so I am stuck with their ink again.",3,"wasteful ink, Canon $$$",1264550400,"01 27, 2010",0.1284
