,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A28GT8K15D0LIS,B0000535RD,adam,"[0, 0]",Works really well. For me almost to well as if i forget to wash my hands with regular soap after my hands start to peel after using for a month. It clears my skin up when it gets a little rough in the hot summer.,5,Yep!,1378684800,"09 9, 2013",0.1318
1,A2T4RPHVVIO0BV,B0000535RD,All4Jesus,"[0, 0]","Daily used in the shower. I also use it on my face. Love the scent, and it helps to control my acne-prone skin. It does not make my skin sensitive.",5,Yummy scent,1360454400,"02 10, 2013",0.1946
2,A2QXZOXHI71VGX,B0000535RD,Amy,"[0, 0]","I use Neutrogena Body Clear in lieu of other shower gel or soap rather than in combination with it. One thing I like about it is it takes much less of this scrub to be as effective as larger quantities some other body washes I've used - one bottle lasts several months for me. It is also much harder to squeeze out of the bottle. Once you get down to the end of the bottle, you have to pry off the cap to get it out - not exactly convenient. The odor is a little bit too sterile for my tastes, but it seems effective as an exfoliator and leaves me feeling clean. While it hasn't really combatted my minor body acne/KP that I can tell, it has kept it under control. I haven't found anything better in effectiveness or bang-for-buck in terms of shower gel or bar soap. I recommend it.",4,"Good enough for me, a few minor issues",1218672000,"08 14, 2008",0.2425
3,A1O229NVVDJUX2,B0000535RD,Anthony Pantliano The Photo Guy,"[0, 0]","Neutrogena Body Clear body wash cleared up my back acne in just a few weeks.For years I've been fighting the occasional breakout on my back. The incidents were never particularly bad, but every once in a while I would get small clusters of about 5-10 small pimples on my back. In the winter my skin would be dry and they would occur on my shoulders, and in summer they would occur on the sides of my back when I sweat a little. I've been using Persa-Gel 10 on them, and while it helped a little it would take a long time for them to clear up completely.So on a whim I decided to try this body wash and I'm glad I did. The Neutrogena Body Clear got rid of all of my back acne within about three weeks time. My back looks great, and I don't see any new pimples forming. The thing that surprised me most about this body wash is that it does not dry out my sensitive skin at all. In fact, when rinsing it off in the shower, I feel like my skin gets softer. The body wash has a very slight fragrance, which to me smells like baby shampoo. The bottle is smaller than regular body wash, but a little bit goes a long way, and lathers up very nicely. I apply it with a plastic mesh sponge poof.All in all... I'm very happy I gave it a try; it was just what I needed for my mild back acne.",5,It works great for me.,1369353600,"05 24, 2013",0.3567
4,A2GFMWMPWSDJPV,B0000535RD,Ashley,"[0, 0]","Neutrogena is a great product, but it's pretty drying which was expected. It's just too expensive to be a regular purchase.",3,"Great, but drying",1394755200,"03 14, 2014",0.3907
5,A1QAPTV4YS16N9,B0000535RD,BlondiePhD,"[0, 0]","I have very sensitive skin so I have to be careful about what products I use when I have breakouts on my body (notably my shoulders and back). My dermatologists recommended that I try the Neutrogrena Body Clear Body Wash, Pink Grapefruit for when I broke out. She was adamant that I did not use it on a daily basis because my sensitive skin and she is right! This body wash is great for when you breakout during the summer months- the salicylic acid treats your pimples. It does so quickly and without much irritation to my sensitive skin. However, I thought because it was rather gentle when I did breakout that I could use it on a daily basis- WRONG. After using it for about 5 days in a row, my skin was extremely irritated and very dry. I would recommend that sensitive skin people only use this product when they breakout or KNOW they are going to breakout, otherwise it will dry out your skin.",3,"Good for breakouts; daily use, a little drying",1354665600,"12 5, 2012",0.1189
6,A17LSJ6LM4IEZZ,B0000535RD,deadlybeautifulangel,"[0, 0]",This is the only body wash that has cleared up my skin. My breakouts are slowly going away. I have used this for two months now. I plan on to buy more. It smells great too. :D,5,The best ever!,1345161600,"08 17, 2012",0.2064
7,AS12AOZ971ZF1,B0000535RD,Demetria,"[0, 0]","This stuff works.I have been searching for a good body wash that wouldn't tear my shoulders up, and I've finally found it!I could tell from the first couple washes that it was a keeper!I've been using this product for about 3 weeks, and I'm currently sporting acne-free shoulders (save scars) for the first time in YEARS.And as the bottle says, you don't have to sacrifice an enjoyable shower with this! It lathers very well & smells good.I suggest you try it!",5,FINALLY!!!!,1347840000,"09 17, 2012",0.6351
8,A3EPJWR9SRC4HS,B0000535RD,D. Jones Simple Person,"[0, 0]","Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Ounce works in the shower for clean, clear skin all over your body. It is good for those who do not have dry skin.",5,"Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Oun",1374710400,"07 25, 2013",0.6723
9,AWUGC72OT4HBY,B0000535RD,DLC,"[0, 0]","I am a hormonally challenged female and have been suffering from bacne lately, though it isn't typical. I decided to go ahead and try this body wash to see if it would help. What do you know -- just a day later and it was working quite well! I still have little blackheads, but no more big, really noticeable zits. I combined it with a really great exfoliating loofah and the skin on my back has gotten much better. It does smell pretty gross though - my husband thought he smelled something rank this morning in the shower, but I told him it was probably the body wash and when he sniffed it he confirmed. If you can deal with the smelliness while you're washing then it's worth it. I don't find that it leaves a residual smell at all.",5,Worked within a day!,1307577600,"06 9, 2011",0.1205
