,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LBAC84TLIGAX,B00000JHPT,ACEMAN1 HERE TO PISS YOU OFF,"[2, 2]","Wow, Superman! This game has earned the lowest review score I have ever given a game (and I've given some rather s***ty scores), and the second lowest score I have given a product I've reviewed. I find it absolutely sickening when some of the people who reviewed this game; like ShaqFu (A guy who named himself after what many people would proclaim as the worst fighting game of all time and one of the worst games of all time, mind you), said that this game was a masterpiece and quote on quote, This is by far the best game on the N64. WHAT?! You're not serious are you? This is definitely not the best game on the N64, it is without a doubt the worst game to plague the N64. That's like the stupid people who say the that the God-awful Gamecube was way better than the PS2 and Xbox, it's not an opinion, it's the truth that those things suck. To show my love for the N64, instead I will give you a list of my personal favorite N64 titles you should play instead of this:1. Perfect Dark2. Starfox 643. Conker's Bad Fur Day4. Resident Evil 25. Mario Kart 646. Tony Hawk's Pro Skater7. Spider-Man8. Star Wars Episode I Racer9. Road Rash 6410.Pilotwings 6411.San Francisco Rush series12.Goldeneye 00713.Turok seriesetc., etc., etc.There, go play those instead. Those games are a million times better each than this game will ever be. Now let's talk about the glorious Superman 64 in all of its greatness!WHAT THE GAME IS: The story seems straight out of an award-winning movie. Superman's friends have been kidnapped by Lex Luthor and thrown into a virtual metropolis. Superman must go save his friends and the world from the evil deeds of Lex. This game feels like a Pilotwings/Beat 'em up/Find the button game.GRAPHICS: The people who gave this game 5-star reviews said the graphics are amazing. Are they? Why yes, if you think a game that looks like a PSone game made on a budget of $10 or it looks someone vomited Fruity Pebbles all over the TV screen, then yes it does look fantastic. Absolutely mind-blowing especially with the numerous glitches in the environments. The programming work done by Titus is stunning indeed. Superman can go through walls unexpectedly or can stuck in random places and will be unable to move for a brief period of time. Wow, Titus!MUSIC: The musical score is truly amazing. It's the kind of musical score that makes a person want to drown some kittens when they hear it. I want this composer's hand then slap them across the face and tell them, Wow, way to suck!SOUND: The sound effects seem like they were recorded in a basement. Everything is too quiet or it echoes. Another accomplished feat for the guys who made this game. Even something as simple as sound effects suck.GAMEPLAY: During my playthrough of the game this is how the missions went; Fly through the rings! Pick up those cars before those people get crushed! Fly through more rings! Pick up that police car and take it to the other side of the road! Fly through more rings! Beat those four thugs armed with guns! Fly through more rings! Use your ice breath to stop those tornadoes from sucking up those people! Fly though more rings! Go into a building! Beat up robots and find a keycard! Insert keycard then go to an elevator to another with even more robots to beat up! Destroy those robots, open those doors, and rescue those people underground! Go disarm bombs, and along the way beat up more robots, a tank, and a woman who has better skills than you do! The repetition goes on and on and on. This game is very repetitive. Extremely repetitive to be exact. And very broken too. Overall, this game plays out like Pilotwings, except you break the controls, and the make the dated visuals even worse.OVERALL: If you enjoy life and don't wish to pollute the classic N64 stay away from this horrible game. I'm surprised Nintendo didn't do what Atari did with E.T. for the Atari 2600. Destroy thousands of copies and bury them in New Mexico. Worst of all there's a Nintendo Seal of Quality on the box. How did nobody stand up to say, This game sucks, that's all it would have taken.THE GOOD: (This category has been left blank for obvious reasons).THE BAD: Everything. Every single thing is bad about this game.",1,A HORRIFYING MONSTROSITY OF A GAME 0.5 OUT OF 10,1230249600,"12 26, 2008",0.015
1,A1HJOYTU965TWU,B00000JHPT,Alex Jenkins,"[3, 4]",If flying through rings with bad handling and a time limit is fun then buy this game. All you do is fly through rings and fight enemies on a time limit and with special abilites you have to find with limited amounts. It would be fun to fly around and cruise the city but with the time limit you would run out before you get anywhere. Even if this game was a buck it's so bad it couldn't even be a novelty. People who know this game might even make fun of you. Anyways I don't think there will ever be a good superman game it's sad.,1,Don't buy this game,1047427200,"03 12, 2003",-0.0983
2,A2582KMXLK2P06,B00000JHPT,B. E Jackson,"[0, 1]","I feel so hypnotically enchanted floating through endless rings as Superman with the distant soaring effects peacefully sounding in the background. For the first few minutes Superman seems challenging as an early 3D experiment to figure out which ideas work and which ones can be tossed aside and... you'd certainly *think* that floating through ring after ring would get boring after a while but... the opposite happens. You get unusually attached to the endless task.After a while these floating rings just seem to call my name. It's like I'm destined to fly through them for all eternity. I don't want to do anything else in life but fly through these hypnotic rings. Sometimes I bump into bad guys and shoulder bash them away, other times I pick up items and toss them at specific targets but... the rings. They always call me back for several minutes of peaceful daydreaming hypnotism at its purest. I'm enthralled in this games beauty. The graphics are decent too. I have to go now. The rings are waiting for me. *stares off into space*",3,so many rings... I want more,1370217600,"06 3, 2013",0.1614
3,A2AX2TDXLD2OTE,B00000JHPT,Brock Dood,"[0, 0]","Go to the options and turn on easy mode. all the rings disappear, and you can fly straight to your objective. It makes a terrible game suck a little less.",3,just use easy mode.,1389225600,"01 9, 2014",-0.0927
4,A20DZX38KRBIT8,B00000JHPT,Deimos .,"[4, 5]",Fly threw rings and pick up cars...this game is an insult and should be shoved up the developers anus.,1,Piece Of Garbage!,1249862400,"08 10, 2009",-0.5106
5,AD7IBJCYSJ9EE,B00000JHPT,Destitute,"[3, 3]","Bad games happen all the time, but only the worst of the worst are talked about years after their release. Superman 64 is just one of those games. Receiving no positive reception when it was released in '99, it is a laughing joke and quite a disgrace to the Man of Steel. This looks like a job for...a hammer to smash the cartridge with.GRAPHICS: Bad, even for its time. Blocky characters compiled with glitches in movement and glitches in general. The town is full of 'kryptonite fog', which is just an excuse for the lack of perception in the town. Simply inexcusable.MUSIC: The same repetitive tunes, over and over and over and over...STORY: How long did it take for Titus to think of this epic story. Pretty much, Lex Luthor traps Superman's friends in a virtual world, and for some reason, Superman flies through rings and saves virtual people on his way to finding them.CONTROLS: I once recall someone on Gamefaqs saying that Superman controls like a 500 pound man on drugs. That's an understatement. Taking off and flying requires lots of work, while Superman himself steers like a drunk driver.GAMEPLAY: Before starting a stage, you have to start a series of awful missions. For some reason, Superman flies through rings, rings, and more rings, and this is quite difficult with the godawful controls. After that, Superman does odd missions such as saving people from cars, beating shadows, or stopping tornadoes with his ice breath. Note that all of this is virtual, so why is he bothering to save them? Then after that, he flies through more rings, does a mission, more rings, and eventually the level begins. The levels themselves are terrible as well, filled with glitches and the fact that Superman is super weak. He is the Man of Steel, yet an explosion is enough to kill him. After the level is completed, the whole cycle starts all over again. As with all Titus games, to fully complete it you must play on the hardest difficulty, which is just plain stupid.BUY: No! Stay away at all costs and don't let it corrupt your N64. Well, if you are interested, get it on an emulator, because even paying a dollar for this game is asking too much.",1,Don't play this game if you're suicidal.,1235088000,"02 20, 2009",-0.1315
6,AERF40KNXDQDI,B00000JHPT,DisneyVillain,"[1, 1]","This is one of the worst games of all time. I remember playing this as a kid and just kept sucking at it. When I was a kid, I didn't understand a game could be bad and simply thought I was doing something wrong and kept playing until I finally accepted this game is awful. The control in this game is really bad, especially during the ring stages. You'll just fly all over the place. The first instinct for such terrible control is to move slowly, but you have a time limit, so you don't have time to move slowly. When I got to a point where I could fight, it was like a maze and had no idea where to go. The ONLY reason anyone should buy this game is for game collecting only, and even then, they should save this when they are scraping the bottom of the barrel.",1,I still remember the headaches,1386374400,"12 7, 2013",-0.2332
7,A3BXMKBH8QNHZS,B00000JHPT,"Emma, The Reviewer Meet at lake","[9, 43]","After 90 or so inaccurate reviews, I have this to say : Epic Superman has awesome graphics, gameplay, voice-acting; and it's flight engine -- something alot people don't seem to understand so they bash the game; well, you see : people like me and Mah boi, Superman, can actually fly therefore we can accurately review Epic Superman. This game also has multi-player, which is nearly as good as Black Ops. If only there were online play.. -- I have to say, THIS is an accurate simulation of flight and the BEST game on a Nintendo console. Ever.",5,Epic Superman,1291075200,"11 30, 2010",0.5192
8,AV6EZ8USGUAMN,B00000JHPT,Gr422,"[3, 3]","Nintendo power voted it the worst game everGamestop and spot hate itI was unfortunate enough to stumble upon this game at my local video store. I thought superman, I'll have to try that. I have never seen a game more deserving of the following: THIS IS THE WORST GAME EVER! IT DESERVES TO BE BURNED!!! IT IS A DISGRACE TO INTELLIGENT BEINGS EVERYWHERE! MAKIND SHOULD BE ASHAMED OF ITS POOR ABILITY TO CREATE GAMES! IT IS UTTERLY POINTLESS! IT MAKES SOUTH PARK LOOK LIKE SHAKESPEARE! IT MAKES ALIEN HOMINID SEEM EASY AND SOPHISTICATED!Somewhere far, far away, Superman weeps.",1,They would have to pay me to play this game again,1150934400,"06 22, 2006",-0.16
9,A3QMBQB862NFBE,B00000JHPT,Joe Fern -JF,"[3, 4]","I recieved this game for one of my birthday's many years ago. At first I was excited...but when I played it...oh boy. The Graphics were horrible, too rough and generic. To make matters worse, they looked like cheap cartoon drawings.The missions were dull. Your first mission is to fly though magical rings. The Story is even worse, you have to save random civilians using various powers. The levels keep jumping, so your never in the same place.The multiplayer was kinda fun, but it gets dull fast. Basicly, it shifts to fps and you shoot other people for points. other than that, this is probably the worst game I have ever played. Don't buy this game...rent it at most..or borrow it.",2,Don't Waste Your Money,1128902400,"10 10, 2005",-0.1783
